t_us,share_sp,share_act,v_sp,v_act,I_fc,I_batt,gFC,gBT,V_bus,I_cmd,V_fc,V_batt,V_chg,V_rgn,u_unsat,drive_x0,fault_flags,ps_phase,dc_phase,trap_phase,flags
40236490,0.5,1,0,0,0.0161172152,0,0,0,15.9258718,0,8.52035046,8.44542122,0,13.4239168,0,0,0,,,,50
40237821,0.5,1,0,0,0.0161172152,0,0,0,15.9213276,0,8.54747581,8.44330978,0,13.4239168,0,0,0,,,,50
40238948,0.5,1,0,0,0.0161172152,0,0,0,15.9213276,0,8.54747581,8.44542122,0,13.4310646,0,0,0,,,,50
40240075,0.5,1,0,0,0.00805860758,0,0,0,15.9213276,0,8.5444622,8.44330978,0,13.4239168,0,0,0,,,,50
40241202,0.5,1,0,0,0.00805860758,0,0,0,15.9213276,0,8.55048943,8.44330978,0,13.4310646,0,0,0,,,,50
40242329,0.5,1,0,0,0.0161172152,0,0,0,15.9258718,0,8.52939224,8.43697548,0,13.4239168,0,0,0,,,,50
40243456,0.5,1,0,0,0.0161172152,0,0,0,15.9258718,0,8.56555939,8.44330978,0,13.4310646,0,0,0,,,,50
40244594,0.5,1,0,0,0.0161172152,0,0,0,15.9258718,0,8.57158756,8.43697548,0,13.4310646,0,0,0,,,,50
40245721,0.5,1,0,0,0.0161172152,0,0,0,15.9304171,0,8.54144764,8.44753265,0,13.4310646,0,0,0,,,,50
40246848,0.5,1,0,0,0.0161172152,0,0,0,15.9304171,0,8.56555939,8.43908691,0,13.4382124,0,0,0,,,,50
40247975,0.5,1,0,0,0.00805860758,0,0,0,15.9304171,0,8.53843403,8.43908691,0,13.4239168,0,0,0,,,,50
40249102,0.5,1,0,0,0.0161172152,0,0,0,15.9304171,0,8.54144764,8.44119835,0,13.4310646,0,0,0,,,,50
40250229,0.5,1,0,0,0.0241758227,0,0,0,15.9349623,0,8.56254578,8.44119835,0,13.4310646,0,0,0,,,,50
40251356,0.5,1,0,0,0.0161172152,0,0,0,15.9304171,0,8.55048943,8.44542122,0,13.4310646,0,0,0,,,,50
40252488,0.5,1,0,0,0.0241758227,0,0,0,15.9304171,0,8.53542042,8.44330978,0,13.4310646,0,0,0,,,,50
40253615,0.5,1,0,0,0.0161172152,0,0,0,15.9304171,0,8.52035046,8.43908691,0,13.4310646,0,0,0,,,,50
40254742,0.5,1,0,0,0.0161172152,0,0,0,15.9304171,0,8.56254578,8.43697548,0,13.4239168,0,0,0,,,,50
40255869,0.5,1,0,0,0.0241758227,0,0,0,15.9258718,0,8.50528145,8.44330978,0,13.4239168,0,0,0,,,,50
40256996,0.5,1,0,0,0.0161172152,0,0,0,15.9258718,0,8.55048943,8.44330978,0,13.4310646,0,0,0,,,,50
40258327,0.5,1,0,0,0.0161172152,0,0,0,15.9258718,0,8.51733685,8.44119835,0,13.4310646,0,0,0,,,,50
40259459,0.5,1,0,0,0.0161172152,0,0,0,15.9304171,0,8.5444622,8.43697548,0,13.4310646,0,0,0,,,,50
40260586,0.5,1,0,0,0.0161172152,0,0,0,15.9304171,0,8.54747581,8.44119835,0,13.4310646,0,0,0,,,,50
40261713,0.5,1,0,0,0.0241758227,0,0,0,15.9258718,0,8.55048943,8.43697548,0,13.4310646,0,0,0,,,,50
40262840,0.5,1,0,0,0.0241758227,0,0,0,15.9258718,0,8.51130867,8.44753265,0,13.4310646,0,0,0,,,,50
40263967,0.5,1,0,0,0.00805860758,0,0,0,15.9304171,0,8.5565176,8.43697548,0,13.4310646,0,0,0,,,,50
40265094,0.5,1,0,0,0.0241758227,0,0,0,15.9258718,0,8.54747581,8.44330978,0,13.4310646,0,0,0,,,,50
40266221,0.5,1,0,0,0.0161172152,0,0,0,15.9258718,0,8.53843403,8.43908691,0,13.4310646,0,0,0,,,,50
40267353,0.5,1,0,0,0.0161172152,0,0,0,15.9304171,0,8.53542042,8.44119835,0,13.4310646,0,0,0,,,,50
40268480,0.5,1,0,0,0.0161172152,0,0,0,15.9304171,0,8.54747581,8.43908691,0,13.4310646,0,0,0,,,,50
40269607,0.5,1,0,0,0.00805860758,0,0,0,15.9304171,0,8.54747581,8.43697548,0,13.4310646,0,0,0,,,,50
40270734,0.5,1,0,0,0.00805860758,0,0,0,15.9349623,0,8.52035046,8.43697548,0,13.4310646,0,0,0,,,,50
40271861,0.5,1,0,0,0.00805860758,0,0,0,15.9258718,0,8.5565176,8.43486404,0,13.4310646,0,0,0,,,,50
40272988,0.5,1,0,0,0.0161172152,0,0,0,15.9258718,0,8.58062935,8.43697548,0,13.4310646,0,0,0,,,,50
40274115,0.5,1,0,0,0.0161172152,0,0,0,15.9304171,0,8.52035046,8.43908691,0,13.4310646,0,0,0,,,,50
40275247,0.5,1,0,0,0.00805860758,0,0,0,15.9349623,0,8.568573,8.44119835,0,13.4310646,0,0,0,,,,50
40276374,0.5,1,0,0,0.0161172152,0,0,0,15.9304171,0,8.56254578,8.43486404,0,13.4310646,0,0,0,,,,50
40277501,0.5,1,0,0,0.00805860758,0,0,0,15.9304171,0,8.53843403,8.43486404,0,13.4310646,0,0,0,,,,50
40278832,0.5,1,0,0,0.0161172152,0,0,0,15.9304171,0,8.5565176,8.43697548,0,13.4310646,0,0,0,,,,50
40279959,0.5,1,0,0,0.00805860758,0,0,0,15.9258718,0,8.53240585,8.43908691,0,13.4310646,0,0,0,,,,50
40281086,0.5,1,0,0,0.0161172152,0,0,0,15.9304171,0,8.55048943,8.43697548,0,13.4310646,0,0,0,,,,50
40282218,0.5,1,0,0,0.00805860758,0,0,0,15.9304171,0,8.54747581,8.44119835,0,13.4310646,0,0,0,,,,50
40283345,0.5,1,0,0,0.00805860758,0,0,0,15.9304171,0,8.55048943,8.44119835,0,13.4310646,0,0,0,,,,50
40284472,0.5,1,0,0,0.00805860758,0,0,0,15.9304171,0,8.55350399,8.43697548,0,13.4310646,0,0,0,,,,50
40285599,0.5,1,0,0,0.00805860758,0,0,0,15.9258718,0,8.56555939,8.43697548,0,13.4310646,0,0,0,,,,50
40286726,0.5,1,0,0,0.00805860758,0,0,0,15.9304171,0,8.55953121,8.44330978,0,13.4310646,0,0,0,,,,50
40287853,0.5,1,0,0,0.0161172152,0,0,0,15.9304171,0,8.53240585,8.43486404,0,13.4310646,0,0,0,,,,50
40288980,0.5,1,0,0,0.0161172152,0,0,0,15.9304171,0,8.53843403,8.43908691,0,13.4310646,0,0,0,,,,50
40290112,0.5,1,0,0,0.00805860758,0,0,0,15.9304171,0,8.57158756,8.44330978,0,13.4239168,0,0,0,,,,50
40291239,0.5,1,0,0,0.00805860758,0,0,0,15.9258718,0,8.56254578,8.43908691,0,13.4310646,0,0,0,,,,50
40292366,0.5,1,0,0,0.0161172152,0,0,0,15.9304171,0,8.55350399,8.43908691,0,13.4310646,0,0,0,,,,50
40293493,0.5,1,0,0,0.00805860758,0,0,0,15.9304171,0,8.52939224,8.43908691,0,13.4239168,0,0,0,,,,50
40294620,0.5,1,0,0,0.0161172152,0,0,0,15.9304171,0,8.55953121,8.43908691,0,13.4310646,0,0,0,,,,50
40295747,0.5,1,0,0,0.0161172152,0,0,0,15.9258718,0,8.55953121,8.43697548,0,13.4310646,0,0,0,,,,50
40296874,0.5,1,0,0,0.0161172152,0,0,0,15.9304171,0,8.5565176,8.44119835,0,13.4239168,0,0,0,,,,50
40298006,0.5,1,0,0,0.0161172152,0,0,0,15.9304171,0,8.53843403,8.44119835,0,13.4239168,0,0,0,,,,50
40299133,0.5,1,0,0,0.0161172152,0,0,0,15.9304171,0,8.53843403,8.44330978,0,13.4310646,0,0,0,,,,50
40300464,0.5,1,0,0,0.00805860758,0,0,0,15.9258718,0,8.55350399,8.44542122,0,13.4239168,0,0,0,,,,50
40301591,0.5,1,0,0,0.0161172152,0,0,0,15.9304171,0,8.55350399,8.43908691,0,13.4382124,0,0,0,,,,50
40302718,0.5,1,0,0,0.0161172152,0,0,0,15.9304171,0,8.55048943,8.43697548,0,13.4310646,0,0,0,,,,50
40303845,0.5,1,0,0,0.0161172152,0,0,0,15.9304171,0,8.56555939,8.44330978,0,13.4239168,0,0,0,,,,50
40304972,0.5,1,0,0,0.00805860758,0,0,0,15.9258718,0,8.56254578,8.43908691,0,13.4310646,0,0,0,,,,50
40306104,0.5,1,0,0,0.00805860758,0,0,0,15.9304171,0,8.54144764,8.44119835,0,13.4310646,0,0,0,,,,50
40307231,0.5,1,0,0,0.0161172152,0,0,0,15.9258718,0,8.54144764,8.44330978,0,13.4382124,0,0,0,,,,50
40308358,0.5,1,0,0,0.0161172152,0,0,0,15.9304171,0,8.54747581,8.44330978,0,13.4310646,0,0,0,,,,50
40309485,0.5,0.75,0,0,0.0241758227,0.00805860758,0,0,15.9304171,0,8.53240585,8.44542122,0,13.4310646,0,0,0,,,,50
40310612,0.5,1,0,0,0.0161172152,0,0,0,15.9304171,0,8.54144764,8.43908691,0,13.4310646,0,0,0,,,,50
40311739,0.5,1,0,0,0.00805860758,0,0,0,15.9304171,0,8.58364296,8.43908691,0,13.4310646,0,0,0,,,,50
40312871,0.5,1,0,0,0.00805860758,0,0,0,15.9304171,0,8.5565176,8.43908691,0,13.4310646,0,0,0,,,,50
40313998,0.5,1,0,0,0.00805860758,0,0,0,15.9304171,0,8.53843403,8.44119835,0,13.4310646,0,0,0,,,,50
40315125,0.5,1,0,0,0.0161172152,0,0,0,15.9304171,0,8.58062935,8.44119835,0,13.4310646,0,0,0,,,,50
40316252,0.5,1,0,0,0.0161172152,0,0,0,15.9304171,0,8.55350399,8.44330978,0,13.4310646,0,0,0,,,,50
40317379,0.5,1,0,0,0.00805860758,0,0,0,15.9304171,0,8.52035046,8.44753265,0,13.4310646,0,0,0,,,,50
40318506,0.5,1,0,0,0.0161172152,0,0,0,15.9304171,0,8.5444622,8.44330978,0,13.4310646,0,0,0,,,,50
40319633,0.5,1,0,0,0.0161172152,0,0,0,15.9304171,0,8.55953121,8.44119835,0,13.4310646,0,0,0,,,,50
40320969,0.5,1,0,0,0.0161172152,0,0,0,15.9304171,0,8.55953121,8.43908691,0,13.4310646,0,0,0,,,,50
40322096,0.5,1,0,0,0.0161172152,0,0,0,15.9304171,0,8.51733685,8.44753265,0,13.4310646,0,0,0,,,,50
40323223,0.5,1,0,0,0.0161172152,0,0,0,15.9213276,0,8.55048943,8.44119835,0,13.4310646,0,0,0,,,,50
40324350,0.5,1,0,0,0.0241758227,0,0,0,15.9304171,0,8.53843403,8.44753265,0,13.4310646,0,0,0,,,,50
