t_us,share_sp,share_act,v_sp,v_act,I_fc,I_batt,gFC,gBT,V_bus,I_cmd,fault_flags,ps_phase,dc_phase,trap_phase,flags
681196861,0.550000012,1,,,0.0161172152,0,0.788488925,0.183694661,15.907692,0.0309999995,0,,,0,1
681198191,0.550000012,1,,,0.00805860758,0,0.788488925,0.183694661,15.9167824,0.0309999995,0,,,0,1
681199320,0.550000012,1,,,0.0161172152,0,0.788488925,0.183694661,15.9122372,0.0340000018,0,,,0,1
681200446,0.550000012,1,,,0.0241758227,0,0.788488925,0.183694661,15.9122372,0.0340000018,0,,,0,1
681201575,0.550000012,1,,,0.0161172152,0,0.788488925,0.183694661,15.9167824,0.0359999985,0,,,0,1
681202701,0.550000012,1,,,0.00805860758,0,0.788488925,0.183694661,15.9122372,0.0359999985,0,,,0,1
681203830,0.550000012,1,,,0.0161172152,0,0.788488925,0.183694661,15.9167824,0.0380000025,0,,,0,1
681204956,0.550000012,1,,,0.0161172152,0,0.788488925,0.183694661,15.9122372,0.0380000025,0,,,0,1
681206085,0.550000012,1,,,0.0161172152,0,0.788488925,0.183694661,15.907692,0.0410000011,0,,,0,1
681207211,0.550000012,1,,,0.00805860758,0,0.788488925,0.183694661,15.9031467,0.0410000011,0,,,0,1
681208351,0.550000012,1,,,0.0161172152,0,0.788488925,0.183694661,15.9167824,0.0429999977,0,,,0,1
681209477,0.550000012,1,,,0.0241758227,0,0.788488925,0.183694661,15.9167824,0.0429999977,0,,,0,1
681210606,0.550000012,1,,,0.0241758227,0,0.788488925,0.183694661,15.9167824,0.0449999981,0,,,0,1
681211732,0.550000012,1,,,0.0161172152,0,0.788488925,0.183694661,15.9167824,0.0449999981,0,,,0,1
681212861,0.550000012,1,,,0.0161172152,0,0.788488925,0.183694661,15.9167824,0.0470000021,0,,,0,1
681213987,0.550000012,1,,,0.0161172152,0,0.788488925,0.183694661,15.9167824,0.0470000021,0,,,0,1
681215116,0.550000012,1,,,0.00805860758,0,0.788488925,0.183694661,15.9167824,0.0500000045,0,,,0,1
681216242,0.550000012,1,,,0.0161172152,0,0.788488925,0.183694661,15.9213276,0.0500000045,0,,,0,1
681217371,0.550000012,1,,,0.0241758227,0,0.788488925,0.183694661,15.9213276,0.0519999973,0,,,0,1
681218497,0.550000012,1,,,0.0241758227,0,0.788488925,0.183694661,15.9167824,0.0519999973,0,,,0,1
681219835,0.550000012,1,,,0.0322344303,0,0.788488925,0.183694661,15.9167824,0.0539999977,0,,,0,1
681220961,0.550000012,1,,,0.0161172152,0,0.788488925,0.183694661,15.9213276,0.0539999977,0,,,0,1
681222089,0.550000012,1,,,0.0241758227,0,0.788488925,0.183694661,15.9167824,0.0569999963,0,,,0,1
681223215,0.550000012,1,,,0.0161172152,0,0.788488925,0.183694661,15.9213276,0.0569999963,0,,,0,1
681224344,0.550000012,1,,,0.0241758227,0,0.788488925,0.183694661,15.9167824,0.0590000004,0,,,0,1
681225470,0.550000012,1,,,0.0241758227,0,0.788488925,0.183694661,15.9167824,0.0590000004,0,,,0,1
681226599,0.550000012,1,,,0.0241758227,0,0.788488925,0.183694661,15.9167824,0.060999997,0,,,0,1
681227725,0.550000012,1,,,0.0161172152,0,0.788488925,0.183694661,15.9167824,0.060999997,0,,,0,1
681228854,0.550000012,1,,,0.0322344303,0,0.788488925,0.183694661,15.9167824,0.063000001,0,,,0,1
