t_us,share_sp,share_act,v_sp,v_act,I_fc,I_batt,gFC,gBT,V_bus,I_cmd,fault_flags,ps_phase,dc_phase,trap_phase,flags
12936032,0.75,1,,,0.0161172152,0,0,0,15.9213276,0.0370000005,0,,,0,1
12937361,0.75,1,,,0.00805860758,0,0,0,15.9213276,0.0370000005,0,,,0,1
12938489,0.75,1,,,0.00805860758,0,0,0,15.9213276,0.0390000008,0,,,0,1
12939615,0.75,1,,,0.0241758227,0,0,0,15.9213276,0.0390000008,0,,,0,1
12940744,0.75,1,,,0.00805860758,0,0,0,15.9213276,0.0410000011,0,,,0,1
12941869,0.75,1,,,0.0161172152,0,0,0,15.9213276,0.0410000011,0,,,0,1
12942998,0.75,1,,,0.0161172152,0,0,0,15.9258718,0.0429999977,0,,,0,1
12944123,0.75,1,,,0.00805860758,0,0,0,15.9122372,0.0429999977,0,,,0,1
12945252,0.75,1,,,0.00805860758,0,0,0,15.9167824,0.0460000001,0,,,0,1
12946378,0.75,1,,,0.0241758227,0,0,0,15.9122372,0.0460000001,0,,,0,1
12947517,0.75,1,,,0.0161172152,0,0,0,15.9258718,0.0480000004,0,,,0,1
12948642,0.75,1,,,0.0161172152,0,0,0,15.9258718,0.0480000004,0,,,0,1
12949770,0.75,1,,,0.0161172152,0,0,0,15.9258718,0.0500000045,0,,,0,1
12950896,0.75,1,,,0.0241758227,0,0,0,15.9258718,0.0500000045,0,,,0,1
12952024,0.75,1,,,0.0241758227,0,0,0,15.9258718,0.0529999956,0,,,0,1
12953149,0.75,1,,,0.0241758227,0,0,0,15.9258718,0.0529999956,0,,,0,1
12954278,0.75,1,,,0.0241758227,0,0,0,15.9258718,0.0549999997,0,,,0,1
12955403,0.75,1,,,0.0241758227,0,0,0,15.9304171,0.0549999997,0,,,0,1
12956532,0.75,1,,,0.0322344303,0,0,0,15.9258718,0.0569999963,0,,,0,1
12957861,0.75,1,,,0.0241758227,0,0,0,15.9213276,0.0569999963,0,,,0,1
12958994,0.75,1,,,0.0241758227,0,0,0,15.9258718,0.0590000004,0,,,0,1
