t_us,share_sp,share_act,v_sp,v_act,I_fc,I_batt,gFC,gBT,V_bus,I_cmd,V_fc,V_batt,V_chg,V_rgn,u_unsat,drive_x0,encoder_pos,enc_period_ref_us,enc_multi_pitch_count,enc_spurious_drop_count,fault_flags,ps_phase,dc_phase,trap_phase,flags
314520187,0.119999997,1,0,0,0.00805860758,0,0.328298569,0.27277258,15.9213276,0.0350000001,8.52939224,8.45808983,0,13.4525089,0,0,56446,0,0,0,0,,,0,51
314521518,0.119999997,0,0,0,0,0.0241758227,0.328298569,0.27277258,15.9258718,0.0350000001,8.568573,8.42853069,0,13.4525089,0,0,56446,0,0,0,0,,,0,51
314522649,0.119999997,0,0,0,0,0.0161172152,0.328298569,0.27277258,15.9258718,0.0370000005,8.56555939,8.43275356,0,13.4525089,0,0,56446,0,0,0,0,,,0,51
314523775,0.119999997,0,0,0,0,0.0161172152,0.328298569,0.27277258,15.9258718,0.0370000005,8.568573,8.44119835,0,13.4525089,0,0,56446,0,0,0,0,,,0,51
314524905,0.119999997,0,0,0,0,0.0161172152,0.328298569,0.27277258,15.9304171,0.0390000008,8.568573,8.43908691,0,13.4525089,0,0,56446,0,0,0,0,,,0,51
314526032,0.119999997,0,0,0,0,0.0161172152,0.328298569,0.27277258,15.9213276,0.0390000008,8.56254578,8.44119835,0,13.4525089,0,0,56446,0,0,0,0,,,0,51
314527173,0.119999997,0,0,0,0,0.0161172152,0.328298569,0.27277258,15.9304171,0.0420000032,8.568573,8.44753265,0,13.4596567,0,0,56446,0,0,0,0,,,0,51
314528300,0.119999997,0,0,0,0,0.0241758227,0.328298569,0.27277258,15.9304171,0.0420000032,8.568573,8.43275356,0,13.4596567,0,0,56446,0,0,0,0,,,0,51
314529430,0.119999997,0,0,0,0,0.0241758227,0.328298569,0.27277258,15.9258718,0.0439999998,8.568573,8.43275356,0,13.4596567,0,0,56446,0,0,0,0,,,0,51
314530557,0.119999997,0,0,0,0,0.0161172152,0.328298569,0.27277258,15.9304171,0.0439999998,8.568573,8.44119835,0,13.4596567,0,0,56446,0,0,0,0,,,0,51
314531687,0.119999997,0,0,0,0,0.0161172152,0.328298569,0.27277258,15.9258718,0.0460000001,8.568573,8.45175552,0,13.4525089,0,0,56446,0,0,0,0,,,0,51
314532819,0.119999997,0,0,0,0,0.0241758227,0.328298569,0.27277258,15.9304171,0.0460000001,8.56555939,8.43275356,0,13.4596567,0,0,56446,0,0,0,0,,,0,51
314533949,0.119999997,0,0,0,0,0.0322344303,0.328298569,0.27277258,15.9258718,0.0480000004,8.568573,8.43064213,0,13.4596567,0,0,56446,0,0,0,0,,,0,51
314535076,0.119999997,0,0,0,0,0.0161172152,0.328298569,0.27277258,15.9304171,0.0480000004,8.56555939,8.43275356,0,13.4310646,0,0,56446,0,0,0,0,,,0,51
314536206,0.119999997,0,0,0,0,0.0241758227,0.328298569,0.27277258,15.9258718,0.0510000028,8.568573,8.44542122,0,13.4596567,0,0,56446,0,0,0,0,,,0,51
314537333,0.119999997,0,0,0,0,0.0241758227,0.328298569,0.27277258,15.9304171,0.0510000028,8.56555939,8.44119835,0,13.4596567,0,0,56446,0,0,0,0,,,0,51
314538463,0.119999997,0,0,0,0,0.0322344303,0.328298569,0.27277258,15.9304171,0.0529999956,8.568573,8.42641926,0,13.4596567,0,0,56446,0,0,0,0,,,0,51
314539595,0.119999997,0,0,0,0,0.0241758227,0.328298569,0.27277258,15.9304171,0.0529999956,8.568573,8.42430782,0,13.4525089,0,0,56446,0,0,0,0,,,0,51
314540725,0.119999997,0,0,0,0,0.0322344303,0.328298569,0.27277258,15.9258718,0.0549999997,8.57158756,8.43064213,0,13.4596567,0,0,56446,0,0,0,0,,,0,51
314542056,0.119999997,0,0,0,0,0.0322344303,0.328298569,0.27277258,15.9304171,0.0549999997,8.568573,8.44119835,0,13.4382124,0,0,56446,0,0,0,0,,,0,51
