t_us,share_sp,share_act,v_sp,v_act,I_fc,I_batt,gFC,gBT,V_bus,I_cmd,fault_flags,ps_phase,dc_phase,trap_phase,flags
111747276,0.5,1,,,0.0161172152,0,0.320808738,0.278168499,15.9122372,0.0289999992,0,,,0,1
111748366,0.5,1,,,0.0161172152,0,0.344297558,0.262632579,15.9213276,0.0289999992,0,,,0,1
111749539,0.5,1,,,0.0241758227,0,0.3852925,0.242916867,15.9167824,0.0309999995,0,,,0,1
111750710,0.5,1,,,0.0161172152,0,0.44470951,0.224044144,15.9167824,0.0309999995,0,,,0,1
111751883,0.5,1,,,0.0161172152,0,0.530504286,0.207165182,15.9167824,0.0329999998,0,,,0,1
111753053,0.5,0.5,,,0.0161172152,0.0161172152,0.631178498,0.195018172,15.9167824,0.0329999998,0,,,0,1
111754227,0.5,1,,,0.00805860758,0,0.739490211,0.186574742,15.9122372,0.0350000001,0,,,0,1
111755397,0.5,1,,,0.0241758227,0,0.930128336,0.177401066,15.9167824,0.0350000001,0,,,0,1
111756570,0.5,1,,,0.0241758227,0,0.993236244,0.17527698,15.9122372,0.0370000005,0,,,0,1
111757744,0.5,1,,,0.0161172152,0,0.993236244,0.17527698,15.9122372,0.0390000008,0,,,0,1
111758924,0.5,1,,,0.0161172152,0,0.993236244,0.17527698,15.9213276,0.0390000008,0,,,0,1
111760098,0.5,1,,,0.0161172152,0,0.993236244,0.17527698,15.9167824,0.0410000011,0,,,0,1
111761268,0.5,1,,,0.00805860758,0,0.993236244,0.17527698,15.9213276,0.0410000011,0,,,0,1
111762441,0.5,1,,,0.0161172152,0,0.993236244,0.17527698,15.9213276,0.0429999977,0,,,0,1
111763612,0.5,1,,,0.0241758227,0,0.993236244,0.17527698,15.9258718,0.0429999977,0,,,0,1
111764785,0.5,1,,,0.0161172152,0,0.993236244,0.17527698,15.9167824,0.0449999981,0,,,0,1
111765958,0.5,1,,,0.0161172152,0,0.993236244,0.17527698,15.9258718,0.0470000021,0,,,0,1
111767129,0.5,1,,,0.0161172152,0,0.993236244,0.17527698,15.9258718,0.0470000021,0,,,0,1
111768302,0.5,1,,,0.00805860758,0,0.993236244,0.17527698,15.9213276,0.0490000024,0,,,0,1
111769393,0.5,1,,,0.0161172152,0,0.993236244,0.17527698,15.9167824,0.0490000024,0,,,0,1
111770570,0.5,1,,,0.0161172152,0,0.993236244,0.17527698,15.9167824,0.0519999973,0,,,0,1
111771741,0.5,0.666666687,,,0.0161172152,0.00805860758,0.993236244,0.17527698,15.9213276,0.0519999973,0,,,0,1
111772914,0.5,1,,,0.0161172152,0,0.993236244,0.17527698,15.9258718,0.0539999977,0,,,0,1
111774084,0.5,1,,,0.0161172152,0,0.993236244,0.17527698,15.9167824,0.0539999977,0,,,0,1
111775258,0.5,1,,,0.0161172152,0,0.993236244,0.17527698,15.9258718,0.055999998,0,,,0,1
111776431,0.5,1,,,0.0241758227,0,0.993236244,0.17527698,15.9213276,0.0579999983,0,,,0,1
111777601,0.5,1,,,0.0161172152,0,0.993236244,0.17527698,15.9258718,0.0579999983,0,,,0,1
111778775,0.5,1,,,0.0161172152,0,0.993236244,0.17527698,15.9258718,0.0599999987,0,,,0,1
111779945,0.5,1,,,0.00805860758,0,0.993236244,0.17527698,15.9258718,0.0599999987,0,,,0,1
111781123,0.5,1,,,0.00805860758,0,0.993236244,0.17527698,15.9213276,0.061999999,0,,,0,1
111782293,0.5,1,,,0.0241758227,0,0.993236244,0.17527698,15.9213276,0.061999999,0,,,0,1
111783467,0.5,1,,,0.0161172152,0,0.993236244,0.17527698,15.9213276,0.0639999956,0,,,0,1
111784640,0.5,1,,,0.0161172152,0,0.993236244,0.17527698,15.9258718,0.0659999996,0,,,0,1
111785810,0.5,1,,,0.0161172152,0,0.993236244,0.17527698,15.9213276,0.0659999996,0,,,0,1
111786984,0.5,1,,,0.0241758227,0,0.993236244,0.17527698,15.9167824,0.0680000037,0,,,0,1
111788154,0.5,1,,,0.0161172152,0,0.993236244,0.17527698,15.9258718,0.0680000037,0,,,0,1
111789532,0.5,1,,,0.0161172152,0,0.993236244,0.17527698,15.9258718,0.0700000003,0,,,0,1
111790702,0.5,1,,,0.0241758227,0,0.993236244,0.17527698,15.9213276,0.0700000003,0,,,0,1
111791875,0.5,1,,,0.0322344303,0,0.993236244,0.17527698,15.9258718,0.0719999969,0,,,0,1
111793053,0.5,1,,,0.0241758227,0,0.993236244,0.17527698,15.9258718,0.075000003,0,,,0,1
111794224,0.5,1,,,0.00805860758,0,0.993236244,0.17527698,15.9213276,0.075000003,0,,,0,1
111795397,0.5,0.666666687,,,0.0161172152,0.00805860758,0.993236244,0.17527698,15.9258718,0.0769999996,0,,,0,1
111796567,0.5,1,,,0.0161172152,0,0.993236244,0.17527698,15.9213276,0.0769999996,0,,,0,1
111797741,0.5,1,,,0.0241758227,0,0.993236244,0.17527698,15.9258718,0.0790000036,0,,,0,1
111798911,0.5,1,,,0.00805860758,0,0.993236244,0.17527698,15.9213276,0.0790000036,0,,,0,1
111800084,0.5,1,,,0.0161172152,0,0.993236244,0.17527698,15.9258718,0.0810000002,0,,,0,1
111801257,0.5,1,,,0.0161172152,0,0.993236244,0.17527698,15.9258718,0.0830000043,0,,,0,1
111802428,0.5,1,,,0.0161172152,0,0.993236244,0.17527698,15.9213276,0.0830000043,0,,,0,1
111803601,0.5,1,,,0.0161172152,0,0.993236244,0.17527698,15.9167824,0.0850000009,0,,,0,1
111804776,0.5,1,,,0.0161172152,0,0.993236244,0.17527698,15.9258718,0.0850000009,0,,,0,1
111805950,0.5,1,,,0.0161172152,0,0.993236244,0.17527698,15.9258718,0.0869999975,0,,,0,1
111807120,0.5,1,,,0.0241758227,0,0.993236244,0.17527698,15.9258718,0.0869999975,0,,,0,1
111808293,0.5,1,,,0.00805860758,0,0.993236244,0.17527698,15.9213276,0.0890000015,0,,,0,1
111809467,0.5,1,,,0.0161172152,0,0.993236244,0.17527698,15.9258718,0.0909999982,0,,,0,1
111810557,0.5,1,,,0.0161172152,0,0.993236244,0.17527698,15.9167824,0.0909999982,0,,,0,1
111811730,0.5,1,,,0.00805860758,0,0.993236244,0.17527698,15.9258718,0.0929999948,0,,,0,1
111812901,0.5,1,,,0.0161172152,0,0.993236244,0.17527698,15.9258718,0.0929999948,0,,,0,1
111814074,0.5,1,,,0.0161172152,0,0.993236244,0.17527698,15.9213276,0.0949999988,0,,,0,1
111815244,0.5,1,,,0.0161172152,0,0.993236244,0.17527698,15.9258718,0.0949999988,0,,,0,1
111816422,0.5,1,,,0.0241758227,0,0.993236244,0.17527698,15.9213276,0.0970000029,0,,,0,1
111817593,0.5,1,,,0.0161172152,0,0.993236244,0.17527698,15.9258718,0.0970000029,0,,,0,1
111818766,0.5,1,,,0.0161172152,0,0.993236244,0.17527698,15.9258718,0.0989999995,0,,,0,1
111819939,0.5,1,,,0.0161172152,0,0.993236244,0.17527698,15.9258718,0.100999996,0,,,0,1
111821110,0.5,1,,,0.0161172152,0,0.993236244,0.17527698,15.9213276,0.100999996,0,,,0,1
111822283,0.5,1,,,0.0241758227,0,0.993236244,0.17527698,15.9304171,0.103,0,,,0,1
111823453,0.5,1,,,0.0241758227,0,0.993236244,0.17527698,15.9213276,0.103,0,,,0,1
111824627,0.5,1,,,0.0161172152,0,0.993236244,0.17527698,15.9213276,0.105999991,0,,,0,1
111825797,0.5,1,,,0.0161172152,0,0.993236244,0.17527698,15.9213276,0.105999991,0,,,0,1
111826971,0.5,1,,,0.0241758227,0,0.993236244,0.17527698,15.9213276,0.107999995,0,,,0,1
111828149,0.5,1,,,0.0161172152,0,0.993236244,0.17527698,15.9258718,0.109999999,0,,,0,1
111829319,0.5,1,,,0.0241758227,0,0.993236244,0.17527698,15.9213276,0.109999999,0,,,0,1
