t_us,share_sp,share_act,v_sp,v_act,I_fc,I_batt,gFC,gBT,V_bus,I_cmd,V_fc,V_batt,V_chg,V_rgn,u_unsat,drive_x0,fault_flags,ps_phase,dc_phase,trap_phase,flags
35373973,0.5,1,0,0,0.0241758227,0,0,0,15.9304171,0,8.5565176,8.43275356,0,13.2809572,0,0,0,,,,50
35375303,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.55048943,8.43486404,0,13.288105,0,0,0,,,,50
35376429,0.5,1,0,0,0.0161172152,0,0,0,15.9304171,0,8.55953121,8.43486404,0,13.288105,0,0,0,,,,50
35377554,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.54747581,8.43275356,0,13.288105,0,0,0,,,,50
35378680,0.5,1,0,0,0.0241758227,0,0,0,15.9349623,0,8.52336502,8.43064213,0,13.288105,0,0,0,,,,50
35379806,0.5,1,0,0,0.0241758227,0,0,0,15.9304171,0,8.54144764,8.43275356,0,13.288105,0,0,0,,,,50
35380931,0.5,1,0,0,0.0241758227,0,0,0,15.9258718,0,8.568573,8.43275356,0,13.2809572,0,0,0,,,,50
35382068,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.55048943,8.42853069,0,13.2666607,0,0,0,,,,50
35383193,0.5,1,0,0,0.0241758227,0,0,0,15.9395075,0,8.53843403,8.42853069,0,13.288105,0,0,0,,,,50
35384319,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.56254578,8.43064213,0,13.288105,0,0,0,,,,50
35385444,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.568573,8.42853069,0,13.288105,0,0,0,,,,50
35386570,0.5,1,0,0,0.0241758227,0,0,0,15.9395075,0,8.59268475,8.43064213,0,13.288105,0,0,0,,,,50
35387696,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.568573,8.43064213,0,13.288105,0,0,0,,,,50
35388821,0.5,1,0,0,0.0241758227,0,0,0,15.9395075,0,8.54144764,8.42853069,0,13.288105,0,0,0,,,,50
35389952,0.5,1,0,0,0.0241758227,0,0,0,15.9349623,0,8.58967113,8.42853069,0,13.288105,0,0,0,,,,50
35391077,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.54747581,8.42853069,0,13.2666607,0,0,0,,,,50
35392203,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.55048943,8.42853069,0,13.288105,0,0,0,,,,50
35393328,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.52336502,8.42853069,0,13.2952528,0,0,0,,,,50
35394454,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.56254578,8.42853069,0,13.288105,0,0,0,,,,50
35395784,0.5,1,0,0,0.0241758227,0,0,0,15.9349623,0,8.57158756,8.42853069,0,13.288105,0,0,0,,,,50
35396914,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.55953121,8.42853069,0,13.288105,0,0,0,,,,50
35398040,0.5,1,0,0,0.0241758227,0,0,0,15.9395075,0,8.55048943,8.43064213,0,13.2809572,0,0,0,,,,50
35399165,0.5,1,0,0,0.0241758227,0,0,0,15.9395075,0,8.59268475,8.43064213,0,13.288105,0,0,0,,,,50
35400291,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.5444622,8.42219639,0,13.288105,0,0,0,,,,50
35401417,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.568573,8.43064213,0,13.288105,0,0,0,,,,50
35402542,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.5565176,8.42853069,0,13.288105,0,0,0,,,,50
35403668,0.5,1,0,0,0.0241758227,0,0,0,15.9395075,0,8.55350399,8.43064213,0,13.288105,0,0,0,,,,50
35404798,0.5,1,0,0,0.0241758227,0,0,0,15.9349623,0,8.56254578,8.42853069,0,13.288105,0,0,0,,,,50
35405924,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.51733685,8.43064213,0,13.288105,0,0,0,,,,50
35407050,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.57460117,8.43064213,0,13.2738094,0,0,0,,,,50
35408175,0.5,1,0,0,0.0241758227,0,0,0,15.9395075,0,8.56555939,8.43064213,0,13.288105,0,0,0,,,,50
35409301,0.5,1,0,0,0.0241758227,0,0,0,15.9395075,0,8.58364296,8.43064213,0,13.288105,0,0,0,,,,50
35410426,0.5,1,0,0,0.0241758227,0,0,0,15.9395075,0,8.53240585,8.42853069,0,13.288105,0,0,0,,,,50
35411552,0.5,1,0,0,0.0241758227,0,0,0,15.9395075,0,8.56555939,8.42853069,0,13.288105,0,0,0,,,,50
35412682,0.5,1,0,0,0.0241758227,0,0,0,15.9395075,0,8.55048943,8.43064213,0,13.288105,0,0,0,,,,50
35413808,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.53843403,8.42853069,0,13.288105,0,0,0,,,,50
35414934,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.57460117,8.42853069,0,13.288105,0,0,0,,,,50
35416059,0.5,1,0,0,0.0322344303,0,0,0,15.9395075,0,8.57460117,8.42853069,0,13.2738094,0,0,0,,,,50
35417389,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.56254578,8.42853069,0,13.288105,0,0,0,,,,50
35418515,0.5,1,0,0,0.0322344303,0,0,0,15.9349623,0,8.52336502,8.42853069,0,13.288105,0,0,0,,,,50
35419645,0.5,1,0,0,0.0241758227,0,0,0,15.9395075,0,8.56254578,8.42853069,0,13.288105,0,0,0,,,,50
35420770,0.5,1,0,0,0.0241758227,0,0,0,15.9395075,0,8.52336502,8.43064213,0,13.2952528,0,0,0,,,,50
35421896,0.5,1,0,0,0.0241758227,0,0,0,15.9395075,0,8.56254578,8.43064213,0,13.2952528,0,0,0,,,,50
35423021,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.53240585,8.43064213,0,13.288105,0,0,0,,,,50
35424147,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.52939224,8.42853069,0,13.288105,0,0,0,,,,50
35425273,0.5,1,0,0,0.0241758227,0,0,0,15.9395075,0,8.55350399,8.43064213,0,13.288105,0,0,0,,,,50
35426398,0.5,1,0,0,0.0241758227,0,0,0,15.9395075,0,8.5565176,8.42430782,0,13.288105,0,0,0,,,,50
35427529,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.55350399,8.43064213,0,13.288105,0,0,0,,,,50
35428654,0.5,1,0,0,0.0241758227,0,0,0,15.9395075,0,8.56254578,8.42853069,0,13.288105,0,0,0,,,,50
35429780,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.55953121,8.42853069,0,13.288105,0,0,0,,,,50
35430905,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.55350399,8.42853069,0,13.288105,0,0,0,,,,50
35432031,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.54144764,8.43064213,0,13.2809572,0,0,0,,,,50
35433157,0.5,1,0,0,0.0241758227,0,0,0,15.9395075,0,8.54144764,8.43064213,0,13.288105,0,0,0,,,,50
35434282,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.54747581,8.42641926,0,13.288105,0,0,0,,,,50
35435413,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.57761478,8.43064213,0,13.288105,0,0,0,,,,50
35436538,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.5565176,8.42853069,0,13.288105,0,0,0,,,,50
35437868,0.5,1,0,0,0.0241758227,0,0,0,15.9395075,0,8.53542042,8.42641926,0,13.288105,0,0,0,,,,50
