t_us,share_sp,share_act,v_sp,v_act,I_fc,I_batt,gFC,gBT,V_bus,I_cmd,fault_flags,ps_phase,dc_phase,trap_phase,flags
98594597,0.790000021,1,,,0.0161172152,0,0.387056887,0.24222073,15.9122372,0.0319999978,0,,,0,1
98595926,0.790000021,1,,,0.0161172152,0,0.387056887,0.24222073,15.9167824,0.0319999978,0,,,0,1
98597055,0.790000021,1,,,0.0161172152,0,0.387056887,0.24222073,15.9213276,0.0350000001,0,,,0,1
98598180,0.790000021,1,,,0.0161172152,0,0.387056887,0.24222073,15.9213276,0.0350000001,0,,,0,1
98599308,0.790000021,1,,,0.0161172152,0,0.387056887,0.24222073,15.9213276,0.0370000005,0,,,0,1
98600434,0.790000021,1,,,0.0161172152,0,0.387056887,0.24222073,15.9213276,0.0370000005,0,,,0,1
98601562,0.790000021,1,,,0.0161172152,0,0.387056887,0.24222073,15.9167824,0.0390000008,0,,,0,1
98602687,0.790000021,1,,,0.0161172152,0,0.387056887,0.24222073,15.9258718,0.0390000008,0,,,0,1
98603816,0.790000021,1,,,0.0241758227,0,0.387056887,0.24222073,15.9122372,0.0410000011,0,,,0,1
98604941,0.790000021,1,,,0.00805860758,0,0.387056887,0.24222073,15.9167824,0.0410000011,0,,,0,1
98606080,0.790000021,1,,,0.0161172152,0,0.387056887,0.24222073,15.9258718,0.0439999998,0,,,0,1
98607206,0.790000021,1,,,0.0161172152,0,0.387056887,0.24222073,15.9304171,0.0439999998,0,,,0,1
98608335,0.790000021,1,,,0.00805860758,0,0.387056887,0.24222073,15.9258718,0.0460000001,0,,,0,1
98609460,0.790000021,1,,,0.00805860758,0,0.387056887,0.24222073,15.9258718,0.0460000001,0,,,0,1
98610589,0.790000021,1,,,0.0161172152,0,0.387056887,0.24222073,15.9258718,0.0480000004,0,,,0,1
98611714,0.790000021,1,,,0.00805860758,0,0.387056887,0.24222073,15.9258718,0.0480000004,0,,,0,1
98612843,0.790000021,1,,,0.0161172152,0,0.387056887,0.24222073,15.9304171,0.0500000045,0,,,0,1
98613968,0.790000021,1,,,0.0241758227,0,0.387056887,0.24222073,15.9258718,0.0500000045,0,,,0,1
98615097,0.790000021,1,,,0.0161172152,0,0.387056887,0.24222073,15.9213276,0.0529999956,0,,,0,1
98616426,0.790000021,1,,,0.0161172152,0,0.387056887,0.24222073,15.9258718,0.0529999956,0,,,0,1
98617559,0.790000021,1,,,0.0161172152,0,0.387056887,0.24222073,15.9258718,0.0549999997,0,,,0,1
98618685,0.790000021,1,,,0.0241758227,0,0.387056887,0.24222073,15.9258718,0.0549999997,0,,,0,1
98619813,0.790000021,1,,,0.0241758227,0,0.387056887,0.24222073,15.9258718,0.0569999963,0,,,0,1
98620938,0.790000021,1,,,0.0241758227,0,0.387056887,0.24222073,15.9213276,0.0569999963,0,,,0,1
98622067,0.790000021,1,,,0.0161172152,0,0.387056887,0.24222073,15.9258718,0.0599999987,0,,,0,1
98623192,0.790000021,1,,,0.0322344303,0,0.387056887,0.24222073,15.9213276,0.0599999987,0,,,0,1
98624320,0.790000021,1,,,0.0241758227,0,0.387056887,0.24222073,15.9258718,0.061999999,0,,,0,1
98625446,0.790000021,1,,,0.0161172152,0,0.387056887,0.24222073,15.9258718,0.061999999,0,,,0,1
98626574,0.790000021,1,,,0.0161172152,0,0.387056887,0.24222073,15.9258718,0.0639999956,0,,,0,1
98627704,0.790000021,1,,,0.0241758227,0,0.387056887,0.24222073,15.9258718,0.0639999956,0,,,0,1
98628833,0.790000021,1,,,0.0241758227,0,0.387056887,0.24222073,15.9258718,0.0659999996,0,,,0,1
98629959,0.790000021,1,,,0.0241758227,0,0.387056887,0.24222073,15.9258718,0.0659999996,0,,,0,1
98631087,0.790000021,1,,,0.0241758227,0,0.387056887,0.24222073,15.9258718,0.0689999983,0,,,0,1
98632212,0.790000021,1,,,0.0241758227,0,0.387056887,0.24222073,15.9213276,0.0689999983,0,,,0,1
98633341,0.790000021,1,,,0.0241758227,0,0.387056887,0.24222073,15.9258718,0.0710000023,0,,,0,1
98634466,0.790000021,1,,,0.0322344303,0,0.387056887,0.24222073,15.9258718,0.0710000023,0,,,0,1
98635594,0.790000021,1,,,0.0241758227,0,0.387056887,0.24222073,15.9258718,0.0729999989,0,,,0,1
98636924,0.790000021,1,,,0.0241758227,0,0.387056887,0.24222073,15.9258718,0.0729999989,0,,,0,1
98638053,0.790000021,1,,,0.0241758227,0,0.387056887,0.24222073,15.9258718,0.076000005,0,,,0,1
98639183,0.790000021,1,,,0.0322344303,0,0.387056887,0.24222073,15.9213276,0.076000005,0,,,0,1
98640311,0.790000021,1,,,0.0322344303,0,0.387056887,0.24222073,15.9258718,0.0780000016,0,,,0,1
98641436,0.790000021,1,,,0.0322344303,0,0.387056887,0.24222073,15.9213276,0.0780000016,0,,,0,1
98642565,0.790000021,1,,,0.0241758227,0,0.387056887,0.24222073,15.9258718,0.0799999982,0,,,0,1
98643690,0.790000021,1,,,0.0241758227,0,0.387056887,0.24222073,15.9213276,0.0799999982,0,,,0,1
98644818,0.790000021,1,,,0.0322344303,0,0.387056887,0.24222073,15.9258718,0.0820000023,0,,,0,1
98645944,0.790000021,1,,,0.0241758227,0,0.387056887,0.24222073,15.9213276,0.0820000023,0,,,0,1
98647072,0.790000021,1,,,0.0241758227,0,0.387056887,0.24222073,15.9258718,0.0850000009,0,,,0,1
98648198,0.790000021,1,,,0.0241758227,0,0.387056887,0.24222073,15.9258718,0.0850000009,0,,,0,1
98649326,0.790000021,1,,,0.0241758227,0,0.387056887,0.24222073,15.9304171,0.0869999975,0,,,0,1
98650456,0.790000021,1,,,0.0161172152,0,0.387056887,0.24222073,15.9213276,0.0869999975,0,,,0,1
98651585,0.790000021,1,,,0.0322344303,0,0.387056887,0.24222073,15.9258718,0.0890000015,0,,,0,1
98652710,0.790000021,1,,,0.0241758227,0,0.387056887,0.24222073,15.9258718,0.0890000015,0,,,0,1
98653838,0.790000021,1,,,0.0241758227,0,0.387056887,0.24222073,15.9258718,0.0909999982,0,,,0,1
98654964,0.790000021,1,,,0.0241758227,0,0.387056887,0.24222073,15.9258718,0.0909999982,0,,,0,1
98656092,0.790000021,1,,,0.0322344303,0,0.387056887,0.24222073,15.9258718,0.0940000042,0,,,0,1
98657218,0.790000021,1,,,0.0241758227,0,0.387056887,0.24222073,15.9167824,0.0940000042,0,,,0,1
98658550,0.790000021,1,,,0.0241758227,0,0.387056887,0.24222073,15.9258718,0.0960000008,0,,,0,1
98659676,0.790000021,1,,,0.0161172152,0,0.387056887,0.24222073,15.9304171,0.0960000008,0,,,0,1
98660804,0.790000021,1,,,0.0161172152,0,0.387056887,0.24222073,15.9213276,0.0980000049,0,,,0,1
98661934,0.790000021,1,,,0.0241758227,0,0.387056887,0.24222073,15.9258718,0.0980000049,0,,,0,1
98663063,0.790000021,1,,,0.0241758227,0,0.387056887,0.24222073,15.9258718,0.100999996,0,,,0,1
98664188,0.790000021,1,,,0.0241758227,0,0.387056887,0.24222073,15.9258718,0.100999996,0,,,0,1
