t_us,share_sp,share_act,v_sp,v_act,I_fc,I_batt,gFC,gBT,V_bus,I_cmd,V_fc,V_batt,V_chg,V_rgn,u_unsat,drive_x0,fault_flags,ps_phase,dc_phase,trap_phase,flags
413446974,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9258718,0,8.59569836,8.44119835,0,13.3095493,0,0,0,,,,50
413448304,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9349623,0,8.57158756,8.44753265,0,13.3095493,0,0,0,,,,50
413449429,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9304171,0,8.56254578,8.44542122,0,13.3166971,0,0,0,,,,50
413450555,0.5,1,0,0,0.0241758227,0,0.297970891,0.297970891,15.9349623,0,8.54747581,8.44542122,0,13.3166971,0,0,0,,,,50
413451680,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9304171,0,8.50829506,8.43697548,0,13.3095493,0,0,0,,,,50
413452806,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9258718,0,8.55953121,8.44119835,0,13.3095493,0,0,0,,,,50
413453931,0.5,1,0,0,0.0241758227,0,0.297970891,0.297970891,15.9258718,0,8.59871292,8.44330978,0,13.3095493,0,0,0,,,,50
413455067,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9349623,0,8.58665657,8.43908691,0,13.3024006,0,0,0,,,,50
413456193,0.5,1,0,0,0.0241758227,0,0.297970891,0.297970891,15.9349623,0,8.57460117,8.43908691,0,13.3166971,0,0,0,,,,50
413457318,0.5,1,0,0,0.0241758227,0,0.297970891,0.297970891,15.9349623,0,8.57158756,8.44119835,0,13.3166971,0,0,0,,,,50
413458444,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9395075,0,8.58062935,8.44119835,0,13.3095493,0,0,0,,,,50
413459569,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9349623,0,8.57460117,8.44330978,0,13.3166971,0,0,0,,,,50
413460695,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9349623,0,8.58364296,8.44119835,0,13.3166971,0,0,0,,,,50
413461820,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9349623,0,8.56254578,8.44119835,0,13.3166971,0,0,0,,,,50
413462950,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9349623,0,8.49623966,8.44330978,0,13.3095493,0,0,0,,,,50
413464076,0.5,1,0,0,0.00805860758,0,0.297970891,0.297970891,15.9304171,0,8.56254578,8.44119835,0,13.2952528,0,0,0,,,,50
413465201,0.5,1,0,0,0.0241758227,0,0.297970891,0.297970891,15.9349623,0,8.60172653,8.44119835,0,13.3238449,0,0,0,,,,50
413466327,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9395075,0,8.53843403,8.43908691,0,13.3166971,0,0,0,,,,50
413467452,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9349623,0,8.56254578,8.44119835,0,13.3166971,0,0,0,,,,50
413468782,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9395075,0,8.55953121,8.44119835,0,13.3166971,0,0,0,,,,50
413469912,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9349623,0,8.56254578,8.44119835,0,13.3166971,0,0,0,,,,50
413471037,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9395075,0,8.57158756,8.44119835,0,13.3095493,0,0,0,,,,50
413472163,0.5,1,0,0,0.0322344303,0,0.297970891,0.297970891,15.9349623,0,8.51432323,8.44119835,0,13.3166971,0,0,0,,,,50
413473288,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9349623,0,8.54144764,8.44119835,0,13.3166971,0,0,0,,,,50
413474414,0.5,1,0,0,0.0241758227,0,0.297970891,0.297970891,15.9349623,0,8.59569836,8.44330978,0,13.3166971,0,0,0,,,,50
413475539,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9349623,0,8.52035046,8.43697548,0,13.3166971,0,0,0,,,,50
