t_us,share_sp,share_act,v_sp,v_act,I_fc,I_batt,gFC,gBT,V_bus,I_cmd,V_fc,V_batt,V_chg,V_rgn,u_unsat,drive_x0,fault_flags,ps_phase,dc_phase,trap_phase,flags
93415791,0.5,1,0,0,0.0241758227,0,0,0,15.9213276,0,8.55048943,8.43697548,0,13.3238449,0,0,0,,,,50
93417121,0.5,1,0,0,0.0161172152,0,0,0,15.9304171,0,8.54747581,8.43908691,0,13.3238449,0,0,0,,,,50
93418247,0.5,1,0,0,0.0241758227,0,0,0,15.9304171,0,8.55048943,8.43908691,0,13.3238449,0,0,0,,,,50
93419373,0.5,1,0,0,0.0241758227,0,0,0,15.9304171,0,8.53843403,8.43697548,0,13.3238449,0,0,0,,,,50
93420499,0.5,1,0,0,0.0241758227,0,0,0,15.9349623,0,8.56254578,8.43486404,0,13.3238449,0,0,0,,,,50
93421625,0.5,1,0,0,0.0241758227,0,0,0,15.9304171,0,8.55048943,8.43486404,0,13.3238449,0,0,0,,,,50
93422751,0.5,1,0,0,0.0241758227,0,0,0,15.9349623,0,8.53240585,8.43486404,0.00714798551,13.3238449,0,0,0,,,,50
93423887,0.5,1,0,0,0.0241758227,0,0,0,15.9349623,0,8.56254578,8.43275356,0,13.3238449,0,0,0,,,,50
93425013,0.5,1,0,0,0.0241758227,0,0,0,15.9349623,0,8.53542042,8.43064213,0,13.3238449,0,0,0,,,,50
93426139,0.5,1,0,0,0.00805860758,0,0,0,15.9395075,0,8.55048943,8.43275356,0,13.3238449,0,0,0,,,,50
93427265,0.5,1,0,0,0.0241758227,0,0,0,15.9349623,0,8.58967113,8.43486404,0,13.3238449,0,0,0,,,,50
93428391,0.5,1,0,0,0.0241758227,0,0,0,15.9349623,0,8.52035046,8.43486404,0,13.3309927,0,0,0,,,,50
93429517,0.5,1,0,0,0.0241758227,0,0,0,15.9349623,0,8.55048943,8.43275356,0,13.3238449,0,0,0,,,,50
93430643,0.5,1,0,0,0.0241758227,0,0,0,15.9349623,0,8.57158756,8.43275356,0,13.3238449,0,0,0,,,,50
93431773,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.55953121,8.43275356,0,13.3309927,0,0,0,,,,50
93432899,0.5,1,0,0,0.0322344303,0,0,0,15.9395075,0,8.55048943,8.42853069,0,13.3238449,0,0,0,,,,50
93434025,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.55953121,8.43275356,0,13.3238449,0,0,0,,,,50
93435151,0.5,1,0,0,0.0241758227,0,0,0,15.9349623,0,8.57158756,8.43275356,0,13.3238449,0,0,0,,,,50
93436277,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.5565176,8.43486404,0,13.3309927,0,0,0,,,,50
93437607,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.5565176,8.43275356,0,13.3238449,0,0,0,,,,50
93438738,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.5444622,8.43275356,0,13.3238449,0,0,0,,,,50
93439864,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.568573,8.43275356,0,13.3238449,0,0,0,,,,50
93440990,0.5,1,0,0,0.0241758227,0,0,0,15.9349623,0,8.51733685,8.43275356,0,13.3238449,0,0,0,,,,50
93442116,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.5444622,8.43275356,0,13.3309927,0,0,0,,,,50
93443242,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.54144764,8.43275356,0,13.3309927,0,0,0,,,,50
93444368,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.50829506,8.42853069,0,13.3309927,0,0,0,,,,50
93445494,0.5,1,0,0,0.0241758227,0,0,0,15.9349623,0,8.54144764,8.43275356,0,13.3309927,0,0,0,,,,50
93446624,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.54144764,8.43275356,0,13.3238449,0,0,0,,,,50
93447750,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.52637863,8.43275356,0,13.3309927,0,0,0,,,,50
93448876,0.5,1,0,0,0.0241758227,0,0,0,15.9349623,0,8.568573,8.43275356,0,13.3309927,0,0,0,,,,50
93450002,0.5,1,0,0,0.0241758227,0,0,0,15.9304171,0,8.5444622,8.43064213,0,13.3238449,0,0,0,,,,50
