t_us,share_sp,share_act,v_sp,v_act,I_fc,I_batt,gFC,gBT,V_bus,I_cmd,V_fc,V_batt,V_chg,V_rgn,fault_flags,ps_phase,dc_phase,trap_phase,flags
979927549,0,1,,,0.0161172152,0,0.320315629,0.278540313,15.9258718,0.0340000018,8.4058218,8.3525219,0,13.3166971,0,,,0,1
979928880,0,0,,,0,0.0402930379,0.320315629,0.278540313,15.9258718,0.0340000018,8.4178772,8.25117683,0,13.3238449,0,,,0,1
979930009,0,0,,,0,0.0161172152,0.320315629,0.278540313,15.9349623,0.0370000005,8.4178772,8.28918076,0,13.3238449,0,,,0,1
979931135,0,0,,,0,0.0161172152,0.320315629,0.278540313,15.9258718,0.0370000005,8.4178772,8.28495789,0,13.3238449,0,,,0,1
979932263,0,0,,,0,0.0161172152,0.320315629,0.278540313,15.9304171,0.0390000008,8.41486359,8.31451702,0,13.3238449,0,,,0,1
979933389,0,0,,,0,0.0241758227,0.320315629,0.278540313,15.9349623,0.0390000008,8.41486359,8.3039608,0,13.3166971,0,,,0,1
979934518,0,0,,,0,0.0161172152,0.320315629,0.278540313,15.9213276,0.0410000011,8.41184998,8.31873989,0,13.3095493,0,,,0,1
979935644,0,0,,,0,0.0161172152,0.320315629,0.278540313,15.9258718,0.0410000011,8.41184998,8.32085133,0,13.3095493,0,,,0,1
979936784,0,0,,,0,0.0161172152,0.320315629,0.278540313,15.9349623,0.0429999977,8.4178772,8.29340363,0,13.3166971,0,,,0,1
979937910,0,0,,,0,0.0241758227,0.320315629,0.278540313,15.9349623,0.0429999977,8.4178772,8.27862453,0,13.3238449,0,,,0,1
979939038,0,0,,,0,0.0161172152,0.320315629,0.278540313,15.9349623,0.0460000001,8.4178772,8.29973793,0,13.3166971,0,,,0,1
979940164,0,0,,,0,0.0161172152,0.320315629,0.278540313,15.9349623,0.0460000001,8.42089176,8.28073597,0,13.3309927,0,,,0,1
979941293,0,0,,,0,0.0161172152,0.320315629,0.278540313,15.9349623,0.0480000004,8.42089176,8.30184937,0,13.3166971,0,,,0,1
979942419,0,0,,,0,0.00805860758,0.320315629,0.278540313,15.9349623,0.0480000004,8.42089176,8.31029415,0,13.3238449,0,,,0,1
979943547,0,0,,,0,0.0161172152,0.320315629,0.278540313,15.9349623,0.0500000045,8.4178772,8.29973793,0,13.3238449,0,,,0,1
979944678,0,0,,,0,0.0161172152,0.320315629,0.278540313,15.9349623,0.0500000045,8.4178772,8.29973793,0,13.3238449,0,,,0,1
979945807,0,0,,,0,0.0241758227,0.320315629,0.278540313,15.9349623,0.0519999973,8.42089176,8.2765131,0,13.3238449,0,,,0,1
979946933,0,0,,,0,0.0322344303,0.320315629,0.278540313,15.9304171,0.0519999973,8.42089176,8.2765131,0,13.3238449,0,,,0,1
979948062,0,0,,,0,0.0241758227,0.320315629,0.278540313,15.9349623,0.0549999997,8.4178772,8.26595592,0,13.3095493,0,,,0,1
979949391,0,0,,,0,0.0322344303,0.320315629,0.278540313,15.9349623,0.0549999997,8.4178772,8.29973793,0,13.3309927,0,,,0,1
979950520,0,0,,,0,0.0241758227,0.320315629,0.278540313,15.9349623,0.0569999963,8.4178772,8.28918076,0,13.3166971,0,,,0,1
979951646,0,0,,,0,0.0241758227,0.320315629,0.278540313,15.9349623,0.0569999963,8.42089176,8.28706932,0,13.3238449,0,,,0,1
979952775,0,0,,,0,0.0322344303,0.320315629,0.278540313,15.9349623,0.0590000004,8.4178772,8.29973793,0,13.3238449,0,,,0,1
979953906,0,0,,,0,0.0241758227,0.320315629,0.278540313,15.9349623,0.0590000004,8.4178772,8.28073597,0,13.3166971,0,,,0,1
979955035,0,0,,,0,0.0322344303,0.320315629,0.278540313,15.9349623,0.061999999,8.4178772,8.28706932,0,13.3024006,0,,,0,1
979956161,0,0,,,0,0.0241758227,0.320315629,0.278540313,15.9349623,0.061999999,8.4178772,8.29340363,0,13.3238449,0,,,0,1
