t_us,share_sp,share_act,v_sp,v_act,I_fc,I_batt,gFC,gBT,V_bus,I_cmd,V_fc,V_batt,V_chg,V_rgn,u_unsat,drive_x0,encoder_pos,enc_period_ref_us,enc_multi_pitch_count,enc_spurious_drop_count,fault_flags,ps_phase,dc_phase,trap_phase,flags
258503038,0.119999997,0,0,0,0,0.00805860758,0,0,15.9258718,0.0799999982,8.6439209,8.0632658,0,13.5382843,0,0,0,0,0,0,0,,,0,51
258504369,0.119999997,0,0,0,0,0.0322344303,0,0,15.9167824,0.0799999982,8.66200447,8.06537724,0,13.5382843,0,0,0,0,0,0,0,,,0,51
258505500,0.119999997,0,0,0,0,0.0322344303,0,0,15.9213276,0.0820000023,8.66200447,8.05482006,0,13.5382843,0,0,0,0,0,0,0,,,0,51
258506628,0.119999997,0,0,0,0,0.0241758227,0,0,15.9213276,0.0820000023,8.66200447,8.05270958,0,13.5382843,0,0,0,0,0,0,0,,,0,51
258507758,0.119999997,0,0,0,0,0.0322344303,0,0,15.9213276,0.0840000063,8.64090729,8.05482006,0,13.5382843,0,0,0,0,0,0,0,,,0,51
258508886,0.119999997,0,0,0,0,0.0322344303,0,0,15.9213276,0.0840000063,8.66200447,8.05482006,0,13.5382843,0,0,0,0,0,0,0,,,0,51
258510027,0.119999997,0,0,0,0,0.0322344303,0,0,15.9258718,0.0869999975,8.66200447,8.06115437,0,13.5239887,0,0,0,0,0,0,0,,,0,51
258511154,0.119999997,0,0,0,0,0.0241758227,0,0,15.9213276,0.0869999975,8.66200447,8.05059814,0,13.5382843,0,0,0,0,0,0,0,,,0,51
258512285,0.119999997,0,0,0,0,0.0322344303,0,0,15.9258718,0.0890000015,8.66200447,8.05482006,0,13.5382843,0,0,0,0,0,0,0,,,0,51
258513413,0.119999997,0,0,0,0,0.0402930379,0,0,15.9258718,0.0890000015,8.64693546,8.0569315,0,13.5382843,0,0,0,0,0,0,0,,,0,51
258514543,0.119999997,0,0,0,0,0.0402930379,0,0,15.9213276,0.0909999982,8.66200447,8.05904293,0,13.5382843,0,0,0,0,0,0,0,,,0,51
258515676,0.119999997,0,0,0,0,0.0241758227,0,0,15.9258718,0.0909999982,8.66200447,8.0569315,0,13.5382843,0,0,0,0,0,0,0,,,0,51
258516806,0.119999997,0,0,0,0,0.0322344303,0,0,15.9213276,0.0929999948,8.66200447,8.06115437,0,13.5382843,0,0,0,0,0,0,0,,,0,51
258517934,0.119999997,0,0,0,0,0.0322344303,0,0,15.9213276,0.0929999948,8.66200447,8.05270958,0,13.5454321,0,0,0,0,0,0,0,,,0,51
