t_us,share_sp,share_act,v_sp,v_act,I_fc,I_batt,gFC,gBT,V_bus,I_cmd,fault_flags,ps_phase,dc_phase,trap_phase,flags
1221688532,1,1,,,0.0161172152,0,0.188897252,0.705128193,15.9031467,0.0319999978,0,,,0,1
1221689863,1,1,,,0.0161172152,0,0.188897252,0.705128193,15.9122372,0.0319999978,0,,,0,1
1221690991,1,1,,,0.0161172152,0,0.188897252,0.705128193,15.9167824,0.0340000018,0,,,0,1
1221692117,1,1,,,0.0241758227,0,0.188897252,0.705128193,15.9167824,0.0340000018,0,,,0,1
1221693246,1,1,,,0.0161172152,0,0.188897252,0.705128193,15.9122372,0.0370000005,0,,,0,1
1221694372,1,1,,,0.0241758227,0,0.188897252,0.705128193,15.9167824,0.0370000005,0,,,0,1
1221695501,1,1,,,0.0161172152,0,0.188897252,0.705128193,15.9167824,0.0390000008,0,,,0,1
1221696627,1,1,,,0.0161172152,0,0.188897252,0.705128193,15.907692,0.0390000008,0,,,0,1
1221697757,1,1,,,0.0161172152,0,0.188897252,0.705128193,15.907692,0.0410000011,0,,,0,1
1221698883,1,1,,,0.0241758227,0,0.188897252,0.705128193,15.9122372,0.0410000011,0,,,0,1
1221700022,1,1,,,0.0161172152,0,0.188897252,0.705128193,15.9213276,0.0439999998,0,,,0,1
1221701148,1,1,,,0.0161172152,0,0.188897252,0.705128193,15.9167824,0.0439999998,0,,,0,1
1221702277,1,1,,,0.0161172152,0,0.188897252,0.705128193,15.9213276,0.0460000001,0,,,0,1
1221703404,1,1,,,0.0161172152,0,0.188897252,0.705128193,15.9213276,0.0460000001,0,,,0,1
1221704533,1,1,,,0.0161172152,0,0.188897252,0.705128193,15.9167824,0.0480000004,0,,,0,1
1221705659,1,1,,,0.0161172152,0,0.188897252,0.705128193,15.9213276,0.0480000004,0,,,0,1
1221706788,1,1,,,0.0161172152,0,0.188897252,0.705128193,15.9213276,0.0500000045,0,,,0,1
1221707914,1,1,,,0.0241758227,0,0.188897252,0.705128193,15.9258718,0.0500000045,0,,,0,1
1221709043,1,1,,,0.0241758227,0,0.188897252,0.705128193,15.9213276,0.0529999956,0,,,0,1
1221710373,1,1,,,0.0241758227,0,0.188897252,0.705128193,15.9167824,0.0529999956,0,,,0,1
1221711507,1,1,,,0.0241758227,0,0.188897252,0.705128193,15.9213276,0.0549999997,0,,,0,1
1221712633,1,1,,,0.0322344303,0,0.188897252,0.705128193,15.9167824,0.0549999997,0,,,0,1
1221713761,1,1,,,0.0241758227,0,0.188897252,0.705128193,15.9213276,0.0569999963,0,,,0,1
1221714888,1,1,,,0.0241758227,0,0.188897252,0.705128193,15.9167824,0.0569999963,0,,,0,1
1221716017,1,1,,,0.0241758227,0,0.188897252,0.705128193,15.9167824,0.0599999987,0,,,0,1
1221717143,1,1,,,0.0402930379,0,0.188897252,0.705128193,15.9213276,0.0599999987,0,,,0,1
1221718272,1,0.75,,,0.0241758227,0.00805860758,0.188897252,0.705128193,15.9167824,0.061999999,0,,,0,1
1221719398,1,1,,,0.0241758227,0,0.188897252,0.705128193,15.9167824,0.061999999,0,,,0,1
1221720527,1,1,,,0.0241758227,0,0.188897252,0.705128193,15.9167824,0.0639999956,0,,,0,1
1221721658,1,1,,,0.0322344303,0,0.188897252,0.705128193,15.9167824,0.0639999956,0,,,0,1
1221722787,1,1,,,0.0161172152,0,0.188897252,0.705128193,15.9213276,0.0659999996,0,,,0,1
1221723913,1,1,,,0.0322344303,0,0.188897252,0.705128193,15.9213276,0.0659999996,0,,,0,1
1221725041,1,1,,,0.0322344303,0,0.188897252,0.705128193,15.9213276,0.0689999983,0,,,0,1
1221726167,1,1,,,0.0322344303,0,0.188897252,0.705128193,15.9213276,0.0689999983,0,,,0,1
1221727296,1,1,,,0.0241758227,0,0.188897252,0.705128193,15.9167824,0.0710000023,0,,,0,1
1221728422,1,1,,,0.0241758227,0,0.188897252,0.705128193,15.9213276,0.0710000023,0,,,0,1
1221729551,1,1,,,0.0241758227,0,0.188897252,0.705128193,15.9213276,0.0729999989,0,,,0,1
1221730882,1,1,,,0.0241758227,0,0.188897252,0.705128193,15.9167824,0.0729999989,0,,,0,1
1221732011,1,1,,,0.0322344303,0,0.188897252,0.705128193,15.9258718,0.076000005,0,,,0,1
1221733142,1,1,,,0.0322344303,0,0.188897252,0.705128193,15.9167824,0.076000005,0,,,0,1
1221734270,1,1,,,0.0322344303,0,0.188897252,0.705128193,15.9213276,0.0780000016,0,,,0,1
1221735396,1,1,,,0.0322344303,0,0.188897252,0.705128193,15.9167824,0.0780000016,0,,,0,1
1221736525,1,1,,,0.0241758227,0,0.188897252,0.705128193,15.9167824,0.0799999982,0,,,0,1
1221737651,1,1,,,0.0322344303,0,0.188897252,0.705128193,15.9167824,0.0799999982,0,,,0,1
1221738780,1,1,,,0.0322344303,0,0.188897252,0.705128193,15.9167824,0.0820000023,0,,,0,1
1221739906,1,1,,,0.0322344303,0,0.188897252,0.705128193,15.9167824,0.0820000023,0,,,0,1
1221741035,1,1,,,0.0241758227,0,0.188897252,0.705128193,15.9167824,0.0850000009,0,,,0,1
1221742161,1,1,,,0.0241758227,0,0.188897252,0.705128193,15.9167824,0.0850000009,0,,,0,1
1221743291,1,1,,,0.0322344303,0,0.188897252,0.705128193,15.9213276,0.0869999975,0,,,0,1
1221744421,1,1,,,0.0241758227,0,0.188897252,0.705128193,15.9213276,0.0869999975,0,,,0,1
1221745550,1,1,,,0.0241758227,0,0.188897252,0.705128193,15.9167824,0.0890000015,0,,,0,1
1221746676,1,1,,,0.0322344303,0,0.188897252,0.705128193,15.9213276,0.0890000015,0,,,0,1
1221747806,1,1,,,0.0241758227,0,0.188897252,0.705128193,15.9167824,0.0909999982,0,,,0,1
1221748932,1,1,,,0.0322344303,0,0.188897252,0.705128193,15.9167824,0.0909999982,0,,,0,1
1221750061,1,1,,,0.0241758227,0,0.188897252,0.705128193,15.9213276,0.0940000042,0,,,0,1
1221751187,1,1,,,0.0241758227,0,0.188897252,0.705128193,15.9213276,0.0940000042,0,,,0,1
1221752520,1,1,,,0.0241758227,0,0.188897252,0.705128193,15.9213276,0.0960000008,0,,,0,1
1221753646,1,1,,,0.0322344303,0,0.188897252,0.705128193,15.9167824,0.0960000008,0,,,0,1
1221754775,1,1,,,0.0241758227,0,0.188897252,0.705128193,15.9167824,0.0980000049,0,,,0,1
1221755906,1,1,,,0.0322344303,0,0.188897252,0.705128193,15.9213276,0.0980000049,0,,,0,1
1221757035,1,1,,,0.0241758227,0,0.188897252,0.705128193,15.9213276,0.100999996,0,,,0,1
1221758161,1,1,,,0.0322344303,0,0.188897252,0.705128193,15.9167824,0.100999996,0,,,0,1
