t_us,share_sp,share_act,v_sp,v_act,I_fc,I_batt,gFC,gBT,V_bus,I_cmd,V_fc,V_batt,V_chg,V_rgn,u_unsat,drive_x0,fault_flags,ps_phase,dc_phase,trap_phase,flags
69778998,0.5,1,0,0,0.00805860758,0,0,0,15.9258718,0,8.53542042,8.43486404,0,13.4096212,0,0,0,,,,50
69780329,0.5,1,0,0,0.00805860758,0,0,0,15.9258718,0,8.54747581,8.43486404,0,13.4310646,0,0,0,,,,50
69781459,0.5,1,0,0,0.00805860758,0,0,0,15.9258718,0,8.53240585,8.43697548,0,13.4310646,0,0,0,,,,50
69782586,0.5,0,0,0,0,0,0,0,15.9258718,0,8.56555939,8.43486404,0,13.4239168,0,0,0,,,,50
69783716,0.5,1,0,0,0.00805860758,0,0,0,15.9258718,0,8.54144764,8.43908691,0,13.4310646,0,0,0,,,,50
69784843,0.5,1,0,0,0.00805860758,0,0,0,15.9258718,0,8.57158756,8.44119835,0,13.4310646,0,0,0,,,,50
69785973,0.5,0.5,0,0,0.00805860758,0.00805860758,0,0,15.9213276,0,8.56254578,8.43697548,0,13.4239168,0,0,0,,,,50
69787110,0.5,0,0,0,0,0,0,0,15.9304171,0,8.57158756,8.42853069,0,13.4310646,0,0,0,,,,50
69788240,0.5,1,0,0,0.00805860758,0,0,0,15.9349623,0,8.5565176,8.42853069,0,13.4310646,0,0,0,,,,50
69789367,0.5,1,0,0,0.00805860758,0,0,0,15.9258718,0,8.54747581,8.43275356,0,13.4310646,0,0,0,,,,50
69790497,0.5,1,0,0,0.00805860758,0,0,0,15.9304171,0,8.55350399,8.43275356,0,13.4310646,0,0,0,,,,50
69791624,0.5,1,0,0,0.00805860758,0,0,0,15.9304171,0,8.54144764,8.43697548,0,13.4310646,0,0,0,,,,50
69792754,0.5,1,0,0,0.00805860758,0,0,0,15.9304171,0,8.56254578,8.43697548,0,13.4310646,0,0,0,,,,50
69793881,0.5,1,0,0,0.0161172152,0,0,0,15.9304171,0,8.55048943,8.43908691,0,13.4310646,0,0,0,,,,50
69795015,0.5,1,0,0,0.00805860758,0,0,0,15.9258718,0,8.52939224,8.44330978,0,13.4239168,0,0,0,,,,50
69796142,0.5,1,0,0,0.0161172152,0,0,0,15.9258718,0,8.54747581,8.43697548,0,13.4310646,0,0,0,,,,50
69797272,0.5,1,0,0,0.0161172152,0,0,0,15.9304171,0,8.54747581,8.43275356,0,13.4310646,0,0,0,,,,50
69798399,0.5,1,0,0,0.00805860758,0,0,0,15.9304171,0,8.5565176,8.43275356,0,13.4310646,0,0,0,,,,50
69799529,0.5,1,0,0,0.00805860758,0,0,0,15.9304171,0,8.53843403,8.43486404,0,13.4310646,0,0,0,,,,50
69800860,0.5,1,0,0,0.00805860758,0,0,0,15.9258718,0,8.54747581,8.43486404,0,13.4310646,0,0,0,,,,50
69801994,0.5,1,0,0,0.00805860758,0,0,0,15.9304171,0,8.56254578,8.43486404,0,13.4310646,0,0,0,,,,50
69803121,0.5,1,0,0,0.00805860758,0,0,0,15.9304171,0,8.5565176,8.43275356,0,13.4310646,0,0,0,,,,50
69804252,0.5,0,0,0,0,0,0,0,15.9258718,0,8.5565176,8.43908691,0,13.4239168,0,0,0,,,,50
69805379,0.5,0,0,0,0,0,0,0,15.9258718,0,8.54144764,8.44542122,0,13.4310646,0,0,0,,,,50
69806509,0.5,1,0,0,0.00805860758,0,0,0,15.9304171,0,8.56555939,8.43275356,0,13.4239168,0,0,0,,,,50
69807636,0.5,1,0,0,0.00805860758,0,0,0,15.9304171,0,8.57158756,8.44119835,0,13.4239168,0,0,0,,,,50
69808766,0.5,1,0,0,0.00805860758,0,0,0,15.9258718,0,8.53240585,8.43486404,0,13.4310646,0,0,0,,,,50
69809898,0.5,1,0,0,0.0161172152,0,0,0,15.9304171,0,8.53240585,8.43275356,0,13.4310646,0,0,0,,,,50
69811028,0.5,1,0,0,0.00805860758,0,0,0,15.9304171,0,8.57761478,8.43697548,0,13.4239168,0,0,0,,,,50
69812156,0.5,1,0,0,0.00805860758,0,0,0,15.9304171,0,8.58062935,8.43275356,0,13.4310646,0,0,0,,,,50
69813286,0.5,0,0,0,0,0,0,0,15.9258718,0,8.568573,8.43486404,0,13.4310646,0,0,0,,,,50
