t_us,share_sp,share_act,v_sp,v_act,I_fc,I_batt,gFC,gBT,V_bus,I_cmd,V_fc,V_batt,V_chg,V_rgn,u_unsat,drive_x0,fault_flags,ps_phase,dc_phase,trap_phase,flags
321421473,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9258718,0,8.5565176,8.44330978,0,13.3166971,0,0,0,0,,0,51
321422804,0.5,1,0,0,0.0241758227,0,0.297970891,0.297970891,15.9349623,0,8.55350399,8.44542122,0,13.3166971,0,0,0,0,,0,51
321423933,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9349623,0,8.5444622,8.44330978,0,13.3166971,0,0,0,0,,0,51
321425060,0.5,1,0,0,0.0241758227,0,0.297970891,0.297970891,15.9349623,0,8.57761478,8.44330978,0,13.2952528,0,0,0,0,,0,51
321426189,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9304171,0,8.57158756,8.44753265,0,13.3166971,0,0,0,0,,0,51
321427315,0.5,1,0,0,0.0241758227,0,0.297970891,0.297970891,15.9258718,0,8.55350399,8.43697548,0,13.3095493,0,0,0,0,,0,51
321428445,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9258718,0,8.55953121,8.44753265,0,13.3095493,0,0,0,0,,0,51
321429582,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9349623,0,8.568573,8.43908691,0,13.3166971,0,0,0,0,,0,51
321430712,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9395075,0,8.54747581,8.43908691,0,13.3166971,0,0,0,0,,0,51
321431838,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9349623,0,8.55350399,8.43908691,0,13.3166971,0,0,0,0,,0,51
321432967,0.5,1,0,0,0.00805860758,0,0.297970891,0.297970891,15.9349623,0,8.5565176,8.43697548,0,13.3238449,0,0,0,0,,0,51
321434094,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9349623,0,8.54747581,8.44330978,0,13.3166971,0,0,0,0,,0,51
321435224,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9349623,0,8.55048943,8.44330978,0,13.3166971,0,0,0,0,,0,51
321436350,0.5,1,0,0,0.00805860758,0,0.297970891,0.297970891,15.9349623,0,8.55350399,8.44119835,0,13.3166971,0,0,0,0,,0,51
321437484,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9304171,0,8.53542042,8.44119835,0,13.3166971,0,0,0,0,,0,51
321438611,0.5,1,0,0,0.0241758227,0,0.297970891,0.297970891,15.9349623,0,8.59268475,8.43486404,0,13.3166971,0,0,0,0,,0,51
321439740,0.5,1,0,0,0.00805860758,0,0.297970891,0.297970891,15.9349623,0,8.55953121,8.44119835,0,13.3166971,0,0,0,0,,0,51
321440867,0.5,1,0,0,0.0241758227,0,0.297970891,0.297970891,15.9349623,0,8.58364296,8.43908691,0,13.3166971,0,0,0,0,,0,51
321441996,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9349623,0,8.58665657,8.44119835,0,13.3166971,0,0,0,0,,0,51
321443327,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9349623,0,8.53240585,8.43908691,0,13.3166971,0,0,0,0,,0,51
321444461,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9349623,0,8.54747581,8.43275356,0,13.3166971,0,0,0,0,,0,51
321445588,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9349623,0,8.58967113,8.44119835,0,13.3166971,0,0,0,0,,0,51
321446717,0.5,1,0,0,0.00805860758,0,0.297970891,0.297970891,15.9304171,0,8.57460117,8.43908691,0,13.3095493,0,0,0,0,,0,51
321447844,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9349623,0,8.5565176,8.44119835,0,13.3238449,0,0,0,0,,0,51
321448973,0.5,1,0,0,0.00805860758,0,0.297970891,0.297970891,15.9349623,0,8.55953121,8.44119835,0,13.3166971,0,0,0,0,,0,51
321450100,0.5,1,0,0,0.0322344303,0,0.297970891,0.297970891,15.9395075,0,8.55953121,8.44119835,0,13.3166971,0,0,0,0,,0,51
321451229,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9304171,0,8.56555939,8.44119835,0,13.3166971,0,0,0,0,,0,51
321452361,0.5,1,0,0,0.00805860758,0,0.297970891,0.297970891,15.9349623,0,8.54747581,8.44119835,0,13.3166971,0,0,0,0,,0,51
321453490,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9349623,0,8.56555939,8.44119835,0,13.3166971,0,0,0,0,,0,51
321454616,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9349623,0,8.55350399,8.44119835,0,13.3166971,0,0,0,0,,0,51
321455746,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9349623,0,8.568573,8.44119835,0,13.3166971,0,0,0,0,,0,51
321456873,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9349623,0,8.58062935,8.43908691,0,13.3238449,0,0,0,0,,0,51
321458002,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9304171,0,8.56555939,8.43908691,0,13.3166971,0,0,0,0,,0,51
321459128,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9349623,0,8.53843403,8.43486404,0,13.3166971,0,0,0,0,,0,51
321460263,0.5,1,0,0,0.00805860758,0,0.297970891,0.297970891,15.9349623,0,8.53843403,8.44119835,0,13.3166971,0,0,0,0,,0,51
321461389,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9349623,0,8.55048943,8.43908691,0,13.3166971,0,0,0,0,,0,51
321462519,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9349623,0,8.55048943,8.44119835,0,13.3166971,0,0,0,0,,0,51
321463849,0.5,1,0,0,0.00805860758,0,0.297970891,0.297970891,15.9349623,0,8.5444622,8.43908691,0,13.3166971,0,0,0,0,,0,51
321464979,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9349623,0,8.58665657,8.43908691,0,13.3238449,0,0,0,0,,0,51
321466105,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9349623,0,8.53240585,8.44119835,0,13.3166971,0,0,0,0,,0,51
321467239,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9304171,0,8.53843403,8.43908691,0,13.3238449,0,0,0,0,,0,51
321468366,0.5,1,0,0,0.0241758227,0,0.297970891,0.297970891,15.9395075,0,8.60172653,8.44119835,0,13.3166971,0,0,0,0,,0,51
321469495,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9349623,0,8.58062935,8.44119835,0,13.3166971,0,0,0,0,,0,51
321470622,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9349623,0,8.57158756,8.43908691,0,13.3238449,0,0,0,0,,0,51
321471751,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9349623,0,8.52336502,8.43697548,0,13.3166971,0,0,0,0,,0,51
321472877,0.5,1,0,0,0.00805860758,0,0.297970891,0.297970891,15.9349623,0,8.56254578,8.43908691,0,13.3238449,0,0,0,0,,0,51
321474007,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9349623,0,8.5565176,8.43486404,0,13.3166971,0,0,0,0,,0,51
321475138,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9349623,0,8.53240585,8.44119835,0,13.3238449,0,0,0,0,,0,51
321476268,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9395075,0,8.55953121,8.44119835,0,13.3166971,0,0,0,0,,0,51
321477395,0.5,1,0,0,0.0241758227,0,0.297970891,0.297970891,15.9349623,0,8.55953121,8.43908691,0,13.3238449,0,0,0,0,,0,51
321478524,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9349623,0,8.53542042,8.44119835,0,13.3166971,0,0,0,0,,0,51
321479651,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9349623,0,8.55048943,8.44119835,0,13.3166971,0,0,0,0,,0,51
321480780,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9349623,0,8.55350399,8.44119835,0,13.3166971,0,0,0,0,,0,51
321481906,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9349623,0,8.5444622,8.43908691,0,13.3166971,0,0,0,0,,0,51
321483040,0.5,1,0,0,0.0241758227,0,0.297970891,0.297970891,15.9349623,0,8.51130867,8.43908691,0,13.3095493,0,0,0,0,,0,51
321484167,0.5,1,0,0,0.0241758227,0,0.297970891,0.297970891,15.9395075,0,8.59871292,8.44119835,0,13.3238449,0,0,0,0,,0,51
321485500,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9349623,0,8.52637863,8.44119835,0,13.3166971,0,0,0,0,,0,51
321486627,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9395075,0,8.57158756,8.43908691,0,13.3166971,0,0,0,0,,0,51
321487756,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9395075,0,8.55953121,8.44119835,0,13.3166971,0,0,0,0,,0,51
321488883,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9349623,0,8.58364296,8.43486404,0,13.3166971,0,0,0,0,,0,51
321490012,0.5,1,0,0,0.00805860758,0,0.297970891,0.297970891,15.9349623,0,8.58665657,8.44119835,0,13.3166971,0,0,0,0,,0,51
321491144,0.5,1,0,0,0.0241758227,0,0.297970891,0.297970891,15.9395075,0,8.52637863,8.44119835,0,13.3166971,0,0,0,0,,0,51
321492273,0.5,1,0,0,0.0161172152,0,0.297970891,0.297970891,15.9349623,0,8.55350399,8.44119835,0,13.3166971,0,0,0,0,,0,51
