t_us,share_sp,share_act,v_sp,v_act,I_fc,I_batt,gFC,gBT,V_bus,I_cmd,V_fc,V_batt,V_chg,V_rgn,fault_flags,ps_phase,dc_phase,trap_phase,flags
246096005,0.170000002,1,,,0.0241758227,0,0.315746903,0.28208971,15.9304171,0.0340000018,8.4058218,8.3525219,0,13.3238449,0,,,0,1
246097335,0.170000002,1,,,0.0161172152,0,0.315746903,0.28208971,15.9304171,0.0340000018,8.38773823,8.34829903,0,13.3381405,0,,,0,1
246098465,0.170000002,1,,,0.00805860758,0,0.315746903,0.28208971,15.9349623,0.0359999985,8.37266827,8.33563042,0,13.3309927,0,,,0,1
246099591,0.170000002,1,,,0.0241758227,0,0.315746903,0.28208971,15.9304171,0.0359999985,8.40280819,8.34407616,0,13.3309927,0,,,0,1
246100720,0.170000002,1,,,0.0161172152,0,0.315746903,0.28208971,15.9304171,0.0380000025,8.37568283,8.33985329,0,13.3309927,0,,,0,1
246101847,0.170000002,1,,,0.0161172152,0,0.315746903,0.28208971,15.9349623,0.0380000025,8.4058218,8.33985329,0,13.3309927,0,,,0,1
246102976,0.170000002,1,,,0.0161172152,0,0.315746903,0.28208971,15.9258718,0.0399999991,8.37266827,8.35463333,0,13.3238449,0,,,0,1
246104102,0.170000002,1,,,0.0161172152,0,0.315746903,0.28208971,15.9258718,0.0399999991,8.38171005,8.35885525,0,13.3309927,0,,,0,1
246105243,0.170000002,1,,,0.0161172152,0,0.315746903,0.28208971,15.9395075,0.0429999977,8.38472462,8.3314085,0,13.3381405,0,,,0,1
246106369,0.170000002,1,,,0.0161172152,0,0.315746903,0.28208971,15.9349623,0.0429999977,8.40883541,8.32718563,0,13.3381405,0,,,0,1
246107498,0.170000002,1,,,0.0161172152,0,0.315746903,0.28208971,15.9349623,0.0449999981,8.39075184,8.3314085,0,13.3381405,0,,,0,1
246108625,0.170000002,1,,,0.0161172152,0,0.315746903,0.28208971,15.9349623,0.0449999981,8.38171005,8.33563042,0,13.3381405,0,,,0,1
246109754,0.170000002,1,,,0.0161172152,0,0.315746903,0.28208971,15.9349623,0.0470000021,8.42993259,8.33774185,0,13.3309927,0,,,0,1
246110881,0.170000002,1,,,0.0161172152,0,0.315746903,0.28208971,15.9349623,0.0470000021,8.39979362,8.33774185,0,13.3381405,0,,,0,1
246112010,0.170000002,1,,,0.00805860758,0,0.315746903,0.28208971,15.9349623,0.0500000045,8.38773823,8.33563042,0,13.3309927,0,,,0,1
246113142,0.170000002,1,,,0.0161172152,0,0.315746903,0.28208971,15.9349623,0.0500000045,8.38773823,8.33563042,0,13.3381405,0,,,0,1
246114272,0.170000002,1,,,0.0241758227,0,0.315746903,0.28208971,15.9349623,0.0519999973,8.38171005,8.33351898,0,13.3309927,0,,,0,1
