t_us,share_sp,share_act,v_sp,v_act,I_fc,I_batt,gFC,gBT,V_bus,I_cmd,V_fc,V_batt,V_chg,V_rgn,u_unsat,drive_x0,encoder_pos,enc_period_ref_us,enc_multi_pitch_count,enc_spurious_drop_count,fault_flags,ps_phase,dc_phase,trap_phase,flags
374621368,0.870000005,1,0,0,0.00805860758,0,0.321772873,0.277447671,15.9167824,0.0350000001,8.568573,8.46442318,0,13.4453611,0,0,71866,0,0,0,0,,,0,51
374622699,0.870000005,1,0,0,0.0241758227,0,0.321772873,0.277447671,15.9258718,0.0350000001,8.55350399,8.47498035,0,13.4525089,0,0,71866,0,0,0,0,,,0,51
374623829,0.870000005,1,0,0,0.0161172152,0,0.321772873,0.277447671,15.9258718,0.0370000005,8.53843403,8.47075748,0,13.4525089,0,0,71866,0,0,0,0,,,0,51
374624957,0.870000005,1,0,0,0.0161172152,0,0.321772873,0.277447671,15.9258718,0.0370000005,8.54144764,8.47075748,0,13.4525089,0,0,71866,0,0,0,0,,,0,51
374626087,0.870000005,1,0,0,0.0322344303,0,0.321772873,0.277447671,15.9304171,0.0399999991,8.57158756,8.46864605,0,13.4525089,0,0,71866,0,0,0,0,,,0,51
374627214,0.870000005,0.75,0,0,0.0241758227,0.00805860758,0.321772873,0.277447671,15.9167824,0.0399999991,8.53843403,8.47286892,0,13.4453611,0,0,71866,0,0,0,0,,,0,51
374628356,0.870000005,1,0,0,0.0161172152,0,0.321772873,0.277447671,15.9304171,0.0420000032,8.51733685,8.46864605,0,13.4525089,0,0,71866,0,0,0,0,,,0,51
374629483,0.870000005,1,0,0,0.0161172152,0,0.321772873,0.277447671,15.9258718,0.0420000032,8.51733685,8.46864605,0,13.4525089,0,0,71866,0,0,0,0,,,0,51
374630613,0.870000005,1,0,0,0.0322344303,0,0.321772873,0.277447671,15.9304171,0.0439999998,8.49021149,8.46864605,0,13.4525089,0,0,71866,0,0,0,0,,,0,51
374631740,0.870000005,1,0,0,0.0241758227,0,0.321772873,0.277447671,15.9304171,0.0439999998,8.5565176,8.46653461,0,13.4525089,0,0,71866,0,0,0,0,,,0,51
374632871,0.870000005,1,0,0,0.0241758227,0,0.321772873,0.277447671,15.9304171,0.0460000001,8.48719788,8.46864605,0,13.4525089,0,0,71866,0,0,0,0,,,0,51
374634003,0.870000005,1,0,0,0.0241758227,0,0.321772873,0.277447671,15.9304171,0.0460000001,8.51130867,8.46864605,0,13.4525089,0,0,71866,0,0,0,0,,,0,51
374635134,0.870000005,1,0,0,0.0161172152,0,0.321772873,0.277447671,15.9304171,0.0490000024,8.51733685,8.46864605,0,13.4525089,0,0,71866,0,0,0,0,,,0,51
374636261,0.870000005,1,0,0,0.0241758227,0,0.321772873,0.277447671,15.9304171,0.0490000024,8.50829506,8.46864605,0,13.4525089,0,0,71866,0,0,0,0,,,0,51
