t_us,share_sp,share_act,v_sp,v_act,I_fc,I_batt,gFC,gBT,V_bus,I_cmd,V_fc,V_batt,V_chg,V_rgn,u_unsat,drive_x0,encoder_pos,enc_period_ref_us,enc_multi_pitch_count,enc_spurious_drop_count,enc_edge_count_a,enc_edge_count_b,enc_phase_ewma,enc_duty_a_ewma,enc_duty_b_ewma,fault_flags,ps_phase,dc_phase,trap_phase,flags
187821369,0.5,0,0,0,0,0,0,0,0,0,8.53843403,8.08649063,0,0,0,0,1288,0,0,0,3067,3066,0,0,0,0,,,,50
187822707,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.08860207,0,0,0,0,1288,0,0,0,3067,3066,0,0,0,0,,,,50
187823834,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.08860207,0,0,0,0,1288,0,0,0,3067,3066,0,0,0,0,,,,50
187824961,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.08649063,0,0,0,0,1288,0,0,0,3067,3066,0,0,0,0,,,,50
187826088,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.08860207,0,0,0,0,1288,0,0,0,3067,3066,0,0,0,0,,,,50
187827227,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.08226776,0,0,0,0,1288,0,0,0,3067,3066,0,0,0,0,,,,50
187828354,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.08015633,0,0,0,0,1288,0,0,0,3067,3066,0,0,0,0,,,,50
187829482,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.08226776,0,0,0,0,1288,0,0,0,3067,3066,0,0,0,0,,,,50
187830609,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.0843792,0,0,0,0,1288,0,0,0,3067,3066,0,0,0,0,,,,50
187831736,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.08649063,0,0,0,0,1288,0,0,0,3067,3066,0,0,0,0,,,,50
187832868,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.0843792,0,0,0,0,1288,0,0,0,3067,3066,0,0,0,0,,,,50
187833996,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.0843792,0,0,0,0,1288,0,0,0,3067,3066,0,0,0,0,,,,50
187835123,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.08226776,0,0,0,0,1288,0,0,0,3067,3066,0,0,0,0,,,,50
187836250,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.0843792,0,0,0,0,1288,0,0,0,3067,3066,0,0,0,0,,,,50
187837377,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.0843792,0,0,0,0,1288,0,0,0,3067,3066,0,0,0,0,,,,50
187838509,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.08226776,0,0,0,0,1288,0,0,0,3067,3066,0,0,0,0,,,,50
187839636,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.0843792,0,0,0,0,1288,0,0,0,3067,3066,0,0,0,0,,,,50
187840763,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.08226776,0,0,0,0,1288,0,0,0,3067,3066,0,0,0,0,,,,50
187841890,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.0843792,0,0,0,0,1288,0,0,0,3067,3066,0,0,0,0,,,,50
187843228,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.0843792,0,0,0,0,1288,0,0,0,3067,3066,0,0,0,0,,,,50
187844360,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.0843792,0,0,0,0,1288,0,0,0,3067,3066,0,0,0,0,,,,50
187845487,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.0843792,0,0,0,0,1288,0,0,0,3067,3066,0,0,0,0,,,,50
187846614,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.0843792,0,0,0,0,1288,0,0,0,3067,3066,0,0,0,0,,,,50
187847741,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.0843792,0,0,0,0,1288,0,0,0,3067,3066,0,0,0,0,,,,50
187848873,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.0843792,0,0,0,0,1288,0,0,0,3067,3066,0,0,0,0,,,,50
