t,alpha,v,r_cmd,i_cmd
1.160000000e+00,-6.972479004e-04,-1.467111237e+00,4.869401221e-01,-5.392813571e-01
1.180000000e+00,-6.955422401e-04,-1.468409077e+00,4.869357176e-01,-5.392836119e-01
1.200000000e+00,-6.938416812e-04,-1.469703757e+00,4.869313233e-01,-5.392855823e-01
1.220000000e+00,-6.921460920e-04,-1.470995284e+00,4.869269394e-01,-5.392873037e-01
1.240000000e+00,-6.904553560e-04,-1.472283665e+00,4.869225657e-01,-5.392888073e-01
1.260000000e+00,-6.887693705e-04,-1.473568909e+00,4.869182024e-01,-5.392901206e-01
1.280000000e+00,-6.870880442e-04,-1.474851022e+00,4.869138495e-01,-5.392912677e-01
1.300000000e+00,-6.854112961e-04,-1.476130012e+00,4.869095069e-01,-5.392922699e-01
1.320000000e+00,-6.837390542e-04,-1.477405888e+00,4.869051747e-01,-5.392931454e-01
1.340000000e+00,-6.820712545e-04,-1.478678656e+00,4.869008529e-01,-5.392939104e-01
1.360000000e+00,-6.804078396e-04,-1.479948325e+00,4.868965414e-01,-5.392945788e-01
1.380000000e+00,-6.787487582e-04,-1.481214901e+00,4.868922402e-01,-5.392951629e-01
1.400000000e+00,-6.770939642e-04,-1.482478393e+00,4.868879495e-01,-5.392956732e-01
1.420000000e+00,-6.754434161e-04,-1.483738807e+00,4.868836690e-01,-5.392961191e-01
1.440000000e+00,-6.737970764e-04,-1.484996151e+00,4.868793989e-01,-5.392965086e-01
1.460000000e+00,-6.721549112e-04,-1.486250434e+00,4.868751391e-01,-5.392968490e-01
1.480000000e+00,-6.705168896e-04,-1.487501661e+00,4.868708896e-01,-5.392971463e-01
1.500000000e+00,-6.688829833e-04,-1.488749841e+00,4.868666504e-01,-5.392974059e-01
1.520000000e+00,-6.672531664e-04,-1.489994982e+00,4.868624215e-01,-5.392976327e-01
1.540000000e+00,-6.656274152e-04,-1.491237089e+00,4.868582028e-01,-5.392978307e-01
1.560000000e+00,-6.640057076e-04,-1.492476172e+00,4.868539943e-01,-5.392980036e-01
1.580000000e+00,-6.623880232e-04,-1.493712237e+00,4.868497961e-01,-5.392981545e-01
1.600000000e+00,-6.607743430e-04,-1.494945291e+00,4.868456080e-01,-5.392982862e-01
1.620000000e+00,-6.591646490e-04,-1.496175342e+00,4.868414301e-01,-5.392984011e-01
1.640000000e+00,-6.575589245e-04,-1.497402398e+00,4.868372624e-01,-5.392985013e-01
1.660000000e+00,-6.559571537e-04,-1.498626465e+00,4.868331048e-01,-5.392985887e-01
1.680000000e+00,-6.543593215e-04,-1.499847551e+00,4.868289573e-01,-5.392986649e-01
1.700000000e+00,-6.527654136e-04,-1.501065663e+00,4.868248199e-01,-5.392987312e-01
1.720000000e+00,-6.511754164e-04,-1.502280808e+00,4.868206925e-01,-5.392987890e-01
1.740000000e+00,-6.495893166e-04,-1.503492994e+00,4.868165752e-01,-5.392988393e-01
1.760000000e+00,-6.480071017e-04,-1.504702228e+00,4.868124679e-01,-5.392988831e-01
1.780000000e+00,-6.464287594e-04,-1.505908516e+00,4.868083706e-01,-5.392989211e-01
1.800000000e+00,-6.448542778e-04,-1.507111867e+00,4.868042833e-01,-5.392989542e-01
1.820000000e+00,-6.432836456e-04,-1.508312286e+00,4.868002059e-01,-5.392989828e-01
1.840000000e+00,-6.417168514e-04,-1.509509783e+00,4.867961384e-01,-5.392990077e-01
1.860000000e+00,-6.401538842e-04,-1.510704362e+00,4.867920809e-01,-5.392990292e-01
1.880000000e+00,-6.385947334e-04,-1.511896033e+00,4.867880332e-01,-5.392990478e-01
1.900000000e+00,-6.370393885e-04,-1.513084801e+00,4.867839954e-01,-5.392990638e-01
1.920000000e+00,-6.354878390e-04,-1.514270674e+00,4.867799674e-01,-5.392990776e-01
1.940000000e+00,-6.339400749e-04,-1.515453659e+00,4.867759492e-01,-5.392990895e-01
1.960000000e+00,-6.323960860e-04,-1.516633762e+00,4.867719407e-01,-5.392990996e-01
1.980000000e+00,-6.308558625e-04,-1.517810992e+00,4.867679421e-01,-5.392991083e-01
2.000000000e+00,-6.293193945e-04,-1.518985354e+00,5.041216800e-01,8.337403098e+00
2.020000000e+00,1.324192334e-01,-1.381931641e+00,8.462158628e-01,2.000000000e+01
2.040000000e+00,1.214972247e-01,-1.197926272e+00,8.064103292e-01,2.000000000e+01
2.060000000e+00,3.675424222e-02,-1.014410415e+00,7.248570692e-01,1.974596886e+01
2.080000000e+00,3.777724202e-03,-8.394012995e-01,6.751735419e-01,1.702664399e+01
2.100000000e+00,4.263937578e-04,-6.942086961e-01,6.328498206e-01,1.293330450e+01
2.120000000e+00,6.191046200e-04,-5.867335165e-01,5.922462149e-01,8.900387896e+00
2.140000000e+00,7.433875737e-04,-5.142541214e-01,5.580571801e-01,5.571159286e+00
2.160000000e+00,7.553212616e-04,-4.696672524e-01,5.324963706e-01,3.120404573e+00
2.180000000e+00,7.328671398e-04,-4.450659901e-01,5.151636010e-01,1.480417633e+00
