t_s,v_ref,dec_v,dec_alpha,dec_i,dec_vbus,dec500_v,dec500_alpha,dec500_i,dec500_vbus,mimo_v,mimo_alpha,mimo_i,mimo_vbus
1.0000000e-01,-2.0000000e+00,-3.8155506e-01,7.0834514e-04,-2.0000000e+01,1.4392110e+00,-3.8155506e-01,5.2695119e-04,-2.0000000e+01,1.4391772e+00,-4.0584436e-01,-7.3198645e-02,-2.0000000e+01,1.4251356e+00
1.0500000e-01,-2.0000000e+00,-4.2652376e-01,4.7974804e-04,-2.0000000e+01,1.4406573e+00,-4.2652376e-01,3.9116460e-04,-2.0000000e+01,1.4406387e+00,-4.5079827e-01,-5.2802784e-02,-2.0000000e+01,1.4309093e+00
1.1000000e-01,-2.0000000e+00,-4.7146506e-01,4.0471491e-04,-2.0000000e+01,1.4421328e+00,-4.7146506e-01,3.7484137e-04,-2.0000000e+01,1.4421279e+00,-4.9572477e-01,-3.5427026e-02,-2.0000000e+01,1.4357272e+00
1.1500000e-01,-2.0000000e+00,-5.1637898e-01,3.8051444e-04,-2.0000000e+01,1.4436173e+00,-5.1637898e-01,3.6986741e-04,-2.0000000e+01,1.4436143e+00,-5.4062390e-01,-1.9819905e-02,-2.0000000e+01,1.4404833e+00
1.2000000e-01,-2.0000000e+00,-5.6126552e-01,3.7269508e-04,-2.0000000e+01,1.4451041e+00,-5.6126552e-01,3.7724335e-04,-2.0000000e+01,1.4451060e+00,-5.8549567e-01,-7.1771898e-03,-2.0000000e+01,1.4443945e+00
1.2500000e-01,-2.0000000e+00,-6.0612471e-01,3.7008009e-04,-2.0000000e+01,1.4465910e+00,-6.0612471e-01,3.7263317e-04,-2.0000000e+01,1.4465906e+00,-6.3034009e-01,3.9432462e-03,-2.0000000e+01,1.4482115e+00
1.3000000e-01,-2.0000000e+00,-6.5095655e-01,3.6910580e-04,-2.0000000e+01,1.4480773e+00,-6.5095655e-01,3.7823566e-04,-2.0000000e+01,1.4480801e+00,-6.7515718e-01,1.2734177e-02,-2.0000000e+01,1.4513788e+00
1.3500000e-01,-2.0000000e+00,-6.9576108e-01,3.6864658e-04,-2.0000000e+01,1.4495629e+00,-6.9576108e-01,3.7263822e-04,-2.0000000e+01,1.4495627e+00,-7.1994696e-01,2.0184890e-02,-2.0000000e+01,1.4544206e+00
1.4000000e-01,-2.0000000e+00,-7.4053830e-01,3.6834872e-04,-2.0000000e+01,1.4510475e+00,-7.4053830e-01,3.7788584e-04,-2.0000000e+01,1.4510504e+00,-7.6470944e-01,2.6034527e-02,-2.0000000e+01,1.4570269e+00
1.4500000e-01,-2.0000000e+00,-7.8528824e-01,3.6810141e-04,-2.0000000e+01,1.4525313e+00,-7.8528824e-01,3.7220119e-04,-2.0000000e+01,1.4525311e+00,-8.0944464e-01,3.1100983e-02,-2.0000000e+01,1.4595712e+00
1.5000000e-01,-2.0000000e+00,-8.3001090e-01,3.6786999e-04,-2.0000000e+01,1.4540141e+00,-8.3001090e-01,3.7742430e-04,-2.0000000e+01,1.4540170e+00,-8.5415258e-01,3.5070543e-02,-2.0000000e+01,1.4618130e+00
1.5500000e-01,-2.0000000e+00,-8.7470630e-01,3.6764363e-04,-2.0000000e+01,1.4554961e+00,-8.7470630e-01,3.7174574e-04,-2.0000000e+01,1.4554959e+00,-8.9883328e-01,3.8381134e-02,-2.0000000e+01,1.4639844e+00
1.6000000e-01,-2.0000000e+00,-9.1937447e-01,3.6741894e-04,-2.0000000e+01,1.4569771e+00,-9.1937447e-01,3.7696355e-04,-2.0000000e+01,1.4569800e+00,-9.4348674e-01,4.0986072e-02,-2.0000000e+01,1.4659664e+00
1.6500000e-01,-2.0000000e+00,-9.6401542e-01,3.6719487e-04,-2.0000000e+01,1.4584573e+00,-9.6401542e-01,3.7129256e-04,-2.0000000e+01,1.4584571e+00,-9.8811299e-01,4.3275713e-02,-2.0000000e+01,1.4679253e+00
1.7000000e-01,-2.0000000e+00,-1.0086292e+00,3.6697108e-04,-2.0000000e+01,1.4599365e+00,-1.0086292e+00,3.7650426e-04,-2.0000000e+01,1.4599394e+00,-1.0327167e+00,4.4265240e-02,-1.8902527e+01,1.4622809e+00
1.7500000e-01,-2.0000000e+00,-1.0532157e+00,3.6674747e-04,-2.0000000e+01,1.4614148e+00,-1.0532157e+00,3.7084025e-04,-2.0000000e+01,1.4614147e+00,-1.0757295e+00,3.3581032e-02,-1.7795730e+01,1.3749449e+00
1.8000000e-01,-2.0000000e+00,-1.0977751e+00,3.6652402e-04,-2.0000000e+01,1.4628923e+00,-1.0977751e+00,3.7604561e-04,-2.0000000e+01,1.4628951e+00,-1.1156671e+00,2.2117480e-02,-1.6180498e+01,1.2711393e+00
1.8500000e-01,-2.0000000e+00,-1.1423073e+00,3.6630070e-04,-2.0000000e+01,1.4643688e+00,-1.1423073e+00,3.7038851e-04,-2.0000000e+01,1.4643687e+00,-1.1524334e+00,1.3998411e-02,-1.5097948e+01,1.1754513e+00
1.9000000e-01,-2.0000000e+00,-1.1868124e+00,3.6607753e-04,-2.0000000e+01,1.4658445e+00,-1.1868124e+00,3.7558752e-04,-2.0000000e+01,1.4658473e+00,-1.1861295e+00,7.5439535e-03,-1.3488169e+01,1.0762447e+00
1.9500000e-01,-2.0000000e+00,-1.2312904e+00,3.6585449e-04,-2.0000000e+01,1.4673192e+00,-1.2312904e+00,3.6993731e-04,-2.0000000e+01,1.4673191e+00,-1.2168000e+00,4.3341423e-03,-1.2479168e+01,9.8878249e-01
2.0000000e-01,-2.0000000e+00,-1.2757412e+00,3.6563158e-04,-2.0000000e+01,1.4687930e+00,-1.2757412e+00,3.7512999e-04,-2.0000000e+01,1.4687959e+00,-1.2446049e+00,1.3245378e-03,-1.1069354e+01,8.9661209e-01
2.0500000e-01,-2.0000000e+00,-1.3201650e+00,3.6540881e-04,-2.0000000e+01,1.4702660e+00,-1.3201650e+00,3.6948666e-04,-2.0000000e+01,1.4702659e+00,-1.2696224e+00,3.4703805e-04,-1.0159941e+01,8.1503076e-01
2.1000000e-01,-2.0000000e+00,-1.3645617e+00,3.6518618e-04,-2.0000000e+01,1.4717380e+00,-1.3645617e+00,3.7467302e-04,-2.0000000e+01,1.4717409e+00,-1.2920437e+00,-9.0156181e-04,-8.8502254e+00,7.3321691e-01
2.1500000e-01,-2.0000000e+00,-1.4089313e+00,3.6496368e-04,-2.0000000e+01,1.4732092e+00,-1.4089313e+00,3.6903657e-04,-2.0000000e+01,1.4732090e+00,-1.3119942e+00,-6.8990711e-04,-8.0556375e+00,6.6330227e-01
2.2000000e-01,-2.0000000e+00,-1.4532739e+00,3.6474132e-04,-2.0000000e+01,1.4746794e+00,-1.4532739e+00,3.7421660e-04,-2.0000000e+01,1.4746823e+00,-1.3296764e+00,-1.3602671e-03,-6.9796795e+00,5.9152681e-01
2.2500000e-01,-2.0000000e+00,-1.4975895e+00,3.6451910e-04,-2.0000000e+01,1.4761488e+00,-1.4975895e+00,3.6858702e-04,-2.0000000e+01,1.4761487e+00,-1.3452137e+00,-1.1027085e-03,-6.3016388e+00,5.2949394e-01
2.3000000e-01,-2.0000000e+00,-1.5418781e+00,3.6429701e-04,-2.0000000e+01,1.4776172e+00,-1.5418781e+00,3.7376074e-04,-2.0000000e+01,1.4776201e+00,-1.3588061e+00,-1.4560916e-03,-5.3448783e+00,4.6903567e-01
2.3500000e-01,-2.0000000e+00,-1.5861396e+00,3.6407505e-04,-2.0000000e+01,1.4790848e+00,-1.5861396e+00,3.6813802e-04,-2.0000000e+01,1.4790847e+00,-1.3705949e+00,-9.8393843e-04,-4.7811237e+00,4.1868102e-01
2.4000000e-01,-2.0000000e+00,-1.6303742e+00,3.6385323e-04,-1.9970209e+01,1.4805515e+00,-1.6303742e+00,3.7330543e-04,-1.9970209e+01,1.4805543e+00,-1.3807678e+00,-1.3040849e-03,-4.0404979e+00,3.6803446e-01
2.4500000e-01,-2.0000000e+00,-1.6745595e+00,2.6837038e-04,-2.0000000e+01,1.4813252e+00,-1.6745595e+00,2.7188364e-04,-2.0000000e+01,1.4813251e+00,-1.3894475e+00,-1.0751499e-03,-3.5813534e+00,3.2507986e-01
2.5000000e-01,-2.0000000e+00,-1.7187357e+00,4.1966770e-04,-2.0000000e+01,1.4834886e+00,-1.7187357e+00,4.2993671e-04,-2.0000000e+01,1.4834917e+00,-1.3968041e+00,-1.2672332e-03,-2.9427202e+00,2.8444535e-01
2.5500000e-01,-2.0000000e+00,-1.7628895e+00,3.9506892e-04,-2.0000000e+01,1.4849515e+00,-1.7628895e+00,4.0373117e-04,-2.0000000e+01,1.4849522e+00,-1.4029634e+00,-9.2440752e-04,-2.5785356e+00,2.5149530e-01
2.6000000e-01,-2.0000000e+00,-1.8070164e+00,3.7545922e-04,-1.9976695e+01,1.4864108e+00,-1.8070164e+00,3.8659311e-04,-1.9976695e+01,1.4864140e+00,-1.4080749e+00,-1.1269486e-03,-2.1173072e+00,2.1891027e-01
