w,sigma_max_S,sigma_min_S,sigma_max_T,sigma_min_T
6.638273443e+02,1.020386388e+00,9.871118207e-01,3.789007689e-02,8.133192726e-04
6.832607387e+02,1.019027404e+00,9.871229017e-01,3.643589885e-02,7.503477621e-04
7.032630413e+02,1.017764395e+00,9.871322678e-01,3.505122809e-02,6.920670371e-04
7.238509068e+02,1.016592659e+00,9.871412229e-01,3.373197712e-02,6.381488125e-04
7.450414774e+02,1.015507445e+00,9.871512214e-01,3.247421377e-02,5.882869319e-04
7.668523971e+02,1.014503972e+00,9.871638561e-01,3.127415423e-02,5.421958828e-04
7.893018265e+02,1.013577446e+00,9.871808385e-01,3.012815696e-02,4.996094011e-04
8.124084578e+02,1.012723093e+00,9.872039742e-01,2.903271754e-02,4.602791591e-04
8.361915305e+02,1.011936175e+00,9.872351335e-01,2.798446480e-02,4.239735359e-04
8.606708472e+02,1.011212032e+00,9.872762171e-01,2.698015824e-02,3.904764649e-04
8.858667904e+02,1.010546099e+00,9.873291183e-01,2.601668692e-02,3.595863579e-04
9.118003391e+02,1.009933944e+00,9.873956841e-01,2.509106991e-02,3.311151029e-04
9.384930865e+02,1.009371290e+00,9.874776746e-01,2.420045821e-02,3.048871331e-04
9.659672580e+02,1.008854040e+00,9.875767227e-01,2.334213807e-02,2.807385651e-04
9.942457296e+02,1.008378294e+00,9.876942962e-01,2.251353568e-02,2.585164034e-04
1.023352047e+03,1.007940368e+00,9.878316610e-01,2.171222288e-02,2.380778088e-04
1.053310445e+03,1.007536802e+00,9.879898485e-01,2.093592380e-02,2.192894260e-04
1.084145869e+03,1.007164368e+00,9.881696268e-01,2.018252187e-02,2.020267680e-04
1.115883993e+03,1.006820069e+00,9.883714766e-01,1.945006712e-02,1.861736519e-04
1.148551242e+03,1.006501142e+00,9.885955722e-01,1.873678312e-02,1.716216821e-04
1.182174819e+03,1.006205048e+00,9.888417690e-01,1.804107331e-02,1.582697760e-04
1.216782717e+03,1.005929467e+00,9.891095970e-01,1.736152623e-02,1.460237267e-04
1.252403755e+03,1.005672289e+00,9.893982611e-01,1.669691920e-02,1.347958004e-04
1.289067589e+03,1.005431598e+00,9.897066490e-01,1.604622024e-02,1.245043606e-04
1.326804750e+03,1.005205669e+00,9.900333461e-01,1.540858765e-02,1.150735182e-04
1.365646657e+03,1.004992947e+00,9.903766580e-01,1.478336721e-02,1.064328026e-04
1.405625652e+03,1.004792036e+00,9.907346394e-01,1.417008672e-02,9.851685052e-05
1.446775023e+03,1.004601691e+00,9.911051305e-01,1.356844780e-02,9.126511048e-05
1.489129032e+03,1.004420802e+00,9.914857974e-01,1.297831497e-02,8.462156109e-05
1.532722946e+03,1.004248382e+00,9.918741790e-01,1.239970213e-02,7.853444085e-05
1.577593061e+03,1.004083559e+00,9.922677346e-01,1.183275669e-02,7.295598899e-05
1.623776739e+03,1.003925563e+00,9.926638954e-01,1.127774166e-02,6.784219623e-05
1.671312434e+03,1.003773720e+00,9.930601139e-01,1.073501617e-02,6.315256508e-05
1.720239725e+03,1.003627440e+00,9.934539128e-01,1.020501474e-02,5.884987953e-05
1.770599351e+03,1.003486212e+00,9.938429300e-01,9.688226135e-03,5.489998377e-05
1.822433244e+03,1.003349594e+00,9.942249588e-01,9.185172049e-03,5.127157035e-05
1.875784563e+03,1.003217210e+00,9.945979823e-01,8.696386403e-03,4.793597760e-05
1.930697729e+03,1.003088740e+00,9.949602005e-01,8.222395679e-03,4.486699655e-05
1.987218465e+03,1.002963918e+00,9.953100506e-01,7.763700803e-03,4.204068748e-05
2.045393834e+03,1.002842525e+00,9.956462192e-01,7.320760973e-03,3.943520617e-05
2.105272273e+03,1.002724385e+00,9.959676473e-01,6.893979755e-03,3.703063991e-05
2.166903639e+03,1.002609357e+00,9.962735279e-01,6.483693658e-03,3.480885324e-05
2.230339250e+03,1.002497337e+00,9.965632983e-01,6.090163318e-03,3.275334331e-05
2.295631924e+03,1.002388248e+00,9.968366261e-01,5.713567301e-03,3.084910491e-05
2.362836026e+03,1.002282040e+00,9.970933914e-01,5.353998449e-03,2.908250466e-05
2.432007513e+03,1.002178683e+00,9.973336657e-01,5.011462630e-03,2.744116447e-05
2.503203980e+03,1.002078165e+00,9.975576891e-01,4.685879677e-03,2.591385360e-05
2.576484707e+03,1.001980488e+00,9.977658458e-01,4.377086228e-03,2.449038931e-05
2.651910710e+03,1.001885663e+00,9.979586404e-01,4.084840211e-03,2.316154551e-05
2.729544792e+03,1.001793709e+00,9.981366735e-01,3.808826631e-03,2.191896897e-05
2.809451595e+03,1.001704649e+00,9.983006200e-01,3.548664371e-03,2.075510279e-05
2.891697651e+03,1.001618506e+00,9.984512085e-01,3.303913699e-03,1.966311657e-05
2.976351442e+03,1.001535303e+00,9.985892024e-01,3.074084205e-03,1.863684270e-05
3.063483453e+03,1.001455058e+00,9.987153838e-01,2.858642930e-03,1.767071851e-05
3.153166234e+03,1.001377783e+00,9.988305394e-01,2.657022460e-03,1.675973347e-05
3.245474457e+03,1.001303484e+00,9.989354489e-01,2.468628807e-03,1.589938119e-05
3.340484984e+03,1.001232158e+00,9.990308753e-01,2.292848940e-03,1.508561553e-05
3.438276921e+03,1.001163793e+00,9.991175571e-01,2.129057848e-03,1.431481045e-05
3.538931695e+03,1.001098368e+00,9.991962027e-01,1.976625045e-03,1.358372306e-05
3.642533115e+03,1.001035850e+00,9.992674860e-01,1.834920483e-03,1.288945943e-05
3.749167443e+03,1.000976200e+00,9.993320437e-01,1.703319824e-03,1.222944277e-05
3.858923467e+03,1.000919367e+00,9.993904732e-01,1.581209066e-03,1.160138367e-05
3.971892573e+03,1.000865292e+00,9.994433323e-01,1.467988542e-03,1.100325199e-05
4.088168824e+03,1.000813908e+00,9.994911391e-01,1.363076281e-03,1.043325029e-05
4.207849036e+03,1.000765142e+00,9.995343724e-01,1.265910792e-03,9.889788509e-06
4.331032859e+03,1.000718913e+00,9.995734729e-01,1.175953278e-03,9.371459904e-06
4.457822860e+03,1.000675137e+00,9.996088451e-01,1.092689340e-03,8.877018171e-06
4.588324610e+03,1.000633725e+00,9.996408584e-01,1.015630201e-03,8.405355740e-06
4.722646769e+03,1.000594585e+00,9.996698495e-01,9.443134962e-04,7.955483373e-06
4.860901178e+03,1.000557624e+00,9.996961241e-01,8.783036805e-04,7.526511136e-06
5.003202954e+03,1.000522745e+00,9.997199592e-01,8.171920903e-04,7.117630883e-06
5.149670582e+03,1.000489854e+00,9.997416050e-01,7.605967076e-04,6.728100368e-06
5.300426016e+03,1.000458856e+00,9.997612871e-01,7.081616674e-04,6.357229098e-06
5.455594781e+03,1.000429657e+00,9.997792082e-01,6.595565487e-04,6.004365998e-06
5.615306077e+03,1.000402166e+00,9.997955503e-01,6.144754889e-04,5.668888927e-06
5.779692884e+03,1.000376294e+00,9.998104763e-01,5.726361567e-04,5.350196042e-06
5.948892078e+03,1.000351954e+00,9.998241320e-01,5.337786172e-04,5.047698942e-06
6.123044540e+03,1.000329061e+00,9.998366473e-01,4.976641210e-04,4.760817494e-06
6.302295275e+03,1.000307537e+00,9.998481381e-01,4.640738428e-04,4.488976211e-06
6.486793535e+03,1.000287304e+00,9.998587074e-01,4.328075970e-04,4.231601981e-06
6.676692939e+03,1.000268288e+00,9.998684469e-01,4.036825486e-04,3.988122994e-06
6.872151605e+03,1.000250421e+00,9.998774380e-01,3.765319394e-04,3.757968620e-06
7.073332280e+03,1.000233636e+00,9.998857527e-01,3.512038443e-04,3.540570081e-06
7.280402472e+03,1.000217871e+00,9.998934551e-01,3.275599686e-04,3.335361677e-06
7.493534598e+03,1.000203067e+00,9.999006020e-01,3.054744963e-04,3.141782432e-06
7.712906118e+03,1.000189169e+00,9.999072435e-01,2.848329968e-04,2.959277957e-06
7.938699689e+03,1.000176125e+00,9.999134242e-01,2.655313922e-04,2.787302433e-06
8.171103315e+03,1.000163887e+00,9.999191837e-01,2.474749908e-04,2.625320579e-06
8.410310505e+03,1.000152407e+00,9.999245570e-01,2.305775848e-04,2.472809520e-06
8.656520431e+03,1.000141644e+00,9.999295752e-01,2.147606149e-04,2.329260506e-06
8.909938097e+03,1.000131557e+00,9.999342662e-01,1.999523976e-04,2.194180415e-06
9.170774507e+03,1.000122108e+00,9.999386547e-01,1.860874160e-04,2.067093031e-06
9.439246843e+03,1.000113261e+00,9.999427627e-01,1.731056695e-04,1.947540073e-06
9.715578646e+03,1.000104983e+00,9.999466101e-01,1.609520815e-04,1.835081985e-06
1.000000000e+04,1.000097243e+00,9.999502147e-01,1.495759608e-04,1.729298482e-06
