w,sigma_max_S,sigma_min_S,sigma_max_T,sigma_min_T
5.813143282e-01,1.873367781e-02,1.416354704e-02,1.002085904e+00,9.999476147e-01
5.983321729e-01,1.929960719e-02,1.457801544e-02,1.002101118e+00,9.999442039e-01
6.158482111e-01,1.988172835e-02,1.500460135e-02,1.002116763e+00,9.999405582e-01
6.338770273e-01,2.048052658e-02,1.544365811e-02,1.002132895e+00,9.999366603e-01
6.524336330e-01,2.109650187e-02,1.589554927e-02,1.002149568e+00,9.999324916e-01
6.715334791e-01,2.173016940e-02,1.636064888e-02,1.002166843e+00,9.999280324e-01
6.911924689e-01,2.238205997e-02,1.683934179e-02,1.002184780e+00,9.999232612e-01
7.114269711e-01,2.305272045e-02,1.733202395e-02,1.002203446e+00,9.999181551e-01
7.322538338e-01,2.374271434e-02,1.783910272e-02,1.002222907e+00,9.999126892e-01
7.536903981e-01,2.445262221e-02,1.836099721e-02,1.002243235e+00,9.999068371e-01
7.757545130e-01,2.518304228e-02,1.889813856e-02,1.002264507e+00,9.999005703e-01
7.984645498e-01,2.593459093e-02,1.945097031e-02,1.002286800e+00,9.998938583e-01
8.218394177e-01,2.670790333e-02,2.001994874e-02,1.002310198e+00,9.998866682e-01
8.458985797e-01,2.750363402e-02,2.060554320e-02,1.002334790e+00,9.998789650e-01
8.706620681e-01,2.832245753e-02,2.120823649e-02,1.002360668e+00,9.998707111e-01
8.961505019e-01,2.916506902e-02,2.182852521e-02,1.002387930e+00,9.998618662e-01
9.223851039e-01,3.003218500e-02,2.246692015e-02,1.002416681e+00,9.998523875e-01
9.493877179e-01,3.092454401e-02,2.312394667e-02,1.002447029e+00,9.998422288e-01
9.771808273e-01,3.184290735e-02,2.380014509e-02,1.002479091e+00,9.998313413e-01
1.005787574e+00,3.278805991e-02,2.449607107e-02,1.002512989e+00,9.998196726e-01
1.035231776e+00,3.376081088e-02,2.521229608e-02,1.002548853e+00,9.998071670e-01
1.065537951e+00,3.476199467e-02,2.594940774e-02,1.002586818e+00,9.997937653e-01
1.096731332e+00,3.579247176e-02,2.670801030e-02,1.002627030e+00,9.997794043e-01
1.128837892e+00,3.685312961e-02,2.748872507e-02,1.002669642e+00,9.997640171e-01
1.161884364e+00,3.794488360e-02,2.829219083e-02,1.002714816e+00,9.997475325e-01
1.195898264e+00,3.906867810e-02,2.911906432e-02,1.002762722e+00,9.997298751e-01
1.230907914e+00,4.022548742e-02,2.997002067e-02,1.002813542e+00,9.997109648e-01
1.266942463e+00,4.141631700e-02,3.084575390e-02,1.002867466e+00,9.996907171e-01
1.304031915e+00,4.264220448e-02,3.174697735e-02,1.002924697e+00,9.996690423e-01
1.342207153e+00,4.390422097e-02,3.267442420e-02,1.002985448e+00,9.996458457e-01
1.381499962e+00,4.520347227e-02,3.362884795e-02,1.003049944e+00,9.996210271e-01
1.421943059e+00,4.654110020e-02,3.461102290e-02,1.003118424e+00,9.995944807e-01
1.463570118e+00,4.791828403e-02,3.562174465e-02,1.003191140e+00,9.995660950e-01
1.506415800e+00,4.933624188e-02,3.666183066e-02,1.003268358e+00,9.995357521e-01
1.550515780e+00,5.079623232e-02,3.773212069e-02,1.003350359e+00,9.995033277e-01
1.595906776e+00,5.229955595e-02,3.883347737e-02,1.003437439e+00,9.994686908e-01
