w_rad_s,ratio12_nominal,cond_nominal,sigmax_nominal,sigmin_nominal,ratio12_light_load_0p5A,cond_light_load_0p5A,sigmax_light_load_0p5A,sigmin_light_load_0p5A,ratio12_fc_cruise_r0p85,cond_fc_cruise_r0p85,sigmax_fc_cruise_r0p85,sigmin_fc_cruise_r0p85
6.55965893e+02,4.84651434e-01,3.31301793e+02,6.87319814e+00,2.07460337e-02,7.75442294e+00,1.64005255e+04,4.83588376e+01,2.94861513e-03,3.22398562e-01,2.27064316e+02,4.98224071e+00,2.19419802e-02
6.71267414e+02,4.81295520e-01,3.38775826e+02,6.82876860e+00,2.01571897e-02,7.70072833e+00,1.65863958e+04,4.77817665e+01,2.88078056e-03,3.20166151e-01,2.32495400e+02,4.95332316e+00,2.13050373e-02
6.86925868e+02,4.77856291e-01,3.46413205e+02,6.78315956e+00,1.95811230e-02,7.64570066e+00,1.67677135e+04,4.71923644e+01,2.81447821e-03,3.17878316e-01,2.38059620e+02,4.92357970e+00,2.06821287e-02
7.02949583e+02,4.74334123e-01,3.54217471e+02,6.73636974e+00,1.90176100e-02,7.58934597e+00,1.69441504e+04,4.65908707e+01,2.74967286e-03,3.15535308e-01,2.43760248e+02,4.89300500e+00,2.00730227e-02
7.19347078e+02,4.70729559e-01,3.62192258e+02,6.68839991e+00,1.84664353e-02,7.53167294e+00,1.71153802e+04,4.59775606e+01,2.68633008e-03,3.13137489e-01,2.49600622e+02,4.86159495e+00,1.94774954e-02
7.36127072e+02,4.67043315e-01,3.70341291e+02,6.63925294e+00,1.79273905e-02,7.47269304e+00,1.72810796e+04,4.53527454e+01,2.62441621e-03,3.10685336e-01,2.55584145e+02,4.82934678e+00,1.88953301e-02
7.53298488e+02,4.63276282e-01,3.78668386e+02,6.58893390e+00,1.74002746e-02,7.41242052e+00,1.74409299e+04,4.47167719e+01,2.56389838e-03,3.08179440e-01,2.61714286e+02,4.79625905e+00,1.83263173e-02
7.70870457e+02,4.59429530e-01,3.87177459e+02,6.53745005e+00,1.68848932e-02,7.35087247e+00,1.75946186e+04,4.40700233e+01,2.50474445e-03,3.05620513e-01,2.67994574e+02,4.76233172e+00,1.77702542e-02
7.88852322e+02,4.55504304e-01,3.95872522e+02,6.48481096e+00,1.63810585e-02,7.28806887e+00,1.77418409e+04,4.34129183e+01,2.44692299e-03,3.03009385e-01,2.74428606e+02,4.72756623e+00,1.72269440e-02
8.07253644e+02,4.51502035e-01,4.04757689e+02,6.43102849e+00,1.58885888e-02,7.22403256e+00,1.78823007e+04,4.27459109e+01,2.39040332e-03,3.00347006e-01,2.81020037e+02,4.69196554e+00,1.66961957e-02
