w,sigma_max_S,sigma_min_S,sigma_max_T,sigma_min_T
6.449466771e+02,1.029128076e+00,1.001234337e+00,3.095848531e-02,2.254080211e-03
6.638273443e+02,1.027324116e+00,1.001072150e+00,2.935367356e-02,2.147512338e-03
6.832607387e+02,1.025610883e+00,1.000913139e+00,2.783877723e-02,2.045378960e-03
7.032630413e+02,1.023985052e+00,1.000757008e+00,2.640939736e-02,1.947435355e-03
7.238509068e+02,1.022443446e+00,1.000603382e+00,2.506149698e-02,1.853440800e-03
7.450414774e+02,1.020983081e+00,1.000451776e+00,2.379143686e-02,1.763154632e-03
7.668523971e+02,1.019601214e+00,1.000301565e+00,2.259601177e-02,1.676332461e-03
7.893018265e+02,1.018295385e+00,1.000151943e+00,2.147248455e-02,1.592722901e-03
8.124084578e+02,1.017063461e+00,1.000001894e+00,2.041861400e-02,1.512065316e-03
8.361915305e+02,1.015903671e+00,9.998501578e-01,1.943267139e-02,1.434089184e-03
8.606708472e+02,1.014814631e+00,9.996952133e-01,1.851343971e-02,1.358515864e-03
8.858667904e+02,1.013795347e+00,9.995352771e-01,1.766018849e-02,1.285063572e-03
9.118003391e+02,1.012845190e+00,9.993683289e-01,1.687261702e-02,1.213456359e-03
9.384930865e+02,1.011963833e+00,9.991921758e-01,1.615075931e-02,1.143437569e-03
9.659672580e+02,1.011151139e+00,9.990045629e-01,1.549484630e-02,1.074787647e-03
9.942457296e+02,1.010406990e+00,9.988033382e-01,1.490512510e-02,1.007345151e-03
1.023352047e+03,1.009731073e+00,9.985866647e-01,1.438164155e-02,9.410284569e-04
1.053310445e+03,1.009122631e+00,9.983532645e-01,1.392400044e-02,8.758542629e-04
1.084145869e+03,1.008580212e+00,9.981026563e-01,1.353112669e-02,8.119481265e-04
1.115883993e+03,1.008101482e+00,9.978353425e-01,1.320105750e-02,7.495425374e-04
1.148551242e+03,1.007683123e+00,9.975528966e-01,1.293079702e-02,6.889599372e-04
1.182174819e+03,1.007320866e+00,9.972579237e-01,1.271626080e-02,6.305814101e-04
1.216782717e+03,1.007009645e+00,9.969538965e-01,1.255232476e-02,5.748055335e-04
1.252403755e+03,1.006743848e+00,9.966448964e-01,1.243297776e-02,5.220046599e-04
1.289067589e+03,1.006517609e+00,9.963353115e-01,1.235156023e-02,4.724865252e-04
1.326804750e+03,1.006325096e+00,9.960295400e-01,1.230105993e-02,4.264673315e-04
1.365646657e+03,1.006160758e+00,9.957317362e-01,1.227443078e-02,3.840591590e-04
1.405625652e+03,1.006019519e+00,9.954456151e-01,1.226490297e-02,3.452710878e-04
1.446775023e+03,1.005896898e+00,9.951743192e-01,1.226625953e-02,3.100208922e-04
1.489129032e+03,1.005789089e+00,9.949203403e-01,1.227306303e-02,2.781530950e-04
1.532722946e+03,1.005692993e+00,9.946854840e-01,1.228082450e-02,2.494593698e-04
1.577593061e+03,1.005606214e+00,9.944708692e-01,1.228611255e-02,2.236982307e-04
1.623776739e+03,1.005527035e+00,9.942769519e-01,1.228660460e-02,2.006121378e-04
1.671312434e+03,1.005454377e+00,9.941035696e-01,1.228108370e-02,1.799411870e-04
1.720239725e+03,1.005387731e+00,9.939500028e-01,1.226938539e-02,1.614333051e-04
1.770599351e+03,1.005327087e+00,9.938150506e-01,1.225229870e-02,1.448513044e-04
1.822433244e+03,1.005272847e+00,9.936971191e-01,1.223142608e-02,1.299773357e-04
1.875784563e+03,1.005225721e+00,9.935943220e-01,1.220900726e-02,1.166153006e-04
1.930697729e+03,1.005186620e+00,9.935045894e-01,1.218771421e-02,1.045917098e-04
1.987218465e+03,1.005156544e+00,9.934257818e-01,1.217042574e-02,9.375537411e-05
2.045393834e+03,1.005136466e+00,9.933558046e-01,1.215999378e-02,8.397621298e-05
2.105272273e+03,1.005127221e+00,9.932927159e-01,1.215901499e-02,7.514340040e-05
2.166903639e+03,1.005129413e+00,9.932348228e-01,1.216962372e-02,6.716302970e-05
2.230339250e+03,1.005143339e+00,9.931807569e-01,1.219332161e-02,5.995547896e-05
2.295631924e+03,1.005168931e+00,9.931295264e-01,1.223085745e-02,5.345267059e-05
2.362836026e+03,1.005205736e+00,9.930805394e-01,1.228216611e-02,4.759542708e-05
2.432007513e+03,1.005252921e+00,9.930335986e-01,1.234636956e-02,4.233111217e-05
2.503203980e+03,1.005309300e+00,9.929888708e-01,1.242183617e-02,3.761170281e-05
2.576484707e+03,1.005373390e+00,9.929468337e-01,1.250628879e-02,3.339237073e-05
2.651910710e+03,1.005443478e+00,9.929082083e-01,1.259694771e-02,2.963057582e-05
2.729544792e+03,1.005517697e+00,9.928738833e-01,1.269069336e-02,2.628560735e-05
2.809451595e+03,1.005594108e+00,9.928448379e-01,1.278423340e-02,2.331846647e-05
2.891697651e+03,1.005670769e+00,9.928220689e-01,1.287426193e-02,2.069196775e-05
2.976351442e+03,1.005745811e+00,9.928065263e-01,1.295760118e-02,1.837094758e-05
3.063483453e+03,1.005817488e+00,9.927990596e-01,1.303131971e-02,1.632249061e-05
3.153166234e+03,1.005884223e+00,9.928003766e-01,1.309282449e-02,1.451611595e-05
3.245474457e+03,1.005944647e+00,9.928110145e-01,1.313992628e-02,1.292389231e-05
3.340484984e+03,1.005997611e+00,9.928313228e-01,1.317087993e-02,1.152047326e-05
3.438276921e+03,1.006042207e+00,9.928614571e-01,1.318440189e-02,1.028305806e-05
3.538931695e+03,1.006077760e+00,9.929013811e-01,1.317966830e-02,9.191291704e-06
3.642533115e+03,1.006103831e+00,9.929508771e-01,1.315629676e-02,8.227120423e-06
3.749167443e+03,1.006120195e+00,9.930095625e-01,1.311431505e-02,7.374618533e-06
3.858923467e+03,1.006126830e+00,9.930769098e-01,1.305412002e-02,6.619800521e-06
3.971892573e+03,1.006123891e+00,9.931522710e-01,1.297642927e-02,5.950429187e-06
4.088168824e+03,1.006111688e+00,9.932349028e-01,1.288222837e-02,5.355827853e-06
4.207849036e+03,1.006090659e+00,9.933239933e-01,1.277271572e-02,4.826702034e-06
4.331032859e+03,1.006061342e+00,9.934186879e-01,1.264924712e-02,4.354973857e-06
4.457822860e+03,1.006024348e+00,9.935181148e-01,1.251328175e-02,3.933630915e-06
4.588324610e+03,1.005980339e+00,9.936214081e-01,1.236633097e-02,3.556590074e-06
4.722646769e+03,1.005929999e+00,9.937277293e-01,1.220991126e-02,3.218575954e-06
4.860901178e+03,1.005874016e+00,9.938362851e-01,1.204550214e-02,2.915013354e-06
5.003202954e+03,1.005813059e+00,9.939463438e-01,1.187450983e-02,2.641932552e-06
5.149670582e+03,1.005747767e+00,9.940572468e-01,1.169823718e-02,2.395886335e-06
5.300426016e+03,1.005678727e+00,9.941684181e-01,1.151786010e-02,2.173877575e-06
5.455594781e+03,1.005606472e+00,9.942793698e-01,1.133441056e-02,1.973296205e-06
5.615306077e+03,1.005531471e+00,9.943897053e-01,1.114876595e-02,1.791864553e-06
5.779692884e+03,1.005454123e+00,9.944991185e-01,1.096164464e-02,1.627590050e-06
5.948892078e+03,1.005374756e+00,9.946073916e-01,1.077360699e-02,1.478724469e-06
6.123044540e+03,1.005293634e+00,9.947143896e-01,1.058506142e-02,1.343728917e-06
6.302295275e+03,1.005210953e+00,9.948200537e-01,1.039627475e-02,1.221243882e-06
6.486793535e+03,1.005126850e+00,9.949243925e-01,1.020738592e-02,1.110063735e-06
6.676692939e+03,1.005041412e+00,9.950274726e-01,1.001842243e-02,1.009115103e-06
6.872151605e+03,1.004954679e+00,9.951294084e-01,9.829318540e-03,9.174386354e-07
7.073332280e+03,1.004866657e+00,9.952303511e-01,9.639934557e-03,8.341736688e-07
7.280402472e+03,1.004777325e+00,9.953304787e-01,9.450076405e-03,7.585453895e-07
7.493534598e+03,1.004686645e+00,9.954299852e-01,9.259514858e-03,6.898541031e-07
7.712906118e+03,1.004594569e+00,9.955290713e-01,9.068003891e-03,6.274662690e-07
7.938699689e+03,1.004501048e+00,9.956279353e-01,8.875297678e-03,5.708069965e-07
8.171103315e+03,1.004406038e+00,9.957267655e-01,8.681165891e-03,5.193537373e-07
8.410310505e+03,1.004309511e+00,9.958257328e-01,8.485407035e-03,4.726309475e-07
8.656520431e+03,1.004211452e+00,9.959249855e-01,8.287859647e-03,4.302055292e-07
8.909938097e+03,1.004111872e+00,9.960246445e-01,8.088411269e-03,3.916828943e-07
9.170774507e+03,1.004010804e+00,9.961247998e-01,7.887005161e-03,3.567035244e-07
9.439246843e+03,1.003908312e+00,9.962255082e-01,7.683644792e-03,3.249399281e-07
9.715578646e+03,1.003804486e+00,9.963267923e-01,7.478396179e-03,2.960939154e-07
1.000000000e+04,1.003699444e+00,9.964286401e-01,7.271388213e-03,2.698941346e-07
