w,sigma_max_S,sigma_min_S,sigma_max_T,sigma_min_T
5.813143282e-01,3.797570918e-02,1.039035713e-02,9.999781681e-01,9.998397156e-01
5.983321729e-01,3.908730684e-02,1.069452056e-02,9.999768708e-01,9.998301846e-01
6.158482111e-01,4.023143418e-02,1.100758722e-02,9.999754965e-01,9.998200865e-01
6.338770273e-01,4.140904239e-02,1.132981767e-02,9.999740406e-01,9.998093875e-01
6.524336330e-01,4.262111044e-02,1.166148006e-02,9.999724982e-01,9.997980519e-01
6.715334791e-01,4.386864582e-02,1.200285040e-02,9.999708641e-01,9.997860416e-01
6.911924689e-01,4.515268538e-02,1.235421275e-02,9.999691330e-01,9.997733166e-01
7.114269711e-01,4.647429624e-02,1.271585950e-02,9.999672990e-01,9.997598340e-01
7.322538338e-01,4.783457658e-02,1.308809157e-02,9.999653561e-01,9.997455487e-01
7.536903981e-01,4.923465658e-02,1.347121867e-02,9.999632977e-01,9.997304130e-01
7.757545130e-01,5.067569934e-02,1.386555958e-02,9.999611171e-01,9.997143759e-01
7.984645498e-01,5.215890182e-02,1.427144238e-02,9.999588070e-01,9.996973837e-01
8.218394177e-01,5.368549583e-02,1.468920475e-02,9.999563596e-01,9.996793793e-01
8.458985797e-01,5.525674901e-02,1.511919424e-02,9.999537669e-01,9.996603023e-01
8.706620681e-01,5.687396586e-02,1.556176852e-02,9.999510201e-01,9.996400886e-01
8.961505019e-01,5.853848881e-02,1.601729575e-02,9.999481102e-01,9.996186703e-01
9.223851039e-01,6.025169929e-02,1.648615482e-02,9.999450275e-01,9.995959753e-01
9.493877179e-01,6.201501888e-02,1.696873569e-02,9.999417616e-01,9.995719273e-01
9.771808273e-01,6.382991041e-02,1.746543971e-02,9.999383017e-01,9.995464453e-01
1.005787574e+00,6.569787915e-02,1.797667993e-02,9.999346363e-01,9.995194435e-01
1.035231776e+00,6.762047403e-02,1.850288149e-02,9.999307531e-01,9.994908308e-01
1.065537951e+00,6.959928887e-02,1.904448190e-02,9.999266393e-01,9.994605106e-01
1.096731332e+00,7.163596366e-02,1.960193146e-02,9.999222812e-01,9.994283808e-01
1.128837892e+00,7.373218583e-02,2.017569360e-02,9.999176642e-01,9.993943326e-01
1.161884364e+00,7.588969165e-02,2.076624527e-02,9.999127729e-01,9.993582511e-01
1.195898264e+00,7.811026754e-02,2.137407732e-02,9.999075911e-01,9.993200140e-01
1.230907914e+00,8.039575151e-02,2.199969493e-02,9.999021015e-01,9.992794918e-01
1.266942463e+00,8.274803461e-02,2.264361798e-02,9.998962859e-01,9.992365472e-01
1.304031915e+00,8.516906236e-02,2.330638152e-02,9.998901248e-01,9.991910344e-01
1.342207153e+00,8.766083633e-02,2.398853616e-02,9.998835978e-01,9.991427988e-01
