t_s,v_ref,dec_v,dec_alpha,dec_i,dec_r,dec500_v,dec500_alpha,dec500_i,dec500_r,mimo_v,mimo_alpha,mimo_i,mimo_r
1.0500000e-01,2.0000000e+00,4.2652376e-01,5.8808800e-02,2.0000000e+01,1.5000000e-01,4.2652376e-01,5.8808800e-02,2.0000000e+01,1.5000000e-01,4.5079015e-01,6.2647917e-01,2.0000000e+01,7.1868956e-01
1.1000000e-01,2.0000000e+00,4.7146506e-01,5.9231800e-02,2.0000000e+01,1.5000000e-01,4.7146506e-01,5.9231800e-02,2.0000000e+01,1.5000000e-01,4.9571666e-01,6.2886544e-01,2.0000000e+01,7.1910099e-01
1.1500000e-01,2.0000000e+00,5.1637898e-01,5.9654542e-02,2.0000000e+01,1.5000000e-01,5.1637898e-01,5.9654542e-02,2.0000000e+01,1.5000000e-01,5.4061579e-01,6.2798249e-01,2.0000000e+01,7.1682396e-01
1.2000000e-01,2.0000000e+00,5.6126552e-01,6.0077027e-02,2.0000000e+01,1.5000000e-01,5.6126552e-01,6.0077027e-02,2.0000000e+01,1.5000000e-01,5.8548757e-01,6.2395702e-01,2.0000000e+01,7.1032940e-01
1.2500000e-01,2.0000000e+00,6.0612471e-01,6.0499254e-02,2.0000000e+01,1.5000000e-01,6.0612471e-01,6.0499254e-02,2.0000000e+01,1.5000000e-01,6.3033199e-01,6.1847755e-01,2.0000000e+01,7.0443366e-01
1.3000000e-01,2.0000000e+00,6.5095655e-01,6.0921223e-02,2.0000000e+01,1.5000000e-01,6.5095655e-01,6.0921223e-02,2.0000000e+01,1.5000000e-01,6.7514909e-01,6.0993827e-01,2.0000000e+01,6.9369407e-01
1.3500000e-01,2.0000000e+00,6.9576108e-01,6.1342936e-02,2.0000000e+01,1.5000000e-01,6.9576108e-01,6.1342936e-02,2.0000000e+01,1.5000000e-01,7.1993887e-01,6.0133106e-01,2.0000000e+01,6.8537292e-01
1.4000000e-01,2.0000000e+00,7.4053830e-01,6.1764391e-02,2.0000000e+01,1.5000000e-01,7.4053830e-01,6.1764391e-02,2.0000000e+01,1.5000000e-01,7.6470136e-01,5.8996518e-01,2.0000000e+01,6.7148576e-01
1.4500000e-01,2.0000000e+00,7.8528824e-01,6.2185590e-02,2.0000000e+01,1.5000000e-01,7.8528824e-01,6.2185590e-02,2.0000000e+01,1.5000000e-01,8.0943656e-01,5.7932569e-01,2.0000000e+01,6.6155702e-01
1.5000000e-01,2.0000000e+00,8.3001090e-01,6.2606532e-02,2.0000000e+01,1.5000000e-01,8.3001090e-01,6.2606532e-02,2.0000000e+01,1.5000000e-01,8.5414451e-01,5.6591754e-01,2.0000000e+01,6.4586156e-01
1.5500000e-01,2.0000000e+00,8.7470630e-01,6.3027217e-02,2.0000000e+01,1.5000000e-01,8.7470630e-01,6.3027217e-02,2.0000000e+01,1.5000000e-01,8.9882521e-01,5.5388086e-01,2.0000000e+01,6.3486048e-01
1.6000000e-01,2.0000000e+00,9.1937447e-01,6.3447647e-02,2.0000000e+01,1.5000000e-01,9.1937447e-01,6.3447647e-02,2.0000000e+01,1.5000000e-01,9.4347868e-01,5.3926443e-01,2.0000000e+01,6.1770436e-01
1.6500000e-01,2.0000000e+00,9.6401542e-01,6.3867819e-02,2.0000000e+01,1.5000000e-01,9.6401542e-01,6.3867819e-02,2.0000000e+01,1.5000000e-01,9.8810494e-01,5.2634443e-01,2.0000000e+01,6.0599646e-01
1.7000000e-01,2.0000000e+00,1.0086292e+00,6.4287736e-02,2.0000000e+01,1.5000000e-01,1.0086292e+00,6.4287736e-02,2.0000000e+01,1.5000000e-01,1.0326357e+00,5.0888314e-01,1.8762279e+01,5.8815624e-01
1.7500000e-01,2.0000000e+00,1.0532157e+00,6.4707397e-02,2.0000000e+01,1.5000000e-01,1.0532157e+00,6.4707397e-02,2.0000000e+01,1.5000000e-01,1.0753391e+00,4.7140114e-01,1.7660261e+01,5.7628239e-01
1.8000000e-01,2.0000000e+00,1.0977751e+00,6.5126802e-02,2.0000000e+01,1.5000000e-01,1.0977751e+00,6.5126802e-02,2.0000000e+01,1.5000000e-01,1.1149696e+00,4.2801183e-01,1.6056794e+01,5.5693475e-01
1.8500000e-01,2.0000000e+00,1.1423073e+00,6.5545952e-02,2.0000000e+01,1.5000000e-01,1.1423073e+00,6.5545952e-02,2.0000000e+01,1.5000000e-01,1.1514497e+00,3.8488091e-01,1.4984147e+01,5.4351119e-01
1.9000000e-01,2.0000000e+00,1.1868124e+00,6.5964846e-02,2.0000000e+01,1.5000000e-01,1.1868124e+00,6.5964846e-02,2.0000000e+01,1.5000000e-01,1.1848865e+00,3.4035733e-01,1.3391128e+01,5.2347752e-01
1.9500000e-01,2.0000000e+00,1.2312904e+00,6.6383485e-02,2.0000000e+01,1.5000000e-01,1.2312904e+00,6.6383485e-02,2.0000000e+01,1.5000000e-01,1.2153288e+00,2.9885424e-01,1.2394022e+01,5.1037842e-01
2.0000000e-01,2.0000000e+00,1.2757412e+00,6.6801868e-02,2.0000000e+01,1.5000000e-01,1.2757412e+00,6.6801868e-02,2.0000000e+01,1.5000000e-01,1.2429388e+00,2.5733670e-01,1.1002456e+01,4.9139588e-01
2.0500000e-01,2.0000000e+00,1.3201650e+00,6.7219997e-02,2.0000000e+01,1.5000000e-01,1.3201650e+00,6.7219997e-02,2.0000000e+01,1.5000000e-01,1.2677959e+00,2.1899043e-01,1.0105203e+01,4.7936017e-01
2.1000000e-01,2.0000000e+00,1.3645617e+00,6.7637871e-02,2.0000000e+01,1.5000000e-01,1.3645617e+00,6.7637871e-02,2.0000000e+01,1.5000000e-01,1.2900910e+00,1.8117510e-01,8.8132965e+00,4.6234095e-01
2.1500000e-01,2.0000000e+00,1.4089313e+00,6.8055490e-02,2.0000000e+01,1.5000000e-01,1.4089313e+00,6.8055490e-02,2.0000000e+01,1.5000000e-01,1.3099494e+00,1.4729579e-01,8.0300748e+00,4.5165467e-01
2.2000000e-01,2.0000000e+00,1.4532739e+00,6.8472855e-02,2.0000000e+01,1.5000000e-01,1.4532739e+00,6.8472855e-02,2.0000000e+01,1.5000000e-01,1.3275716e+00,1.1444861e-01,6.9701550e+00,4.3665883e-01
2.2500000e-01,2.0000000e+00,1.4975895e+00,6.8889965e-02,2.0000000e+01,1.5000000e-01,1.4975895e+00,6.8889965e-02,2.0000000e+01,1.5000000e-01,1.3430799e+00,8.4970219e-02,6.3020473e+00,4.2742427e-01
2.3000000e-01,2.0000000e+00,1.5418781e+00,6.9306821e-02,2.0000000e+01,1.5000000e-01,1.5418781e+00,6.9306821e-02,2.0000000e+01,1.5000000e-01,1.3566715e+00,5.6622487e-02,5.3589081e+00,4.1470602e-01
2.3500000e-01,2.0000000e+00,1.5861396e+00,6.9723424e-02,2.0000000e+01,1.5000000e-01,1.5861396e+00,6.9723424e-02,2.0000000e+01,1.5000000e-01,1.3684859e+00,3.1898330e-02,4.8033077e+00,4.0690950e-01
2.4000000e-01,2.0000000e+00,1.6303742e+00,7.0139772e-02,1.9970209e+01,1.5000000e-01,1.6303742e+00,7.0139772e-02,1.9970209e+01,1.5000000e-01,1.3787077e+00,8.4801433e-03,4.0734786e+00,3.9620983e-01
2.4500000e-01,2.0000000e+00,1.6745595e+00,7.0243799e-02,2.0000000e+01,1.5000000e-01,1.6745595e+00,7.0243799e-02,2.0000000e+01,1.5000000e-01,1.3874574e+00,-1.2082858e-02,3.6205893e+00,3.8977248e-01
2.5000000e-01,2.0000000e+00,1.7187357e+00,7.0966354e-02,2.0000000e+01,1.5000000e-01,1.7187357e+00,7.0966354e-02,2.0000000e+01,1.5000000e-01,1.3949019e+00,-2.9815733e-02,2.9898463e+00,3.8562535e-01
2.5500000e-01,2.0000000e+00,1.7628895e+00,7.1387002e-02,2.0000000e+01,1.5000000e-01,1.7628895e+00,7.1387002e-02,2.0000000e+01,1.5000000e-01,1.4011647e+00,-4.0419302e-02,2.6296959e+00,3.8726317e-01
2.6000000e-01,2.0000000e+00,1.8070164e+00,7.1802376e-02,1.9976695e+01,1.5000000e-01,1.8070164e+00,7.1802376e-02,1.9976695e+01,1.5000000e-01,1.4063916e+00,-4.4533941e-02,2.1725699e+00,3.9426529e-01
2.6500000e-01,2.0000000e+00,1.8510989e+00,7.1973325e-02,2.0000000e+01,1.5000000e-01,1.8510989e+00,7.1973325e-02,2.0000000e+01,1.5000000e-01,1.4106802e+00,-4.5961238e-02,1.8914834e+00,4.0083491e-01
