w_rad_s,dec_sigma_So,mimo_sigma_So,dec_S11,mimo_S11,dec_S22,mimo_S22,dec_T_alpha_vref,mimo_T_alpha_vref
1.81349780e+00,2.03771253e-02,1.18410750e-01,1.60166941e-02,3.24089917e-02,2.03481415e-02,1.18410495e-01,6.71654071e-04,2.83017757e-06
1.87303154e+00,2.15789023e-02,1.22293209e-01,1.65424326e-02,3.34725108e-02,2.15500344e-02,1.22292945e-01,7.16488988e-04,2.91672547e-06
1.93451965e+00,2.28597039e-02,1.26302623e-01,1.70854241e-02,3.45709018e-02,2.28307297e-02,1.26302351e-01,7.64413907e-04,3.00548004e-06
1.99802631e+00,2.42247553e-02,1.30443108e-01,1.76462343e-02,3.57053053e-02,2.41954830e-02,1.30442827e-01,8.15648306e-04,3.09645148e-06
2.06361777e+00,2.56796341e-02,1.34718906e-01,1.82254475e-02,3.68768989e-02,2.56498927e-02,1.34718616e-01,8.70428044e-04,3.18964445e-06
2.13136247e+00,2.72302888e-02,1.39134394e-01,1.88236671e-02,3.80868982e-02,2.71999210e-02,1.39134095e-01,9.29006687e-04,3.28505731e-06
2.20133111e+00,2.88830601e-02,1.43694085e-01,1.94415162e-02,3.93365585e-02,2.88519172e-02,1.43693776e-01,9.91656934e-04,3.38268140e-06
2.27359668e+00,3.06447037e-02,1.48402630e-01,2.00796384e-02,4.06271755e-02,3.06126420e-02,1.48402311e-01,1.05867218e-03,3.48250022e-06
2.34823460e+00,3.25224150e-02,1.53264826e-01,2.07386980e-02,4.19600870e-02,3.24892926e-02,1.53264497e-01,1.13036820e-03,3.58448851e-06
2.42532274e+00,3.45238560e-02,1.58285616e-01,2.14193814e-02,4.33366739e-02,3.44895308e-02,1.58285276e-01,1.20708502e-03,3.68861132e-06
2.50494154e+00,3.66571833e-02,1.63470095e-01,2.21223973e-02,4.47583616e-02,3.66215104e-02,1.63469744e-01,1.28918888e-03,3.79482300e-06
2.58717408e+00,3.89310779e-02,1.68823510e-01,2.28484773e-02,4.62266215e-02,3.88939083e-02,1.68823148e-01,1.37707449e-03,3.90306607e-06
2.67210616e+00,4.13547769e-02,1.74351268e-01,2.35983773e-02,4.77429726e-02,4.13159557e-02,1.74350894e-01,1.47116734e-03,4.01327013e-06
2.75982639e+00,4.39381066e-02,1.80058937e-01,2.43728775e-02,4.93089823e-02,4.38974715e-02,1.80058551e-01,1.57192636e-03,4.12535064e-06
2.85042632e+00,4.66915173e-02,1.85952249e-01,2.51727837e-02,5.09262687e-02,4.66488971e-02,1.85951850e-01,1.67984671e-03,4.23920765e-06
2.94400048e+00,4.96261199e-02,1.92037104e-01,2.59989280e-02,5.25965017e-02,4.95813329e-02,1.92036692e-01,1.79546289e-03,4.35472457e-06
3.04064649e+00,5.27537240e-02,1.98319572e-01,2.68521696e-02,5.43214045e-02,5.27065768e-02,1.98319147e-01,1.91935206e-03,4.47176685e-06
3.14046522e+00,5.60868775e-02,2.04805899e-01,2.77333957e-02,5.61027556e-02,5.60371632e-02,2.04805461e-01,2.05213775e-03,4.59018072e-06
3.24356081e+00,5.96389081e-02,2.11502505e-01,2.86435222e-02,5.79423899e-02,5.95864046e-02,2.11502053e-01,2.19449377e-03,4.70979197e-06
3.35004083e+00,6.34239657e-02,2.18415988e-01,2.95834950e-02,5.98422010e-02,6.33684341e-02,2.18415521e-01,2.34714861e-03,4.83040482e-06
3.46001639e+00,6.74570663e-02,2.25553127e-01,3.05542908e-02,6.18041426e-02,6.73982487e-02,2.25552645e-01,2.51089009e-03,4.95180097e-06
3.57360225e+00,7.17541368e-02,2.32920880e-01,3.15569179e-02,6.38302302e-02,7.16917548e-02,2.32920382e-01,2.68657048e-03,5.07373892e-06
3.69091691e+00,7.63320613e-02,2.40526388e-01,3.25924173e-02,6.59225430e-02,7.62658131e-02,2.40525874e-01,2.87511202e-03,5.19595358e-06
3.81208280e+00,8.12087265e-02,2.48376973e-01,3.36618639e-02,6.80832260e-02,8.11382848e-02,2.48376443e-01,3.07751297e-03,5.31815646e-06
3.93722633e+00,8.64030684e-02,2.56480137e-01,3.47663675e-02,7.03144915e-02,8.63280775e-02,2.56479590e-01,3.29485405e-03,5.44003652e-06
4.06647809e+00,9.19351178e-02,2.64843559e-01,3.59070736e-02,7.26186211e-02,9.18551909e-02,2.64842995e-01,3.52830544e-03,5.56126191e-06
4.19997295e+00,9.78260449e-02,2.73475096e-01,3.70851652e-02,7.49979677e-02,9.77407605e-02,2.73474514e-01,3.77913434e-03,5.68148295e-06
4.33785019e+00,1.04098201e-01,2.82382773e-01,3.83018631e-02,7.74549577e-02,1.04007100e-01,2.82382173e-01,4.04871305e-03,5.80033681e-06
4.48025368e+00,1.10775161e-01,2.91574780e-01,3.95584278e-02,7.99920926e-02,1.10677740e-01,2.91574160e-01,4.33852766e-03,5.91745416e-06
4.62733201e+00,1.17881752e-01,3.01059462e-01,4.08561604e-02,8.26119513e-02,1.17777464e-01,3.01058823e-01,4.65018729e-03,6.03246873e-06
4.77923865e+00,1.25444092e-01,3.10845313e-01,4.21964040e-02,8.53171921e-02,1.25332337e-01,3.10844654e-01,4.98543391e-03,6.14503027e-06
4.93613210e+00,1.33489604e-01,3.20940957e-01,4.35805449e-02,8.81105545e-02,1.33369724e-01,3.20940277e-01,5.34615274e-03,6.25482226e-06
5.09817606e+00,1.42047032e-01,3.31355138e-01,4.50100139e-02,9.09948619e-02,1.41918307e-01,3.31354438e-01,5.73438315e-03,6.36158537e-06
5.26553963e+00,1.51146442e-01,3.42096700e-01,4.64862879e-02,9.39730231e-02,1.51008084e-01,3.42095977e-01,6.15233011e-03,6.46514847e-06
5.43839743e+00,1.60819209e-01,3.53174560e-01,4.80108909e-02,9.70480346e-02,1.60670350e-01,3.53173815e-01,6.60237589e-03,6.56546909e-06
5.61692982e+00,1.71097979e-01,3.64597688e-01,4.95853958e-02,1.00222983e-01,1.70937667e-01,3.64596920e-01,7.08709222e-03,6.66268577e-06
5.80132310e+00,1.82016619e-01,3.76375069e-01,5.12114259e-02,1.03501046e-01,1.81843810e-01,3.76374278e-01,7.60925240e-03,6.75718509e-06
5.99176967e+00,1.93610136e-01,3.88515670e-01,5.28906561e-02,1.06885497e-01,1.93423681e-01,3.88514854e-01,8.17184351e-03,6.84968670e-06
6.18846824e+00,2.05914560e-01,4.01028390e-01,5.46248146e-02,1.10379704e-01,2.05713195e-01,4.01027550e-01,8.77807811e-03,6.94134973e-06
6.39162405e+00,2.18966796e-01,4.13922015e-01,5.64156844e-02,1.13987132e-01,2.18749130e-01,4.13921149e-01,9.43140548e-03,7.03390382e-06
6.60144909e+00,2.32804426e-01,4.27205152e-01,5.82651053e-02,1.17711349e-01,2.32568930e-01,4.27204261e-01,1.01355216e-02,7.12980727e-06
6.81816229e+00,2.47465462e-01,4.40886163e-01,6.01749750e-02,1.21556023e-01,2.47210454e-01,4.40885245e-01,1.08943778e-02,7.23243231e-06
7.04198979e+00,2.62988044e-01,4.54973083e-01,6.21472511e-02,1.25524925e-01,2.62711672e-01,4.54972138e-01,1.17121870e-02,7.34627372e-06
7.27316511e+00,2.79410058e-01,4.69473527e-01,6.41839527e-02,1.29621932e-01,2.79110285e-01,4.69472554e-01,1.25934274e-02,7.47717039e-06
7.51192949e+00,2.96768690e-01,4.84394584e-01,6.62871623e-02,1.33851030e-01,2.96443276e-01,4.84393582e-01,1.35428424e-02,7.63251988e-06
7.75853206e+00,3.15099887e-01,4.99742695e-01,6.84590273e-02,1.38216311e-01,3.14746368e-01,4.99741664e-01,1.45654359e-02,7.82145507e-06
8.01323013e+00,3.34437725e-01,5.15523517e-01,7.07017622e-02,1.42721977e-01,3.34053397e-01,5.15522457e-01,1.56664617e-02,8.05494127e-06
8.27628946e+00,3.54813683e-01,5.31741764e-01,7.30176500e-02,1.47372342e-01,3.54395572e-01,5.31740675e-01,1.68514068e-02,8.34574887e-06
8.54798453e+00,3.76255792e-01,5.48401033e-01,7.54090443e-02,1.52171833e-01,3.75800640e-01,5.48399912e-01,1.81259660e-02,8.70826621e-06
8.82859884e+00,3.98787698e-01,5.65503600e-01,7.78783712e-02,1.57124987e-01,3.98291932e-01,5.65502449e-01,1.94960075e-02,9.15814649e-06
9.11842520e+00,4.22427589e-01,5.83050205e-01,8.04281310e-02,1.62236456e-01,4.21887301e-01,5.83049022e-01,2.09675272e-02,9.71182690e-06
9.41776601e+00,4.47187042e-01,6.01039800e-01,8.30609003e-02,1.67511005e-01,4.46597959e-01,6.01038585e-01,2.25465924e-02,1.03860036e-05
9.72693362e+00,4.73069756e-01,6.19469277e-01,8.57793339e-02,1.72953511e-01,4.72427219e-01,6.19468029e-01,2.42392712e-02,1.11971691e-05
1.00462506e+01,5.00070231e-01,6.38333170e-01,8.85861664e-02,1.78568966e-01,4.99369167e-01,6.38331889e-01,2.60515496e-02,1.21613037e-05
1.03760502e+01,5.28172394e-01,6.57623328e-01,9.14842146e-02,1.84362472e-01,5.27407291e-01,6.57622014e-01,2.79892334e-02,1.32937661e-05
1.07166765e+01,5.57348233e-01,6.77328564e-01,9.44763791e-02,1.90339239e-01,5.56513118e-01,6.77327217e-01,3.00578380e-02,1.46093681e-05
1.10684849e+01,5.87556476e-01,6.97434278e-01,9.75656462e-02,1.96504590e-01,5.86644894e-01,6.97432898e-01,3.22624654e-02,1.61225770e-05
1.14318425e+01,6.18741400e-01,7.17922065e-01,1.00755090e-01,2.02863948e-01,6.17746393e-01,7.17920651e-01,3.46076709e-02,1.78477738e-05
1.18071285e+01,6.50831824e-01,7.38769298e-01,1.04047874e-01,2.09422843e-01,6.49745916e-01,7.38767851e-01,3.70973238e-02,1.97995050e-05
1.21947344e+01,6.83740388e-01,7.59948715e-01,1.07447252e-01,2.16186898e-01,6.82555576e-01,7.59947235e-01,3.97344660e-02,2.19926866e-05
1.25950646e+01,7.17363202e-01,7.81428002e-01,1.10956573e-01,2.23161833e-01,7.16070944e-01,7.81426488e-01,4.25211739e-02,2.44427391e-05
1.30085370e+01,7.51579945e-01,8.03169385e-01,1.14579278e-01,2.30353453e-01,7.50171163e-01,8.03167838e-01,4.54584319e-02,2.71656499e-05
1.34355829e+01,7.86254504e-01,8.25129263e-01,1.18318907e-01,2.37767645e-01,7.84719583e-01,8.25127683e-01,4.85460228e-02,3.01779649e-05
1.38766479e+01,8.21236200e-01,8.47257881e-01,1.22179096e-01,2.45410367e-01,8.19564994e-01,8.47256269e-01,5.17824456e-02,3.34967172e-05
1.43321923e+01,8.56361634e-01,8.69499076e-01,1.26163579e-01,2.53287641e-01,8.54543485e-01,8.69497433e-01,5.51648662e-02,3.71393004e-05
1.48026913e+01,8.91457158e-01,8.91790117e-01,1.30276194e-01,2.61405541e-01,8.89480909e-01,8.91788442e-01,5.86891083e-02,4.11232921e-05
1.52886359e+01,9.26341908e-01,9.14061666e-01,1.34520877e-01,2.69770180e-01,9.24195922e-01,9.14059962e-01,6.23496893e-02,4.54662350e-05
1.57905331e+01,9.60831309e-01,9.36237893e-01,1.38901669e-01,2.78387702e-01,9.58503492e-01,9.36236159e-01,6.61399019e-02,5.01853785e-05
1.63089068e+01,9.94740920e-01,9.58236759e-01,1.43422711e-01,2.87264258e-01,9.92218748e-01,9.58234998e-01,7.00519424e-02,5.52973890e-05
1.68442976e+01,1.02789044e+00,9.79970519e-01,1.48088251e-01,2.96405995e-01,1.02516098e+00,9.79968730e-01,7.40770790e-02,6.08180330e-05
1.73972643e+01,1.06010770e+00,1.00134643e+00,1.52902639e-01,3.05819033e-01,1.05715762e+00,1.00134462e+00,7.82058536e-02,6.67618420e-05
1.79683839e+01,1.09123237e+00,1.02226773e+00,1.57870329e-01,3.15509445e-01,1.08804798e+00,1.02226589e+00,8.24283065e-02,7.31417671e-05
1.85582523e+01,1.12111928e+00,1.04263481e+00,1.62995878e-01,3.25483231e-01,1.11768653e+00,1.04263295e+00,8.67342116e-02,7.99688350e-05
1.91674849e+01,1.14964117e+00,1.06234671e+00,1.68283947e-01,3.35746292e-01,1.14594564e+00,1.06234483e+00,9.11133082e-02,8.72518182e-05
1.97967175e+01,1.17669066e+00,1.08130274e+00,1.73739297e-01,3.46304401e-01,1.17271759e+00,1.08130084e+00,9.55555182e-02,9.49969317e-05
2.04466067e+01,1.20218147e+00,1.09940436e+00,1.79366789e-01,3.57163166e-01,1.19791575e+00,1.09940244e+00,1.00051136e-01,1.03207571e-04
2.11178304e+01,1.22604891e+00,1.11655714e+00,1.85171382e-01,3.68327997e-01,1.22147505e+00,1.11655520e+00,1.04590983e-01,1.11884107e-04
2.18110892e+01,1.24824952e+00,1.13267278e+00,1.91158130e-01,3.79804066e-01,1.24335166e+00,1.13267084e+00,1.09166521e-01,1.21023744e-04
2.25271064e+01,1.26876011e+00,1.14767118e+00,1.97332177e-01,3.91596259e-01,1.26352196e+00,1.14766922e+00,1.13769924e-01,1.30620458e-04
2.32666291e+01,1.28757624e+00,1.16148226e+00,2.03698757e-01,4.03709134e-01,1.28198112e+00,1.16148030e+00,1.18394104e-01,1.40665016e-04
2.40304289e+01,1.30471031e+00,1.17404778e+00,2.10263183e-01,4.16146862e-01,1.29874106e+00,1.17404580e+00,1.23032696e-01,1.51145080e-04
2.48193029e+01,1.32018934e+00,1.18532266e+00,2.17030850e-01,4.28913174e-01,1.31382834e+00,1.18532067e+00,1.27680019e-01,1.62045393e-04
2.56340741e+01,1.33405267e+00,1.19527611e+00,2.24007217e-01,4.42011301e-01,1.32728180e+00,1.19527412e+00,1.32330991e-01,1.73348034e-04
2.64755927e+01,1.34634961e+00,1.20389228e+00,2.31197811e-01,4.55443901e-01,1.33915023e+00,1.20389029e+00,1.36981043e-01,1.85032737e-04
2.73447368e+01,1.35713719e+00,1.21117048e+00,2.38608211e-01,4.69212995e-01,1.34949014e+00,1.21116849e+00,1.41626003e-01,1.97077249e-04
2.82424133e+01,1.36647812e+00,1.21712493e+00,2.46244037e-01,4.83319883e-01,1.35836367e+00,1.21712293e+00,1.46261984e-01,2.09457714e-04
2.91695588e+01,1.37443886e+00,1.22178411e+00,2.54110947e-01,4.97765066e-01,1.36583677e+00,1.22178210e+00,1.50885263e-01,2.22149063e-04
3.01271407e+01,1.38108808e+00,1.22518968e+00,2.62214616e-01,5.12548157e-01,1.37197753e+00,1.22518767e+00,1.55492171e-01,2.35125384e-04
3.11161583e+01,1.38649523e+00,1.22739514e+00,2.70560724e-01,5.27667789e-01,1.37685486e+00,1.22739314e+00,1.60078981e-01,2.48360261e-04
3.21376434e+01,1.39072947e+00,1.22846418e+00,2.79154943e-01,5.43121513e-01,1.38053740e+00,1.22846218e+00,1.64641813e-01,2.61827065e-04
3.31926620e+01,1.39385881e+00,1.22846886e+00,2.88002916e-01,5.58905700e-01,1.38309265e+00,1.22846685e+00,1.69176551e-01,2.75499189e-04
3.42823149e+01,1.39594948e+00,1.22748774e+00,2.97110238e-01,5.75015431e-01,1.38458635e+00,1.22748573e+00,1.73678766e-01,2.89350213e-04
3.54077391e+01,1.39706545e+00,1.22560399e+00,3.06482439e-01,5.91444383e-01,1.38508202e+00,1.22560198e+00,1.78143657e-01,3.03354002e-04
3.65701088e+01,1.39726816e+00,1.22290357e+00,3.16124950e-01,6.08184717e-01,1.38464069e+00,1.22290155e+00,1.82566010e-01,3.17484746e-04
3.77706369e+01,1.39661640e+00,1.21947353e+00,3.26043089e-01,6.25226960e-01,1.38332078e+00,1.21947151e+00,1.86940157e-01,3.31716927e-04
3.90105762e+01,1.39516627e+00,1.21540048e+00,3.36242024e-01,6.42559883e-01,1.38117806e+00,1.21539845e+00,1.91259962e-01,3.46025240e-04
4.02912203e+01,1.39297122e+00,1.21076923e+00,3.46726743e-01,6.60170384e-01,1.37826569e+00,1.21076720e+00,1.95518810e-01,3.60384464e-04
4.16139055e+01,1.39008218e+00,1.20566169e+00,3.57502026e-01,6.78043370e-01,1.37463439e+00,1.20565965e+00,1.99709608e-01,3.74769304e-04
4.29800121e+01,1.38654776e+00,1.20015598e+00,3.68572399e-01,6.96161639e-01,1.37033259e+00,1.20015393e+00,2.03824798e-01,3.89154201e-04
4.43909653e+01,1.38241441e+00,1.19432568e+00,3.79942102e-01,7.14505776e-01,1.36540659e+00,1.19432362e+00,2.07856378e-01,4.03513132e-04
4.58482375e+01,1.37772663e+00,1.18823937e+00,3.91615045e-01,7.33054048e-01,1.35990082e+00,1.18823729e+00,2.11795931e-01,4.17819401e-04
4.73533492e+01,1.37252724e+00,1.18196029e+00,4.03594758e-01,7.51782313e-01,1.35385805e+00,1.18195819e+00,2.15634663e-01,4.32045443e-04
4.89078709e+01,1.36685754e+00,1.17554617e+00,4.15884349e-01,7.70663947e-01,1.34731954e+00,1.17554405e+00,2.19363444e-01,4.46162629e-04
5.05134247e+01,1.36075755e+00,1.16904921e+00,4.28486444e-01,7.89669778e-01,1.34032531e+00,1.16904707e+00,2.22972860e-01,4.60141102e-04
5.21716858e+01,1.35426615e+00,1.16251614e+00,4.41403139e-01,8.08768052e-01,1.33291425e+00,1.16251396e+00,2.26453263e-01,4.73949629e-04
5.38843844e+01,1.34742130e+00,1.15598837e+00,4.54635939e-01,8.27924420e-01,1.32512429e+00,1.15598616e+00,2.29794828e-01,4.87555494e-04
5.56533078e+01,1.34026015e+00,1.14950226e+00,4.68185696e-01,8.47101945e-01,1.31699253e+00,1.14950001e+00,2.32987617e-01,5.00924425e-04
5.74803016e+01,1.33281919e+00,1.14308937e+00,4.82052545e-01,8.66261160e-01,1.30855534e+00,1.14308707e+00,2.36021636e-01,5.14020561e-04
5.93672722e+01,1.32513428e+00,1.13677677e+00,4.96235838e-01,8.85360144e-01,1.29984838e+00,1.13677440e+00,2.38886903e-01,5.26806466e-04
6.13161884e+01,1.31724081e+00,1.13058738e+00,5.10734078e-01,9.04354651e-01,1.29090671e+00,1.13058493e+00,2.41573509e-01,5.39243193e-04
6.33290840e+01,1.30917370e+00,1.12454032e+00,5.25544843e-01,9.23198277e-01,1.28176475e+00,1.12453777e+00,2.44071686e-01,5.51290398e-04
6.54080591e+01,1.30096743e+00,1.11865125e+00,5.40664714e-01,9.41842679e-01,1.27245630e+00,1.11864857e+00,2.46371866e-01,5.62906505e-04
6.75552832e+01,1.29265610e+00,1.11293269e+00,5.56089208e-01,9.60237840e-01,1.26301451e+00,1.11292984e+00,2.48464748e-01,5.74048925e-04
6.97729965e+01,1.28427340e+00,1.10739439e+00,5.71812696e-01,9.78332383e-01,1.25347181e+00,1.10739130e+00,2.50341357e-01,5.84674333e-04
7.20635132e+01,1.27585265e+00,1.10204359e+00,5.87828335e-01,9.96073940e-01,1.24385986e+00,1.10204017e+00,2.51993105e-01,5.94738990e-04
7.44292233e+01,1.26742674e+00,1.09688538e+00,6.04127995e-01,1.01340956e+00,1.23420949e+00,1.09688146e+00,2.53411845e-01,6.04199125e-04
7.68725952e+01,1.25902819e+00,1.09192302e+00,6.20702186e-01,1.03028620e+00,1.22455056e+00,1.09191825e+00,2.54589931e-01,6.13011351e-04
7.93961785e+01,1.25068912e+00,1.08715841e+00,6.37539996e-01,1.04665117e+00,1.21491196e+00,1.08715194e+00,2.55520267e-01,6.21133140e-04
8.20026062e+01,1.24244128e+00,1.08259401e+00,6.54629026e-01,1.06245275e+00,1.20532143e+00,1.08258247e+00,2.56196359e-01,6.28523316e-04
8.46945981e+01,1.23431610e+00,1.07845856e+00,6.71955331e-01,1.07764067e+00,1.19580551e+00,1.07820853e+00,2.56612360e-01,6.35142592e-04
8.74749630e+01,1.22634470e+00,1.09217690e+00,6.89503374e-01,1.09216679e+00,1.18638945e+00,1.07402778e+00,2.56763121e-01,6.40954115e-04
9.03466021e+01,1.21855806e+00,1.10599017e+00,7.07255981e-01,1.10598560e+00,1.17709711e+00,1.07003698e+00,2.56644230e-01,6.45924029e-04
9.33125118e+01,1.21098707e+00,1.11905764e+00,7.25194309e-01,1.11905485e+00,1.16795091e+00,1.06623214e+00,2.56252053e-01,6.50022034e-04
9.63757866e+01,1.20366276e+00,1.13133805e+00,7.43297826e-01,1.13133614e+00,1.15897173e+00,1.06260871e+00,2.55583775e-01,6.53221936e-04
9.95396231e+01,1.19661647e+00,1.14279677e+00,7.61544299e-01,1.14279537e+00,1.15017889e+00,1.05916164e+00,2.54637436e-01,6.55502167e-04
1.02807322e+02,1.18988021e+00,1.15340439e+00,7.79909799e-01,1.15340331e+00,1.14159007e+00,1.05588551e+00,2.53411963e-01,6.56846283e-04
1.06182294e+02,1.18348689e+00,1.16313682e+00,7.98368723e-01,1.16313597e+00,1.13322131e+00,1.05277464e+00,2.51907207e-01,6.57243410e-04
1.09668060e+02,1.17747086e+00,1.17197565e+00,8.16893825e-01,1.17197497e+00,1.12508696e+00,1.04982313e+00,2.50123966e-01,6.56688643e-04
1.13268257e+02,1.17186825e+00,1.17990835e+00,8.35456268e-01,1.17990778e+00,1.11719972e+00,1.04702497e+00,2.48064015e-01,6.55183385e-04
1.16986641e+02,1.16671756e+00,1.18692842e+00,8.54025699e-01,1.18692794e+00,1.10957058e+00,1.04437407e+00,2.45730126e-01,6.52735622e-04
1.20827094e+02,1.16206018e+00,1.19303551e+00,8.72570330e-01,1.19303510e+00,1.10220889e+00,1.04186432e+00,2.43126091e-01,6.49360133e-04
1.24793621e+02,1.15794079e+00,1.19823538e+00,8.91057048e-01,1.19823502e+00,1.09512240e+00,1.03948965e+00,2.40256731e-01,6.45078640e-04
1.28890361e+02,1.15440775e+00,1.20253975e+00,9.09451539e-01,1.20253944e+00,1.08831722e+00,1.03724405e+00,2.37127903e-01,6.39919887e-04
1.33121590e+02,1.15151298e+00,1.20596614e+00,9.27718430e-01,1.20596586e+00,1.08179795e+00,1.03512159e+00,2.33746511e-01,6.33919670e-04
1.37491723e+02,1.14931143e+00,1.20853751e+00,9.45821445e-01,1.20853725e+00,1.07556771e+00,1.03311648e+00,2.30120492e-01,6.27120812e-04
1.42005318e+02,1.14785950e+00,1.21028190e+00,9.63723590e-01,1.21028166e+00,1.06962819e+00,1.03122304e+00,2.26258810e-01,6.19573102e-04
1.46667087e+02,1.14721234e+00,1.21123198e+00,9.81387330e-01,1.21123176e+00,1.06397972e+00,1.02943578e+00,2.22171431e-01,6.11333200e-04
1.51481892e+02,1.14741959e+00,1.21142453e+00,9.98774803e-01,1.21142431e+00,1.05862137e+00,1.02774934e+00,2.17869301e-01,6.02464519e-04
1.56454759e+02,1.14851961e+00,1.21089986e+00,1.01584803e+00,1.21089966e+00,1.05355099e+00,1.02615856e+00,2.13364298e-01,5.93037103e-04
1.61590875e+02,1.15053271e+00,1.20970129e+00,1.03256912e+00,1.20970109e+00,1.04876534e+00,1.02465846e+00,2.08669194e-01,5.83127494e-04
1.66895601e+02,1.15345445e+00,1.20787446e+00,1.04890054e+00,1.20787427e+00,1.04426011e+00,1.02324423e+00,2.03797591e-01,5.72818596e-04
1.72374471e+02,1.15725067e+00,1.20546682e+00,1.06480530e+00,1.20546663e+00,1.04003006e+00,1.02191127e+00,1.98763852e-01,5.62199541e-04
1.78033202e+02,1.16185580e+00,1.20252695e+00,1.08024721e+00,1.20252677e+00,1.03606910e+00,1.02065515e+00,1.93583032e-01,5.51365545e-04
1.83877698e+02,1.16717518e+00,1.19910407e+00,1.09519109e+00,1.19910388e+00,1.03237033e+00,1.01947165e+00,1.88270782e-01,5.40417725e-04
1.89914058e+02,1.17309122e+00,1.19524743e+00,1.10960301e+00,1.19524724e+00,1.02892618e+00,1.01835671e+00,1.82843264e-01,5.29462879e-04
1.96148581e+02,1.17947174e+00,1.19100587e+00,1.12345052e+00,1.19100568e+00,1.02572845e+00,1.01730646e+00,1.77317042e-01,5.18613152e-04
2.02587771e+02,1.18617878e+00,1.18642734e+00,1.13670280e+00,1.18642715e+00,1.02276845e+00,1.01631724e+00,1.71708979e-01,5.07985579e-04
2.09238348e+02,1.19307619e+00,1.18155848e+00,1.14933093e+00,1.18155829e+00,1.02003702e+00,1.01538552e+00,1.66036122e-01,4.97701399e-04
2.16107251e+02,1.20003526e+00,1.17644432e+00,1.16130800e+00,1.17644413e+00,1.01752463e+00,1.01450797e+00,1.60315586e-01,4.87885106e-04
2.23201647e+02,1.20693820e+00,1.17112794e+00,1.17260932e+00,1.17112774e+00,1.01522147e+00,1.01368141e+00,1.54564439e-01,4.78663132e-04
2.30528939e+02,1.21367981e+00,1.16565024e+00,1.18321257e+00,1.16565004e+00,1.01311754e+00,1.01290283e+00,1.48799582e-01,4.70162112e-04
2.38096772e+02,1.22016792e+00,1.16004975e+00,1.19309789e+00,1.16004954e+00,1.01120266e+00,1.01216936e+00,1.43037633e-01,4.62506662e-04
2.45913043e+02,1.22632292e+00,1.15436251e+00,1.20224803e+00,1.15436229e+00,1.00946659e+00,1.01147828e+00,1.37294816e-01,4.55816688e-04
2.53985907e+02,1.23207688e+00,1.14862193e+00,1.21064847e+00,1.14862170e+00,1.00789910e+00,1.01082704e+00,1.31586852e-01,4.50204232e-04
2.62323788e+02,1.23737258e+00,1.14285878e+00,1.21828741e+00,1.14285854e+00,1.00648999e+00,1.01021318e+00,1.25928859e-01,4.45770008e-04
2.70935387e+02,1.24216236e+00,1.13710115e+00,1.22515595e+00,1.13710090e+00,1.00522917e+00,1.00963440e+00,1.20335259e-01,4.42599806e-04
2.79829688e+02,1.24640721e+00,1.13137450e+00,1.23124803e+00,1.13137423e+00,1.00410671e+00,1.00908851e+00,1.14819690e-01,4.40761024e-04
2.89015972e+02,1.25007581e+00,1.12570167e+00,1.23656052e+00,1.12570138e+00,1.00311288e+00,1.00857346e+00,1.09394941e-01,4.40299641e-04
2.98503825e+02,1.25314381e+00,1.12010297e+00,1.24109321e+00,1.12010266e+00,1.00223822e+00,1.00808729e+00,1.04072879e-01,4.41237924e-04
3.08303146e+02,1.25559312e+00,1.11459629e+00,1.24484881e+00,1.11459595e+00,1.00147354e+00,1.00762815e+00,9.88644048e-02,4.43573100e-04
3.18424160e+02,1.25741137e+00,1.10919719e+00,1.24783294e+00,1.10919682e+00,1.00080996e+00,1.00719432e+00,9.37794088e-02,4.47277123e-04
3.28877429e+02,1.25859140e+00,1.10391902e+00,1.25005408e+00,1.10391862e+00,1.00023896e+00,1.00678414e+00,8.88267454e-02,4.52297536e-04
3.39673858e+02,1.25913086e+00,1.09877310e+00,1.25152353e+00,1.09877265e+00,9.99752405e-01,1.00639607e+00,8.40142154e-02,4.58559285e-04
3.50824714e+02,1.25903184e+00,1.09376877e+00,1.25225534e+00,1.09376826e+00,9.99342518e-01,1.00602866e+00,7.93485613e-02,4.65967256e-04
3.62341632e+02,1.25830050e+00,1.08891361e+00,1.25226627e+00,1.08891305e+00,9.99001941e-01,1.00568053e+00,7.48354729e-02,4.74409249e-04
3.74236629e+02,1.25694684e+00,1.08421357e+00,1.25157563e+00,1.08421294e+00,9.98723724e-01,1.00535039e+00,7.04796030e-02,4.83759108e-04
3.86522116e+02,1.25498437e+00,1.07967306e+00,1.25020526e+00,1.07967235e+00,9.98501332e-01,1.00503704e+00,6.62845924e-02,4.93879772e-04
3.99210913e+02,1.25242990e+00,1.07529516e+00,1.24817933e+00,1.07529436e+00,9.98328647e-01,1.00473933e+00,6.22531034e-02,5.04626093e-04
4.12316259e+02,1.24930323e+00,1.07108171e+00,1.24552427e+00,1.07108080e+00,9.98199964e-01,1.00445621e+00,5.83868602e-02,5.15847331e-04
4.25851829e+02,1.24562697e+00,1.06703342e+00,1.24226859e+00,1.06703240e+00,9.98109989e-01,1.00418668e+00,5.46866964e-02,5.27389323e-04
4.39831747e+02,1.24142625e+00,1.06315007e+00,1.23844272e+00,1.06314892e+00,9.98053825e-01,1.00392981e+00,5.11526069e-02,5.39096376e-04
