label,I_tot0_A,r0,dV0_V,Td_s,taur_s,tauf_s,K_v,pole_factor,tau_v_s,Td_v_s,dec_sigma_So,mimo_sigma_So,dec_S11,mimo_S11,dec_S22,mimo_S22,dec_T_alpha_vref,mimo_T_alpha_vref
K-out-of-envelope,0.5,0.7,-0.4,0.002,0.0003,0.0008,1.0,1.0,0.005,0.001,3.835696,4.091777,2.230459,1.625269,1.490743,1.281670,3.64071006e+00,3.76388169e+00
in-envelope,0.5,0.7,0.0,0.002,0.0003,0.0008,2.0,0.5,0.005,0.004,2.407188,1.698284,1.425780,1.289187,2.406213,1.673024,0.00000000e+00,2.75434883e-01
in-envelope,0.5,0.7,0.0,0.002,0.0003,0.0008,0.5,2.0,0.0005,0.001,1.425863,1.306273,1.425780,1.289160,1.310091,1.115103,0.00000000e+00,1.91265406e-01
in-envelope,0.5,0.7,0.0,0.002,0.0003,0.0008,2.0,2.0,0.0005,0.004,1.863615,1.488087,1.425780,1.289126,1.863121,1.462145,0.00000000e+00,2.49465462e-01
in-envelope,0.5,0.7,0.0,0.002,0.0003,0.0008,1.0,1.0,0.005,0.001,1.490958,1.307438,1.425780,1.289164,1.490743,1.277785,0.00000000e+00,2.09516539e-01
K-out-of-envelope,0.5,0.7,-0.4,0.0005,2e-05,0.0008,2.0,0.5,0.005,0.004,5.671849,4.319582,1.379478,1.343266,2.406213,1.675220,5.16052548e+00,3.98817219e+00
K-out-of-envelope,0.5,0.7,-0.4,0.0005,2e-05,0.0008,0.5,2.0,0.0005,0.001,3.967517,3.810511,1.379478,1.302309,1.310091,1.117590,3.78775317e+00,3.53988044e+00
K-out-of-envelope,0.5,0.7,-0.4,0.0005,2e-05,0.0008,2.0,2.0,0.0005,0.004,5.211402,4.210758,1.379478,1.322574,1.863121,1.467958,4.90831854e+00,3.95849420e+00
K-out-of-envelope,0.5,0.7,-0.4,0.0005,2e-05,0.0008,1.0,1.0,0.005,0.001,3.609525,3.489970,1.379478,1.327043,1.490743,1.281163,3.39208662e+00,3.24905258e+00
in-envelope,0.5,0.7,0.0,0.0005,0.0003,0.0,2.0,0.5,0.005,0.004,2.407188,1.695730,1.128365,1.146239,2.406213,1.673071,0.00000000e+00,2.60190456e-01
in-envelope,0.5,0.7,0.0,0.0005,0.0003,0.0,0.5,2.0,0.0005,0.001,1.310222,1.165013,1.128365,1.146224,1.310091,1.115102,0.00000000e+00,1.75889055e-01
in-envelope,0.5,0.7,0.0,0.0005,0.0003,0.0,2.0,2.0,0.0005,0.004,1.863615,1.484801,1.128365,1.146205,1.863121,1.462190,0.00000000e+00,2.33274743e-01
in-envelope,0.5,0.7,0.0,0.0005,0.0003,0.0,1.0,1.0,0.005,0.001,1.490958,1.292939,1.128365,1.146227,1.490743,1.277790,0.00000000e+00,1.95685136e-01
in-envelope,2.0,0.3,0.4,0.002,0.0003,0.0008,2.0,0.5,0.005,0.004,2.462283,1.676998,1.576853,1.369409,2.406213,1.673475,5.29475032e-01,1.16520473e-01
in-envelope,2.0,0.3,0.4,0.002,0.0003,0.0008,0.5,2.0,0.0005,0.001,1.606305,1.379740,1.576853,1.372123,1.310091,1.114914,3.95082484e-01,1.00584350e-01
in-envelope,2.0,0.3,0.4,0.002,0.0003,0.0008,2.0,2.0,0.0005,0.004,1.924216,1.465924,1.576853,1.371090,1.863121,1.462197,5.05699997e-01,9.80094972e-02
in-envelope,2.0,0.3,0.4,0.002,0.0003,0.0008,1.0,1.0,0.005,0.001,1.585631,1.371476,1.576853,1.370508,1.490743,1.277643,3.51061524e-01,6.95495512e-02
in-envelope,2.0,0.3,-0.4,0.002,0.0003,0.0008,2.0,0.5,0.005,0.004,2.553514,1.875358,1.295082,1.211845,2.406213,1.671190,8.47958745e-01,7.75258746e-01
in-envelope,2.0,0.3,-0.4,0.002,0.0003,0.0008,0.5,2.0,0.0005,0.001,1.365383,1.345730,1.295082,1.209712,1.310091,1.115252,5.16043545e-01,5.36165373e-01
in-envelope,2.0,0.3,-0.4,0.002,0.0003,0.0008,2.0,2.0,0.0005,0.004,2.022685,1.679391,1.295082,1.210376,1.863121,1.461149,7.74954222e-01,7.18428688e-01
in-envelope,2.0,0.3,-0.4,0.002,0.0003,0.0008,1.0,1.0,0.005,0.001,1.551027,1.438129,1.295082,1.210946,1.490743,1.277608,5.21976187e-01,5.87496589e-01
in-envelope,2.0,0.3,0.0,0.002,0.0003,0.0008,2.0,0.5,0.005,0.004,2.407188,1.698284,1.425780,1.289187,2.406213,1.673024,0.00000000e+00,2.75434883e-01
in-envelope,2.0,0.3,0.0,0.002,0.0003,0.0008,0.5,2.0,0.0005,0.001,1.425863,1.306273,1.425780,1.289160,1.310091,1.115103,0.00000000e+00,1.91265406e-01
in-envelope,2.0,0.3,0.0,0.002,0.0003,0.0008,2.0,2.0,0.0005,0.004,1.863615,1.488087,1.425780,1.289126,1.863121,1.462145,0.00000000e+00,2.49465462e-01
in-envelope,2.0,0.3,0.0,0.002,0.0003,0.0008,1.0,1.0,0.005,0.001,1.490958,1.307438,1.425780,1.289164,1.490743,1.277785,0.00000000e+00,2.09516539e-01
in-envelope,2.0,0.3,0.4,0.0005,2e-05,0.0,2.0,0.5,0.005,0.004,2.457934,1.677772,1.122373,1.156961,2.406213,1.673618,5.05308163e-01,1.30736604e-01
in-envelope,2.0,0.3,0.4,0.0005,2e-05,0.0,0.5,2.0,0.0005,0.001,1.315733,1.163283,1.122373,1.158951,1.310091,1.114932,3.24923576e-01,7.08040992e-02
in-envelope,2.0,0.3,0.4,0.0005,2e-05,0.0,2.0,2.0,0.0005,0.004,1.918056,1.465882,1.122373,1.158074,1.863121,1.462328,4.68386072e-01,9.57550280e-02
in-envelope,2.0,0.3,0.4,0.0005,2e-05,0.0,1.0,1.0,0.005,0.001,1.510281,1.279434,1.122373,1.157749,1.490743,1.277690,3.17127633e-01,7.54030632e-02
in-envelope,2.0,0.3,-0.4,0.0005,2e-05,0.0008,2.0,0.5,0.005,0.004,2.541530,1.856122,1.131579,1.133941,2.406213,1.671190,8.09637736e-01,7.39853290e-01
in-envelope,2.0,0.3,-0.4,0.0005,2e-05,0.0008,0.5,2.0,0.0005,0.001,1.326555,1.284595,1.131579,1.132021,1.310091,1.115228,4.67746817e-01,5.10926276e-01
in-envelope,2.0,0.3,-0.4,0.0005,2e-05,0.0008,2.0,2.0,0.0005,0.004,2.005655,1.656145,1.131579,1.132733,1.863121,1.461148,7.26797291e-01,6.83839861e-01
in-envelope,2.0,0.3,-0.4,0.0005,2e-05,0.0008,1.0,1.0,0.005,0.001,1.548008,1.423209,1.131579,1.133150,1.490743,1.277571,4.89163454e-01,5.61827110e-01
in-envelope,2.0,0.3,0.0,0.0005,0.0003,0.0,2.0,0.5,0.005,0.004,2.407188,1.695730,1.128365,1.146239,2.406213,1.673071,0.00000000e+00,2.60190456e-01
in-envelope,2.0,0.3,0.0,0.0005,0.0003,0.0,0.5,2.0,0.0005,0.001,1.310222,1.165013,1.128365,1.146224,1.310091,1.115102,0.00000000e+00,1.75889055e-01
in-envelope,2.0,0.3,0.0,0.0005,0.0003,0.0,2.0,2.0,0.0005,0.004,1.863615,1.484801,1.128365,1.146205,1.863121,1.462190,0.00000000e+00,2.33274743e-01
in-envelope,2.0,0.3,0.0,0.0005,0.0003,0.0,1.0,1.0,0.005,0.001,1.490958,1.292939,1.128365,1.146227,1.490743,1.277790,0.00000000e+00,1.95685136e-01
in-envelope,2.0,0.5,0.4,0.002,0.0003,0.0008,2.0,0.5,0.005,0.004,2.527835,1.698233,1.425780,1.288925,2.406213,1.673780,7.81623762e-01,2.69515930e-01
in-envelope,2.0,0.5,0.4,0.002,0.0003,0.0008,0.5,2.0,0.0005,0.001,1.483799,1.315274,1.425780,1.291797,1.310091,1.114833,5.31972004e-01,2.06261588e-01
in-envelope,2.0,0.5,0.4,0.002,0.0003,0.0008,2.0,2.0,0.0005,0.004,1.996120,1.491221,1.425780,1.290739,1.863121,1.462330,7.34817391e-01,2.63137659e-01
in-envelope,2.0,0.5,0.4,0.002,0.0003,0.0008,1.0,1.0,0.005,0.001,1.537318,1.299424,1.425780,1.290099,1.490743,1.277607,5.01821358e-01,2.00762270e-01
in-envelope,2.0,0.5,-0.4,0.002,0.0003,0.0008,2.0,0.5,0.005,0.004,2.527835,1.872817,1.425780,1.289443,2.406213,1.672258,7.81623762e-01,8.02033544e-01
in-envelope,2.0,0.5,-0.4,0.002,0.0003,0.0008,0.5,2.0,0.0005,0.001,1.483799,1.426459,1.425780,1.286529,1.310091,1.115370,5.31972004e-01,5.80402016e-01
in-envelope,2.0,0.5,-0.4,0.002,0.0003,0.0008,2.0,2.0,0.0005,0.004,1.996120,1.678453,1.425780,1.287509,1.863121,1.461950,7.34817391e-01,7.58514877e-01
in-envelope,2.0,0.5,-0.4,0.002,0.0003,0.0008,1.0,1.0,0.005,0.001,1.537318,1.423790,1.425780,1.288226,1.490743,1.277957,5.01821358e-01,6.14773736e-01
in-envelope,2.0,0.5,0.0,0.002,0.0003,0.0008,2.0,0.5,0.005,0.004,2.407188,1.698284,1.425780,1.289187,2.406213,1.673024,0.00000000e+00,2.75434883e-01
in-envelope,2.0,0.5,0.0,0.002,0.0003,0.0008,0.5,2.0,0.0005,0.001,1.425863,1.306273,1.425780,1.289160,1.310091,1.115103,0.00000000e+00,1.91265406e-01
in-envelope,2.0,0.5,0.0,0.002,0.0003,0.0008,2.0,2.0,0.0005,0.004,1.863615,1.488087,1.425780,1.289126,1.863121,1.462145,0.00000000e+00,2.49465462e-01
in-envelope,2.0,0.5,0.0,0.002,0.0003,0.0008,1.0,1.0,0.005,0.001,1.490958,1.307438,1.425780,1.289164,1.490743,1.277785,0.00000000e+00,2.09516539e-01
in-envelope,2.0,0.5,0.4,0.0005,2e-05,0.0,2.0,0.5,0.005,0.004,2.516719,1.696802,1.098025,1.130174,2.406213,1.673937,7.38975728e-01,2.61538605e-01
in-envelope,2.0,0.5,0.4,0.0005,2e-05,0.0,0.5,2.0,0.0005,0.001,1.322696,1.155062,1.098025,1.132440,1.310091,1.114860,4.50654385e-01,1.84013170e-01
in-envelope,2.0,0.5,0.4,0.0005,2e-05,0.0,2.0,2.0,0.0005,0.004,1.979899,1.487512,1.098025,1.131507,1.863121,1.462473,6.75311209e-01,2.46250769e-01
in-envelope,2.0,0.5,0.4,0.0005,2e-05,0.0,1.0,1.0,0.005,0.001,1.534847,1.292461,1.098025,1.131084,1.490743,1.277671,4.54899686e-01,1.90902709e-01
in-envelope,2.0,0.5,-0.4,0.0005,2e-05,0.0008,2.0,0.5,0.005,0.004,2.519893,1.855422,1.178644,1.175886,2.406213,1.672148,7.51412534e-01,7.64187379e-01
in-envelope,2.0,0.5,-0.4,0.0005,2e-05,0.0008,0.5,2.0,0.0005,0.001,1.322737,1.317692,1.178644,1.173417,1.310091,1.115342,4.69769538e-01,5.44031154e-01
in-envelope,2.0,0.5,-0.4,0.0005,2e-05,0.0008,2.0,2.0,0.0005,0.004,1.984495,1.656558,1.178644,1.174395,1.863121,1.461858,6.91619152e-01,7.18666260e-01
in-envelope,2.0,0.5,-0.4,0.0005,2e-05,0.0008,1.0,1.0,0.005,0.001,1.535518,1.411574,1.178644,1.174880,1.490743,1.277898,4.66837570e-01,5.82638290e-01
in-envelope,2.0,0.5,0.0,0.0005,0.0003,0.0,2.0,0.5,0.005,0.004,2.407188,1.695730,1.128365,1.146239,2.406213,1.673071,0.00000000e+00,2.60190456e-01
in-envelope,2.0,0.5,0.0,0.0005,0.0003,0.0,0.5,2.0,0.0005,0.001,1.310222,1.165013,1.128365,1.146224,1.310091,1.115102,0.00000000e+00,1.75889055e-01
in-envelope,2.0,0.5,0.0,0.0005,0.0003,0.0,2.0,2.0,0.0005,0.004,1.863615,1.484801,1.128365,1.146205,1.863121,1.462190,0.00000000e+00,2.33274743e-01
in-envelope,2.0,0.5,0.0,0.0005,0.0003,0.0,1.0,1.0,0.005,0.001,1.490958,1.292939,1.128365,1.146227,1.490743,1.277790,0.00000000e+00,1.95685136e-01
in-envelope,2.0,0.7,0.4,0.002,0.0003,0.0008,2.0,0.5,0.005,0.004,2.553514,1.709321,1.295082,1.211650,2.406213,1.674192,8.47958745e-01,3.05050732e-01
