t_s,v_ref,v,i_cmd,regen_v_ref,regen_v,regen_i_cmd
0.1740,2.000000,0.350608,12.000000,0.000000,1.598851,-12.000000
0.1760,2.000000,0.355669,12.000000,0.000000,1.593805,-12.000000
0.1780,2.000000,0.360728,12.000000,0.000000,1.588761,-12.000000
0.1800,2.000000,0.365786,12.000000,0.000000,1.583719,-12.000000
0.1820,2.000000,0.370843,12.000000,0.000000,1.578678,-12.000000
0.1840,2.000000,0.375898,12.000000,0.000000,1.573638,-12.000000
0.1860,2.000000,0.380951,12.000000,0.000000,1.568600,-12.000000
0.1880,2.000000,0.386003,12.000000,0.000000,1.563564,-12.000000
0.1900,2.000000,0.391053,12.000000,0.000000,1.558529,-12.000000
0.1920,2.000000,0.396102,12.000000,0.000000,1.553495,-12.000000
0.1940,2.000000,0.401149,12.000000,0.000000,1.548464,-12.000000
0.1960,2.000000,0.406195,12.000000,0.000000,1.543433,-12.000000
0.1980,2.000000,0.411239,12.000000,0.000000,1.538405,-12.000000
0.2000,2.000000,0.416281,12.000000,0.000000,1.533377,-12.000000
0.2020,2.000000,0.421322,12.000000,0.000000,1.528352,-12.000000
0.2040,2.000000,0.426362,12.000000,0.000000,1.523327,-12.000000
0.2060,2.000000,0.431400,12.000000,0.000000,1.518305,-12.000000
0.2080,2.000000,0.436436,12.000000,0.000000,1.513284,-12.000000
0.2100,2.000000,0.441471,12.000000,0.000000,1.508264,-12.000000
0.2120,2.000000,0.446505,12.000000,0.000000,1.503246,-12.000000
0.2140,2.000000,0.451536,12.000000,0.000000,1.498230,-12.000000
0.2160,2.000000,0.456567,12.000000,0.000000,1.493215,-12.000000
0.2180,2.000000,0.461595,12.000000,0.000000,1.488201,-12.000000
0.2200,2.000000,0.466623,12.000000,0.000000,1.483189,-12.000000
0.2220,2.000000,0.471648,12.000000,0.000000,1.478179,-12.000000
0.2240,2.000000,0.476673,12.000000,0.000000,1.473170,-12.000000
0.2260,2.000000,0.481695,12.000000,0.000000,1.468163,-12.000000
0.2280,2.000000,0.486716,12.000000,0.000000,1.463157,-12.000000
0.2300,2.000000,0.491736,12.000000,0.000000,1.458153,-12.000000
0.2320,2.000000,0.496754,12.000000,0.000000,1.453150,-12.000000
0.2340,2.000000,0.501770,12.000000,0.000000,1.448149,-12.000000
0.2360,2.000000,0.506785,12.000000,0.000000,1.443149,-12.000000
0.2380,2.000000,0.511799,12.000000,0.000000,1.438151,-12.000000
0.2400,2.000000,0.516811,12.000000,0.000000,1.433154,-12.000000
0.2420,2.000000,0.521821,12.000000,0.000000,1.428159,-12.000000
0.2440,2.000000,0.526830,12.000000,0.000000,1.423166,-12.000000
0.2460,2.000000,0.531837,12.000000,0.000000,1.418174,-12.000000
0.2480,2.000000,0.536843,12.000000,0.000000,1.413183,-12.000000
0.2500,2.000000,0.541847,12.000000,0.000000,1.408194,-12.000000
0.2520,2.000000,0.546850,12.000000,0.000000,1.403207,-12.000000
0.2540,2.000000,0.551851,12.000000,0.000000,1.398221,-12.000000
0.2560,2.000000,0.556851,12.000000,0.000000,1.393236,-12.000000
0.2580,2.000000,0.561849,12.000000,0.000000,1.388253,-12.000000
0.2600,2.000000,0.566846,12.000000,0.000000,1.383272,-12.000000
0.2620,2.000000,0.571841,12.000000,0.000000,1.378292,-12.000000
0.2640,2.000000,0.576834,12.000000,0.000000,1.373314,-12.000000
0.2660,2.000000,0.581826,12.000000,0.000000,1.368337,-12.000000
0.2680,2.000000,0.586817,12.000000,0.000000,1.363361,-12.000000
0.2700,2.000000,0.591806,12.000000,0.000000,1.358388,-12.000000
0.2720,2.000000,0.596793,12.000000,0.000000,1.353415,-12.000000
0.2740,2.000000,0.601779,12.000000,0.000000,1.348444,-12.000000
0.2760,2.000000,0.606764,12.000000,0.000000,1.343475,-12.000000
0.2780,2.000000,0.611747,12.000000,0.000000,1.338507,-12.000000
0.2800,2.000000,0.616728,12.000000,0.000000,1.333541,-12.000000
0.2820,2.000000,0.621708,12.000000,0.000000,1.328576,-12.000000
0.2840,2.000000,0.626686,12.000000,0.000000,1.323613,-12.000000
0.2860,2.000000,0.631663,12.000000,0.000000,1.318652,-12.000000
0.2880,2.000000,0.636639,12.000000,0.000000,1.313691,-12.000000
0.2900,2.000000,0.641612,12.000000,0.000000,1.308733,-12.000000
0.2920,2.000000,0.646585,12.000000,0.000000,1.303776,-12.000000
0.2940,2.000000,0.651556,12.000000,0.000000,1.298820,-12.000000
0.2960,2.000000,0.656525,12.000000,0.000000,1.293866,-12.000000
0.2980,2.000000,0.661493,12.000000,0.000000,1.288913,-12.000000
0.3000,2.000000,0.666459,12.000000,0.000000,1.283962,-12.000000
0.3020,2.000000,0.671424,12.000000,0.000000,1.279013,-12.000000
0.3040,2.000000,0.676387,12.000000,0.000000,1.274064,-12.000000
0.3060,2.000000,0.681348,12.000000,0.000000,1.269118,-12.000000
0.3080,2.000000,0.686309,12.000000,0.000000,1.264173,-12.000000
0.3100,2.000000,0.691267,12.000000,0.000000,1.259229,-12.000000
0.3120,2.000000,0.696224,12.000000,0.000000,1.254287,-12.000000
0.3140,2.000000,0.701180,12.000000,0.000000,1.249347,-12.000000
0.3160,2.000000,0.706134,12.000000,0.000000,1.244408,-12.000000
0.3180,2.000000,0.711087,12.000000,0.000000,1.239470,-12.000000
0.3200,2.000000,0.716038,12.000000,0.000000,1.234534,-12.000000
0.3220,2.000000,0.720987,12.000000,0.000000,1.229600,-12.000000
0.3240,2.000000,0.725936,12.000000,0.000000,1.224667,-12.000000
0.3260,2.000000,0.730882,12.000000,0.000000,1.219735,-12.000000
0.3280,2.000000,0.735827,12.000000,0.000000,1.214805,-12.000000
0.3300,2.000000,0.740771,12.000000,0.000000,1.209877,-12.000000
0.3320,2.000000,0.745713,12.000000,0.000000,1.204950,-12.000000
0.3340,2.000000,0.750653,12.000000,0.000000,1.200024,-12.000000
0.3360,2.000000,0.755592,12.000000,0.000000,1.195100,-12.000000
0.3380,2.000000,0.760530,12.000000,0.000000,1.190178,-12.000000
0.3400,2.000000,0.765466,12.000000,0.000000,1.185257,-12.000000
0.3420,2.000000,0.770400,12.000000,0.000000,1.180337,-12.000000
0.3440,2.000000,0.775333,12.000000,0.000000,1.175419,-12.000000
0.3460,2.000000,0.780265,12.000000,0.000000,1.170503,-12.000000
0.3480,2.000000,0.785195,12.000000,0.000000,1.165588,-12.000000
0.3500,2.000000,0.790123,12.000000,0.000000,1.160674,-12.000000
0.3520,2.000000,0.795050,12.000000,0.000000,1.155762,-12.000000
0.3540,2.000000,0.799976,12.000000,0.000000,1.150852,-12.000000
0.3560,2.000000,0.804900,12.000000,0.000000,1.145943,-12.000000
0.3580,2.000000,0.809822,12.000000,0.000000,1.141035,-12.000000
0.3600,2.000000,0.814743,12.000000,0.000000,1.136129,-12.000000
0.3620,2.000000,0.819663,12.000000,0.000000,1.131225,-12.000000
0.3640,2.000000,0.824581,12.000000,0.000000,1.126322,-12.000000
0.3660,2.000000,0.829497,12.000000,0.000000,1.121420,-12.000000
0.3680,2.000000,0.834412,12.000000,0.000000,1.116520,-12.000000
0.3700,2.000000,0.839326,12.000000,0.000000,1.111622,-12.000000
0.3720,2.000000,0.844238,12.000000,0.000000,1.106725,-12.000000
0.3740,2.000000,0.849148,12.000000,0.000000,1.101829,-12.000000
0.3760,2.000000,0.854057,12.000000,0.000000,1.096935,-12.000000
0.3780,2.000000,0.858965,12.000000,0.000000,1.092043,-12.000000
0.3800,2.000000,0.863871,12.000000,0.000000,1.087152,-12.000000
0.3820,2.000000,0.868775,12.000000,0.000000,1.082262,-12.000000
0.3840,2.000000,0.873678,12.000000,0.000000,1.077374,-12.000000
0.3860,2.000000,0.878580,12.000000,0.000000,1.072488,-12.000000
0.3880,2.000000,0.883480,12.000000,0.000000,1.067603,-12.000000
0.3900,2.000000,0.888378,12.000000,0.000000,1.062719,-12.000000
0.3920,2.000000,0.893275,12.000000,0.000000,1.057837,-12.000000
0.3940,2.000000,0.898171,12.000000,0.000000,1.052956,-12.000000
0.3960,2.000000,0.903065,12.000000,0.000000,1.048077,-12.000000
0.3980,2.000000,0.907957,12.000000,0.000000,1.043200,-12.000000
0.4000,2.000000,0.912848,12.000000,0.000000,1.038323,-12.000000
0.4020,2.000000,0.917738,12.000000,0.000000,1.033449,-12.000000
0.4040,2.000000,0.922626,12.000000,0.000000,1.028576,-12.000000
0.4060,2.000000,0.927512,12.000000,0.000000,1.023704,-12.000000
0.4080,2.000000,0.932397,12.000000,0.000000,1.018834,-12.000000
0.4100,2.000000,0.937281,12.000000,0.000000,1.013965,-12.000000
0.4120,2.000000,0.942163,12.000000,0.000000,1.009098,-12.000000
0.4140,2.000000,0.947044,12.000000,0.000000,1.004232,-12.000000
0.4160,2.000000,0.951923,12.000000,0.000000,0.999368,-12.000000
0.4180,2.000000,0.956800,12.000000,0.000000,0.994505,-12.000000
0.4200,2.000000,0.961677,12.000000,0.000000,0.989644,-12.000000
0.4220,2.000000,0.966551,12.000000,0.000000,0.984784,-12.000000
0.4240,2.000000,0.971424,12.000000,0.000000,0.979926,-12.000000
0.4260,2.000000,0.976296,12.000000,0.000000,0.975069,-12.000000
0.4280,2.000000,0.981166,12.000000,0.000000,0.970214,-11.989397
0.4300,2.000000,0.986035,12.000000,0.000000,0.965360,-12.000000
0.4320,2.000000,0.990902,12.000000,0.000000,0.960507,-12.000000
0.4340,2.000000,0.995768,12.000000,0.000000,0.955658,-12.000000
0.4360,2.000000,1.000632,12.000000,0.000000,0.950811,-12.000000
0.4380,2.000000,1.005495,12.000000,0.000000,0.945963,-12.000000
0.4400,2.000000,1.010356,12.000000,0.000000,0.941117,-12.000000
0.4420,2.000000,1.015216,12.000000,0.000000,0.936272,-12.000000
0.4440,2.000000,1.020074,12.000000,0.000000,0.931429,-12.000000
0.4460,2.000000,1.024931,12.000000,0.000000,0.926587,-12.000000
0.4480,2.000000,1.029786,11.989397,0.000000,0.921746,-11.985981
0.4500,2.000000,1.034640,12.000000,0.000000,0.916907,-12.000000
0.4520,2.000000,1.039493,12.000000,0.000000,0.912069,-12.000000
0.4540,2.000000,1.044342,12.000000,0.000000,0.907235,-12.000000
0.4560,2.000000,1.049189,12.000000,0.000000,0.902403,-12.000000
0.4580,2.000000,1.054037,12.000000,0.000000,0.897571,-12.000000
0.4600,2.000000,1.058883,12.000000,0.000000,0.892740,-12.000000
0.4620,2.000000,1.063728,12.000000,0.000000,0.887909,-12.000000
0.4640,2.000000,1.068571,12.000000,0.000000,0.883081,-12.000000
0.4660,2.000000,1.073413,12.000000,0.000000,0.878253,-12.000000
0.4680,2.000000,1.078254,11.985981,0.000000,0.873428,-12.000000
0.4700,2.000000,1.083093,12.000000,0.000000,0.868603,-12.000000
0.4720,2.000000,1.087931,12.000000,0.000000,0.863780,-11.992267
0.4740,2.000000,1.092765,12.000000,0.000000,0.858959,-12.000000
0.4760,2.000000,1.097597,12.000000,0.000000,0.854139,-12.000000
0.4780,2.000000,1.102429,12.000000,0.000000,0.849321,-12.000000
0.4800,2.000000,1.107260,12.000000,0.000000,0.844506,-12.000000
0.4820,2.000000,1.112091,12.000000,0.000000,0.839691,-12.000000
0.4840,2.000000,1.116919,12.000000,0.000000,0.834877,-11.998497
0.4860,2.000000,1.121747,12.000000,0.000000,0.830065,-12.000000
0.4880,2.000000,1.126572,12.000000,0.000000,0.825254,-11.991112
0.4900,2.000000,1.131397,12.000000,0.000000,0.820444,-12.000000
0.4920,2.000000,1.136220,11.992267,0.000000,0.815636,-12.000000
0.4940,2.000000,1.141041,12.000000,0.000000,0.810831,-12.000000
0.4960,2.000000,1.145861,12.000000,0.000000,0.806028,-12.000000
0.4980,2.000000,1.150679,12.000000,0.000000,0.801225,-12.000000
0.5000,2.000000,1.155494,12.000000,0.000000,0.796422,-12.000000
0.5020,2.000000,1.160309,12.000000,0.000000,0.791621,-12.000000
0.5040,2.000000,1.165123,11.998497,0.000000,0.786822,-11.995584
0.5060,2.000000,1.169935,12.000000,0.000000,0.782024,-12.000000
0.5080,2.000000,1.174746,11.991112,0.000000,0.777228,-12.000000
0.5100,2.000000,1.179556,12.000000,0.000000,0.772433,-12.000000
0.5120,2.000000,1.184364,12.000000,0.000000,0.767641,-11.992814
0.5140,2.000000,1.189169,12.000000,0.000000,0.762849,-12.000000
0.5160,2.000000,1.193972,12.000000,0.000000,0.758058,-12.000000
0.5180,2.000000,1.198775,12.000000,0.000000,0.753270,-12.000000
0.5200,2.000000,1.203578,12.000000,0.000000,0.748484,-12.000000
0.5220,2.000000,1.208379,12.000000,0.000000,0.743698,-12.000000
0.5240,2.000000,1.213178,11.995584,0.000000,0.738914,-11.999034
0.5260,2.000000,1.217976,12.000000,0.000000,0.734130,-12.000000
0.5280,2.000000,1.222772,12.000000,0.000000,0.729349,-11.989099
0.5300,2.000000,1.227567,12.000000,0.000000,0.724568,-12.000000
0.5320,2.000000,1.232359,11.992814,0.000000,0.719789,-12.000000
0.5340,2.000000,1.237151,12.000000,0.000000,0.715014,-12.000000
0.5360,2.000000,1.241942,12.000000,0.000000,0.710240,-12.000000
0.5380,2.000000,1.246730,12.000000,0.000000,0.705466,-12.000000
0.5400,2.000000,1.251516,12.000000,0.000000,0.700693,-12.000000
0.5420,2.000000,1.256302,12.000000,0.000000,0.695922,-12.000000
0.5440,2.000000,1.261086,11.999034,0.000000,0.691151,-12.000000
0.5460,2.000000,1.265870,12.000000,0.000000,0.686383,-12.000000
0.5480,2.000000,1.270651,11.989099,0.000000,0.681615,-11.991786
0.5500,2.000000,1.275432,12.000000,0.000000,0.676850,-12.000000
0.5520,2.000000,1.280211,12.000000,0.000000,0.672085,-12.000000
0.5540,2.000000,1.284986,12.000000,0.000000,0.667323,-12.000000
0.5560,2.000000,1.289760,12.000000,0.000000,0.662564,-12.000000
0.5580,2.000000,1.294534,12.000000,0.000000,0.657804,-12.000000
0.5600,2.000000,1.299307,12.000000,0.000000,0.653046,-12.000000
0.5620,2.000000,1.304078,12.000000,0.000000,0.648289,-12.000000
0.5640,2.000000,1.308849,12.000000,0.000000,0.643533,-11.987553
0.5660,2.000000,1.313617,12.000000,0.000000,0.638779,-12.000000
0.5680,2.000000,1.318385,11.991786,0.000000,0.634026,-12.000000
0.5700,2.000000,1.323150,12.000000,0.000000,0.629276,-12.000000
0.5720,2.000000,1.327915,12.000000,0.000000,0.624529,-12.000000
0.5740,2.000000,1.332677,12.000000,0.000000,0.619782,-12.000000
0.5760,2.000000,1.337436,12.000000,0.000000,0.615035,-12.000000
0.5780,2.000000,1.342196,12.000000,0.000000,0.610290,-12.000000
0.5800,2.000000,1.346954,12.000000,0.000000,0.605546,-12.000000
0.5820,2.000000,1.351711,12.000000,0.000000,0.600803,-12.000000
0.5840,2.000000,1.356467,11.987553,0.000000,0.596062,-11.999546
0.5860,2.000000,1.361221,12.000000,0.000000,0.591322,-12.000000
0.5880,2.000000,1.365974,12.000000,0.000000,0.586584,-11.985984
0.5900,2.000000,1.370724,12.000000,0.000000,0.581847,-12.000000
0.5920,2.000000,1.375471,12.000000,0.000000,0.577111,-12.000000
0.5940,2.000000,1.380218,12.000000,0.000000,0.572379,-12.000000
0.5960,2.000000,1.384965,12.000000,0.000000,0.567650,-12.000000
0.5980,2.000000,1.389710,12.000000,0.000000,0.562920,-12.000000
0.6000,2.000000,1.394454,12.000000,0.000000,0.558191,-12.000000
0.6020,2.000000,1.399197,12.000000,0.000000,0.553463,-12.000000
0.6040,2.000000,1.403938,11.999546,0.000000,0.548736,-12.000000
0.6060,2.000000,1.408678,12.000000,0.000000,0.544011,-12.000000
0.6080,2.000000,1.413416,11.985984,0.000000,0.539287,-12.000000
0.6100,2.000000,1.418153,12.000000,0.000000,0.534564,-12.000000
0.6120,2.000000,1.422889,12.000000,0.000000,0.529843,-11.994504
0.6140,2.000000,1.427621,12.000000,0.000000,0.525124,-12.000000
0.6160,2.000000,1.432350,12.000000,0.000000,0.520406,-12.000000
0.6180,2.000000,1.437080,12.000000,0.000000,0.515690,-12.000000
0.6200,2.000000,1.441809,12.000000,0.000000,0.510976,-11.998411
0.6220,2.000000,1.446537,12.000000,0.000000,0.506263,-12.000000
0.6240,2.000000,1.451264,12.000000,0.000000,0.501550,-11.993308
0.6260,2.000000,1.455989,12.000000,0.000000,0.496840,-12.000000
0.6280,2.000000,1.460713,12.000000,0.000000,0.492130,-12.000000
0.6300,2.000000,1.465436,12.000000,0.000000,0.487423,-12.000000
0.6320,2.000000,1.470157,11.994504,0.000000,0.482718,-12.000000
0.6340,2.000000,1.474876,12.000000,0.000000,0.478014,-12.000000
0.6360,2.000000,1.479594,12.000000,0.000000,0.473310,-11.998285
0.6380,2.000000,1.484310,12.000000,0.000000,0.468608,-12.000000
0.6400,2.000000,1.489024,11.998411,0.000000,0.463907,-11.992140
0.6420,2.000000,1.493737,12.000000,0.000000,0.459208,-12.000000
0.6440,2.000000,1.498450,11.993308,0.000000,0.454510,-12.000000
0.6460,2.000000,1.503160,12.000000,0.000000,0.449815,-12.000000
0.6480,2.000000,1.507870,12.000000,0.000000,0.445121,-12.000000
0.6500,2.000000,1.512577,12.000000,0.000000,0.440428,-12.000000
0.6520,2.000000,1.517282,12.000000,0.000000,0.435736,-12.000000
0.6540,2.000000,1.521986,12.000000,0.000000,0.431045,-12.000000
0.6560,2.000000,1.526690,11.998285,0.000000,0.426356,-11.990730
0.6580,2.000000,1.531392,12.000000,0.000000,0.421668,-12.000000
0.6600,2.000000,1.536093,11.992140,0.000000,0.416981,-12.000000
0.6620,2.000000,1.540792,12.000000,0.000000,0.412298,-12.000000
0.6640,2.000000,1.545490,12.000000,0.000000,0.407616,-12.000000
0.6660,2.000000,1.550185,12.000000,0.000000,0.402935,-12.000000
0.6680,2.000000,1.554879,12.000000,0.000000,0.398254,-12.000000
0.6700,2.000000,1.559572,12.000000,0.000000,0.393574,-12.000000
0.6720,2.000000,1.564264,12.000000,0.000000,0.388897,-11.995547
0.6740,2.000000,1.568955,12.000000,0.000000,0.384220,-12.000000
0.6760,2.000000,1.573644,11.990730,0.000000,0.379545,-12.000000
