t_s,v_ref,alpha_ref,dec_v,dec_alpha,dec_i,dec_r,dec500_v,dec500_alpha,dec500_i,dec500_r,mimo_v,mimo_alpha,mimo_i,mimo_r
3.8000000e-02,-2.0000000e+00,0.0000000e+00,-2.7351860e-01,4.8109416e-03,-2.0000000e+01,2.9941303e-01,-2.7351860e-01,4.1056253e-03,-2.0000000e+01,2.9866372e-01,-2.9784316e-01,-1.2614542e-01,-2.0000000e+01,1.8051999e-01
4.0000000e-02,-2.0000000e+00,0.0000000e+00,-2.9153541e-01,3.4671521e-03,-2.0000000e+01,2.9838382e-01,-2.9153541e-01,2.8789232e-03,-2.0000000e+01,2.9778513e-01,-3.1585434e-01,-1.1847152e-01,-2.0000000e+01,1.8854188e-01
4.2000000e-02,-2.0000000e+00,0.0000000e+00,-3.0954809e-01,2.4539822e-03,-2.0000000e+01,2.9764161e-01,-3.0954809e-01,1.9688226e-03,-2.0000000e+01,2.9716611e-01,-3.3386114e-01,-1.1040761e-01,-2.0000000e+01,1.9724656e-01
4.4000000e-02,-2.0000000e+00,0.0000000e+00,-3.2755641e-01,1.7369058e-03,-2.0000000e+01,2.9711502e-01,-3.2755641e-01,1.3385340e-03,-2.0000000e+01,2.9674228e-01,-3.5186354e-01,-1.0185049e-01,-2.0000000e+01,2.0565087e-01
4.6000000e-02,-2.0000000e+00,0.0000000e+00,-3.4556035e-01,1.2497226e-03,-2.0000000e+01,2.9674086e-01,-3.4556035e-01,9.2637975e-04,-2.0000000e+01,2.9645221e-01,-3.6986155e-01,-9.3279360e-02,-2.0000000e+01,2.1439841e-01
4.8000000e-02,-2.0000000e+00,0.0000000e+00,-3.6355990e-01,9.2808479e-04,-2.0000000e+01,2.9647023e-01,-3.6355990e-01,6.7035530e-04,-2.0000000e+01,2.9625013e-01,-3.8785517e-01,-8.4555650e-02,-2.0000000e+01,2.2263543e-01
5.0000000e-02,-2.0000000e+00,0.0000000e+00,-3.8155506e-01,7.2021473e-04,-2.0000000e+01,2.9626791e-01,-3.8155506e-01,5.1942773e-04,-2.0000000e+01,2.9610244e-01,-4.0584441e-01,-7.6071543e-02,-2.0000000e+01,2.3098519e-01
5.2000000e-02,-2.0000000e+00,0.0000000e+00,-3.9954583e-01,5.8806974e-04,-2.0000000e+01,2.9610974e-01,-3.9954583e-01,4.3549634e-04,-2.0000000e+01,2.9598691e-01,-4.2382926e-01,-6.7661985e-02,-2.0000000e+01,2.3871031e-01
5.4000000e-02,-2.0000000e+00,0.0000000e+00,-4.1753221e-01,5.0516411e-04,-2.0000000e+01,2.9597962e-01,-4.1753221e-01,3.9215816e-04,-2.0000000e+01,2.9588919e-01,-4.4180972e-01,-5.9644888e-02,-2.0000000e+01,2.4640509e-01
5.6000000e-02,-2.0000000e+00,0.0000000e+00,-4.3551422e-01,4.5370698e-04,-2.0000000e+01,2.9586711e-01,-4.3551422e-01,3.7210122e-04,-2.0000000e+01,2.9580070e-01,-4.5978580e-01,-5.1838809e-02,-2.0000000e+01,2.5343029e-01
5.8000000e-02,-2.0000000e+00,0.0000000e+00,-4.5349183e-01,4.2205107e-04,-2.0000000e+01,2.9576552e-01,-4.5349183e-01,3.6456250e-04,-2.0000000e+01,2.9571645e-01,-4.7775750e-01,-4.4502497e-02,-2.0000000e+01,2.6034685e-01
6.0000000e-02,-2.0000000e+00,0.0000000e+00,-4.7146506e-01,4.0271792e-04,-2.0000000e+01,2.9567065e-01,-4.7146506e-01,3.6318432e-04,-2.0000000e+01,2.9563380e-01,-4.9572482e-01,-3.7446900e-02,-2.0000000e+01,2.6659497e-01
6.2000000e-02,-2.0000000e+00,0.0000000e+00,-4.8943392e-01,3.9097871e-04,-2.0000000e+01,2.9557988e-01,-4.8943392e-01,3.6442688e-04,-2.0000000e+01,2.9555144e-01,-5.1368776e-01,-3.0885874e-02,-2.0000000e+01,2.7270116e-01
6.4000000e-02,-2.0000000e+00,0.0000000e+00,-5.0739839e-01,3.8388016e-04,-2.0000000e+01,2.9549160e-01,-5.0739839e-01,3.6645846e-04,-2.0000000e+01,2.9546881e-01,-5.3164631e-01,-2.4629386e-02,-2.0000000e+01,2.7816809e-01
6.6000000e-02,-2.0000000e+00,0.0000000e+00,-5.2535848e-01,3.7959691e-04,-2.0000000e+01,2.9540484e-01,-5.2535848e-01,3.6842980e-04,-2.0000000e+01,2.9538575e-01,-5.4960049e-01,-1.8858460e-02,-2.0000000e+01,2.8348910e-01
6.8000000e-02,-2.0000000e+00,0.0000000e+00,-5.4331419e-01,3.7701059e-04,-2.0000000e+01,2.9531898e-01,-5.4331419e-01,3.7002069e-04,-2.0000000e+01,2.9530227e-01,-5.6755029e-01,-1.3386564e-02,-2.0000000e+01,2.8821507e-01
7.0000000e-02,-2.0000000e+00,0.0000000e+00,-5.6126552e-01,3.7544124e-04,-2.0000000e+01,2.9523368e-01,-5.6126552e-01,3.7117243e-04,-2.0000000e+01,2.9521845e-01,-5.8549571e-01,-8.3714088e-03,-2.0000000e+01,2.9280872e-01
7.2000000e-02,-2.0000000e+00,0.0000000e+00,-5.7921248e-01,3.7447816e-04,-2.0000000e+01,2.9514870e-01,-5.7921248e-01,3.7193815e-04,-2.0000000e+01,2.9513438e-01,-6.0343676e-01,-3.6326460e-03,-2.0000000e+01,2.9685777e-01
7.4000000e-02,-2.0000000e+00,0.0000000e+00,-5.9715506e-01,3.7387481e-04,-2.0000000e+01,2.9506394e-01,-5.9715506e-01,3.7240536e-04,-2.0000000e+01,2.9505016e-01,-6.2137344e-01,6.8818210e-04,-2.0000000e+01,3.0079750e-01
7.6000000e-02,-2.0000000e+00,0.0000000e+00,-6.1509326e-01,3.7348395e-04,-2.0000000e+01,2.9497930e-01,-6.1509326e-01,3.7265978e-04,-2.0000000e+01,2.9496583e-01,-6.3930574e-01,4.7638945e-03,-2.0000000e+01,3.0424368e-01
7.8000000e-02,-2.0000000e+00,0.0000000e+00,-6.3302709e-01,3.7321812e-04,-2.0000000e+01,2.9489475e-01,-6.3302709e-01,3.7277163e-04,-2.0000000e+01,2.9488145e-01,-6.5723367e-01,8.4639772e-03,-2.0000000e+01,3.0760751e-01
8.0000000e-02,-2.0000000e+00,0.0000000e+00,-6.5095655e-01,3.7302555e-04,-2.0000000e+01,2.9481025e-01,-6.5095655e-01,3.7279290e-04,-2.0000000e+01,2.9479705e-01,-6.7515722e-01,1.1953284e-02,-2.0000000e+01,3.1052618e-01
8.2000000e-02,-2.0000000e+00,0.0000000e+00,-6.6888164e-01,3.7287578e-04,-2.0000000e+01,2.9472580e-01,-6.6888164e-01,3.7275951e-04,-2.0000000e+01,2.9471265e-01,-6.9307641e-01,1.5108767e-02,-2.0000000e+01,3.1339000e-01
8.4000000e-02,-2.0000000e+00,0.0000000e+00,-6.8680236e-01,3.7275091e-04,-2.0000000e+01,2.9464138e-01,-6.8680236e-01,3.7269491e-04,-2.0000000e+01,2.9462825e-01,-7.1099123e-01,1.8087446e-02,-2.0000000e+01,3.1585278e-01
8.6000000e-02,-2.0000000e+00,0.0000000e+00,-7.0471871e-01,3.7264049e-04,-2.0000000e+01,2.9455698e-01,-7.0471871e-01,3.7261363e-04,-2.0000000e+01,2.9454387e-01,-7.2890168e-01,2.0771362e-02,-2.0000000e+01,3.1828671e-01
8.8000000e-02,-2.0000000e+00,0.0000000e+00,-7.2263069e-01,3.7253843e-04,-2.0000000e+01,2.9447262e-01,-7.2263069e-01,3.7252422e-04,-2.0000000e+01,2.9445951e-01,-7.4680777e-01,2.3310147e-02,-2.0000000e+01,3.2035881e-01
9.0000000e-02,-2.0000000e+00,0.0000000e+00,-7.4053830e-01,3.7244121e-04,-2.0000000e+01,2.9438827e-01,-7.4053830e-01,3.7243141e-04,-2.0000000e+01,2.9437517e-01,-7.6470949e-01,2.5589406e-02,-2.0000000e+01,3.2242554e-01
9.2000000e-02,-2.0000000e+00,0.0000000e+00,-7.5844155e-01,3.7234676e-04,-2.0000000e+01,2.9430395e-01,-7.5844155e-01,3.7233764e-04,-2.0000000e+01,2.9429085e-01,-7.8260684e-01,2.7751971e-02,-2.0000000e+01,3.2416475e-01
9.4000000e-02,-2.0000000e+00,0.0000000e+00,-7.7634043e-01,3.7225392e-04,-2.0000000e+01,2.9421965e-01,-7.7634043e-01,3.7224403e-04,-2.0000000e+01,2.9420655e-01,-8.0049983e-01,2.9686086e-02,-2.0000000e+01,3.2591912e-01
9.6000000e-02,-2.0000000e+00,0.0000000e+00,-7.9423495e-01,3.7216200e-04,-2.0000000e+01,2.9413537e-01,-7.9423495e-01,3.7215098e-04,-2.0000000e+01,2.9412227e-01,-8.1838846e-01,3.1528395e-02,-2.0000000e+01,3.2737572e-01
9.8000000e-02,-2.0000000e+00,0.0000000e+00,-8.1212510e-01,3.7207061e-04,-2.0000000e+01,2.9405111e-01,-8.1212510e-01,3.7205857e-04,-2.0000000e+01,2.9403801e-01,-8.3627272e-01,3.3169259e-02,-2.0000000e+01,3.2886500e-01
1.0000000e-01,-2.0000000e+00,0.0000000e+00,-8.3001090e-01,3.7197954e-04,-2.0000000e+01,2.9396687e-01,-8.3001090e-01,3.7196672e-04,-2.0000000e+01,2.9395378e-01,-8.5415263e-01,3.4739716e-02,-2.0000000e+01,3.3008218e-01
1.0200000e-01,-2.0000000e+00,0.0000000e+00,-8.4789233e-01,3.7188866e-04,-2.0000000e+01,2.9388265e-01,-8.4789233e-01,3.7187530e-04,-2.0000000e+01,2.9386956e-01,-8.7202817e-01,3.6131982e-02,-2.0000000e+01,3.3134673e-01
1.0400000e-01,-2.0000000e+00,0.0000000e+00,-8.6576940e-01,3.7179789e-04,-2.0000000e+01,2.9379845e-01,-8.6576940e-01,3.7178418e-04,-2.0000000e+01,2.9378537e-01,-8.8989936e-01,3.7472014e-02,-2.0000000e+01,3.3236132e-01
1.0600000e-01,-2.0000000e+00,0.0000000e+00,-8.8364212e-01,3.7170720e-04,-2.0000000e+01,2.9371427e-01,-8.8364212e-01,3.7169329e-04,-2.0000000e+01,2.9370119e-01,-9.0776619e-01,3.8653774e-02,-2.0000000e+01,3.3343537e-01
1.0800000e-01,-2.0000000e+00,0.0000000e+00,-9.0151047e-01,3.7161656e-04,-2.0000000e+01,2.9363012e-01,-9.0151047e-01,3.7160254e-04,-2.0000000e+01,2.9361704e-01,-9.2562867e-01,3.9798590e-02,-2.0000000e+01,3.3427860e-01
1.1000000e-01,-2.0000000e+00,0.0000000e+00,-9.1937447e-01,3.7152596e-04,-2.0000000e+01,2.9354598e-01,-9.1937447e-01,3.7151188e-04,-2.0000000e+01,2.9353291e-01,-9.4348679e-01,4.0802163e-02,-2.0000000e+01,3.3519112e-01
1.1200000e-01,-2.0000000e+00,0.0000000e+00,-9.3723412e-01,3.7143538e-04,-2.0000000e+01,2.9346187e-01,-9.3723412e-01,3.7142129e-04,-2.0000000e+01,2.9344879e-01,-9.6134055e-01,4.1781570e-02,-2.0000000e+01,3.3588941e-01
1.1400000e-01,-2.0000000e+00,0.0000000e+00,-9.5508941e-01,3.7134484e-04,-2.0000000e+01,2.9337777e-01,-9.5508941e-01,3.7133074e-04,-2.0000000e+01,2.9336470e-01,-9.7918996e-01,4.2634293e-02,-2.0000000e+01,3.3666484e-01
