t_s,v_ref,alpha_ref,dec_v,dec_alpha,dec_i,dec_r,dec500_v,dec500_alpha,dec500_i,dec500_r,mimo_v,mimo_alpha,mimo_i,mimo_r
2.8320000e+00,-1.6672000e+00,0.0000000e+00,-1.6693327e+00,-2.6151601e-05,4.3498150e-01,4.9652160e-01,-1.6693327e+00,-2.6196809e-05,4.3498150e-01,4.9652247e-01,-1.2587185e+00,-5.6796762e-04,4.2848690e-01,4.9784688e-01
2.8340000e+00,-1.6664000e+00,0.0000000e+00,-1.6685327e+00,-2.6153566e-05,4.3519589e-01,4.9652753e-01,-1.6685327e+00,-2.6198782e-05,4.3519589e-01,4.9652841e-01,-1.2580244e+00,-5.6782876e-04,4.2870255e-01,4.9785247e-01
2.8360000e+00,-1.6656000e+00,0.0000000e+00,-1.6677327e+00,-2.6155511e-05,4.3541032e-01,4.9653346e-01,-1.6677327e+00,-2.6200736e-05,4.3541032e-01,4.9653434e-01,-1.2573304e+00,-5.6769037e-04,4.2891834e-01,4.9785806e-01
2.8380000e+00,-1.6648000e+00,0.0000000e+00,-1.6669327e+00,-2.6157437e-05,4.3562479e-01,4.9653940e-01,-1.6669327e+00,-2.6202668e-05,4.3562479e-01,4.9654027e-01,-1.2566363e+00,-5.6755159e-04,4.2913400e-01,4.9786365e-01
2.8400000e+00,-1.6640000e+00,0.0000000e+00,-1.6661326e+00,-2.6159340e-05,4.3583931e-01,4.9654533e-01,-1.6661326e+00,-2.6204578e-05,4.3583931e-01,4.9654621e-01,-1.2559422e+00,-5.6741327e-04,4.2934978e-01,4.9786924e-01
2.8420000e+00,-1.6632000e+00,0.0000000e+00,-1.6653326e+00,-2.6161221e-05,4.3605386e-01,4.9655126e-01,-1.6653326e+00,-2.6206465e-05,4.3605386e-01,4.9655214e-01,-1.2552481e+00,-5.6727455e-04,4.2956544e-01,4.9787482e-01
2.8440000e+00,-1.6624000e+00,0.0000000e+00,-1.6645326e+00,-2.6163078e-05,4.3626845e-01,4.9655720e-01,-1.6645326e+00,-2.6208328e-05,4.3626845e-01,4.9655807e-01,-1.2545539e+00,-5.6713630e-04,4.2978122e-01,4.9788041e-01
2.8460000e+00,-1.6616000e+00,0.0000000e+00,-1.6637326e+00,-2.6164909e-05,4.3648308e-01,4.9656313e-01,-1.6637326e+00,-2.6210166e-05,4.3648308e-01,4.9656401e-01,-1.2538597e+00,-5.6699766e-04,4.2999688e-01,4.9788600e-01
2.8480000e+00,-1.6608000e+00,0.0000000e+00,-1.6629326e+00,-2.6166715e-05,4.3669775e-01,4.9656907e-01,-1.6629326e+00,-2.6211977e-05,4.3669775e-01,4.9656994e-01,-1.2531655e+00,-5.6685946e-04,4.3021266e-01,4.9789159e-01
2.8500000e+00,-1.6600000e+00,0.0000000e+00,-1.6621326e+00,-2.6168494e-05,4.3691245e-01,4.9657500e-01,-1.6621326e+00,-2.6213761e-05,4.3691245e-01,4.9657588e-01,-1.2524712e+00,-5.6672089e-04,4.3042832e-01,4.9789718e-01
2.8520000e+00,-1.6592000e+00,0.0000000e+00,-1.6613326e+00,-2.6170245e-05,4.3712720e-01,4.9658094e-01,-1.6613326e+00,-2.6215517e-05,4.3712720e-01,4.9658182e-01,-1.2517770e+00,-5.6658276e-04,4.3064410e-01,4.9790277e-01
2.8540000e+00,-1.6584000e+00,0.0000000e+00,-1.6605325e+00,-2.6171968e-05,4.3734197e-01,4.9658688e-01,-1.6605325e+00,-2.6217245e-05,4.3734197e-01,4.9658775e-01,-1.2510827e+00,-5.6644427e-04,4.3085976e-01,4.9790836e-01
2.8560000e+00,-1.6576000e+00,0.0000000e+00,-1.6597325e+00,-2.6173663e-05,4.3755679e-01,4.9659281e-01,-1.6597325e+00,-2.6218943e-05,4.3755679e-01,4.9659369e-01,-1.2503884e+00,-5.6630619e-04,4.3107554e-01,4.9791395e-01
2.8580000e+00,-1.6568000e+00,0.0000000e+00,-1.6589325e+00,-2.6175328e-05,4.3777164e-01,4.9659875e-01,-1.6589325e+00,-2.6220612e-05,4.3777164e-01,4.9659963e-01,-1.2496940e+00,-5.6616777e-04,4.3129121e-01,4.9791953e-01
2.8600000e+00,-1.6560000e+00,0.0000000e+00,-1.6581325e+00,-2.6176963e-05,4.3798652e-01,4.9660469e-01,-1.6581325e+00,-2.6222251e-05,4.3798652e-01,4.9660556e-01,-1.2489997e+00,-5.6602976e-04,4.3150698e-01,4.9792512e-01
2.8620000e+00,-1.6552000e+00,0.0000000e+00,-1.6573325e+00,-2.6178568e-05,4.3820143e-01,4.9661063e-01,-1.6573325e+00,-2.6223860e-05,4.3820143e-01,4.9661150e-01,-1.2483053e+00,-5.6589141e-04,4.3172265e-01,4.9793071e-01
2.8640000e+00,-1.6544000e+00,0.0000000e+00,-1.6565325e+00,-2.6180142e-05,4.3841638e-01,4.9661656e-01,-1.6565325e+00,-2.6225437e-05,4.3841638e-01,4.9661744e-01,-1.2476108e+00,-5.6575346e-04,4.3193843e-01,4.9793630e-01
2.8660000e+00,-1.6536000e+00,0.0000000e+00,-1.6557325e+00,-2.6181686e-05,4.3863136e-01,4.9662250e-01,-1.6557325e+00,-2.6226983e-05,4.3863136e-01,4.9662338e-01,-1.2469164e+00,-5.6561519e-04,4.3215409e-01,4.9794189e-01
2.8680000e+00,-1.6528000e+00,0.0000000e+00,-1.6549325e+00,-2.6183198e-05,4.3884637e-01,4.9662844e-01,-1.6549325e+00,-2.6228498e-05,4.3884637e-01,4.9662932e-01,-1.2462219e+00,-5.6547730e-04,4.3236987e-01,4.9794748e-01
2.8700000e+00,-1.6520000e+00,0.0000000e+00,-1.6541325e+00,-2.6184679e-05,4.3906141e-01,4.9663438e-01,-1.6541325e+00,-2.6229981e-05,4.3906141e-01,4.9663526e-01,-1.2455274e+00,-5.6533910e-04,4.3258554e-01,4.9795307e-01
2.8720000e+00,-1.6512000e+00,0.0000000e+00,-1.6533325e+00,-2.6186128e-05,4.3927648e-01,4.9664032e-01,-1.6533325e+00,-2.6231433e-05,4.3927648e-01,4.9664120e-01,-1.2448329e+00,-5.6520128e-04,4.3280131e-01,4.9795866e-01
2.8740000e+00,-1.6504000e+00,0.0000000e+00,-1.6525325e+00,-2.6187545e-05,4.3949157e-01,4.9664626e-01,-1.6525325e+00,-2.6232852e-05,4.3949157e-01,4.9664714e-01,-1.2441383e+00,-5.6506314e-04,4.3301698e-01,4.9796425e-01
2.8760000e+00,-1.6496000e+00,0.0000000e+00,-1.6517325e+00,-2.6188931e-05,4.3970670e-01,4.9665220e-01,-1.6517325e+00,-2.6234240e-05,4.3970670e-01,4.9665308e-01,-1.2434438e+00,-5.6492538e-04,4.3323275e-01,4.9796984e-01
2.8780000e+00,-1.6488000e+00,0.0000000e+00,-1.6509325e+00,-2.6190285e-05,4.3992185e-01,4.9665814e-01,-1.6509325e+00,-2.6235595e-05,4.3992185e-01,4.9665902e-01,-1.2427492e+00,-5.6478732e-04,4.3344842e-01,4.9797543e-01
2.8800000e+00,-1.6480000e+00,0.0000000e+00,-1.6501325e+00,-2.6191607e-05,4.4013703e-01,4.9666408e-01,-1.6501325e+00,-2.6236919e-05,4.4013703e-01,4.9666496e-01,-1.2420545e+00,-5.6464963e-04,4.3366419e-01,4.9798102e-01
2.8820000e+00,-1.6472000e+00,0.0000000e+00,-1.6493325e+00,-2.6192897e-05,4.4035223e-01,4.9667002e-01,-1.6493325e+00,-2.6238211e-05,4.4035223e-01,4.9667090e-01,-1.2413599e+00,-5.6451164e-04,4.3387986e-01,4.9798661e-01
2.8840000e+00,-1.6464000e+00,0.0000000e+00,-1.6485325e+00,-2.6194156e-05,4.4056746e-01,4.9667596e-01,-1.6485325e+00,-2.6239470e-05,4.4056746e-01,4.9667684e-01,-1.2406652e+00,-5.6437400e-04,4.3409563e-01,4.9799220e-01
2.8860000e+00,-1.6456000e+00,0.0000000e+00,-1.6477325e+00,-2.6195383e-05,4.4078272e-01,4.9668191e-01,-1.6477325e+00,-2.6240699e-05,4.4078272e-01,4.9668278e-01,-1.2399705e+00,-5.6423608e-04,4.3431131e-01,4.9799779e-01
2.8880000e+00,-1.6448000e+00,0.0000000e+00,-1.6469325e+00,-2.6196579e-05,4.4099800e-01,4.9668785e-01,-1.6469325e+00,-2.6241895e-05,4.4099800e-01,4.9668873e-01,-1.2392758e+00,-5.6409851e-04,4.3452707e-01,4.9800338e-01
2.8900000e+00,-1.6440000e+00,0.0000000e+00,-1.6461325e+00,-2.6197743e-05,4.4121330e-01,4.9669379e-01,-1.6461325e+00,-2.6243060e-05,4.4121330e-01,4.9669467e-01,-1.2385810e+00,-5.6396067e-04,4.3474275e-01,4.9800897e-01
2.8920000e+00,-1.6432000e+00,0.0000000e+00,-1.6453325e+00,-2.6198877e-05,4.4142862e-01,4.9669973e-01,-1.6453325e+00,-2.6244194e-05,4.4142862e-01,4.9670061e-01,-1.2378862e+00,-5.6382316e-04,4.3495852e-01,4.9801456e-01
2.8940000e+00,-1.6424000e+00,0.0000000e+00,-1.6445325e+00,-2.6199979e-05,4.4164397e-01,4.9670568e-01,-1.6445325e+00,-2.6245297e-05,4.4164397e-01,4.9670655e-01,-1.2371914e+00,-5.6368538e-04,4.3517419e-01,4.9802015e-01
2.8960000e+00,-1.6416000e+00,0.0000000e+00,-1.6437325e+00,-2.6201052e-05,4.4185933e-01,4.9671162e-01,-1.6437325e+00,-2.6246370e-05,4.4185933e-01,4.9671250e-01,-1.2364966e+00,-5.6354794e-04,4.3538996e-01,4.9802574e-01
2.8980000e+00,-1.6408000e+00,0.0000000e+00,-1.6429325e+00,-2.6202094e-05,4.4207472e-01,4.9671756e-01,-1.6429325e+00,-2.6247412e-05,4.4207472e-01,4.9671844e-01,-1.2358017e+00,-5.6341023e-04,4.3560563e-01,4.9803133e-01
2.9000000e+00,-1.6400000e+00,0.0000000e+00,-1.6421325e+00,-2.6203106e-05,4.4229012e-01,4.9672351e-01,-1.6421325e+00,-2.6248424e-05,4.4229012e-01,4.9672438e-01,-1.2351069e+00,-5.6327285e-04,4.3582140e-01,4.9803693e-01
2.9020000e+00,-1.6392000e+00,0.0000000e+00,-1.6413325e+00,-2.6204088e-05,4.4250555e-01,4.9672945e-01,-1.6413325e+00,-2.6249407e-05,4.4250555e-01,4.9673033e-01,-1.2344119e+00,-5.6313522e-04,4.3603708e-01,4.9804252e-01
2.9040000e+00,-1.6384000e+00,0.0000000e+00,-1.6405325e+00,-2.6205041e-05,4.4272099e-01,4.9673539e-01,-1.6405325e+00,-2.6250360e-05,4.4272099e-01,4.9673627e-01,-1.2337170e+00,-5.6299790e-04,4.3625284e-01,4.9804811e-01
2.9060000e+00,-1.6376000e+00,0.0000000e+00,-1.6397325e+00,-2.6205966e-05,4.4293645e-01,4.9674134e-01,-1.6397325e+00,-2.6251284e-05,4.4293645e-01,4.9674222e-01,-1.2330221e+00,-5.6286034e-04,4.3646852e-01,4.9805370e-01
2.9080000e+00,-1.6368000e+00,0.0000000e+00,-1.6389325e+00,-2.6206862e-05,4.4315193e-01,4.9674728e-01,-1.6389325e+00,-2.6252179e-05,4.4315193e-01,4.9674816e-01,-1.2323271e+00,-5.6272308e-04,4.3668428e-01,4.9805929e-01
2.9100000e+00,-1.6360000e+00,0.0000000e+00,-1.6381325e+00,-2.6207729e-05,4.4336743e-01,4.9675323e-01,-1.6381325e+00,-2.6253046e-05,4.4336743e-01,4.9675410e-01,-1.2316321e+00,-5.6258559e-04,4.3689996e-01,4.9806488e-01
2.9120000e+00,-1.6352000e+00,0.0000000e+00,-1.6373325e+00,-2.6208569e-05,4.4358294e-01,4.9675917e-01,-1.6373325e+00,-2.6253886e-05,4.4358294e-01,4.9676005e-01,-1.2309370e+00,-5.6244840e-04,4.3711572e-01,4.9807047e-01
2.9140000e+00,-1.6344000e+00,0.0000000e+00,-1.6365325e+00,-2.6209382e-05,4.4379847e-01,4.9676512e-01,-1.6365325e+00,-2.6254698e-05,4.4379847e-01,4.9676599e-01,-1.2302420e+00,-5.6231098e-04,4.3733140e-01,4.9807606e-01
2.9160000e+00,-1.6336000e+00,0.0000000e+00,-1.6357325e+00,-2.6210167e-05,4.4401401e-01,4.9677106e-01,-1.6357325e+00,-2.6255483e-05,4.4401401e-01,4.9677194e-01,-1.2295469e+00,-5.6217385e-04,4.3754716e-01,4.9808166e-01
2.9180000e+00,-1.6328000e+00,0.0000000e+00,-1.6349325e+00,-2.6210927e-05,4.4422956e-01,4.9677701e-01,-1.6349325e+00,-2.6256241e-05,4.4422956e-01,4.9677788e-01,-1.2288518e+00,-5.6203650e-04,4.3776284e-01,4.9808725e-01
2.9200000e+00,-1.6320000e+00,0.0000000e+00,-1.6341325e+00,-2.6211660e-05,4.4444513e-01,4.9678295e-01,-1.6341325e+00,-2.6256974e-05,4.4444513e-01,4.9678383e-01,-1.2281566e+00,-5.6189943e-04,4.3797860e-01,4.9809284e-01
2.9220000e+00,-1.6312000e+00,0.0000000e+00,-1.6333325e+00,-2.6212368e-05,4.4466072e-01,4.9678890e-01,-1.6333325e+00,-2.6257680e-05,4.4466072e-01,4.9678978e-01,-1.2274614e+00,-5.6176215e-04,4.3819429e-01,4.9809843e-01
2.9240000e+00,-1.6304000e+00,0.0000000e+00,-1.6325325e+00,-2.6213050e-05,4.4487631e-01,4.9679484e-01,-1.6325325e+00,-2.6258362e-05,4.4487631e-01,4.9679572e-01,-1.2267663e+00,-5.6162515e-04,4.3841004e-01,4.9810402e-01
2.9260000e+00,-1.6296000e+00,0.0000000e+00,-1.6317325e+00,-2.6213708e-05,4.4509192e-01,4.9680079e-01,-1.6317325e+00,-2.6259019e-05,4.4509192e-01,4.9680167e-01,-1.2260710e+00,-5.6148794e-04,4.3862573e-01,4.9810962e-01
2.9280000e+00,-1.6288000e+00,0.0000000e+00,-1.6309325e+00,-2.6214342e-05,4.4530754e-01,4.9680674e-01,-1.6309325e+00,-2.6259652e-05,4.4530754e-01,4.9680761e-01,-1.2253758e+00,-5.6135100e-04,4.3884148e-01,4.9811521e-01
2.9300000e+00,-1.6280000e+00,0.0000000e+00,-1.6301325e+00,-2.6214952e-05,4.4552317e-01,4.9681268e-01,-1.6301325e+00,-2.6260261e-05,4.4552317e-01,4.9681356e-01,-1.2246805e+00,-5.6121386e-04,4.3905717e-01,4.9812080e-01
2.9320000e+00,-1.6272000e+00,0.0000000e+00,-1.6293325e+00,-2.6215539e-05,4.4573881e-01,4.9681863e-01,-1.6293325e+00,-2.6260847e-05,4.4573881e-01,4.9681951e-01,-1.2239852e+00,-5.6107699e-04,4.3927292e-01,4.9812639e-01
2.9340000e+00,-1.6264000e+00,0.0000000e+00,-1.6285326e+00,-2.6216104e-05,4.4595446e-01,4.9682458e-01,-1.6285326e+00,-2.6261410e-05,4.4595446e-01,4.9682545e-01,-1.2232899e+00,-5.6093992e-04,4.3948861e-01,4.9813198e-01
2.9360000e+00,-1.6256000e+00,0.0000000e+00,-1.6277326e+00,-2.6216646e-05,4.4617013e-01,4.9683052e-01,-1.6277326e+00,-2.6261951e-05,4.4617013e-01,4.9683140e-01,-1.2225946e+00,-5.6080311e-04,4.3970436e-01,4.9813758e-01
2.9380000e+00,-1.6248000e+00,0.0000000e+00,-1.6269326e+00,-2.6217167e-05,4.4638580e-01,4.9683647e-01,-1.6269326e+00,-2.6262471e-05,4.4638580e-01,4.9683735e-01,-1.2218992e+00,-5.6066611e-04,4.3992005e-01,4.9814317e-01
2.9400000e+00,-1.6240000e+00,0.0000000e+00,-1.6261326e+00,-2.6217666e-05,4.4660148e-01,4.9684242e-01,-1.6261326e+00,-2.6262969e-05,4.4660148e-01,4.9684329e-01,-1.2212038e+00,-5.6052936e-04,4.4013580e-01,4.9814876e-01
2.9420000e+00,-1.6232000e+00,0.0000000e+00,-1.6253326e+00,-2.6218144e-05,4.4681717e-01,4.9684836e-01,-1.6253326e+00,-2.6263446e-05,4.4681717e-01,4.9684924e-01,-1.2205084e+00,-5.6039243e-04,4.4035149e-01,4.9815435e-01
2.9440000e+00,-1.6224000e+00,0.0000000e+00,-1.6245326e+00,-2.6218603e-05,4.4703287e-01,4.9685431e-01,-1.6245326e+00,-2.6263903e-05,4.4703287e-01,4.9685519e-01,-1.2198129e+00,-5.6025575e-04,4.4056724e-01,4.9815995e-01
2.9460000e+00,-1.6216000e+00,0.0000000e+00,-1.6237326e+00,-2.6219041e-05,4.4724857e-01,4.9686026e-01,-1.6237326e+00,-2.6264340e-05,4.4724857e-01,4.9686114e-01,-1.2191175e+00,-5.6011888e-04,4.4078293e-01,4.9816554e-01
2.9480000e+00,-1.6208000e+00,0.0000000e+00,-1.6229326e+00,-2.6219460e-05,4.4746428e-01,4.9686621e-01,-1.6229326e+00,-2.6264758e-05,4.4746428e-01,4.9686708e-01,-1.2184220e+00,-5.5998227e-04,4.4099868e-01,4.9817113e-01
2.9500000e+00,-1.6200000e+00,0.0000000e+00,-1.6221326e+00,-2.6219861e-05,4.4768000e-01,4.9687215e-01,-1.6221326e+00,-2.6265157e-05,4.4768000e-01,4.9687303e-01,-1.2177265e+00,-5.5984547e-04,4.4121437e-01,4.9817673e-01
2.9520000e+00,-1.6192000e+00,0.0000000e+00,-1.6213326e+00,-2.6220243e-05,4.4789573e-01,4.9687810e-01,-1.6213326e+00,-2.6265538e-05,4.4789573e-01,4.9687898e-01,-1.2170309e+00,-5.5970892e-04,4.4143012e-01,4.9818232e-01
2.9540000e+00,-1.6184000e+00,0.0000000e+00,-1.6205326e+00,-2.6220608e-05,4.4811146e-01,4.9688405e-01,-1.6205326e+00,-2.6265901e-05,4.4811146e-01,4.9688493e-01,-1.2163353e+00,-5.5957220e-04,4.4164581e-01,4.9818791e-01
2.9560000e+00,-1.6176000e+00,0.0000000e+00,-1.6197326e+00,-2.6220955e-05,4.4832720e-01,4.9689000e-01,-1.6197326e+00,-2.6266247e-05,4.4832720e-01,4.9689087e-01,-1.2156397e+00,-5.5943570e-04,4.4186156e-01,4.9819351e-01
2.9580000e+00,-1.6168000e+00,0.0000000e+00,-1.6189326e+00,-2.6221285e-05,4.4854295e-01,4.9689594e-01,-1.6189326e+00,-2.6266576e-05,4.4854295e-01,4.9689682e-01,-1.2149441e+00,-5.5929905e-04,4.4207725e-01,4.9819910e-01
2.9600000e+00,-1.6160000e+00,0.0000000e+00,-1.6181326e+00,-2.6221599e-05,4.4875870e-01,4.9690189e-01,-1.6181326e+00,-2.6266888e-05,4.4875870e-01,4.9690277e-01,-1.2142485e+00,-5.5916262e-04,4.4229300e-01,4.9820469e-01
2.9620000e+00,-1.6152000e+00,0.0000000e+00,-1.6173326e+00,-2.6221897e-05,4.4897445e-01,4.9690784e-01,-1.6173326e+00,-2.6267185e-05,4.4897445e-01,4.9690872e-01,-1.2135528e+00,-5.5902604e-04,4.4250869e-01,4.9821029e-01
2.9640000e+00,-1.6144000e+00,0.0000000e+00,-1.6165326e+00,-2.6222179e-05,4.4919021e-01,4.9691379e-01,-1.6165326e+00,-2.6267466e-05,4.4919021e-01,4.9691467e-01,-1.2128571e+00,-5.5888968e-04,4.4272444e-01,4.9821588e-01
2.9660000e+00,-1.6136000e+00,0.0000000e+00,-1.6157326e+00,-2.6222447e-05,4.4940597e-01,4.9691974e-01,-1.6157326e+00,-2.6267732e-05,4.4940597e-01,4.9692061e-01,-1.2121614e+00,-5.5875316e-04,4.4294013e-01,4.9822147e-01
2.9680000e+00,-1.6128000e+00,0.0000000e+00,-1.6149327e+00,-2.6222700e-05,4.4962174e-01,4.9692568e-01,-1.6149327e+00,-2.6267984e-05,4.4962174e-01,4.9692656e-01,-1.2114656e+00,-5.5861686e-04,4.4315588e-01,4.9822707e-01
2.9700000e+00,-1.6120000e+00,0.0000000e+00,-1.6141327e+00,-2.6222939e-05,4.4983751e-01,4.9693163e-01,-1.6141327e+00,-2.6268221e-05,4.4983751e-01,4.9693251e-01,-1.2107698e+00,-5.5848042e-04,4.4337157e-01,4.9823266e-01
2.9720000e+00,-1.6112000e+00,0.0000000e+00,-1.6133327e+00,-2.6223164e-05,4.5005329e-01,4.9693758e-01,-1.6133327e+00,-2.6268445e-05,4.5005329e-01,4.9693846e-01,-1.2100740e+00,-5.5834418e-04,4.4358732e-01,4.9823826e-01
2.9740000e+00,-1.6104000e+00,0.0000000e+00,-1.6125327e+00,-2.6223376e-05,4.5026907e-01,4.9694353e-01,-1.6125327e+00,-2.6268656e-05,4.5026907e-01,4.9694441e-01,-1.2093782e+00,-5.5820780e-04,4.4380301e-01,4.9824385e-01
2.9760000e+00,-1.6096000e+00,0.0000000e+00,-1.6117327e+00,-2.6223575e-05,4.5048485e-01,4.9694948e-01,-1.6117327e+00,-2.6268853e-05,4.5048485e-01,4.9695035e-01,-1.2086823e+00,-5.5807163e-04,4.4401876e-01,4.9824944e-01
2.9780000e+00,-1.6088000e+00,0.0000000e+00,-1.6109327e+00,-2.6223762e-05,4.5070064e-01,4.9695543e-01,-1.6109327e+00,-2.6269039e-05,4.5070064e-01,4.9695630e-01,-1.2079865e+00,-5.5793532e-04,4.4423445e-01,4.9825504e-01
2.9800000e+00,-1.6080000e+00,0.0000000e+00,-1.6101327e+00,-2.6223936e-05,4.5091642e-01,4.9696137e-01,-1.6101327e+00,-2.6269212e-05,4.5091642e-01,4.9696225e-01,-1.2072906e+00,-5.5779922e-04,4.4445020e-01,4.9826063e-01
2.9820000e+00,-1.6072000e+00,0.0000000e+00,-1.6093327e+00,-2.6224100e-05,4.5113222e-01,4.9696732e-01,-1.6093327e+00,-2.6269374e-05,4.5113222e-01,4.9696820e-01,-1.2065946e+00,-5.5766298e-04,4.4466589e-01,4.9826623e-01
2.9840000e+00,-1.6064000e+00,0.0000000e+00,-1.6085327e+00,-2.6224252e-05,4.5134801e-01,4.9697327e-01,-1.6085327e+00,-2.6269525e-05,4.5134801e-01,4.9697415e-01,-1.2058987e+00,-5.5752694e-04,4.4488164e-01,4.9827182e-01
2.9860000e+00,-1.6056000e+00,0.0000000e+00,-1.6077327e+00,-2.6224393e-05,4.5156380e-01,4.9697922e-01,-1.6077327e+00,-2.6269665e-05,4.5156380e-01,4.9698010e-01,-1.2052027e+00,-5.5739076e-04,4.4509733e-01,4.9827742e-01
2.9880000e+00,-1.6048000e+00,0.0000000e+00,-1.6069327e+00,-2.6224524e-05,4.5177960e-01,4.9698517e-01,-1.6069327e+00,-2.6269794e-05,4.5177960e-01,4.9698605e-01,-1.2045067e+00,-5.5725479e-04,4.4531308e-01,4.9828301e-01
2.9900000e+00,-1.6040000e+00,0.0000000e+00,-1.6061327e+00,-2.6224644e-05,4.5199540e-01,4.9699112e-01,-1.6061327e+00,-2.6269914e-05,4.5199540e-01,4.9699199e-01,-1.2038107e+00,-5.5711868e-04,4.4552877e-01,4.9828861e-01
2.9920000e+00,-1.6032000e+00,0.0000000e+00,-1.6053327e+00,-2.6224756e-05,4.5221120e-01,4.9699706e-01,-1.6053327e+00,-2.6270024e-05,4.5221120e-01,4.9699794e-01,-1.2031146e+00,-5.5698277e-04,4.4574451e-01,4.9829420e-01
2.9940000e+00,-1.6024000e+00,0.0000000e+00,-1.6045327e+00,-2.6224857e-05,4.5242700e-01,4.9700301e-01,-1.6045327e+00,-2.6270124e-05,4.5242700e-01,4.9700389e-01,-1.2024185e+00,-5.5684673e-04,4.4596021e-01,4.9829980e-01
2.9960000e+00,-1.6016000e+00,0.0000000e+00,-1.6037327e+00,-2.6224950e-05,4.5264280e-01,4.9700896e-01,-1.6037327e+00,-2.6270216e-05,4.5264280e-01,4.9700984e-01,-1.2017224e+00,-5.5671088e-04,4.4617595e-01,4.9830539e-01
2.9980000e+00,-1.6008000e+00,0.0000000e+00,-1.6029327e+00,-2.6225035e-05,4.5285860e-01,4.9701491e-01,-1.6029327e+00,-2.6270299e-05,4.5285860e-01,4.9701579e-01,-1.2010263e+00,-5.5657492e-04,4.4639165e-01,4.9831099e-01
3.0000000e+00,-1.6000000e+00,0.0000000e+00,-1.6021327e+00,-2.6225111e-05,4.5307441e-01,4.9702086e-01,-1.6021327e+00,-2.6270374e-05,4.5307441e-01,4.9702174e-01,-1.2003301e+00,-5.5643913e-04,4.4660739e-01,4.9831658e-01
3.0020000e+00,-1.5992000e+00,0.0000000e+00,-1.6013327e+00,-2.6225179e-05,4.5329021e-01,4.9702681e-01,-1.6013327e+00,-2.6270441e-05,4.5329021e-01,4.9702769e-01,-1.1996339e+00,-5.5630323e-04,4.4682309e-01,4.9832218e-01
3.0040000e+00,-1.5984000e+00,0.0000000e+00,-1.6005327e+00,-2.6225240e-05,4.5350602e-01,4.9703276e-01,-1.6005327e+00,-2.6270501e-05,4.5350602e-01,4.9703364e-01,-1.1989377e+00,-5.5616751e-04,4.4703883e-01,4.9832777e-01
3.0060000e+00,-1.5976000e+00,0.0000000e+00,-1.5997327e+00,-2.6225293e-05,4.5372182e-01,4.9703871e-01,-1.5997327e+00,-2.6270553e-05,4.5372182e-01,4.9703958e-01,-1.1982415e+00,-5.5603168e-04,4.4725453e-01,4.9833337e-01
3.0080000e+00,-1.5968000e+00,0.0000000e+00,-1.5989328e+00,-2.6225340e-05,4.5393763e-01,4.9704465e-01,-1.5989328e+00,-2.6270598e-05,4.5393763e-01,4.9704553e-01,-1.1975452e+00,-5.5589603e-04,4.4747027e-01,4.9833896e-01
3.0100000e+00,-1.5960000e+00,0.0000000e+00,-1.5981328e+00,-2.6225379e-05,4.5415343e-01,4.9705060e-01,-1.5981328e+00,-2.6270637e-05,4.5415343e-01,4.9705148e-01,-1.1968490e+00,-5.5576027e-04,4.4768597e-01,4.9834456e-01
3.0120000e+00,-1.5952000e+00,0.0000000e+00,-1.5973328e+00,-2.6225413e-05,4.5436924e-01,4.9705655e-01,-1.5973328e+00,-2.6270669e-05,4.5436924e-01,4.9705743e-01,-1.1961526e+00,-5.5562467e-04,4.4790171e-01,4.9835016e-01
3.0140000e+00,-1.5944000e+00,0.0000000e+00,-1.5965328e+00,-2.6225440e-05,4.5458505e-01,4.9706250e-01,-1.5965328e+00,-2.6270696e-05,4.5458505e-01,4.9706338e-01,-1.1954563e+00,-5.5548898e-04,4.4811741e-01,4.9835575e-01
3.0160000e+00,-1.5936000e+00,0.0000000e+00,-1.5957328e+00,-2.6225461e-05,4.5480085e-01,4.9706845e-01,-1.5957328e+00,-2.6270716e-05,4.5480085e-01,4.9706933e-01,-1.1947600e+00,-5.5535345e-04,4.4833315e-01,4.9836135e-01
3.0180000e+00,-1.5928000e+00,0.0000000e+00,-1.5949328e+00,-2.6225477e-05,4.5501666e-01,4.9707440e-01,-1.5949328e+00,-2.6270731e-05,4.5501666e-01,4.9707528e-01,-1.1940636e+00,-5.5521782e-04,4.4854885e-01,4.9836694e-01
3.0200000e+00,-1.5920000e+00,0.0000000e+00,-1.5941328e+00,-2.6225488e-05,4.5523246e-01,4.9708035e-01,-1.5941328e+00,-2.6270741e-05,4.5523246e-01,4.9708123e-01,-1.1933672e+00,-5.5508236e-04,4.4876459e-01,4.9837254e-01
3.0220000e+00,-1.5912000e+00,0.0000000e+00,-1.5933328e+00,-2.6225494e-05,4.5544827e-01,4.9708630e-01,-1.5933328e+00,-2.6270746e-05,4.5544827e-01,4.9708717e-01,-1.1926707e+00,-5.5494680e-04,4.4898029e-01,4.9837814e-01
3.0240000e+00,-1.5904000e+00,0.0000000e+00,-1.5925328e+00,-2.6225495e-05,4.5566407e-01,4.9709224e-01,-1.5925328e+00,-2.6270746e-05,4.5566407e-01,4.9709312e-01,-1.1919743e+00,-5.5481140e-04,4.4919603e-01,4.9838373e-01
