w,K11_mag,K12_mag,K21_mag,K22_mag,K11_ph,K22_ph
3.994880194e-01,2.000675003e+01,6.395805271e-01,6.461346485e-04,8.848211492e-01,-9.007730297e+01,-1.748493706e+01
4.111829402e-01,1.943771384e+01,6.320980331e-01,6.444832158e-04,8.827021868e-01,-9.007956600e+01,-1.704388012e+01
4.232202272e-01,1.888486222e+01,6.249528073e-01,6.429203182e-04,8.806970972e-01,-9.008189527e+01,-1.661416219e+01
4.356099031e-01,1.834773483e+01,6.181323430e-01,6.414413782e-04,8.787999583e-01,-9.008429273e+01,-1.619564058e+01
4.483622838e-01,1.782588444e+01,6.116244158e-01,6.400420344e-04,8.770051312e-01,-9.008676038e+01,-1.578816673e+01
4.614879877e-01,1.731887655e+01,6.054170865e-01,6.387181339e-04,8.753072484e-01,-9.008930027e+01,-1.539158700e+01
4.749979435e-01,1.682628899e+01,5.994987033e-01,6.374657233e-04,8.737012033e-01,-9.009191451e+01,-1.500574350e+01
4.889034002e-01,1.634771162e+01,5.938579040e-01,6.362810406e-04,8.721821388e-01,-9.009460528e+01,-1.463047476e+01
5.032159359e-01,1.588274597e+01,5.884836185e-01,6.351605078e-04,8.707454371e-01,-9.009737483e+01,-1.426561645e+01
5.179474679e-01,1.543100488e+01,5.833650700e-01,6.341007227e-04,8.693867090e-01,-9.010022545e+01,-1.391100202e+01
5.331102622e-01,1.499211221e+01,5.784917769e-01,6.330984515e-04,8.681017843e-01,-9.010315953e+01,-1.356646326e+01
5.487169438e-01,1.456570253e+01,5.738535532e-01,6.321506212e-04,8.668867015e-01,-9.010617949e+01,-1.323183089e+01
5.647805074e-01,1.415142080e+01,5.694405094e-01,6.312543128e-04,8.657376988e-01,-9.010928787e+01,-1.290693505e+01
5.813143282e-01,1.374892206e+01,5.652430524e-01,6.304067541e-04,8.646512047e-01,-9.011248724e+01,-1.259160579e+01
5.983321729e-01,1.335787118e+01,5.612518846e-01,6.296053131e-04,8.636238292e-01,-9.011578027e+01,-1.228567347e+01
6.158482111e-01,1.297794256e+01,5.574580035e-01,6.288474915e-04,8.626523552e-01,-9.011916971e+01,-1.198896922e+01
6.338770273e-01,1.260881986e+01,5.538526993e-01,6.281309181e-04,8.617337303e-01,-9.012265837e+01,-1.170132527e+01
6.524336330e-01,1.225019573e+01,5.504275535e-01,6.274533435e-04,8.608650589e-01,-9.012624916e+01,-1.142257526e+01
6.715334791e-01,1.190177156e+01,5.471744360e-01,6.268126332e-04,8.600435944e-01,-9.012994507e+01,-1.115255462e+01
6.911924689e-01,1.156325725e+01,5.440855015e-01,6.262067632e-04,8.592667318e-01,-9.013374917e+01,-1.089110079e+01
7.114269711e-01,1.123437094e+01,5.411531866e-01,6.256338133e-04,8.585320011e-01,-9.013766464e+01,-1.063805347e+01
7.322538338e-01,1.091483878e+01,5.383702051e-01,6.250919631e-04,8.578370600e-01,-9.014169473e+01,-1.039325489e+01
7.536903981e-01,1.060439472e+01,5.357295438e-01,6.245794862e-04,8.571796875e-01,-9.014584280e+01,-1.015654998e+01
7.757545130e-01,1.030278027e+01,5.332244575e-01,6.240947458e-04,8.565577779e-01,-9.015011230e+01,-9.927786570e+00
7.984645498e-01,1.000974430e+01,5.308484634e-01,6.236361900e-04,8.559693347e-01,-9.015450679e+01,-9.706815547e+00
8.218394177e-01,9.725042812e+00,5.285953358e-01,6.232023475e-04,8.554124647e-01,-9.015902993e+01,-9.493491002e+00
8.458985797e-01,9.448438754e+00,5.264591002e-01,6.227918233e-04,8.548853731e-01,-9.016368548e+01,-9.287670359e+00
8.706620681e-01,9.179701817e+00,5.244340267e-01,6.224032947e-04,8.543863574e-01,-9.016847732e+01,-9.089214487e+00
8.961505019e-01,8.918608239e+00,5.225146240e-01,6.220355076e-04,8.539138034e-01,-9.017340943e+01,-8.897987806e+00
9.223851039e-01,8.664940625e+00,5.206956328e-01,6.216872726e-04,8.534661795e-01,-9.017848593e+01,-8.713858365e+00
9.493877179e-01,8.418487761e+00,5.189720187e-01,6.213574616e-04,8.530420330e-01,-9.018371105e+01,-8.536697922e+00
9.771808273e-01,8.179044442e+00,5.173389655e-01,6.210450047e-04,8.526399850e-01,-9.018908912e+01,-8.366382005e+00
1.005787574e+00,7.946411298e+00,5.157918686e-01,6.207488864e-04,8.522587267e-01,-9.019462464e+01,-8.202789966e+00
1.035231776e+00,7.720394631e+00,5.143263276e-01,6.204681431e-04,8.518970154e-01,-9.020032220e+01,-8.045805029e+00
1.065537951e+00,7.500806250e+00,5.129381394e-01,6.202018601e-04,8.515536704e-01,-9.020618656e+01,-7.895314322e+00
1.096731332e+00,7.287463318e+00,5.116232912e-01,6.199491685e-04,8.512275697e-01,-9.021222259e+01,-7.751208911e+00
1.128837892e+00,7.080188198e+00,5.103779537e-01,6.197092428e-04,8.509176466e-01,-9.021843532e+01,-7.613383821e+00
1.161884364e+00,6.878808305e+00,5.091984736e-01,6.194812983e-04,8.506228860e-01,-9.022482992e+01,-7.481738054e+00
1.195898264e+00,6.683155963e+00,5.080813677e-01,6.192645887e-04,8.503423216e-01,-9.023141173e+01,-7.356174602e+00
1.230907914e+00,6.493068264e+00,5.070233150e-01,6.190584038e-04,8.500750326e-01,-9.023818620e+01,-7.236600454e+00
1.266942463e+00,6.308386934e+00,5.060211511e-01,6.188620672e-04,8.498201413e-01,-9.024515900e+01,-7.122926603e+00
1.304031915e+00,6.128958200e+00,5.050718608e-01,6.186749342e-04,8.495768097e-01,-9.025233592e+01,-7.015068043e+00
1.342207153e+00,5.954632664e+00,5.041725722e-01,6.184963898e-04,8.493442374e-01,-9.025972293e+01,-6.912943769e+00
1.381499962e+00,5.785265176e+00,5.033205500e-01,6.183258467e-04,8.491216586e-01,-9.026732619e+01,-6.816476770e+00
1.421943059e+00,5.620714714e+00,5.025131898e-01,6.181627438e-04,8.489083401e-01,-9.027515203e+01,-6.725594026e+00
1.463570118e+00,5.460844267e+00,5.017480118e-01,6.180065437e-04,8.487035787e-01,-9.028320697e+01,-6.640226498e+00
1.506415800e+00,5.305520721e+00,5.010226551e-01,6.178567317e-04,8.485066991e-01,-9.029149770e+01,-6.560309115e+00
1.550515780e+00,5.154614748e+00,5.003348721e-01,6.177128138e-04,8.483170516e-01,-9.030003113e+01,-6.485780768e+00
1.595906776e+00,5.008000698e+00,4.996825226e-01,6.175743152e-04,8.481340100e-01,-9.030881437e+01,-6.416584295e+00
1.642626584e+00,4.865556495e+00,4.990635690e-01,6.174407787e-04,8.479569697e-01,-9.031785473e+01,-6.352666469e+00
1.690714103e+00,4.727163534e+00,4.984760709e-01,6.173117634e-04,8.477853459e-01,-9.032715973e+01,-6.293977989e+00
1.740209374e+00,4.592706585e+00,4.979181799e-01,6.171868431e-04,8.476185713e-01,-9.033673712e+01,-6.240473460e+00
1.791153607e+00,4.462073694e+00,4.973881351e-01,6.170656050e-04,8.474560947e-01,-9.034659487e+01,-6.192111389e+00
1.843589222e+00,4.335156090e+00,4.968842582e-01,6.169476486e-04,8.472973788e-01,-9.035674120e+01,-6.148854167e+00
1.897559877e+00,4.211848097e+00,4.964049489e-01,6.168325840e-04,8.471418990e-01,-9.036718454e+01,-6.110668057e+00
1.953110510e+00,4.092047045e+00,4.959486809e-01,6.167200307e-04,8.469891411e-01,-9.037793359e+01,-6.077523187e+00
2.010287376e+00,3.975653183e+00,4.955139972e-01,6.166096168e-04,8.468386000e-01,-9.038899730e+01,-6.049393534e+00
2.069138081e+00,3.862569597e+00,4.950995064e-01,6.165009773e-04,8.466897783e-01,-9.040038488e+01,-6.026256916e+00
2.129711628e+00,3.752702130e+00,4.947038787e-01,6.163937533e-04,8.465421839e-01,-9.041210581e+01,-6.008094983e+00
2.192058451e+00,3.645959300e+00,4.943258418e-01,6.162875905e-04,8.463953294e-01,-9.042416984e+01,-5.994893209e+00
2.256230463e+00,3.542252232e+00,4.939641777e-01,6.161821383e-04,8.462487296e-01,-9.043658702e+01,-5.986640882e+00
2.322281096e+00,3.441494574e+00,4.936177188e-01,6.160770485e-04,8.461019006e-01,-9.044936769e+01,-5.983331098e+00
2.390265347e+00,3.343602431e+00,4.932853448e-01,6.159719745e-04,8.459543581e-01,-9.046252247e+01,-5.984960757e+00
2.460239821e+00,3.248494295e+00,4.929659789e-01,6.158665698e-04,8.458056157e-01,-9.047606232e+01,-5.991530553e+00
2.532262782e+00,3.156090976e+00,4.926585852e-01,6.157604872e-04,8.456551832e-01,-9.048999852e+01,-6.003044977e+00
