t_s,v_ref,dec_v,dec_alpha,dec_i,dec_r,dec500_v,dec500_alpha,dec500_i,dec500_r,mimo_v,mimo_alpha,mimo_i,mimo_r
1.2000000e-01,2.0000000e+00,5.6126552e-01,-6.0077027e-02,2.0000000e+01,8.5000000e-01,5.6126552e-01,-6.0077027e-02,2.0000000e+01,8.5000000e-01,5.8549843e-01,-6.0305113e-02,2.0000000e+01,8.5000000e-01
1.2500000e-01,2.0000000e+00,6.0612471e-01,-6.0499254e-02,2.0000000e+01,8.5000000e-01,6.0612471e-01,-6.0499254e-02,2.0000000e+01,8.5000000e-01,6.3034285e-01,-6.0727201e-02,2.0000000e+01,8.5000000e-01
1.3000000e-01,2.0000000e+00,6.5095655e-01,-6.0921223e-02,2.0000000e+01,8.5000000e-01,6.5095655e-01,-6.0921223e-02,2.0000000e+01,8.5000000e-01,6.7515994e-01,-6.1149032e-02,2.0000000e+01,8.5000000e-01
1.3500000e-01,2.0000000e+00,6.9576108e-01,-6.1342936e-02,2.0000000e+01,8.5000000e-01,6.9576108e-01,-6.1342936e-02,2.0000000e+01,8.5000000e-01,7.1994971e-01,-6.1570606e-02,2.0000000e+01,8.5000000e-01
1.4000000e-01,2.0000000e+00,7.4053830e-01,-6.1764391e-02,2.0000000e+01,8.5000000e-01,7.4053830e-01,-6.1764391e-02,2.0000000e+01,8.5000000e-01,7.6471219e-01,-6.1991923e-02,2.0000000e+01,8.5000000e-01
1.4500000e-01,2.0000000e+00,7.8528824e-01,-6.2185590e-02,2.0000000e+01,8.5000000e-01,7.8528824e-01,-6.2185590e-02,2.0000000e+01,8.5000000e-01,8.0944740e-01,-6.2412983e-02,2.0000000e+01,8.5000000e-01
1.5000000e-01,2.0000000e+00,8.3001090e-01,-6.2606532e-02,2.0000000e+01,8.5000000e-01,8.3001090e-01,-6.2606532e-02,2.0000000e+01,8.5000000e-01,8.5415533e-01,-6.2833786e-02,2.0000000e+01,8.5000000e-01
1.5500000e-01,2.0000000e+00,8.7470630e-01,-6.3027217e-02,2.0000000e+01,8.5000000e-01,8.7470630e-01,-6.3027217e-02,2.0000000e+01,8.5000000e-01,8.9883603e-01,-6.3254333e-02,2.0000000e+01,8.5000000e-01
1.6000000e-01,2.0000000e+00,9.1937447e-01,-6.3447647e-02,2.0000000e+01,8.5000000e-01,9.1937447e-01,-6.3447647e-02,2.0000000e+01,8.5000000e-01,9.4348949e-01,-6.3674624e-02,2.0000000e+01,8.5000000e-01
1.6500000e-01,2.0000000e+00,9.6401542e-01,-6.3867819e-02,2.0000000e+01,8.5000000e-01,9.6401542e-01,-6.3867819e-02,2.0000000e+01,8.5000000e-01,9.8811574e-01,-6.4094658e-02,2.0000000e+01,8.5000000e-01
1.7000000e-01,2.0000000e+00,1.0086292e+00,-6.4287736e-02,2.0000000e+01,8.5000000e-01,1.0086292e+00,-6.4287736e-02,2.0000000e+01,8.5000000e-01,1.0327195e+00,-6.4461734e-02,1.8902705e+01,8.5000000e-01
1.7500000e-01,2.0000000e+00,1.0532157e+00,-6.4707397e-02,2.0000000e+01,8.5000000e-01,1.0532157e+00,-6.4707397e-02,2.0000000e+01,8.5000000e-01,1.0757329e+00,-4.1729038e-02,1.7794741e+01,8.5000000e-01
1.8000000e-01,2.0000000e+00,1.0977751e+00,-6.5126802e-02,2.0000000e+01,8.5000000e-01,1.0977751e+00,-6.5126802e-02,2.0000000e+01,8.5000000e-01,1.1156685e+00,-1.4975209e-02,1.6176950e+01,8.4821423e-01
1.8500000e-01,2.0000000e+00,1.1423073e+00,-6.5545952e-02,2.0000000e+01,8.5000000e-01,1.1423073e+00,-6.5545952e-02,2.0000000e+01,8.5000000e-01,1.1524283e+00,9.2446497e-03,1.5092453e+01,8.4230147e-01
1.9000000e-01,2.0000000e+00,1.1868124e+00,-6.5964846e-02,2.0000000e+01,8.5000000e-01,1.1868124e+00,-6.5964846e-02,2.0000000e+01,8.5000000e-01,1.1861126e+00,2.4505392e-02,1.3479925e+01,8.2646067e-01
1.9500000e-01,2.0000000e+00,1.2312904e+00,-6.6383485e-02,2.0000000e+01,8.5000000e-01,1.2312904e+00,-6.6383485e-02,2.0000000e+01,8.5000000e-01,1.2167659e+00,3.6485471e-02,1.2469382e+01,8.1228311e-01
2.0000000e-01,2.0000000e+00,1.2757412e+00,-6.6801868e-02,2.0000000e+01,8.5000000e-01,1.2757412e+00,-6.6801868e-02,2.0000000e+01,8.5000000e-01,1.2445493e+00,4.0319533e-02,1.1057805e+01,7.8766296e-01
2.0500000e-01,2.0000000e+00,1.3201650e+00,-6.7219997e-02,2.0000000e+01,8.5000000e-01,1.3201650e+00,-6.7219997e-02,2.0000000e+01,8.5000000e-01,1.2695416e+00,4.5048312e-02,1.0147585e+01,7.7011910e-01
2.1000000e-01,2.0000000e+00,1.3645617e+00,-6.7637871e-02,2.0000000e+01,8.5000000e-01,1.3645617e+00,-6.7637871e-02,2.0000000e+01,8.5000000e-01,1.2919353e+00,4.3509407e-02,8.8371754e+00,7.4343580e-01
2.1500000e-01,2.0000000e+00,1.4089313e+00,-6.8055490e-02,2.0000000e+01,8.5000000e-01,1.4089313e+00,-6.8055490e-02,2.0000000e+01,8.5000000e-01,1.3118567e+00,4.4437447e-02,8.0424446e+00,7.2587437e-01
2.2000000e-01,2.0000000e+00,1.4532739e+00,-6.8472855e-02,2.0000000e+01,8.5000000e-01,1.4532739e+00,-6.8472855e-02,2.0000000e+01,8.5000000e-01,1.3295092e+00,4.0581822e-02,6.9666779e+00,7.0049002e-01
2.2500000e-01,2.0000000e+00,1.4975895e+00,-6.8889965e-02,2.0000000e+01,8.5000000e-01,1.4975895e+00,-6.8889965e-02,2.0000000e+01,8.5000000e-01,1.3450172e+00,4.0242160e-02,6.2889829e+00,6.8448983e-01
2.3000000e-01,2.0000000e+00,1.5418781e+00,-6.9306821e-02,2.0000000e+01,8.5000000e-01,1.5418781e+00,-6.9306821e-02,2.0000000e+01,8.5000000e-01,1.3585809e+00,3.6068987e-02,5.3329991e+00,6.6208061e-01
2.3500000e-01,2.0000000e+00,1.5861396e+00,-6.9723424e-02,2.0000000e+01,8.5000000e-01,1.5861396e+00,-6.9723424e-02,2.0000000e+01,8.5000000e-01,1.3703425e+00,3.4918735e-02,4.7699048e+00,6.4819959e-01
2.4000000e-01,2.0000000e+00,1.6303742e+00,-7.0139772e-02,1.9970209e+01,8.5000000e-01,1.6303742e+00,-7.0139772e-02,1.9970209e+01,8.5000000e-01,1.3804901e+00,3.0697662e-02,4.0304243e+00,6.2900063e-01
2.4500000e-01,2.0000000e+00,1.6745595e+00,-7.0243799e-02,2.0000000e+01,8.5000000e-01,1.6745595e+00,-7.0243799e-02,2.0000000e+01,8.5000000e-01,1.3891465e+00,2.9514794e-02,3.5721093e+00,6.1733052e-01
2.5000000e-01,2.0000000e+00,1.7187357e+00,-7.0966354e-02,2.0000000e+01,8.5000000e-01,1.7187357e+00,-7.0966354e-02,2.0000000e+01,8.5000000e-01,1.3964821e+00,2.5828272e-02,2.9347763e+00,6.0146738e-01
2.5500000e-01,2.0000000e+00,1.7628895e+00,-7.1387002e-02,2.0000000e+01,8.5000000e-01,1.7628895e+00,-7.1387002e-02,2.0000000e+01,8.5000000e-01,1.4026230e+00,2.4396756e-02,2.5714798e+00,5.9189369e-01
2.6000000e-01,2.0000000e+00,1.8070164e+00,-7.1802376e-02,1.9976695e+01,8.5000000e-01,1.8070164e+00,-7.1802376e-02,1.9976695e+01,8.5000000e-01,1.4077185e+00,2.1003890e-02,2.1115828e+00,5.7896010e-01
2.6500000e-01,2.0000000e+00,1.8510989e+00,-7.1973325e-02,2.0000000e+01,8.5000000e-01,1.8510989e+00,-7.1973325e-02,2.0000000e+01,8.5000000e-01,1.4118697e+00,1.9771422e-02,1.8298404e+00,5.7128785e-01
2.7000000e-01,2.0000000e+00,1.8951684e+00,-7.2628097e-02,2.0000000e+01,8.5000000e-01,1.8951684e+00,-7.2628097e-02,2.0000000e+01,8.5000000e-01,1.4152046e+00,1.6994211e-02,1.4417769e+00,5.6110783e-01
2.7500000e-01,2.0000000e+00,1.9392147e+00,-7.3059222e-02,1.9968258e+01,8.5000000e-01,1.9392147e+00,-7.3059222e-02,1.9968258e+01,8.5000000e-01,1.4178216e+00,1.5682050e-02,1.2302769e+00,5.5510401e-01
2.8000000e-01,2.0000000e+00,1.9831487e+00,-7.1736592e-02,1.9498517e+01,8.5000000e-01,1.9831487e+00,-7.1736592e-02,1.9498517e+01,8.5000000e-01,1.4198274e+00,1.3226916e-02,9.7694462e-01,5.4717999e-01
2.8500000e-01,2.0000000e+00,2.0263363e+00,-6.2672370e-02,1.8808154e+01,8.5000000e-01,2.0263363e+00,-6.2672370e-02,1.8808154e+01,8.5000000e-01,1.4212955e+00,1.2181813e-02,8.2269509e-01,5.4260667e-01
2.9000000e-01,2.0000000e+00,2.0677846e+00,-4.4824622e-02,1.7309347e+01,8.5000000e-01,2.0677846e+00,-4.4824622e-02,1.7309347e+01,8.5000000e-01,1.4223132e+00,1.0283517e-02,6.1085368e-01,5.3671364e-01
2.9500000e-01,2.0000000e+00,2.1065284e+00,-1.8609668e-02,1.6096868e+01,8.5000000e-01,2.1065284e+00,-1.8609668e-02,1.6096868e+01,8.5000000e-01,1.4229505e+00,9.2314331e-03,5.0385712e-01,5.3333553e-01
3.0000000e-01,2.0000000e+00,2.1419704e+00,1.1621730e-02,1.4100581e+01,8.4943783e-01,2.1419704e+00,1.1621730e-02,1.4100581e+01,8.4964317e-01,1.4232766e+00,7.6022670e-03,3.8894570e-01,5.2901013e-01
3.0500000e-01,2.0000000e+00,2.1736613e+00,4.0200482e-02,1.2715336e+01,8.3612462e-01,2.1736613e+00,4.2220052e-02,1.2715336e+01,8.4035512e-01,1.4233399e+00,6.8224395e-03,3.1849158e-01,5.2661090e-01
3.1000000e-01,2.0000000e+00,2.2014811e+00,5.3652010e-02,1.0636570e+01,8.1009291e-01,2.2014811e+00,5.5285051e-02,1.0636570e+01,8.0988663e-01,1.4231942e+00,5.6465175e-03,2.2037469e-01,5.2365692e-01
3.1500000e-01,2.0000000e+00,2.2253339e+00,5.9347196e-02,9.2836564e+00,7.7825063e-01,2.2253339e+00,6.3258344e-02,9.2836564e+00,7.8408637e-01,1.4228855e+00,4.8806176e-03,1.7884681e-01,5.2203852e-01
3.2000000e-01,2.0000000e+00,2.2453623e+00,5.9533213e-02,7.3436105e+00,7.4455843e-01,2.2453623e+00,6.0456162e-02,7.3436105e+00,7.4313726e-01,1.4224545e+00,3.8932450e-03,1.4790067e-01,5.2007117e-01
3.2500000e-01,2.0000000e+00,2.2616594e+00,5.8591285e-02,6.1252891e+00,7.1096972e-01,2.2616594e+00,6.1683892e-02,6.1252891e+00,7.1596588e-01,1.4219293e+00,3.3712571e-03,1.2732381e-01,5.1906275e-01
3.3000000e-01,2.0000000e+00,2.2744903e+00,5.5407565e-02,4.4270393e+00,6.7849862e-01,2.2744903e+00,5.5688661e-02,4.4270393e+00,6.7670928e-01,1.4213397e+00,2.7265227e-03,9.5683511e-02,5.1794340e-01
3.3500000e-01,2.0000000e+00,2.2840395e+00,5.2455092e-02,3.3864074e+00,6.4771841e-01,2.2840395e+00,5.4918532e-02,3.3864074e+00,6.5193138e-01,1.4207134e+00,2.2126389e-03,9.0894845e-02,5.1739654e-01
3.4000000e-01,2.0000000e+00,2.2906151e+00,4.8214271e-02,1.9665473e+00,6.1896548e-01,2.2906151e+00,4.8264628e-02,1.9665473e+00,6.1724629e-01,1.4200713e+00,1.6771474e-03,1.0485163e-01,5.1682873e-01
3.4500000e-01,2.0000000e+00,2.2944375e+00,4.4551872e-02,1.1138881e+00,5.9242968e-01,2.2944375e+00,4.6539730e-02,1.1138881e+00,5.9590782e-01,1.4194272e+00,1.3658182e-03,1.1037083e-01,5.1662196e-01
