t_us,share_sp,share_act,v_sp,v_act,I_fc,I_batt,gFC,gBT,V_bus,I_cmd,V_fc,V_batt,V_chg,V_rgn,u_unsat,drive_x0,encoder_pos,enc_period_ref_us,enc_multi_pitch_count,enc_spurious_drop_count,fault_flags,ps_phase,dc_phase,trap_phase,flags
841816656,0.730000019,1,0,0,0.0241758227,0,0.33763206,0.266648114,15.9304171,0.0340000018,8.58062935,8.44330978,0,13.288105,0,0,166309,0,0,0,0,,,0,51
841817986,0.730000019,1,0,0,0.0241758227,0,0.33763206,0.266648114,15.9349623,0.0340000018,8.53542042,8.44542122,0,13.3024006,0,0,166309,0,0,0,0,,,0,51
841819115,0.730000019,1,0,0,0.0241758227,0,0.33763206,0.266648114,15.9349623,0.0370000005,8.5565176,8.44330978,0,13.3024006,0,0,166309,0,0,0,0,,,0,51
841820241,0.730000019,1,0,0,0.0241758227,0,0.33763206,0.266648114,15.9349623,0.0370000005,8.56555939,8.44330978,0,13.2952528,0,0,166309,0,0,0,0,,,0,51
841821370,0.730000019,1,0,0,0.0161172152,0,0.33763206,0.266648114,15.9395075,0.0390000008,8.58062935,8.44330978,0,13.3024006,0,0,166309,0,0,0,0,,,0,51
841822496,0.730000019,1,0,0,0.0241758227,0,0.33763206,0.266648114,15.9349623,0.0390000008,8.57761478,8.44330978,0,13.2952528,0,0,166309,0,0,0,0,,,0,51
841823636,0.730000019,1,0,0,0.0161172152,0,0.33763206,0.266648114,15.9395075,0.0410000011,8.57761478,8.43908691,0,13.3024006,0,0,166309,0,0,0,0,,,0,51
841824762,0.730000019,1,0,0,0.0161172152,0,0.33763206,0.266648114,15.9349623,0.0410000011,8.57158756,8.44119835,0,13.2952528,0,0,166309,0,0,0,0,,,0,51
841825892,0.730000019,1,0,0,0.0161172152,0,0.33763206,0.266648114,15.9349623,0.0429999977,8.56555939,8.44119835,0,13.3024006,0,0,166309,0,0,0,0,,,0,51
841827018,0.730000019,1,0,0,0.0161172152,0,0.33763206,0.266648114,15.9395075,0.0429999977,8.56555939,8.44119835,0,13.2952528,0,0,166309,0,0,0,0,,,0,51
841828147,0.730000019,1,0,0,0.0241758227,0,0.33763206,0.266648114,15.9395075,0.0460000001,8.57158756,8.44119835,0,13.3024006,0,0,166309,0,0,0,0,,,0,51
841829279,0.730000019,1,0,0,0.0161172152,0,0.33763206,0.266648114,15.9395075,0.0460000001,8.568573,8.44119835,0,13.3024006,0,0,166309,0,0,0,0,,,0,51
841830408,0.730000019,1,0,0,0.0241758227,0,0.33763206,0.266648114,15.9349623,0.0480000004,8.58967113,8.44119835,0,13.2952528,0,0,166309,0,0,0,0,,,0,51
841831534,0.730000019,1,0,0,0.0161172152,0,0.33763206,0.266648114,15.9395075,0.0480000004,8.54747581,8.44119835,0,13.3024006,0,0,166309,0,0,0,0,,,0,51
841832663,0.730000019,1,0,0,0.0241758227,0,0.33763206,0.266648114,15.9395075,0.0500000045,8.57158756,8.43908691,0,13.3024006,0,0,166309,0,0,0,0,,,0,51
841833790,0.730000019,1,0,0,0.0241758227,0,0.33763206,0.266648114,15.9395075,0.0500000045,8.5444622,8.43908691,0,13.3024006,0,0,166309,0,0,0,0,,,0,51
841834919,0.730000019,1,0,0,0.0241758227,0,0.33763206,0.266648114,15.9349623,0.0519999973,8.53240585,8.43908691,0,13.3024006,0,0,166309,0,0,0,0,,,0,51
841836050,0.730000019,1,0,0,0.0322344303,0,0.33763206,0.266648114,15.9395075,0.0519999973,8.5565176,8.44119835,0,13.288105,0,0,166309,0,0,0,0,,,0,51
841837179,0.730000019,1,0,0,0.0161172152,0,0.33763206,0.266648114,15.9395075,0.0549999997,8.52939224,8.43908691,0,13.3024006,0,0,166309,0,0,0,0,,,0,51
841838510,0.730000019,1,0,0,0.0322344303,0,0.33763206,0.266648114,15.9395075,0.0549999997,8.57158756,8.44330978,0,13.3024006,0,0,166309,0,0,0,0,,,0,51
841839639,0.730000019,1,0,0,0.0241758227,0,0.33763206,0.266648114,15.9395075,0.0569999963,8.55953121,8.44119835,0,13.3024006,0,0,166309,0,0,0,0,,,0,51
841840765,0.730000019,1,0,0,0.0322344303,0,0.33763206,0.266648114,15.9349623,0.0569999963,8.5565176,8.44119835,0,13.3024006,0,0,166309,0,0,0,0,,,0,51
841841899,0.730000019,1,0,0,0.0241758227,0,0.33763206,0.266648114,15.9395075,0.0590000004,8.53240585,8.44119835,0,13.3024006,0,0,166309,0,0,0,0,,,0,51
841843026,0.730000019,1,0,0,0.0322344303,0,0.33763206,0.266648114,15.9349623,0.0590000004,8.56555939,8.44119835,0,13.2952528,0,0,166309,0,0,0,0,,,0,51
841844155,0.730000019,1,0,0,0.0241758227,0,0.33763206,0.266648114,15.9395075,0.061999999,8.53542042,8.44119835,0,13.3024006,0,0,166309,0,0,0,0,,,0,51
841845281,0.730000019,1,0,0,0.0322344303,0,0.33763206,0.266648114,15.9395075,0.061999999,8.57158756,8.44119835,0,13.3024006,0,0,166309,0,0,0,0,,,0,51
841846410,0.730000019,1,0,0,0.0322344303,0,0.33763206,0.266648114,15.9395075,0.0639999956,8.55048943,8.44119835,0,13.3024006,0,0,166309,0,0,0,0,,,0,51
841847536,0.730000019,1,0,0,0.0322344303,0,0.33763206,0.266648114,15.9395075,0.0639999956,8.55048943,8.43908691,0,13.2952528,0,0,166309,0,0,0,0,,,0,51
841848670,0.730000019,1,0,0,0.0241758227,0,0.33763206,0.266648114,15.9349623,0.0659999996,8.56254578,8.43908691,0,13.3024006,0,0,166309,0,0,0,0,,,0,51
841849796,0.730000019,1,0,0,0.0241758227,0,0.33763206,0.266648114,15.9349623,0.0659999996,8.57158756,8.43908691,0,13.3024006,0,0,166309,0,0,0,0,,,0,51
841850925,0.730000019,1,0,0,0.0322344303,0,0.33763206,0.266648114,15.9395075,0.0680000037,8.58062935,8.44119835,0,13.3024006,0,0,166309,0,0,0,0,,,0,51
841852052,0.730000019,1,0,0,0.0322344303,0,0.33763206,0.266648114,15.9395075,0.0680000037,8.50226688,8.44119835,0,13.2952528,0,0,166309,0,0,0,0,,,0,51
841853181,0.730000019,1,0,0,0.0322344303,0,0.33763206,0.266648114,15.9349623,0.0710000023,8.568573,8.44119835,0,13.3024006,0,0,166309,0,0,0,0,,,0,51
841854307,0.730000019,1,0,0,0.0241758227,0,0.33763206,0.266648114,15.9349623,0.0710000023,8.56555939,8.44119835,0,13.3024006,0,0,166309,0,0,0,0,,,0,51
841855441,0.730000019,1,0,0,0.0322344303,0,0.33763206,0.266648114,15.9395075,0.0729999989,8.5444622,8.44119835,0,13.3024006,0,0,166309,0,0,0,0,,,0,51
841856568,0.730000019,1,0,0,0.0402930379,0,0.33763206,0.266648114,15.9349623,0.0729999989,8.55350399,8.44330978,0,13.3095493,0,0,166309,0,0,0,0,,,0,51
841857696,0.730000019,1,0,0,0.0322344303,0,0.33763206,0.266648114,15.9395075,0.075000003,8.59569836,8.44119835,0,13.3024006,0,0,166309,0,0,0,0,,,0,51
841859027,0.730000019,1,0,0,0.0402930379,0,0.33763206,0.266648114,15.9395075,0.075000003,8.5444622,8.44119835,0,13.2952528,0,0,166309,0,0,0,0,,,0,51
841860156,0.730000019,1,0,0,0.0402930379,0,0.33763206,0.266648114,15.9395075,0.0780000016,8.54747581,8.44330978,0,13.3024006,0,0,166309,0,0,0,0,,,0,51
841861288,0.730000019,1,0,0,0.0322344303,0,0.33763206,0.266648114,15.9349623,0.0780000016,8.55350399,8.44119835,0,13.3024006,0,0,166309,0,0,0,0,,,0,51
841862417,0.730000019,1,0,0,0.0322344303,0,0.33763206,0.266648114,15.9349623,0.0799999982,8.568573,8.43908691,0,13.3024006,0,0,166309,0,0,0,0,,,0,51
841863543,0.730000019,1,0,0,0.0402930379,0,0.33763206,0.266648114,15.9395075,0.0799999982,8.57761478,8.44119835,0,13.3024006,0,0,166309,0,0,0,0,,,0,51
841864672,0.730000019,1,0,0,0.0322344303,0,0.33763206,0.266648114,15.9349623,0.0820000023,8.53542042,8.43697548,0,13.3024006,0,0,166309,0,0,0,0,,,0,51
841865799,0.730000019,1,0,0,0.0322344303,0,0.33763206,0.266648114,15.9395075,0.0820000023,8.54747581,8.44119835,0,13.3024006,0,0,166309,0,0,0,0,,,0,51
