t_us,share_sp,share_act,v_sp,v_act,I_fc,I_batt,gFC,gBT,V_bus,I_cmd,fault_flags,ps_phase,dc_phase,trap_phase,flags
233711376,0.850000024,1,,,0.0161172152,0,0.964198232,0.176213503,15.9167824,0.0319999978,0,,,0,1
233712706,0.850000024,1,,,0.0161172152,0,0.964198232,0.176213503,15.9213276,0.0319999978,0,,,0,1
233713834,0.850000024,1,,,0.0161172152,0,0.964198232,0.176213503,15.9167824,0.0340000018,0,,,0,1
233714960,0.850000024,1,,,0.0161172152,0,0.964198232,0.176213503,15.9213276,0.0340000018,0,,,0,1
233716088,0.850000024,1,,,0.0161172152,0,0.964198232,0.176213503,15.9213276,0.0370000005,0,,,0,1
233717214,0.850000024,1,,,0.0161172152,0,0.964198232,0.176213503,15.9304171,0.0370000005,0,,,0,1
233718342,0.850000024,1,,,0.0161172152,0,0.964198232,0.176213503,15.9213276,0.0390000008,0,,,0,1
233719467,0.850000024,1,,,0.0161172152,0,0.964198232,0.176213503,15.9122372,0.0390000008,0,,,0,1
233720596,0.850000024,1,,,0.0241758227,0,0.964198232,0.176213503,15.9167824,0.0410000011,0,,,0,1
233721721,0.850000024,1,,,0.0161172152,0,0.964198232,0.176213503,15.9122372,0.0410000011,0,,,0,1
233722860,0.850000024,1,,,0.0161172152,0,0.964198232,0.176213503,15.9258718,0.0429999977,0,,,0,1
233723985,0.850000024,1,,,0.0161172152,0,0.964198232,0.176213503,15.9258718,0.0429999977,0,,,0,1
233725114,0.850000024,1,,,0.0161172152,0,0.964198232,0.176213503,15.9213276,0.0460000001,0,,,0,1
233726239,0.850000024,1,,,0.00805860758,0,0.964198232,0.176213503,15.9213276,0.0460000001,0,,,0,1
233727367,0.850000024,1,,,0.0161172152,0,0.964198232,0.176213503,15.9258718,0.0480000004,0,,,0,1
233728492,0.850000024,1,,,0.0161172152,0,0.964198232,0.176213503,15.9258718,0.0480000004,0,,,0,1
233729621,0.850000024,1,,,0.0161172152,0,0.964198232,0.176213503,15.9258718,0.0500000045,0,,,0,1
233730746,0.850000024,1,,,0.0161172152,0,0.964198232,0.176213503,15.9258718,0.0500000045,0,,,0,1
233731875,0.850000024,1,,,0.0241758227,0,0.964198232,0.176213503,15.9258718,0.0519999973,0,,,0,1
233733204,0.850000024,1,,,0.0161172152,0,0.964198232,0.176213503,15.9213276,0.0519999973,0,,,0,1
233734337,0.850000024,1,,,0.0241758227,0,0.964198232,0.176213503,15.9258718,0.0549999997,0,,,0,1
233735463,0.850000024,1,,,0.0241758227,0,0.964198232,0.176213503,15.9258718,0.0549999997,0,,,0,1
233736591,0.850000024,1,,,0.0322344303,0,0.964198232,0.176213503,15.9258718,0.0569999963,0,,,0,1
