t_us,share_sp,share_act,v_sp,v_act,I_fc,I_batt,gFC,gBT,V_bus,I_cmd,V_fc,V_batt,V_chg,V_rgn,fault_flags,ps_phase,dc_phase,trap_phase,flags
1340222675,0.649999976,1,,,0.0161172152,0,0.345505506,0.261934012,15.9258718,0.0329999998,8.39979362,8.36518955,0,13.3095493,0,,,0,1
1340224005,0.649999976,1,,,0.0161172152,0,0.345505506,0.261934012,15.9304171,0.0329999998,8.37266827,8.36307812,0,13.3166971,0,,,0,1
1340225135,0.649999976,1,,,0.0161172152,0,0.345505506,0.261934012,15.9395075,0.0359999985,8.42089176,8.35463333,0,13.3166971,0,,,0,1
1340226261,0.649999976,1,,,0.0161172152,0,0.345505506,0.261934012,15.9349623,0.0359999985,8.4058218,8.35674477,0,13.3166971,0,,,0,1
1340227390,0.649999976,1,,,0.0161172152,0,0.345505506,0.261934012,15.9349623,0.0380000025,8.42089176,8.3525219,0,13.3166971,0,,,0,1
1340228516,0.649999976,1,,,0.0161172152,0,0.345505506,0.261934012,15.9349623,0.0380000025,8.42993259,8.35463333,0,13.3166971,0,,,0,1
1340229646,0.649999976,1,,,0.0161172152,0,0.345505506,0.261934012,15.9349623,0.0399999991,8.42390537,8.35463333,0,13.3095493,0,,,0,1
1340230772,0.649999976,1,,,0.00805860758,0,0.345505506,0.261934012,15.9258718,0.0399999991,8.38773823,8.36518955,0,13.3095493,0,,,0,1
1340231912,0.649999976,1,,,0.00805860758,0,0.345505506,0.261934012,15.9349623,0.0420000032,8.40883541,8.3525219,0,13.3166971,0,,,0,1
1340233038,0.649999976,1,,,0.0161172152,0,0.345505506,0.261934012,15.9349623,0.0420000032,8.40280819,8.34407616,0,13.3095493,0,,,0,1
1340234168,0.649999976,1,,,0.0161172152,0,0.345505506,0.261934012,15.9395075,0.0449999981,8.38171005,8.34618759,0,13.3166971,0,,,0,1
1340235294,0.649999976,1,,,0.0241758227,0,0.345505506,0.261934012,15.9349623,0.0449999981,8.4178772,8.35041046,0,13.3166971,0,,,0,1
1340236423,0.649999976,1,,,0.0161172152,0,0.345505506,0.261934012,15.9349623,0.0470000021,8.42390537,8.3525219,0,13.3166971,0,,,0,1
1340237549,0.649999976,1,,,0.0161172152,0,0.345505506,0.261934012,15.9349623,0.0470000021,8.40280819,8.3525219,0,13.3166971,0,,,0,1
1340238679,0.649999976,1,,,0.0161172152,0,0.345505506,0.261934012,15.9349623,0.0490000024,8.41486359,8.34618759,0,13.3166971,0,,,0,1
1340239810,0.649999976,1,,,0.0161172152,0,0.345505506,0.261934012,15.9349623,0.0490000024,8.42691898,8.3525219,0,13.3238449,0,,,0,1
1340240939,0.649999976,1,,,0.0161172152,0,0.345505506,0.261934012,15.9395075,0.0510000028,8.38171005,8.35041046,0,13.3166971,0,,,0,1
1340242065,0.649999976,1,,,0.0161172152,0,0.345505506,0.261934012,15.9349623,0.0510000028,8.38472462,8.3525219,0,13.3024006,0,,,0,1
1340243195,0.649999976,1,,,0.0241758227,0,0.345505506,0.261934012,15.9395075,0.0539999977,8.38171005,8.35041046,0,13.3166971,0,,,0,1
1340244525,0.649999976,1,,,0.0161172152,0,0.345505506,0.261934012,15.9349623,0.0539999977,8.42691898,8.3525219,0,13.3166971,0,,,0,1
1340245654,0.649999976,1,,,0.0241758227,0,0.345505506,0.261934012,15.9395075,0.055999998,8.39979362,8.3525219,0,13.3166971,0,,,0,1
1340246781,0.649999976,1,,,0.0241758227,0,0.345505506,0.261934012,15.9395075,0.055999998,8.3937664,8.35041046,0,13.3166971,0,,,0,1
1340247911,0.649999976,1,,,0.0241758227,0,0.345505506,0.261934012,15.9349623,0.0579999983,8.36965466,8.35041046,0,13.3166971,0,,,0,1
1340249042,0.649999976,1,,,0.0241758227,0,0.345505506,0.261934012,15.9349623,0.0579999983,8.44198895,8.35041046,0,13.3095493,0,,,0,1
1340250171,0.649999976,1,,,0.0241758227,0,0.345505506,0.261934012,15.9349623,0.060999997,8.38171005,8.3525219,0,13.3166971,0,,,0,1
1340251298,0.649999976,1,,,0.0322344303,0,0.345505506,0.261934012,15.9349623,0.060999997,8.42390537,8.3525219,0,13.3238449,0,,,0,1
1340252427,0.649999976,1,,,0.0161172152,0,0.345505506,0.261934012,15.9395075,0.063000001,8.39979362,8.34196472,0,13.3238449,0,,,0,1
1340253553,0.649999976,1,,,0.0161172152,0,0.345505506,0.261934012,15.9349623,0.063000001,8.39075184,8.3525219,0,13.3166971,0,,,0,1
1340254682,0.649999976,1,,,0.0241758227,0,0.345505506,0.261934012,15.9349623,0.0649999976,8.43897438,8.35041046,0,13.3095493,0,,,0,1
1340255809,0.649999976,1,,,0.0322344303,0,0.345505506,0.261934012,15.9349623,0.0649999976,8.39678001,8.3525219,0,13.3166971,0,,,0,1
1340256943,0.649999976,1,,,0.0322344303,0,0.345505506,0.261934012,15.9395075,0.0670000017,8.42089176,8.3525219,0,13.3166971,0,,,0,1
1340258069,0.649999976,1,,,0.0241758227,0,0.345505506,0.261934012,15.9349623,0.0670000017,8.40280819,8.3525219,0,13.3024006,0,,,0,1
1340259198,0.649999976,1,,,0.0241758227,0,0.345505506,0.261934012,15.9349623,0.0700000003,8.40883541,8.35041046,0,13.3166971,0,,,0,1
1340260324,0.649999976,1,,,0.0322344303,0,0.345505506,0.261934012,15.9349623,0.0700000003,8.40280819,8.3525219,0,13.3238449,0,,,0,1
1340261454,0.649999976,1,,,0.0322344303,0,0.345505506,0.261934012,15.9349623,0.0719999969,8.40883541,8.35041046,0,13.3095493,0,,,0,1
1340262580,0.649999976,1,,,0.0241758227,0,0.345505506,0.261934012,15.9395075,0.0719999969,8.3937664,8.35041046,0,13.3166971,0,,,0,1
1340263709,0.649999976,1,,,0.0241758227,0,0.345505506,0.261934012,15.9349623,0.074000001,8.38472462,8.35041046,0,13.3166971,0,,,0,1
1340265040,0.649999976,1,,,0.0241758227,0,0.345505506,0.261934012,15.9349623,0.074000001,8.35759926,8.35041046,0,13.3024006,0,,,0,1
1340266174,0.649999976,1,,,0.0241758227,0,0.345505506,0.261934012,15.9349623,0.0769999996,8.38773823,8.3525219,0,13.3166971,0,,,0,1
1340267300,0.649999976,1,,,0.0322344303,0,0.345505506,0.261934012,15.9349623,0.0769999996,8.4058218,8.3525219,0,13.3166971,0,,,0,1
1340268429,0.649999976,1,,,0.0241758227,0,0.345505506,0.261934012,15.9395075,0.0790000036,8.41486359,8.3525219,0,13.3238449,0,,,0,1
1340269555,0.649999976,1,,,0.0161172152,0,0.345505506,0.261934012,15.9349623,0.0790000036,8.39979362,8.34196472,0,13.3166971,0,,,0,1
1340270685,0.649999976,1,,,0.0322344303,0,0.345505506,0.261934012,15.9349623,0.0810000002,8.38773823,8.3525219,0,13.3166971,0,,,0,1
1340271811,0.649999976,1,,,0.0241758227,0,0.345505506,0.261934012,15.9349623,0.0810000002,8.4058218,8.35041046,0,13.3166971,0,,,0,1
1340272941,0.649999976,1,,,0.0241758227,0,0.345505506,0.261934012,15.9395075,0.0830000043,8.40280819,8.35041046,0,13.3166971,0,,,0,1
1340274072,0.649999976,1,,,0.0322344303,0,0.345505506,0.261934012,15.9395075,0.0830000043,8.38171005,8.3525219,0,13.3095493,0,,,0,1
1340275202,0.649999976,1,,,0.0161172152,0,0.345505506,0.261934012,15.9349623,0.0859999955,8.41486359,8.3525219,0,13.3166971,0,,,0,1
1340276328,0.649999976,1,,,0.0322344303,0,0.345505506,0.261934012,15.9395075,0.0859999955,8.41184998,8.3525219,0,13.3166971,0,,,0,1
1340277457,0.649999976,1,,,0.0241758227,0,0.345505506,0.261934012,15.9349623,0.0879999995,8.40280819,8.34829903,0,13.3166971,0,,,0,1
1340278583,0.649999976,1,,,0.0241758227,0,0.345505506,0.261934012,15.9349623,0.0879999995,8.35458469,8.3525219,0,13.3166971,0,,,0,1
1340279713,0.649999976,1,,,0.0241758227,0,0.345505506,0.261934012,15.9395075,0.0899999961,8.38472462,8.35041046,0,13.3166971,0,,,0,1
1340280839,0.649999976,1,,,0.0322344303,0,0.345505506,0.261934012,15.9349623,0.0899999961,8.4178772,8.3525219,0,13.3166971,0,,,0,1
1340281968,0.649999976,1,,,0.0241758227,0,0.345505506,0.261934012,15.9395075,0.0920000002,8.42993259,8.3525219,0,13.3166971,0,,,0,1
1340283100,0.649999976,1,,,0.0241758227,0,0.345505506,0.261934012,15.9349623,0.0920000002,8.41486359,8.3525219,0,13.3166971,0,,,0,1
1340284229,0.649999976,1,,,0.0241758227,0,0.345505506,0.261934012,15.9304171,0.0949999988,8.38773823,8.3525219,0,13.3166971,0,,,0,1
1340285355,0.649999976,1,,,0.0322344303,0,0.345505506,0.261934012,15.9349623,0.0949999988,8.41486359,8.35041046,0,13.3166971,0,,,0,1
1340286688,0.649999976,1,,,0.0322344303,0,0.345505506,0.261934012,15.9349623,0.0970000029,8.39678001,8.34407616,0,13.3166971,0,,,0,1
1340287815,0.649999976,1,,,0.0322344303,0,0.345505506,0.261934012,15.9349623,0.0970000029,8.39075184,8.35041046,0,13.3166971,0,,,0,1
1340288944,0.649999976,1,,,0.0322344303,0,0.345505506,0.261934012,15.9349623,0.0989999995,8.39678001,8.35041046,0,13.3166971,0,,,0,1
1340290070,0.649999976,1,,,0.0241758227,0,0.345505506,0.261934012,15.9395075,0.0989999995,8.38773823,8.3525219,0,13.3024006,0,,,0,1
1340291204,0.649999976,1,,,0.0241758227,0,0.345505506,0.261934012,15.9349623,0.102000006,8.42390537,8.35041046,0,13.3166971,0,,,0,1
1340292330,0.649999976,1,,,0.0241758227,0,0.345505506,0.261934012,15.9395075,0.102000006,8.40883541,8.3525219,0,13.3166971,0,,,0,1
1340293460,0.649999976,1,,,0.0241758227,0,0.345505506,0.261934012,15.9395075,0.103999995,8.39979362,8.35041046,0,13.3166971,0,,,0,1
1340294586,0.649999976,1,,,0.0402930379,0,0.345505506,0.261934012,15.9349623,0.103999995,8.44198895,8.34618759,0,13.3238449,0,,,0,1
1340295716,0.649999976,1,,,0.0161172152,0,0.345505506,0.261934012,15.9395075,0.105999991,8.43897438,8.3525219,0,13.3166971,0,,,0,1
1340296842,0.649999976,1,,,0.0241758227,0,0.345505506,0.261934012,15.9349623,0.105999991,8.42089176,8.35041046,0,13.3166971,0,,,0,1
1340297971,0.649999976,1,,,0.0161172152,0,0.345505506,0.261934012,15.9349623,0.107999995,8.36664104,8.35041046,0,13.3238449,0,,,0,1
1340299097,0.649999976,1,,,0.0402930379,0,0.345505506,0.261934012,15.9349623,0.107999995,8.42089176,8.35041046,0,13.3166971,0,,,0,1
1340300232,0.649999976,1,,,0.0322344303,0,0.345505506,0.261934012,15.9395075,0.111000001,8.40280819,8.3525219,0,13.3166971,0,,,0,1
1340301358,0.649999976,1,,,0.0241758227,0,0.345505506,0.261934012,15.9349623,0.111000001,8.42993259,8.35041046,0,13.3166971,0,,,0,1
1340302487,0.649999976,1,,,0.0322344303,0,0.345505506,0.261934012,15.9349623,0.113000005,8.4058218,8.34618759,0,13.3166971,0,,,0,1
