t_us,share_sp,share_act,v_sp,v_act,I_fc,I_batt,gFC,gBT,V_bus,I_cmd,V_fc,V_batt,V_chg,V_rgn,u_unsat,drive_x0,encoder_pos,enc_period_ref_us,enc_multi_pitch_count,enc_spurious_drop_count,fault_flags,ps_phase,dc_phase,trap_phase,flags
298568789,0.170000002,0.5,0,0,0.00805860758,0.00805860758,0.326006174,0.274375618,15.9122372,0.0359999985,8.64090729,8.08015633,0,13.5311365,0,0,9035,0,0,0,0,,,0,51
298570121,0.170000002,0.5,0,0,0.00805860758,0.00805860758,0.326006174,0.274375618,15.9213276,0.0359999985,8.64090729,8.08015633,0,13.5382843,0,0,9035,0,0,0,0,,,0,51
298571252,0.170000002,0,0,0,0,0,0.326006174,0.274375618,15.9213276,0.0390000008,8.63789368,8.07593441,0,13.5311365,0,0,9035,0,0,0,0,,,0,51
298572380,0.170000002,0,0,0,0,0.00805860758,0.326006174,0.274375618,15.9213276,0.0390000008,8.62282372,8.07804585,0,13.5311365,0,0,9035,0,0,0,0,,,0,51
298573511,0.170000002,0,0,0,0,0,0.326006174,0.274375618,15.9213276,0.0410000011,8.66501904,8.07382298,0,13.5382843,0,0,9035,0,0,0,0,,,0,51
298574639,0.170000002,0,0,0,0,0.00805860758,0.326006174,0.274375618,15.9213276,0.0410000011,8.66803265,8.0843792,0,13.5382843,0,0,9035,0,0,0,0,,,0,51
298575781,0.170000002,0,0,0,0,0.00805860758,0.326006174,0.274375618,15.9304171,0.0429999977,8.65296268,8.07382298,0,13.5382843,0,0,9035,0,0,0,0,,,0,51
298576909,0.170000002,0.5,0,0,0.00805860758,0.00805860758,0.326006174,0.274375618,15.9258718,0.0429999977,8.64994907,8.06960011,0,13.5382843,0,0,9035,0,0,0,0,,,0,51
298578040,0.170000002,0,0,0,0,0.00805860758,0.326006174,0.274375618,15.9258718,0.0460000001,8.65597725,8.07382298,0,13.5311365,0,0,9035,0,0,0,0,,,0,51
298579167,0.170000002,0,0,0,0,0,0.326006174,0.274375618,15.9258718,0.0460000001,8.64090729,8.07382298,0,13.5382843,0,0,9035,0,0,0,0,,,0,51
298580298,0.170000002,0,0,0,0,0,0.326006174,0.274375618,15.9258718,0.0480000004,8.64693546,8.06960011,0,13.5382843,0,0,9035,0,0,0,0,,,0,51
298581431,0.170000002,1,0,0,0.00805860758,0,0.326006174,0.274375618,15.9258718,0.0480000004,8.6318655,8.07382298,0,13.5311365,0,0,9035,0,0,0,0,,,0,51
298582562,0.170000002,0.5,0,0,0.00805860758,0.00805860758,0.326006174,0.274375618,15.9258718,0.0500000045,8.65296268,8.07593441,0,13.5382843,0,0,9035,0,0,0,0,,,0,51
