t_us,share_sp,share_act,v_sp,v_act,I_fc,I_batt,gFC,gBT,V_bus,I_cmd,V_fc,V_batt,V_chg,V_rgn,u_unsat,drive_x0,encoder_pos,enc_period_ref_us,enc_multi_pitch_count,enc_spurious_drop_count,fault_flags,ps_phase,dc_phase,trap_phase,flags
32373660,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32374792,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32375919,0.5,0,0,0,0,0,0,0,0,0,8.53240585,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32377046,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32378173,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32379301,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32380428,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32381764,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32382891,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32384018,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32385145,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32386272,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08649063,0,0,0,0,712,0,0,0,0,,,,50
32387404,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32388531,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32389658,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32390785,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32391912,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32393039,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32394171,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32395298,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32396426,0.5,1,0,0,0.00805860758,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32397553,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32398680,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32399811,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32400938,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32402269,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32403396,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32404523,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32405650,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32406782,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32407909,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08649063,0,0,0,0,712,0,0,0,0,,,,50
32409036,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32410163,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32411291,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32412417,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32413549,0.5,0,0,0,0,0,0,0,0,0,8.53240585,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32414676,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08649063,0,0,0,0,712,0,0,0,0,,,,50
32415803,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32416930,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32418057,0.5,0,0,0,0,0,0,0,0,0,8.52637863,8.0907135,0,0,0,0,712,0,0,0,0,,,,50
32419189,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32420316,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.0907135,0,0,0,0,712,0,0,0,0,,,,50
32421443,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32422775,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08649063,0,0,0,0,712,0,0,0,0,,,,50
32423902,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32425029,0.5,0,0,0,0,0,0,0,0,0,8.53240585,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32426162,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32427289,0.5,0,0,0,0,0,0,0,0,0,8.53240585,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32428416,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32429543,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32430670,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32431802,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08649063,0,0,0,0,712,0,0,0,0,,,,50
32432929,0.5,0,0,0,0,0,0,0,0,0,8.53240585,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32434057,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32435184,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32436311,0.5,0,0,0,0,0,0,0,0,0,8.52637863,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32437439,0.5,0,0,0,0,0,0,0,0,0,8.53240585,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32438571,0.5,0,0,0,0,0,0,0,0,0,8.53240585,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32439698,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32440825,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32441953,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32443080,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32444416,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32445543,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32446671,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32447798,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32448925,0.5,0,0,0,0,0,0,0,0,0,8.53240585,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32450052,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08649063,0,0,0,0,712,0,0,0,0,,,,50
32451184,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32452312,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.0907135,0,0,0,0,712,0,0,0,0,,,,50
32453439,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32454566,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32455694,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32456821,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32457953,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32459080,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32460208,0.5,0,0,0,0,0,0,0,0,0,8.53240585,8.08649063,0,0,0,0,712,0,0,0,0,,,,50
32461335,0.5,0,0,0,0,0,0,0,0,0,8.53240585,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32462462,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0.00714798551,0,0,0,712,0,0,0,0,,,,50
32463594,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32464926,0.5,0,0,0,0,0,0,0,0,0,8.53240585,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32466053,0.5,0,0,0,0,0,0,0,0,0,8.53240585,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32467181,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.0907135,0,0,0,0,712,0,0,0,0,,,,50
32468308,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32469435,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32470567,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32471694,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08649063,0,0,0,0,712,0,0,0,0,,,,50
32472821,0.5,0,0,0,0,0,0,0,0,0,8.53240585,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32473948,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32475075,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32476207,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32477334,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32478461,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32479588,0.5,0,0,0,0,0,0,0,0,0,8.53240585,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32480715,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08649063,0,0,0,0,712,0,0,0,0,,,,50
32481843,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32482975,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32484102,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32485229,0.5,0,0,0,0,0,0,0,0,0,8.53240585,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32486561,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32487688,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32488820,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32489947,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32491074,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08649063,0,0,0,0,712,0,0,0,0,,,,50
32492201,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08649063,0,0,0,0,712,0,0,0,0,,,,50
32493328,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32494455,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32495587,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32496714,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32497841,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32498969,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32500096,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32501223,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32502355,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32503483,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32504610,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32505737,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32507069,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32508201,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32509328,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32510455,0.5,0,0,0,0,0,0,0,0,0,8.53240585,8.08649063,0,0,0,0,712,0,0,0,0,,,,50
32511582,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08649063,0,0,0,0,712,0,0,0,0,,,,50
32512709,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32513836,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08649063,0,0,0,0,712,0,0,0,0,,,,50
32514968,0.5,0,0,0,0,0,0,0,0,0,8.52939224,8.08860207,0,0,0,0,712,0,0,0,0,,,,50
32516094,0.5,0,0,0,0,0,0,0,0,0,8.53240585,8.0907135,0,0,0,0,712,0,0,0,0,,,,50
