t_us,share_sp,share_act,v_sp,v_act,I_fc,I_batt,gFC,gBT,V_bus,I_cmd,V_fc,V_batt,V_chg,V_rgn,fault_flags,ps_phase,dc_phase,trap_phase,flags
1070009936,0.879999995,1,,,0.0161172152,0,0.320315629,0.278540313,15.9258718,0.0329999998,8.40280819,8.35885525,0,13.3095493,0,,,0,1
1070011266,0.879999995,1,,,0.0161172152,0,0.320315629,0.278540313,15.9349623,0.0329999998,8.4058218,8.35674477,0,13.3166971,0,,,0,1
1070012396,0.879999995,1,,,0.0161172152,0,0.320315629,0.278540313,15.9304171,0.0359999985,8.38773823,8.35674477,0,13.3166971,0,,,0,1
1070013522,0.879999995,1,,,0.0161172152,0,0.320315629,0.278540313,15.9349623,0.0359999985,8.4058218,8.35463333,0,13.3309927,0,,,0,1
1070014651,0.879999995,1,,,0.0161172152,0,0.320315629,0.278540313,15.9349623,0.0380000025,8.42089176,8.35041046,0,13.3166971,0,,,0,1
1070015777,0.879999995,1,,,0.0161172152,0,0.320315629,0.278540313,15.9349623,0.0380000025,8.3937664,8.35041046,0,13.3166971,0,,,0,1
1070016907,0.879999995,1,,,0.0161172152,0,0.320315629,0.278540313,15.9304171,0.0399999991,8.4058218,8.36096668,0,13.3166971,0,,,0,1
1070018033,0.879999995,1,,,0.0161172152,0,0.320315629,0.278540313,15.9258718,0.0399999991,8.42089176,8.36730099,0,13.3095493,0,,,0,1
1070019173,0.879999995,1,,,0.00805860758,0,0.320315629,0.278540313,15.9395075,0.0429999977,8.36061287,8.34196472,0,13.3238449,0,,,0,1
1070020299,0.879999995,1,,,0.0161172152,0,0.320315629,0.278540313,15.9349623,0.0429999977,8.3937664,8.33563042,0,13.3166971,0,,,0,1
1070021428,0.879999995,1,,,0.0161172152,0,0.320315629,0.278540313,15.9349623,0.0449999981,8.36362648,8.34196472,0,13.3238449,0,,,0,1
1070022555,0.879999995,1,,,0.0241758227,0,0.320315629,0.278540313,15.9395075,0.0449999981,8.42089176,8.34618759,0,13.3238449,0,,,0,1
1070023684,0.879999995,1,,,0.0161172152,0,0.320315629,0.278540313,15.9349623,0.0470000021,8.36664104,8.34829903,0,13.3238449,0,,,0,1
1070024810,0.879999995,1,,,0.00805860758,0,0.320315629,0.278540313,15.9349623,0.0470000021,8.43897438,8.34829903,0,13.3166971,0,,,0,1
1070025939,0.879999995,1,,,0.0161172152,0,0.320315629,0.278540313,15.9349623,0.0490000024,8.40280819,8.34829903,0,13.3166971,0,,,0,1
1070027070,0.879999995,1,,,0.0161172152,0,0.320315629,0.278540313,15.9349623,0.0490000024,8.42089176,8.34618759,0,13.3095493,0,,,0,1
1070028199,0.879999995,1,,,0.00805860758,0,0.320315629,0.278540313,15.9304171,0.0519999973,8.4058218,8.34618759,0,13.3238449,0,,,0,1
1070029326,0.879999995,1,,,0.0161172152,0,0.320315629,0.278540313,15.9349623,0.0519999973,8.43294716,8.34618759,0,13.3238449,0,,,0,1
1070030455,0.879999995,1,,,0.0241758227,0,0.320315629,0.278540313,15.9395075,0.0539999977,8.42390537,8.34829903,0,13.3238449,0,,,0,1
1070031786,0.879999995,1,,,0.0241758227,0,0.320315629,0.278540313,15.9349623,0.0539999977,8.38472462,8.34618759,0,13.3166971,0,,,0,1
1070032915,0.879999995,1,,,0.0161172152,0,0.320315629,0.278540313,15.9349623,0.055999998,8.40280819,8.34618759,0,13.3166971,0,,,0,1
1070034041,0.879999995,1,,,0.0241758227,0,0.320315629,0.278540313,15.9349623,0.055999998,8.40883541,8.34829903,0,13.3166971,0,,,0,1
1070035171,0.879999995,1,,,0.0241758227,0,0.320315629,0.278540313,15.9349623,0.0590000004,8.4058218,8.34618759,0,13.3238449,0,,,0,1
1070036301,0.879999995,1,,,0.0161172152,0,0.320315629,0.278540313,15.9395075,0.0590000004,8.41486359,8.34618759,0,13.3238449,0,,,0,1
1070037431,0.879999995,1,,,0.0241758227,0,0.320315629,0.278540313,15.9349623,0.060999997,8.40280819,8.34829903,0,13.3238449,0,,,0,1
1070038557,0.879999995,1,,,0.0322344303,0,0.320315629,0.278540313,15.9349623,0.060999997,8.41184998,8.34829903,0,13.3238449,0,,,0,1
1070039687,0.879999995,1,,,0.0241758227,0,0.320315629,0.278540313,15.9349623,0.063000001,8.40280819,8.34618759,0,13.3238449,0,,,0,1
1070040813,0.879999995,1,,,0.0322344303,0,0.320315629,0.278540313,15.9349623,0.063000001,8.39075184,8.34618759,0,13.3238449,0,,,0,1
1070041942,0.879999995,1,,,0.0241758227,0,0.320315629,0.278540313,15.9349623,0.0649999976,8.41184998,8.34618759,0,13.3238449,0,,,0,1
1070043069,0.879999995,1,,,0.0241758227,0,0.320315629,0.278540313,15.9349623,0.0649999976,8.42089176,8.34829903,0,13.3095493,0,,,0,1
1070044203,0.879999995,1,,,0.0161172152,0,0.320315629,0.278540313,15.9395075,0.0680000037,8.42691898,8.34618759,0,13.3238449,0,,,0,1
