log,fw,t0,t1,mode,share_sp,r_cmd,alpha,I_tot,I_fc,I_batt,V_bus,gFC,gBT,n_samples
PS0003,,0.497613,0.994333,legacy,0.5,0.47617446486266474,0.49998114749794403,1.0291749889014083,0.5148239559671361,0.5143510329342723,15.860555762676057,0.3128890568591549,0.2844249197605634,426
PS0003,,0.995506,1.492221,legacy,0.5,0.4749571028163888,0.5000214474820642,1.0397117129530515,0.5200639426056337,0.5196477703474178,15.86049175680751,0.31369038130751176,0.28376489885211265,426
PS0003,,1.493394,1.989914,legacy,0.5,0.47465259395747406,0.5000109269216731,1.0481297419483568,0.5243013324530517,0.5238284094953052,15.859478177934273,0.3138936097042253,0.28360187209859156,426
PS0003,,1.991087,2.487803,legacy,0.5,0.4749009568932295,0.4999860502597603,1.0508537783239438,0.525549849129108,0.5253039291948357,15.859030083333332,0.31372797995070417,0.28373492782159626,426
TP0004,,6.471333,6.96807,legacy,0.5,0.48135093161323794,0.4998955776557239,1.6504822829859154,0.8251181815938967,0.8253641013920188,15.813067429812207,0.30951895603286383,0.287259723241784,426
TP0004,,6.969244,7.4659,legacy,0.5,0.48180499240520663,0.49992284702991513,1.8122976098122066,0.9061960974413146,0.906101512370892,15.802280963849766,0.3092279564460094,0.28751201494366196,426
TP0004,,7.467078,7.963451,legacy,0.5,0.4822564084410162,0.5000515130875774,1.9058228572981222,0.953166807213615,0.9526560500845072,15.795346023943662,0.30893806021126763,0.28776233464319245,426
TP0004,,7.964625,8.461365,legacy,0.5,0.4812547555842203,0.4999988781152832,1.9791637505657276,0.9897710443427231,0.9893927062230048,15.789360634507045,0.30958340293427233,0.28720854817840374,426
TP0004,,8.462538,8.959203,legacy,0.5,0.48164240252999485,0.4999895033687132,2.03718194371831,1.0188652651830987,1.0183166785352111,15.78550908169014,0.3093326974741784,0.28742210867370893,426
TP0004,,8.960373,9.456847,legacy,0.5,0.4823720700523884,0.5000042505815425,1.9924245116384975,0.9964108829882629,0.9960136286502348,15.789808743896714,0.3088638095492957,0.28782649931220655,426
TP0005,,6.471325,6.967771,legacy,0.5,0.48189698976355805,0.49997093103169865,1.8240450166995303,0.9120603425727701,0.9119846741267605,15.80029648568075,0.3091698628661972,0.28756381921830987,426
TP0005,,6.968941,7.465604,legacy,0.5,0.4823088689244665,0.4999835687332179,1.944470125206573,0.9724242328990612,0.9720458923075117,15.793959041314556,0.30890619440610334,0.2877929042887324,426
TP0005,,7.466783,7.963157,legacy,0.5,0.48312275615505845,0.5000044974326052,2.023788764408451,1.01218759263615,1.0116011717723004,15.786757374647888,0.30838571061502346,0.2882460352887324,426
TP0005,,7.96433,8.461066,legacy,0.5,0.48215878354406394,0.4998907726104437,2.089052136838028,1.0445544417582158,1.0444976950798122,15.781486813380281,0.3090009840539906,0.2877083716032864,426
TP0005,,8.46224,8.958898,legacy,0.5,0.48279363477171705,0.5000701523563503,2.108782486741784,1.0549587503122067,1.0538237364295775,15.780622595774648,0.3085944519741784,0.2880613829201878,426
TP0005,,8.960071,9.456832,legacy,0.5,0.48236296266632267,0.49992310891417324,2.004115168584507,1.0021427120070423,1.0019724565774648,15.789093892723006,0.3088698270962441,0.2878215836971831,426
