t_us,share_sp,share_act,v_sp,v_act,I_fc,I_batt,gFC,gBT,V_bus,I_cmd,V_fc,V_batt,V_chg,V_rgn,u_unsat,drive_x0,fault_flags,ps_phase,dc_phase,trap_phase,flags
203894308,0.5,1,0,0,0.0241758227,0,0,0,15.9395075,0,8.58062935,8.44119835,0,13.3238449,0,0,0,0,0,,51
203895442,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.57158756,8.44119835,0,13.3238449,0,0,0,0,0,,51
203896568,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.53240585,8.43486404,0,13.3309927,0,0,0,0,0,,51
203897698,0.5,1,0,0,0.0322344303,0,0,0,15.9349623,0,8.5444622,8.44330978,0,13.3238449,0,0,0,0,0,,51
203898825,0.5,1,0,0,0.0241758227,0,0,0,15.9395075,0,8.57460117,8.44119835,0,13.3238449,0,0,0,0,0,,51
203899954,0.5,1,0,0,0.0241758227,0,0,0,15.9349623,0,8.568573,8.44119835,0,13.3238449,0,0,0,0,0,,51
203901081,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.54144764,8.44119835,0,13.3024006,0,0,0,0,0,,51
203902210,0.5,1,0,0,0.0161172152,0,0,0,15.9304171,0,8.58062935,8.44119835,0,13.3238449,0,0,0,0,0,,51
203903342,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.53542042,8.44119835,0,13.3238449,0,0,0,0,0,,51
203904471,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.52035046,8.43697548,0,13.3238449,0,0,0,0,0,,51
203905598,0.5,1,0,0,0.0241758227,0,0,0,15.9395075,0,8.55048943,8.44119835,0,13.3238449,0,0,0,0,0,,51
203906727,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.57158756,8.44119835,0,13.3238449,0,0,0,0,0,,51
203907854,0.5,1,0,0,0.0241758227,0,0,0,15.9395075,0,8.54747581,8.43908691,0,13.3166971,0,0,0,0,0,,51
203908984,0.5,1,0,0,0.0241758227,0,0,0,15.9395075,0,8.53542042,8.44119835,0,13.3166971,0,0,0,0,0,,51
203910111,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.51432323,8.44330978,0,13.3166971,0,0,0,0,0,,51
203911246,0.5,1,0,0,0.0241758227,0,0,0,15.9349623,0,8.56555939,8.44119835,0,13.3238449,0,0,0,0,0,,51
203912372,0.5,1,0,0,0.0161172152,0,0,0,15.9395075,0,8.59871292,8.44330978,0,13.3238449,0,0,0,0,0,,51
203913706,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.58364296,8.44119835,0,13.3238449,0,0,0,0,0,,51
203914833,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.53843403,8.44119835,0,13.3238449,0,0,0,0,0,,51
203915962,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.59871292,8.44119835,0,13.3238449,0,0,0,0,0,,51
203917089,0.5,1,0,0,0.0241758227,0,0,0,15.9349623,0,8.54747581,8.44119835,0,13.3238449,0,0,0,0,0,,51
203918218,0.5,1,0,0,0.0161172152,0,0,0,15.9304171,0,8.57158756,8.44119835,0,13.3238449,0,0,0,0,0,,51
203919350,0.5,1,0,0,0.0322344303,0,0,0,15.9349623,0,8.57158756,8.44119835,0,13.3166971,0,0,0,0,0,,51
203920480,0.5,1,0,0,0.0161172152,0,0,0,15.9349623,0,8.52336502,8.44119835,0,13.3238449,0,0,0,0,0,,51
