t_us,share_sp,share_act,v_sp,v_act,I_fc,I_batt,gFC,gBT,V_bus,I_cmd,V_fc,V_batt,V_chg,V_rgn,u_unsat,drive_x0,encoder_pos,enc_period_ref_us,enc_multi_pitch_count,enc_spurious_drop_count,enc_edge_count_a,enc_edge_count_b,enc_phase_ewma,enc_duty_a_ewma,enc_duty_b_ewma,fault_flags,ps_phase,dc_phase,trap_phase,flags
196419612,0.5,0,0,0,0,0,0,0,0,0,8.53843403,8.08649063,0,0,0,0,1290,0,0,0,3247,3246,0,0,0,0,,,,50
196420950,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.08649063,0,0,0,0,1290,0,0,0,3247,3246,0,0,0,0,,,,50
196422077,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.08860207,0,0,0,0,1290,0,0,0,3247,3246,0,0,0,0,,,,50
196423204,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.08860207,0,0,0,0,1290,0,0,0,3247,3246,0,0,0,0,,,,50
196424331,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.08649063,0,0,0,0,1290,0,0,0,3247,3246,0,0,0,0,,,,50
196425469,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.08226776,0,0,0,0,1290,0,0,0,3247,3246,0,0,0,0,,,,50
196426597,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.08226776,0,0,0,0,1290,0,0,0,3247,3246,0,0,0,0,,,,50
196427724,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.08226776,0,0,0,0,1290,0,0,0,3247,3246,0,0,0,0,,,,50
196428851,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.0843792,0,0,0,0,1290,0,0,0,3247,3246,0,0,0,0,,,,50
196429978,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.0843792,0,0,0,0,1290,0,0,0,3247,3246,0,0,0,0,,,,50
196431110,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.0843792,0,0,0,0,1290,0,0,0,3247,3246,0,0,0,0,,,,50
196432237,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.08226776,0,0,0,0,1290,0,0,0,3247,3246,0,0,0,0,,,,50
196433364,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.08226776,0,0,0,0,1290,0,0,0,3247,3246,0,0,0,0,,,,50
196434490,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.0843792,0,0,0,0,1290,0,0,0,3247,3246,0,0,0,0,,,,50
196435617,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.0843792,0,0,0,0,1290,0,0,0,3247,3246,0,0,0,0,,,,50
196436749,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.0843792,0,0,0,0,1290,0,0,0,3247,3246,0,0,0,0,,,,50
196437876,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.08649063,0,0,0,0,1290,0,0,0,3247,3246,0,0,0,0,,,,50
196439003,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.0843792,0,0,0,0,1290,0,0,0,3247,3246,0,0,0,0,,,,50
196440130,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.0843792,0,0,0,0,1290,0,0,0,3247,3246,0,0,0,0,,,,50
196441468,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.0843792,0,0,0,0,1290,0,0,0,3247,3246,0,0,0,0,,,,50
196442600,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.0843792,0,0,0,0,1290,0,0,0,3247,3246,0,0,0,0,,,,50
196443727,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.08226776,0,0,0,0,1290,0,0,0,3247,3246,0,0,0,0,,,,50
196444854,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.0843792,0,0,0,0,1290,0,0,0,3247,3246,0,0,0,0,,,,50
196445982,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.0843792,0,0,0,0,1290,0,0,0,3247,3246,0,0,0,0,,,,50
196447113,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.0843792,0,0,0,0,1290,0,0,0,3247,3246,0,0,0,0,,,,50
196448240,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.0843792,0,0,0,0,1290,0,0,0,3247,3246,0,0,0,0,,,,50
196449368,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.0843792,0,0,0,0,1290,0,0,0,3247,3246,0,0,0,0,,,,50
196450495,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.08226776,0,0,0,0,1290,0,0,0,3247,3246,0,0,0,0,,,,50
196451622,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.0843792,0,0,0,0,1290,0,0,0,3247,3246,0,0,0,0,,,,50
196452753,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.0843792,0,0,0,0,1290,0,0,0,3247,3246,0,0,0,0,,,,50
196453881,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.0843792,0,0,0,0,1290,0,0,0,3247,3246,0,0,0,0,,,,50
196455008,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.0843792,0,0,0,0,1290,0,0,0,3247,3246,0,0,0,0,,,,50
196456135,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.0843792,0,0,0,0,1290,0,0,0,3247,3246,0,0,0,0,,,,50
196457263,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.0843792,0,0,0,0,1290,0,0,0,3247,3246,0,0,0,0,,,,50
196458395,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.0843792,0,0,0,0,1290,0,0,0,3247,3246,0,0,0,0,,,,50
196459522,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.08226776,0,0,0,0,1290,0,0,0,3247,3246,0,0,0,0,,,,50
196460649,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.0843792,0,0,0,0,1290,0,0,0,3247,3246,0,0,0,0,,,,50
196461987,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.0843792,0,0,0,0,1290,0,0,0,3247,3246,0,0,0,0,,,,50
196463114,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.0843792,0,0,0,0,1290,0,0,0,3247,3246,0,0,0,0,,,,50
196464246,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.0843792,0,0,0,0,1290,0,0,0,3247,3246,0,0,0,0,,,,50
196465373,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.0843792,0,0,0,0,1290,0,0,0,3247,3246,0,0,0,0,,,,50
196466500,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.08649063,0,0,0,0,1290,0,0,0,3247,3246,0,0,0,0,,,,50
196467627,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.0843792,0,0,0,0,1290,0,0,0,3247,3246,0,0,0,0,,,,50
196468754,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.08649063,0,0,0,0,1290,0,0,0,3247,3246,0,0,0,0,,,,50
196469886,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.08226776,0,0,0,0,1290,0,0,0,3247,3246,0,0,0,0,,,,50
196471013,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.0843792,0,0,0,0,1290,0,0,0,3247,3246,0,0,0,0,,,,50
196472140,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.0843792,0,0,0,0,1290,0,0,0,3247,3246,0,0,0,0,,,,50
196473267,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.0843792,0,0,0,0,1290,0,0,0,3247,3246,0,0,0,0,,,,50
196474399,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.0843792,0,0,0,0,1290,0,0,0,3247,3246,0,0,0,0,,,,50
196475527,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.0843792,0,0,0,0,1290,0,0,0,3247,3246,0,0,0,0,,,,50
196476654,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.08226776,0,0,0,0,1290,0,0,0,3247,3246,0,0,0,0,,,,50
196477781,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.08226776,0,0,0,0,1290,0,0,0,3247,3246,0,0,0,0,,,,50
196478909,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.0843792,0,0,0,0,1290,0,0,0,3247,3246,0,0,0,0,,,,50
196480041,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.0843792,0,0,0,0,1290,0,0,0,3247,3246,0,0,0,0,,,,50
196481168,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.0843792,0,0,0,0,1290,0,0,0,3247,3246,0,0,0,0,,,,50
196482295,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.0843792,0,0.00714798551,0,0,1290,0,0,0,3247,3246,0,0,0,0,,,,50
196483633,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.0843792,0,0,0,0,1290,0,0,0,3247,3246,0,0,0,0,,,,50
196484760,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.0843792,0,0,0,0,1290,0,0,0,3247,3246,0,0,0,0,,,,50
196485892,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.0843792,0,0,0,0,1290,0,0,0,3247,3246,0,0,0,0,,,,50
196487019,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.08226776,0,0,0,0,1290,0,0,0,3247,3246,0,0,0,0,,,,50
196488146,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.0843792,0,0,0,0,1290,0,0,0,3247,3246,0,0,0,0,,,,50
196489273,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.0843792,0,0,0,0,1290,0,0,0,3247,3246,0,0,0,0,,,,50
196490400,0.5,0,0,0,0,0,0,0,0,0,8.5444622,8.0843792,0,0,0,0,1290,0,0,0,3247,3246,0,0,0,0,,,,50
196491532,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.0843792,0,0,0,0,1290,0,0,0,3247,3246,0,0,0,0,,,,50
196492660,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.08226776,0,0,0,0,1290,0,0,0,3247,3246,0,0,0,0,,,,50
196493787,0.5,0,0,0,0,0,0,0,0,0,8.54144764,8.0843792,0,0.00714798551,0,0,1290,0,0,0,3247,3246,0,0,0,0,,,,50
