run,i_cmd_A,v_settled_mps,sigma_v,tail_mean,exp_vinf,creep_mm_s2,hold_s,F_applied_N
TP0125,3.5,0.6951060495133502,0.01136158610341894,0.6951060495133502,0.6977352732136312,0.6950383533612124,30.070078,1.5805893897637795
TP0126,4.0,1.0697999289084303,0.013137391290818132,1.0723482577994536,1.0697999289084303,1.1125905550135264,30.080702,1.806387874015748
TP0127,5.0,2.260324955903991,0.022370122975429344,2.272818459065128,2.260324955903991,10.084272146940586,30.041276999999997,2.257984842519685
TP0128,3.5,0.696158850111111,0.011407079703061877,0.696158850111111,0.6997131591352022,0.07595567816750093,30.028071,1.5805893897637795
TP0129,4.5,1.6867427436706173,0.021968798111408443,1.7051483992565981,1.6867427436706173,3.319538347889373,40.032257,2.0321863582677167
TP0130,3.75,0.8399675606552127,0.011103898397553779,0.8399675606552127,0.8496259827793908,-0.34714749887313784,30.030056,1.6934886318897637
TP0131,4.0,1.0110639720756547,0.017845220379531037,0.9878140963998046,1.0110639720756547,-2.387692216259188,30.033385,1.806387874015748
TP0132,4.75,1.9379516634844753,0.01624201085867411,1.9414948288684775,1.9379516634844753,7.621560303791534,30.038013,2.145085600393701
TP0133,5.1,2.3132463271738195,0.03879360058534917,2.255290632355699,2.3132463271738195,25.646191723825222,20.038032,2.3031445393700785
TP0134,5.5,2.728616175145521,0.09889041479548566,2.5651431828493365,2.728616175145521,64.85690113474378,15.043965,2.4837833267716536
