t_us,share_sp,share_act,v_sp,v_act,I_fc,I_batt,gFC,gBT,V_bus,I_cmd,V_fc,V_batt,V_chg,V_rgn,fault_flags,ps_phase,dc_phase,trap_phase,flags
740202164,0.5,1,,,0.0241758227,0,0.321590453,0.27758342,15.9167824,0.0319999978,8.41486359,8.38419151,0,13.2952528,0,,,0,1
740203494,0.5,1,,,0.0161172152,0,0.321590453,0.27758342,15.9213276,0.0319999978,8.40883541,8.3799696,0,13.2952528,0,,,0,1
740204623,0.5,1,,,0.00805860758,0,0.321590453,0.27758342,15.9213276,0.0340000018,8.37568283,8.38208103,0,13.2952528,0,,,0,1
740205748,0.5,1,,,0.0161172152,0,0.321590453,0.27758342,15.9213276,0.0340000018,8.39678001,8.37785816,0,13.2952528,0,,,0,1
740206877,0.5,1,,,0.0161172152,0,0.321590453,0.27758342,15.9213276,0.0359999985,8.4058218,8.37363529,0,13.288105,0,,,0,1
740208003,0.5,1,,,0.0161172152,0,0.321590453,0.27758342,15.9213276,0.0359999985,8.38171005,8.36941242,0,13.2952528,0,,,0,1
740209131,0.5,1,,,0.0161172152,0,0.321590453,0.27758342,15.9213276,0.0390000008,8.40280819,8.36941242,0,13.2952528,0,,,0,1
740210257,0.5,1,,,0.00805860758,0,0.321590453,0.27758342,15.9213276,0.0390000008,8.40280819,8.36941242,0,13.2952528,0,,,0,1
740211397,0.5,1,,,0.00805860758,0,0.321590453,0.27758342,15.9304171,0.0410000011,8.42691898,8.36518955,0,13.3024006,0,,,0,1
740212523,0.5,1,,,0.0161172152,0,0.321590453,0.27758342,15.9258718,0.0410000011,8.38472462,8.36518955,0,13.2952528,0,,,0,1
740213652,0.5,1,,,0.00805860758,0,0.321590453,0.27758342,15.9258718,0.0429999977,8.40280819,8.36730099,0,13.2952528,0,,,0,1
740214778,0.5,1,,,0.0161172152,0,0.321590453,0.27758342,15.9258718,0.0429999977,8.44198895,8.36941242,0,13.3024006,0,,,0,1
740215906,0.5,1,,,0.0161172152,0,0.321590453,0.27758342,15.9258718,0.0449999981,8.37266827,8.37152386,0,13.2952528,0,,,0,1
740217032,0.5,1,,,0.0241758227,0,0.321590453,0.27758342,15.9304171,0.0449999981,8.38472462,8.36941242,0,13.288105,0,,,0,1
740218161,0.5,1,,,0.0161172152,0,0.321590453,0.27758342,15.9258718,0.0480000004,8.42993259,8.36730099,0,13.2952528,0,,,0,1
740219292,0.5,1,,,0.0161172152,0,0.321590453,0.27758342,15.9258718,0.0480000004,8.35759926,8.36730099,0,13.2952528,0,,,0,1
740220421,0.5,1,,,0.00805860758,0,0.321590453,0.27758342,15.9258718,0.0500000045,8.4178772,8.36730099,0,13.3095493,0,,,0,1
740221546,0.5,1,,,0.0241758227,0,0.321590453,0.27758342,15.9258718,0.0500000045,8.39979362,8.36941242,0,13.3024006,0,,,0,1
