t_us,share_sp,share_act,v_sp,v_act,I_fc,I_batt,gFC,gBT,V_bus,I_cmd,fault_flags,ps_phase,dc_phase,trap_phase,flags
29724516,0.680000007,1,,,0.00805860758,0,0,0,15.9213276,0.0370000005,0,,,0,1
29725845,0.680000007,1,,,0.0161172152,0,0,0,15.9213276,0.0370000005,0,,,0,1
29726973,0.680000007,1,,,0.00805860758,0,0,0,15.9213276,0.0390000008,0,,,0,1
29728099,0.680000007,1,,,0.0322344303,0,0,0,15.9213276,0.0390000008,0,,,0,1
29729228,0.680000007,1,,,0.00805860758,0,0,0,15.9167824,0.0420000032,0,,,0,1
29730353,0.680000007,1,,,0.0161172152,0,0,0,15.9258718,0.0420000032,0,,,0,1
29731482,0.680000007,1,,,0.0161172152,0,0,0,15.9213276,0.0439999998,0,,,0,1
29732607,0.680000007,1,,,0.0161172152,0,0,0,15.9167824,0.0439999998,0,,,0,1
29733736,0.680000007,1,,,0.0161172152,0,0,0,15.9167824,0.0460000001,0,,,0,1
29734861,0.680000007,1,,,0.0161172152,0,0,0,15.9122372,0.0460000001,0,,,0,1
29736001,0.680000007,1,,,0.00805860758,0,0,0,15.9258718,0.0480000004,0,,,0,1
29737126,0.680000007,1,,,0.0161172152,0,0,0,15.9258718,0.0480000004,0,,,0,1
29738254,0.680000007,1,,,0.0161172152,0,0,0,15.9258718,0.0510000028,0,,,0,1
29739380,0.680000007,1,,,0.0161172152,0,0,0,15.9258718,0.0510000028,0,,,0,1
29740508,0.680000007,1,,,0.0241758227,0,0,0,15.9258718,0.0529999956,0,,,0,1
29741634,0.680000007,1,,,0.0241758227,0,0,0,15.9258718,0.0529999956,0,,,0,1
29742762,0.680000007,1,,,0.0322344303,0,0,0,15.9258718,0.0549999997,0,,,0,1
29743887,0.680000007,1,,,0.0241758227,0,0,0,15.9258718,0.0549999997,0,,,0,1
29745016,0.680000007,1,,,0.0241758227,0,0,0,15.9258718,0.0579999983,0,,,0,1
29746345,0.680000007,1,,,0.0241758227,0,0,0,15.9258718,0.0579999983,0,,,0,1
29747478,0.680000007,1,,,0.0241758227,0,0,0,15.9258718,0.0599999987,0,,,0,1
29748604,0.680000007,1,,,0.0241758227,0,0,0,15.9258718,0.0599999987,0,,,0,1
29749732,0.680000007,1,,,0.0241758227,0,0,0,15.9258718,0.061999999,0,,,0,1
29750858,0.680000007,1,,,0.0241758227,0,0,0,15.9258718,0.061999999,0,,,0,1
29751986,0.680000007,1,,,0.0322344303,0,0,0,15.9258718,0.0639999956,0,,,0,1
29753112,0.680000007,1,,,0.0322344303,0,0,0,15.9258718,0.0639999956,0,,,0,1
29754241,0.680000007,1,,,0.0241758227,0,0,0,15.9304171,0.0670000017,0,,,0,1
29755367,0.680000007,1,,,0.0322344303,0,0,0,15.9258718,0.0670000017,0,,,0,1
29756496,0.680000007,1,,,0.0322344303,0,0,0,15.9258718,0.0689999983,0,,,0,1
29757626,0.680000007,1,,,0.0241758227,0,0,0,15.9213276,0.0689999983,0,,,0,1
29758754,0.680000007,1,,,0.0241758227,0,0,0,15.9258718,0.0710000023,0,,,0,1
29759880,0.680000007,1,,,0.0322344303,0,0,0,15.9258718,0.0710000023,0,,,0,1
29761008,0.680000007,1,,,0.0241758227,0,0,0,15.9258718,0.074000001,0,,,0,1
29762134,0.680000007,1,,,0.0322344303,0,0,0,15.9258718,0.074000001,0,,,0,1
29763263,0.680000007,1,,,0.0322344303,0,0,0,15.9258718,0.076000005,0,,,0,1
29764388,0.680000007,1,,,0.0241758227,0,0,0,15.9258718,0.076000005,0,,,0,1
29765517,0.680000007,1,,,0.0322344303,0,0,0,15.9258718,0.0780000016,0,,,0,1
29766847,0.680000007,1,,,0.0241758227,0,0,0,15.9258718,0.0780000016,0,,,0,1
29767975,0.680000007,1,,,0.0322344303,0,0,0,15.9213276,0.0799999982,0,,,0,1
29769105,0.680000007,1,,,0.0241758227,0,0,0,15.9258718,0.0799999982,0,,,0,1
29770234,0.680000007,1,,,0.0322344303,0,0,0,15.9258718,0.0830000043,0,,,0,1
29771359,0.680000007,1,,,0.0241758227,0,0,0,15.9258718,0.0830000043,0,,,0,1
29772487,0.680000007,1,,,0.0241758227,0,0,0,15.9258718,0.0850000009,0,,,0,1
29773613,0.680000007,1,,,0.0241758227,0,0,0,15.9258718,0.0850000009,0,,,0,1
