t_us,share_sp,share_act,v_sp,v_act,I_fc,I_batt,gFC,gBT,V_bus,I_cmd,V_fc,V_batt,V_chg,V_rgn,u_unsat,drive_x0,encoder_pos,enc_period_ref_us,enc_multi_pitch_count,enc_spurious_drop_count,fault_flags,ps_phase,dc_phase,trap_phase,flags
339197701,0.119999997,0,0,0,0,0.0241758227,0.297970891,0.297970891,15.9213276,0.0350000001,8.58665657,8.42219639,0,13.3166971,0,0,106735,0,0,0,0,,,0,51
339199031,0.119999997,0,0,0,0,0.0241758227,0.297970891,0.297970891,15.9304171,0.0350000001,8.58967113,8.42008495,0,13.3095493,0,0,106735,0,0,0,0,,,0,51
339200160,0.119999997,0,0,0,0,0.0241758227,0.297970891,0.297970891,15.9304171,0.0380000025,8.59268475,8.42008495,0,13.3166971,0,0,106735,0,0,0,0,,,0,51
339201286,0.119999997,0,0,0,0,0.0241758227,0.297970891,0.297970891,15.9304171,0.0380000025,8.58967113,8.42641926,0,13.3166971,0,0,106735,0,0,0,0,,,0,51
339202414,0.119999997,0,0,0,0,0.0161172152,0.297970891,0.297970891,15.9304171,0.0399999991,8.58967113,8.42430782,0,13.3166971,0,0,106735,0,0,0,0,,,0,51
339203540,0.119999997,0,0,0,0,0.0241758227,0.297970891,0.297970891,15.9349623,0.0399999991,8.58967113,8.42008495,0,13.3095493,0,0,106735,0,0,0,0,,,0,51
339204680,0.119999997,0,0,0,0,0.0241758227,0.297970891,0.297970891,15.9349623,0.0420000032,8.59268475,8.41586208,0,13.3166971,0,0,106735,0,0,0,0,,,0,51
339205806,0.119999997,0,0,0,0,0.0161172152,0.297970891,0.297970891,15.9349623,0.0420000032,8.59268475,8.41797352,0.00714798551,13.3238449,0,0,106735,0,0,0,0,,,0,51
339206935,0.119999997,0,0,0,0,0.0241758227,0.297970891,0.297970891,15.9349623,0.0439999998,8.59268475,8.42641926,0,13.3238449,0,0,106735,0,0,0,0,,,0,51
339208061,0.119999997,0,0,0,0,0.0241758227,0.297970891,0.297970891,15.9349623,0.0439999998,8.59268475,8.42219639,0,13.3024006,0,0,106735,0,0,0,0,,,0,51
339209190,0.119999997,0,0,0,0,0.0161172152,0.297970891,0.297970891,15.9395075,0.0470000021,8.59268475,8.41375065,0,13.3166971,0,0,106735,0,0,0,0,,,0,51
