t_us,share_sp,share_act,v_sp,v_act,I_fc,I_batt,gFC,gBT,V_bus,I_cmd,V_fc,V_batt,V_chg,V_rgn,fault_flags,ps_phase,dc_phase,trap_phase,flags
471289521,0.5,1,,,0.0161172152,0,0.326122761,0.274293065,15.9258718,0.0329999998,8.40280819,8.35463333,0,13.3166971,0,,,0,1
471290851,0.5,1,,,0.0161172152,0,0.326122761,0.274293065,15.9349623,0.0329999998,8.39678001,8.35041046,0,13.3238449,0,,,0,1
471291980,0.5,1,,,0.00805860758,0,0.326122761,0.274293065,15.9304171,0.0350000001,8.36362648,8.35041046,0,13.3238449,0,,,0,1
471293107,0.5,1,,,0.0241758227,0,0.326122761,0.274293065,15.9349623,0.0350000001,8.37568283,8.34618759,0,13.3166971,0,,,0,1
471294236,0.5,1,,,0.0161172152,0,0.326122761,0.274293065,15.9304171,0.0380000025,8.3304739,8.34196472,0,13.3238449,0,,,0,1
471295362,0.5,1,,,0.0161172152,0,0.326122761,0.274293065,15.9349623,0.0380000025,8.41184998,8.33351898,0,13.3238449,0,,,0,1
471296491,0.5,1,,,0.0161172152,0,0.326122761,0.274293065,15.9258718,0.0399999991,8.38773823,8.35463333,0,13.3166971,0,,,0,1
471297618,0.5,1,,,0.0161172152,0,0.326122761,0.274293065,15.9258718,0.0399999991,8.3425293,8.36096668,0,13.3166971,0,,,0,1
471298758,0.5,1,,,0.00805860758,0,0.326122761,0.274293065,15.9349623,0.0420000032,8.4058218,8.33563042,0,13.3238449,0,,,0,1
471299885,0.5,1,,,0.0161172152,0,0.326122761,0.274293065,15.9349623,0.0420000032,8.44801617,8.32929707,0,13.3238449,0,,,0,1
471301014,0.5,1,,,0.0161172152,0,0.326122761,0.274293065,15.9349623,0.0449999981,8.39075184,8.3314085,0,13.3238449,0,,,0,1
471302140,0.5,1,,,0.0161172152,0,0.326122761,0.274293065,15.9395075,0.0449999981,8.43596077,8.33563042,0,13.3238449,0,,,0,1
471303269,0.5,1,,,0.0161172152,0,0.326122761,0.274293065,15.9349623,0.0470000021,8.41486359,8.32718563,0,13.3238449,0,,,0,1
471304396,0.5,1,,,0.0241758227,0,0.326122761,0.274293065,15.9349623,0.0470000021,8.39979362,8.34196472,0,13.3238449,0,,,0,1
471305526,0.5,1,,,0.0161172152,0,0.326122761,0.274293065,15.9349623,0.0490000024,8.3937664,8.33774185,0,13.3238449,0,,,0,1
471306657,0.5,1,,,0.00805860758,0,0.326122761,0.274293065,15.9349623,0.0490000024,8.40280819,8.33774185,0,13.3238449,0,,,0,1
471307787,0.5,1,,,0.0161172152,0,0.326122761,0.274293065,15.9349623,0.0510000028,8.41184998,8.33563042,0,13.3238449,0,,,0,1
471308913,0.5,1,,,0.0161172152,0,0.326122761,0.274293065,15.9349623,0.0510000028,8.38472462,8.32929707,0,13.3166971,0,,,0,1
471310042,0.5,1,,,0.0322344303,0,0.326122761,0.274293065,15.9349623,0.0539999977,8.41184998,8.33774185,0,13.3166971,0,,,0,1
471311373,0.5,1,,,0.0322344303,0,0.326122761,0.274293065,15.9349623,0.0539999977,8.38773823,8.33774185,0,13.3238449,0,,,0,1
471312502,0.5,1,,,0.0241758227,0,0.326122761,0.274293065,15.9349623,0.055999998,8.40280819,8.33774185,0,13.3238449,0,,,0,1
471313629,0.5,1,,,0.0241758227,0,0.326122761,0.274293065,15.9349623,0.055999998,8.40280819,8.33774185,0,13.3238449,0,,,0,1
471314758,0.5,1,,,0.0241758227,0,0.326122761,0.274293065,15.9349623,0.0579999983,8.37869644,8.33774185,0,13.3238449,0,,,0,1
471315889,0.5,1,,,0.0322344303,0,0.326122761,0.274293065,15.9395075,0.0579999983,8.3937664,8.33774185,0,13.3238449,0,,,0,1
471317019,0.5,1,,,0.0322344303,0,0.326122761,0.274293065,15.9349623,0.060999997,8.39678001,8.33774185,0,13.3238449,0,,,0,1
471318145,0.5,1,,,0.0241758227,0,0.326122761,0.274293065,15.9349623,0.060999997,8.38171005,8.32718563,0,13.3238449,0,,,0,1
471319274,0.5,1,,,0.0241758227,0,0.326122761,0.274293065,15.9349623,0.063000001,8.43294716,8.33774185,0,13.3238449,0,,,0,1
471320401,0.5,1,,,0.0322344303,0,0.326122761,0.274293065,15.9349623,0.063000001,8.40280819,8.33774185,0,13.3238449,0,,,0,1
471321530,0.5,1,,,0.0241758227,0,0.326122761,0.274293065,15.9349623,0.0649999976,8.39075184,8.33774185,0,13.3238449,0,,,0,1
471322656,0.5,1,,,0.0322344303,0,0.326122761,0.274293065,15.9349623,0.0649999976,8.41486359,8.33774185,0,13.3238449,0,,,0,1
471323790,0.5,1,,,0.0322344303,0,0.326122761,0.274293065,15.9395075,0.0670000017,8.40883541,8.33774185,0,13.3238449,0,,,0,1
471324917,0.5,1,,,0.0241758227,0,0.326122761,0.274293065,15.9349623,0.0670000017,8.39678001,8.33774185,0,13.3309927,0,,,0,1
471326046,0.5,1,,,0.0161172152,0,0.326122761,0.274293065,15.9349623,0.0700000003,8.39678001,8.33774185,0,13.3166971,0,,,0,1
471327173,0.5,1,,,0.0241758227,0,0.326122761,0.274293065,15.9395075,0.0700000003,8.4058218,8.33774185,0,13.3238449,0,,,0,1
471328302,0.5,1,,,0.0322344303,0,0.326122761,0.274293065,15.9395075,0.0719999969,8.42691898,8.33774185,0,13.3238449,0,,,0,1
471329428,0.5,1,,,0.0161172152,0,0.326122761,0.274293065,15.9349623,0.0719999969,8.39075184,8.33774185,0,13.3238449,0,,,0,1
471330558,0.5,1,,,0.0241758227,0,0.326122761,0.274293065,15.9395075,0.074000001,8.36965466,8.33774185,0,13.3238449,0,,,0,1
