t_us,share_sp,share_act,v_sp,v_act,I_fc,I_batt,gFC,gBT,V_bus,I_cmd,V_fc,V_batt,V_chg,V_rgn,fault_flags,ps_phase,dc_phase,trap_phase,flags
156014663,0.119999997,0,,,0,0.0241758227,0,0,15.9213276,0.0329999998,8.41184998,8.30818272,0,13.3309927,0,,,0,1
156015992,0.119999997,0,,,0,0.00805860758,0,0,15.9304171,0.0329999998,8.41486359,8.30184937,0,13.3309927,0,,,0,1
156017122,0.119999997,0,,,0,0.0161172152,0,0,15.9304171,0.0359999985,8.41486359,8.31240559,0,13.3381405,0,,,0,1
156018247,0.119999997,0,,,0,0.0322344303,0,0,15.9304171,0.0359999985,8.41486359,8.30818272,0,13.3381405,0,,,0,1
156019377,0.119999997,0,,,0,0.0161172152,0,0,15.9304171,0.0380000025,8.41486359,8.29551506,0,13.3309927,0,,,0,1
156020503,0.119999997,0,,,0,0.0241758227,0,0,15.9304171,0.0380000025,8.41486359,8.3039608,0,13.3381405,0,,,0,1
156021631,0.119999997,0,,,0,0.0161172152,0,0,15.9304171,0.0399999991,8.41486359,8.2976265,0,13.3309927,0,,,0,1
156022757,0.119999997,0,,,0,0.0161172152,0,0,15.9213276,0.0399999991,8.42089176,8.31029415,0,13.3309927,0,,,0,1
156023897,0.119999997,0,,,0,0.0161172152,0,0,15.9349623,0.0420000032,8.4178772,8.30607224,0,13.3452892,0,,,0,1
156025023,0.119999997,0,,,0,0.0241758227,0,0,15.9349623,0.0420000032,8.4178772,8.29129219,0,13.3309927,0,,,0,1
156026152,0.119999997,0,,,0,0.0161172152,0,0,15.9304171,0.0449999981,8.4178772,8.28495789,0,13.3381405,0,,,0,1
156027278,0.119999997,0,,,0,0.0161172152,0,0,15.9349623,0.0449999981,8.4178772,8.28918076,0,13.3381405,0,,,0,1
156028407,0.119999997,0,,,0,0.0161172152,0,0,15.9349623,0.0470000021,8.4178772,8.29973793,0,13.3381405,0,,,0,1
156029533,0.119999997,0,,,0,0.0241758227,0,0,15.9349623,0.0470000021,8.4178772,8.30184937,0,13.3381405,0,,,0,1
156030662,0.119999997,0,,,0,0.0161172152,0,0,15.9349623,0.0490000024,8.4178772,8.29129219,0,13.3381405,0,,,0,1
156031793,0.119999997,0,,,0,0.0241758227,0,0,15.9304171,0.0490000024,8.4178772,8.2976265,0,13.3381405,0,,,0,1
156032922,0.119999997,0,,,0,0.0161172152,0,0,15.9349623,0.0510000028,8.4178772,8.29340363,0,13.3309927,0,,,0,1
156034048,0.119999997,0,,,0,0.0241758227,0,0,15.9349623,0.0510000028,8.4178772,8.30184937,0,13.3309927,0,,,0,1
156035177,0.119999997,0,,,0,0.0241758227,0,0,15.9349623,0.0539999977,8.4178772,8.26806736,0,13.3381405,0,,,0,1
156036507,0.119999997,0,,,0,0.0322344303,0,0,15.9258718,0.0539999977,8.4178772,8.2765131,0,13.3381405,0,,,0,1
156037636,0.119999997,0,,,0,0.0241758227,0,0,15.9304171,0.055999998,8.4178772,8.3039608,0,13.3309927,0,,,0,1
156038762,0.119999997,0,,,0,0.0241758227,0,0,15.9349623,0.055999998,8.4178772,8.29340363,0,13.3381405,0,,,0,1
