t_s,r_cmd,alpha,v_bus
9.138000e-04,0.4000,0.400000,14.70672
9.189000e-04,0.4000,0.400000,14.70672
9.240000e-04,0.4000,0.400000,14.70672
9.291000e-04,0.4000,0.400000,14.70672
9.342000e-04,0.4000,0.400000,14.70672
9.393000e-04,0.4000,0.400000,14.70672
9.444000e-04,0.4000,0.400000,14.70672
9.495000e-04,0.4000,0.400000,14.70672
9.546000e-04,0.4000,0.400000,14.70672
9.597000e-04,0.4000,0.400000,14.70672
9.648000e-04,0.4000,0.400000,14.70672
9.699000e-04,0.4000,0.400000,14.70672
9.750000e-04,0.4000,0.400000,14.70672
9.800000e-04,0.4000,0.400000,14.70672
9.850000e-04,0.4000,0.400000,14.70672
9.900000e-04,0.4000,0.400000,14.70672
9.950000e-04,0.4000,0.400000,14.70672
1.000000e-03,0.4000,0.400000,14.70672
1.005000e-03,0.6000,0.600000,14.70672
1.010000e-03,0.6000,0.600000,14.70672
1.015000e-03,0.6000,0.600000,14.70672
1.020000e-03,0.6000,0.600000,14.70672
1.025000e-03,0.6000,0.600000,14.70672
1.030000e-03,0.6000,0.600000,14.70672
1.035000e-03,0.6000,0.600000,14.70672
1.040000e-03,0.6000,0.600000,14.70672
1.045000e-03,0.6000,0.600000,14.70672
1.050000e-03,0.6000,0.600000,14.70672
1.055000e-03,0.6000,0.600000,14.70672
1.060000e-03,0.6000,0.600000,14.70672
1.065000e-03,0.6000,0.600000,14.70672
1.070000e-03,0.6000,0.600000,14.70672
1.075000e-03,0.6000,0.600000,14.70672
1.080000e-03,0.6000,0.600000,14.70672
1.085000e-03,0.6000,0.600000,14.70672
1.090000e-03,0.6000,0.600000,14.70672
1.095000e-03,0.6000,0.600000,14.70672
1.100000e-03,0.6000,0.600000,14.70672
1.105000e-03,0.6000,0.600000,14.70672
1.110000e-03,0.6000,0.600000,14.70672
1.115000e-03,0.6000,0.600000,14.70672
1.120000e-03,0.6000,0.600000,14.70672
1.125000e-03,0.6000,0.600000,14.70672
1.130000e-03,0.6000,0.600000,14.70672
1.135000e-03,0.6000,0.600000,14.70672
1.140000e-03,0.6000,0.600000,14.70672
1.145000e-03,0.6000,0.600000,14.70672
1.150000e-03,0.6000,0.600000,14.70672
1.155000e-03,0.6000,0.600000,14.70672
1.160000e-03,0.6000,0.600000,14.70672
1.165000e-03,0.6000,0.600000,14.70672
1.170000e-03,0.6000,0.600000,14.70672
1.175000e-03,0.6000,0.600000,14.70672
1.180000e-03,0.6000,0.600000,14.70672
1.185000e-03,0.6000,0.600000,14.70672
1.190000e-03,0.6000,0.600000,14.70672
1.195000e-03,0.6000,0.600000,14.70672
1.200000e-03,0.6000,0.600000,14.70672
1.205000e-03,0.6000,0.600000,14.70672
1.210000e-03,0.6000,0.600000,14.70672
1.215000e-03,0.6000,0.600000,14.70672
1.220000e-03,0.6000,0.600000,14.70672
1.225000e-03,0.6000,0.600000,14.70672
1.230000e-03,0.6000,0.600000,14.70672
1.235000e-03,0.6000,0.600000,14.70672
1.240000e-03,0.6000,0.600000,14.70672
1.245000e-03,0.6000,0.600000,14.70672
1.250000e-03,0.6000,0.600000,14.70672
1.255000e-03,0.6000,0.600000,14.70672
1.260000e-03,0.6000,0.600000,14.70672
1.265000e-03,0.6000,0.600000,14.70672
1.270000e-03,0.6000,0.600000,14.70672
1.275000e-03,0.6000,0.600000,14.70672
1.280000e-03,0.6000,0.600000,14.70672
1.285000e-03,0.6000,0.600000,14.70672
1.290000e-03,0.6000,0.600000,14.70672
1.295000e-03,0.6000,0.600000,14.70672
1.300000e-03,0.6000,0.600000,14.70672
1.305000e-03,0.6000,0.600000,14.70672
1.310000e-03,0.6000,0.600000,14.70672
1.315000e-03,0.6000,0.600000,14.70672
1.320000e-03,0.6000,0.600000,14.70672
1.325000e-03,0.6000,0.600000,14.70672
1.330000e-03,0.6000,0.600000,14.70672
1.335000e-03,0.6000,0.600000,14.70672
1.340000e-03,0.6000,0.600000,14.70672
1.345000e-03,0.6000,0.600000,14.70672
1.350000e-03,0.6000,0.600000,14.70672
1.355000e-03,0.6000,0.600000,14.70672
1.360000e-03,0.6000,0.600000,14.70672
1.365000e-03,0.6000,0.600000,14.70672
1.370000e-03,0.6000,0.600000,14.70672
1.375000e-03,0.6000,0.600000,14.70672
1.380000e-03,0.6000,0.600000,14.70672
1.385000e-03,0.6000,0.600000,14.70672
1.390000e-03,0.6000,0.600000,14.70672
1.395000e-03,0.6000,0.600000,14.70672
1.400000e-03,0.6000,0.600000,14.70672
1.405000e-03,0.6000,0.600000,14.70672
1.410000e-03,0.6000,0.600000,14.70672
1.415000e-03,0.6000,0.600000,14.70672
1.420000e-03,0.6000,0.600000,14.70672
1.425000e-03,0.6000,0.600000,14.70672
1.430000e-03,0.6000,0.600000,14.70672
1.435000e-03,0.6000,0.600000,14.70672
1.440000e-03,0.6000,0.600000,14.70672
1.445000e-03,0.6000,0.600000,14.70672
1.450000e-03,0.6000,0.600000,14.70672
1.455000e-03,0.6000,0.600000,14.70672
1.460000e-03,0.6000,0.600000,14.70672
1.465000e-03,0.6000,0.600000,14.70672
1.470000e-03,0.6000,0.600000,14.70672
1.475000e-03,0.6000,0.600000,14.70672
1.480000e-03,0.6000,0.600000,14.70672
1.485000e-03,0.6000,0.600000,14.70672
1.490000e-03,0.6000,0.600000,14.70672
1.495000e-03,0.6000,0.600000,14.70672
1.500000e-03,0.6000,0.600000,14.70672
1.505000e-03,0.6000,0.600000,14.70672
