w_rad_s,full_mag,full_phase_deg,simp_mag,simp_phase_deg,corner_mag_min,corner_mag_max
2.256230e+00,9.932968e-01,-0.138,1.000000e+00,-0.142,9.999998e-01,1.000000e+00
2.335721e+00,9.932968e-01,-0.143,1.000000e+00,-0.147,9.999998e-01,1.000000e+00
2.418013e+00,9.932968e-01,-0.148,1.000000e+00,-0.152,9.999997e-01,1.000000e+00
2.503204e+00,9.932968e-01,-0.153,1.000000e+00,-0.158,9.999997e-01,1.000000e+00
2.591396e+00,9.932968e-01,-0.159,1.000000e+00,-0.163,9.999997e-01,1.000000e+00
2.682696e+00,9.932968e-01,-0.164,1.000000e+00,-0.169,9.999997e-01,1.000000e+00
2.777212e+00,9.932968e-01,-0.170,1.000000e+00,-0.175,9.999997e-01,1.000000e+00
2.875058e+00,9.932968e-01,-0.176,1.000000e+00,-0.181,9.999996e-01,1.000000e+00
2.976351e+00,9.932968e-01,-0.182,1.000000e+00,-0.188,9.999996e-01,1.000000e+00
3.081214e+00,9.932968e-01,-0.189,1.000000e+00,-0.194,9.999996e-01,1.000000e+00
3.189770e+00,9.932968e-01,-0.195,9.999999e-01,-0.201,9.999995e-01,1.000000e+00
3.302151e+00,9.932968e-01,-0.202,9.999999e-01,-0.208,9.999995e-01,1.000000e+00
3.418492e+00,9.932968e-01,-0.209,9.999999e-01,-0.215,9.999995e-01,1.000000e+00
3.538932e+00,9.932968e-01,-0.217,9.999999e-01,-0.223,9.999994e-01,1.000000e+00
3.663615e+00,9.932967e-01,-0.224,9.999999e-01,-0.231,9.999994e-01,1.000000e+00
3.792690e+00,9.932967e-01,-0.232,9.999999e-01,-0.239,9.999994e-01,1.000000e+00
3.926313e+00,9.932967e-01,-0.240,9.999999e-01,-0.247,9.999993e-01,1.000000e+00
4.064644e+00,9.932967e-01,-0.249,9.999999e-01,-0.256,9.999993e-01,1.000000e+00
4.207849e+00,9.932967e-01,-0.258,9.999999e-01,-0.265,9.999992e-01,1.000000e+00
4.356099e+00,9.932967e-01,-0.267,9.999999e-01,-0.275,9.999991e-01,1.000000e+00
4.509572e+00,9.932967e-01,-0.276,9.999999e-01,-0.284,9.999991e-01,1.000000e+00
4.668452e+00,9.932967e-01,-0.286,9.999999e-01,-0.294,9.999990e-01,1.000000e+00
4.832930e+00,9.932966e-01,-0.296,9.999999e-01,-0.305,9.999989e-01,1.000000e+00
5.003203e+00,9.932966e-01,-0.306,9.999999e-01,-0.315,9.999989e-01,1.000000e+00
5.179475e+00,9.932966e-01,-0.317,9.999999e-01,-0.326,9.999988e-01,1.000000e+00
5.361957e+00,9.932966e-01,-0.328,9.999999e-01,-0.338,9.999987e-01,1.000000e+00
5.550868e+00,9.932966e-01,-0.340,9.999998e-01,-0.350,9.999986e-01,1.000000e+00
5.746435e+00,9.932965e-01,-0.352,9.999998e-01,-0.362,9.999985e-01,1.000000e+00
5.948892e+00,9.932965e-01,-0.364,9.999998e-01,-0.375,9.999984e-01,1.000000e+00
6.158482e+00,9.932965e-01,-0.377,9.999998e-01,-0.388,9.999983e-01,1.000000e+00
6.375456e+00,9.932965e-01,-0.390,9.999998e-01,-0.402,9.999982e-01,1.000000e+00
6.600075e+00,9.932964e-01,-0.404,9.999998e-01,-0.416,9.999980e-01,1.000000e+00
6.832607e+00,9.932964e-01,-0.418,9.999998e-01,-0.431,9.999979e-01,1.000000e+00
7.073332e+00,9.932964e-01,-0.433,9.999997e-01,-0.446,9.999977e-01,1.000000e+00
7.322538e+00,9.932963e-01,-0.448,9.999997e-01,-0.462,9.999976e-01,1.000000e+00
7.580524e+00,9.932963e-01,-0.464,9.999997e-01,-0.478,9.999974e-01,1.000000e+00
7.847600e+00,9.932962e-01,-0.480,9.999997e-01,-0.495,9.999972e-01,1.000000e+00
8.124085e+00,9.932962e-01,-0.497,9.999997e-01,-0.512,9.999970e-01,1.000000e+00
8.410311e+00,9.932961e-01,-0.515,9.999996e-01,-0.530,9.999968e-01,1.000000e+00
8.706621e+00,9.932961e-01,-0.533,9.999996e-01,-0.549,9.999966e-01,1.000000e+00
9.013370e+00,9.932960e-01,-0.552,9.999996e-01,-0.568,9.999963e-01,1.000000e+00
9.330927e+00,9.932960e-01,-0.571,9.999996e-01,-0.588,9.999961e-01,1.000000e+00
9.659673e+00,9.932959e-01,-0.591,9.999995e-01,-0.609,9.999958e-01,1.000000e+00
1.000000e+01,9.932958e-01,-0.612,9.999995e-01,-0.630,9.999955e-01,1.000000e+00
1.035232e+01,9.932958e-01,-0.634,9.999995e-01,-0.652,9.999952e-01,1.000000e+00
1.071705e+01,9.932957e-01,-0.656,9.999994e-01,-0.675,9.999948e-01,1.000000e+00
1.109463e+01,9.932956e-01,-0.679,9.999994e-01,-0.699,9.999945e-01,1.000000e+00
1.148551e+01,9.932955e-01,-0.703,9.999993e-01,-0.724,9.999941e-01,1.000000e+00
1.189017e+01,9.932954e-01,-0.728,9.999993e-01,-0.749,9.999936e-01,1.000000e+00
1.230908e+01,9.932953e-01,-0.753,9.999992e-01,-0.776,9.999932e-01,1.000000e+00
1.274275e+01,9.932952e-01,-0.780,9.999992e-01,-0.803,9.999927e-01,1.000000e+00
1.319170e+01,9.932951e-01,-0.807,9.999991e-01,-0.831,9.999922e-01,1.000000e+00
1.365647e+01,9.932949e-01,-0.836,9.999991e-01,-0.861,9.999916e-01,1.000000e+00
1.413761e+01,9.932948e-01,-0.865,9.999990e-01,-0.891,9.999910e-01,1.000000e+00
1.463570e+01,9.932946e-01,-0.896,9.999989e-01,-0.922,9.999904e-01,1.000000e+00
1.515134e+01,9.932945e-01,-0.927,9.999989e-01,-0.955,9.999897e-01,1.000000e+00
1.568515e+01,9.932943e-01,-0.960,9.999988e-01,-0.989,9.999889e-01,1.000000e+00
1.623777e+01,9.932941e-01,-0.994,9.999987e-01,-1.023,9.999881e-01,9.999999e-01
1.680985e+01,9.932939e-01,-1.029,9.999986e-01,-1.059,9.999873e-01,9.999999e-01
1.740209e+01,9.932937e-01,-1.065,9.999985e-01,-1.097,9.999864e-01,9.999999e-01
1.801520e+01,9.932935e-01,-1.103,9.999984e-01,-1.135,9.999854e-01,9.999999e-01
1.864991e+01,9.932932e-01,-1.142,9.999983e-01,-1.175,9.999843e-01,9.999999e-01
1.930698e+01,9.932930e-01,-1.182,9.999981e-01,-1.217,9.999832e-01,9.999999e-01
1.998720e+01,9.932927e-01,-1.223,9.999980e-01,-1.260,9.999820e-01,9.999999e-01
2.069138e+01,9.932924e-01,-1.267,9.999979e-01,-1.304,9.999807e-01,9.999999e-01
2.142037e+01,9.932921e-01,-1.311,9.999977e-01,-1.350,9.999794e-01,9.999999e-01
2.217505e+01,9.932917e-01,-1.357,9.999975e-01,-1.398,9.999779e-01,9.999999e-01
2.295632e+01,9.932913e-01,-1.405,9.999974e-01,-1.447,9.999763e-01,9.999999e-01
2.376511e+01,9.932909e-01,-1.455,9.999972e-01,-1.498,9.999746e-01,9.999999e-01
2.460240e+01,9.932905e-01,-1.506,9.999970e-01,-1.551,9.999728e-01,9.999999e-01
2.546918e+01,9.932901e-01,-1.559,9.999968e-01,-1.605,9.999708e-01,9.999999e-01
2.636651e+01,9.932896e-01,-1.614,9.999965e-01,-1.662,9.999687e-01,9.999999e-01
2.729545e+01,9.932890e-01,-1.671,9.999963e-01,-1.720,9.999665e-01,9.999999e-01
2.825712e+01,9.932885e-01,-1.730,9.999960e-01,-1.781,9.999641e-01,9.999998e-01
2.925266e+01,9.932879e-01,-1.791,9.999957e-01,-1.844,9.999615e-01,9.999998e-01
3.028329e+01,9.932872e-01,-1.854,9.999954e-01,-1.909,9.999587e-01,9.999998e-01
3.135022e+01,9.932865e-01,-1.919,9.999951e-01,-1.976,9.999558e-01,9.999998e-01
3.245474e+01,9.932858e-01,-1.987,9.999947e-01,-2.045,9.999526e-01,9.999998e-01
3.359818e+01,9.932850e-01,-2.057,9.999944e-01,-2.118,9.999492e-01,9.999998e-01
