w_rad_s,Gc_hinf_mag,Gc_youlah_mag,Gc_reduced_mag,Gc_discrete_mag
4.048941e-02,2.748049e+03,2.761498e+03,2.761526e+03,2.761526e+03
4.122189e-02,2.699679e+03,2.712428e+03,2.712455e+03,2.712455e+03
4.196762e-02,2.652143e+03,2.664231e+03,2.664256e+03,2.664256e+03
4.272684e-02,2.605430e+03,2.616889e+03,2.616913e+03,2.616913e+03
4.349979e-02,2.559525e+03,2.570390e+03,2.570412e+03,2.570412e+03
4.428673e-02,2.514416e+03,2.524716e+03,2.524737e+03,2.524737e+03
4.508791e-02,2.470089e+03,2.479854e+03,2.479874e+03,2.479874e+03
4.590357e-02,2.426532e+03,2.435789e+03,2.435808e+03,2.435808e+03
4.673400e-02,2.383731e+03,2.392507e+03,2.392525e+03,2.392525e+03
4.757944e-02,2.341674e+03,2.349994e+03,2.350012e+03,2.350012e+03
4.844018e-02,2.300348e+03,2.308237e+03,2.308253e+03,2.308253e+03
4.931650e-02,2.259743e+03,2.267221e+03,2.267237e+03,2.267237e+03
5.020866e-02,2.219844e+03,2.226935e+03,2.226950e+03,2.226950e+03
5.111697e-02,2.180642e+03,2.187364e+03,2.187378e+03,2.187378e+03
5.204170e-02,2.142123e+03,2.148496e+03,2.148510e+03,2.148510e+03
5.298317e-02,2.104277e+03,2.110320e+03,2.110332e+03,2.110332e+03
5.394167e-02,2.067092e+03,2.072821e+03,2.072833e+03,2.072833e+03
5.491750e-02,2.030558e+03,2.035989e+03,2.036000e+03,2.036000e+03
5.591099e-02,1.994662e+03,1.999811e+03,1.999822e+03,1.999822e+03
5.692246e-02,1.959394e+03,1.964276e+03,1.964286e+03,1.964286e+03
5.795222e-02,1.924744e+03,1.929372e+03,1.929382e+03,1.929382e+03
5.900061e-02,1.890701e+03,1.895089e+03,1.895098e+03,1.895098e+03
6.006797e-02,1.857254e+03,1.861415e+03,1.861424e+03,1.861424e+03
6.115463e-02,1.824394e+03,1.828339e+03,1.828347e+03,1.828347e+03
6.226096e-02,1.792111e+03,1.795851e+03,1.795859e+03,1.795859e+03
6.338730e-02,1.760394e+03,1.763940e+03,1.763948e+03,1.763948e+03
6.453401e-02,1.729234e+03,1.732597e+03,1.732604e+03,1.732604e+03
6.570147e-02,1.698621e+03,1.701810e+03,1.701817e+03,1.701817e+03
6.689005e-02,1.668547e+03,1.671570e+03,1.671576e+03,1.671576e+03
6.810013e-02,1.639001e+03,1.641868e+03,1.641874e+03,1.641874e+03
6.933210e-02,1.609975e+03,1.612693e+03,1.612699e+03,1.612699e+03
7.058636e-02,1.581459e+03,1.584037e+03,1.584042e+03,1.584042e+03
7.186331e-02,1.553446e+03,1.555890e+03,1.555895e+03,1.555895e+03
7.316336e-02,1.525925e+03,1.528243e+03,1.528248e+03,1.528248e+03
7.448693e-02,1.498890e+03,1.501088e+03,1.501092e+03,1.501092e+03
7.583445e-02,1.472330e+03,1.474415e+03,1.474419e+03,1.474419e+03
7.720634e-02,1.446239e+03,1.448216e+03,1.448220e+03,1.448220e+03
7.860305e-02,1.420607e+03,1.422482e+03,1.422486e+03,1.422486e+03
8.002502e-02,1.395428e+03,1.397206e+03,1.397209e+03,1.397209e+03
8.147272e-02,1.370692e+03,1.372379e+03,1.372382e+03,1.372382e+03
8.294661e-02,1.346393e+03,1.347993e+03,1.347996e+03,1.347996e+03
8.444717e-02,1.322523e+03,1.324040e+03,1.324043e+03,1.324043e+03
8.597487e-02,1.299074e+03,1.300513e+03,1.300516e+03,1.300516e+03
8.753021e-02,1.276039e+03,1.277404e+03,1.277407e+03,1.277407e+03
8.911368e-02,1.253411e+03,1.254705e+03,1.254708e+03,1.254708e+03
9.072580e-02,1.231183e+03,1.232410e+03,1.232413e+03,1.232413e+03
