t_s,step_ref,step_alpha_youlah,step_alpha_pi,step_r_cmd,ramp_ref,ramp_alpha
1.2340,nan,nan,nan,nan,0.561200,0.560753
1.2350,nan,nan,nan,nan,0.561250,0.560803
1.2360,nan,nan,nan,nan,0.561300,0.560853
1.2370,nan,nan,nan,nan,0.561350,0.560903
1.2380,nan,nan,nan,nan,0.561400,0.560953
1.2390,nan,nan,nan,nan,0.561450,0.561003
1.2400,nan,nan,nan,nan,0.561500,0.561053
1.2410,nan,nan,nan,nan,0.561550,0.561103
1.2420,nan,nan,nan,nan,0.561600,0.561153
1.2430,nan,nan,nan,nan,0.561650,0.561203
1.2440,nan,nan,nan,nan,0.561700,0.561253
1.2450,nan,nan,nan,nan,0.561750,0.561303
1.2460,nan,nan,nan,nan,0.561800,0.561353
1.2470,nan,nan,nan,nan,0.561850,0.561403
1.2480,nan,nan,nan,nan,0.561900,0.561453
1.2490,nan,nan,nan,nan,0.561950,0.561503
1.2500,nan,nan,nan,nan,0.562000,0.561553
1.2510,nan,nan,nan,nan,0.562050,0.561603
1.2520,nan,nan,nan,nan,0.562100,0.561653
1.2530,nan,nan,nan,nan,0.562150,0.561703
1.2540,nan,nan,nan,nan,0.562200,0.561753
1.2550,nan,nan,nan,nan,0.562250,0.561803
1.2560,nan,nan,nan,nan,0.562300,0.561853
1.2570,nan,nan,nan,nan,0.562350,0.561903
1.2580,nan,nan,nan,nan,0.562400,0.561953
1.2590,nan,nan,nan,nan,0.562450,0.562003
1.2600,nan,nan,nan,nan,0.562500,0.562053
1.2610,nan,nan,nan,nan,0.562550,0.562103
1.2620,nan,nan,nan,nan,0.562600,0.562153
1.2630,nan,nan,nan,nan,0.562650,0.562203
1.2640,nan,nan,nan,nan,0.562700,0.562253
1.2650,nan,nan,nan,nan,0.562750,0.562303
1.2660,nan,nan,nan,nan,0.562800,0.562353
1.2670,nan,nan,nan,nan,0.562850,0.562403
1.2680,nan,nan,nan,nan,0.562900,0.562453
1.2690,nan,nan,nan,nan,0.562950,0.562503
1.2700,nan,nan,nan,nan,0.563000,0.562553
1.2710,nan,nan,nan,nan,0.563050,0.562603
1.2720,nan,nan,nan,nan,0.563100,0.562653
1.2730,nan,nan,nan,nan,0.563150,0.562703
1.2740,nan,nan,nan,nan,0.563200,0.562753
1.2750,nan,nan,nan,nan,0.563250,0.562803
1.2760,nan,nan,nan,nan,0.563300,0.562853
1.2770,nan,nan,nan,nan,0.563350,0.562903
1.2780,nan,nan,nan,nan,0.563400,0.562953
1.2790,nan,nan,nan,nan,0.563450,0.563003
1.2800,nan,nan,nan,nan,0.563500,0.563053
1.2810,nan,nan,nan,nan,0.563550,0.563103
1.2820,nan,nan,nan,nan,0.563600,0.563153
1.2830,nan,nan,nan,nan,0.563650,0.563203
1.2840,nan,nan,nan,nan,0.563700,0.563253
1.2850,nan,nan,nan,nan,0.563750,0.563303
1.2860,nan,nan,nan,nan,0.563800,0.563353
1.2870,nan,nan,nan,nan,0.563850,0.563403
1.2880,nan,nan,nan,nan,0.563900,0.563453
1.2890,nan,nan,nan,nan,0.563950,0.563503
1.2900,nan,nan,nan,nan,0.564000,0.563553
1.2910,nan,nan,nan,nan,0.564050,0.563603
1.2920,nan,nan,nan,nan,0.564100,0.563653
1.2930,nan,nan,nan,nan,0.564150,0.563703
1.2940,nan,nan,nan,nan,0.564200,0.563753
1.2950,nan,nan,nan,nan,0.564250,0.563803
1.2960,nan,nan,nan,nan,0.564300,0.563853
1.2970,nan,nan,nan,nan,0.564350,0.563903
1.2980,nan,nan,nan,nan,0.564400,0.563953
1.2990,nan,nan,nan,nan,0.564450,0.564003
1.3000,nan,nan,nan,nan,0.564500,0.564053
1.3010,nan,nan,nan,nan,0.564550,0.564103
1.3020,nan,nan,nan,nan,0.564600,0.564153
1.3030,nan,nan,nan,nan,0.564650,0.564203
1.3040,nan,nan,nan,nan,0.564700,0.564253
1.3050,nan,nan,nan,nan,0.564750,0.564303
1.3060,nan,nan,nan,nan,0.564800,0.564353
1.3070,nan,nan,nan,nan,0.564850,0.564403
1.3080,nan,nan,nan,nan,0.564900,0.564453
1.3090,nan,nan,nan,nan,0.564950,0.564503
1.3100,nan,nan,nan,nan,0.565000,0.564553
1.3110,nan,nan,nan,nan,0.565050,0.564603
1.3120,nan,nan,nan,nan,0.565100,0.564653
1.3130,nan,nan,nan,nan,0.565150,0.564703
1.3140,nan,nan,nan,nan,0.565200,0.564753
1.3150,nan,nan,nan,nan,0.565250,0.564803
1.3160,nan,nan,nan,nan,0.565300,0.564853
1.3170,nan,nan,nan,nan,0.565350,0.564903
1.3180,nan,nan,nan,nan,0.565400,0.564953
1.3190,nan,nan,nan,nan,0.565450,0.565003
1.3200,nan,nan,nan,nan,0.565500,0.565053
1.3210,nan,nan,nan,nan,0.565550,0.565103
1.3220,nan,nan,nan,nan,0.565600,0.565153
1.3230,nan,nan,nan,nan,0.565650,0.565203
1.3240,nan,nan,nan,nan,0.565700,0.565253
1.3250,nan,nan,nan,nan,0.565750,0.565303
1.3260,nan,nan,nan,nan,0.565800,0.565353
1.3270,nan,nan,nan,nan,0.565850,0.565403
1.3280,nan,nan,nan,nan,0.565900,0.565453
1.3290,nan,nan,nan,nan,0.565950,0.565503
1.3300,nan,nan,nan,nan,0.566000,0.565553
1.3310,nan,nan,nan,nan,0.566050,0.565603
1.3320,nan,nan,nan,nan,0.566100,0.565653
1.3330,nan,nan,nan,nan,0.566150,0.565703
1.3340,nan,nan,nan,nan,0.566200,0.565753
1.3350,nan,nan,nan,nan,0.566250,0.565803
1.3360,nan,nan,nan,nan,0.566300,0.565853
1.3370,nan,nan,nan,nan,0.566350,0.565903
1.3380,nan,nan,nan,nan,0.566400,0.565953
1.3390,nan,nan,nan,nan,0.566450,0.566003
1.3400,nan,nan,nan,nan,0.566500,0.566053
1.3410,nan,nan,nan,nan,0.566550,0.566103
1.3420,nan,nan,nan,nan,0.566600,0.566153
1.3430,nan,nan,nan,nan,0.566650,0.566203
1.3440,nan,nan,nan,nan,0.566700,0.566253
1.3450,nan,nan,nan,nan,0.566750,0.566303
1.3460,nan,nan,nan,nan,0.566800,0.566353
1.3470,nan,nan,nan,nan,0.566850,0.566403
1.3480,nan,nan,nan,nan,0.566900,0.566453
1.3490,nan,nan,nan,nan,0.566950,0.566503
1.3500,nan,nan,nan,nan,0.567000,0.566553
1.3510,nan,nan,nan,nan,0.567050,0.566603
1.3520,nan,nan,nan,nan,0.567100,0.566653
1.3530,nan,nan,nan,nan,0.567150,0.566703
1.3540,nan,nan,nan,nan,0.567200,0.566753
1.3550,nan,nan,nan,nan,0.567250,0.566803
1.3560,nan,nan,nan,nan,0.567300,0.566853
1.3570,nan,nan,nan,nan,0.567350,0.566903
1.3580,nan,nan,nan,nan,0.567400,0.566953
1.3590,nan,nan,nan,nan,0.567450,0.567003
1.3600,nan,nan,nan,nan,0.567500,0.567053
1.3610,nan,nan,nan,nan,0.567550,0.567103
1.3620,nan,nan,nan,nan,0.567600,0.567153
1.3630,nan,nan,nan,nan,0.567650,0.567203
1.3640,nan,nan,nan,nan,0.567700,0.567253
1.3650,nan,nan,nan,nan,0.567750,0.567303
1.3660,nan,nan,nan,nan,0.567800,0.567353
1.3670,nan,nan,nan,nan,0.567850,0.567403
1.3680,nan,nan,nan,nan,0.567900,0.567453
1.3690,nan,nan,nan,nan,0.567950,0.567503
1.3700,nan,nan,nan,nan,0.568000,0.567553
1.3710,nan,nan,nan,nan,0.568050,0.567603
1.3720,nan,nan,nan,nan,0.568100,0.567653
1.3730,nan,nan,nan,nan,0.568150,0.567703
1.3740,nan,nan,nan,nan,0.568200,0.567753
1.3750,nan,nan,nan,nan,0.568250,0.567803
1.3760,nan,nan,nan,nan,0.568300,0.567853
1.3770,nan,nan,nan,nan,0.568350,0.567903
1.3780,nan,nan,nan,nan,0.568400,0.567953
1.3790,nan,nan,nan,nan,0.568450,0.568003
1.3800,nan,nan,nan,nan,0.568500,0.568053
1.3810,nan,nan,nan,nan,0.568550,0.568103
1.3820,nan,nan,nan,nan,0.568600,0.568153
1.3830,nan,nan,nan,nan,0.568650,0.568203
1.3840,nan,nan,nan,nan,0.568700,0.568253
1.3850,nan,nan,nan,nan,0.568750,0.568303
1.3860,nan,nan,nan,nan,0.568800,0.568353
1.3870,nan,nan,nan,nan,0.568850,0.568403
1.3880,nan,nan,nan,nan,0.568900,0.568453
1.3890,nan,nan,nan,nan,0.568950,0.568503
1.3900,nan,nan,nan,nan,0.569000,0.568553
1.3910,nan,nan,nan,nan,0.569050,0.568603
1.3920,nan,nan,nan,nan,0.569100,0.568653
1.3930,nan,nan,nan,nan,0.569150,0.568703
1.3940,nan,nan,nan,nan,0.569200,0.568753
1.3950,nan,nan,nan,nan,0.569250,0.568803
1.3960,nan,nan,nan,nan,0.569300,0.568853
1.3970,nan,nan,nan,nan,0.569350,0.568903
1.3980,nan,nan,nan,nan,0.569400,0.568953
1.3990,nan,nan,nan,nan,0.569450,0.569003
1.4000,nan,nan,nan,nan,0.569500,0.569053
1.4010,nan,nan,nan,nan,0.569550,0.569103
1.4020,nan,nan,nan,nan,0.569600,0.569153
1.4030,nan,nan,nan,nan,0.569650,0.569203
1.4040,nan,nan,nan,nan,0.569700,0.569253
1.4050,nan,nan,nan,nan,0.569750,0.569303
1.4060,nan,nan,nan,nan,0.569800,0.569353
1.4070,nan,nan,nan,nan,0.569850,0.569403
1.4080,nan,nan,nan,nan,0.569900,0.569453
1.4090,nan,nan,nan,nan,0.569950,0.569503
1.4100,nan,nan,nan,nan,0.570000,0.569553
1.4110,nan,nan,nan,nan,0.570050,0.569603
1.4120,nan,nan,nan,nan,0.570100,0.569653
1.4130,nan,nan,nan,nan,0.570150,0.569703
1.4140,nan,nan,nan,nan,0.570200,0.569753
1.4150,nan,nan,nan,nan,0.570250,0.569803
1.4160,nan,nan,nan,nan,0.570300,0.569853
1.4170,nan,nan,nan,nan,0.570350,0.569903
1.4180,nan,nan,nan,nan,0.570400,0.569953
1.4190,nan,nan,nan,nan,0.570450,0.570003
1.4200,nan,nan,nan,nan,0.570500,0.570053
1.4210,nan,nan,nan,nan,0.570550,0.570103
1.4220,nan,nan,nan,nan,0.570600,0.570153
1.4230,nan,nan,nan,nan,0.570650,0.570203
1.4240,nan,nan,nan,nan,0.570700,0.570253
1.4250,nan,nan,nan,nan,0.570750,0.570303
1.4260,nan,nan,nan,nan,0.570800,0.570353
1.4270,nan,nan,nan,nan,0.570850,0.570403
1.4280,nan,nan,nan,nan,0.570900,0.570453
1.4290,nan,nan,nan,nan,0.570950,0.570503
1.4300,nan,nan,nan,nan,0.571000,0.570553
1.4310,nan,nan,nan,nan,0.571050,0.570603
1.4320,nan,nan,nan,nan,0.571100,0.570653
1.4330,nan,nan,nan,nan,0.571150,0.570703
1.4340,nan,nan,nan,nan,0.571200,0.570753
1.4350,nan,nan,nan,nan,0.571250,0.570803
1.4360,nan,nan,nan,nan,0.571300,0.570853
1.4370,nan,nan,nan,nan,0.571350,0.570903
1.4380,nan,nan,nan,nan,0.571400,0.570953
1.4390,nan,nan,nan,nan,0.571450,0.571003
1.4400,nan,nan,nan,nan,0.571500,0.571053
1.4410,nan,nan,nan,nan,0.571550,0.571103
1.4420,nan,nan,nan,nan,0.571600,0.571153
1.4430,nan,nan,nan,nan,0.571650,0.571203
1.4440,nan,nan,nan,nan,0.571700,0.571253
1.4450,nan,nan,nan,nan,0.571750,0.571303
1.4460,nan,nan,nan,nan,0.571800,0.571353
1.4470,nan,nan,nan,nan,0.571850,0.571403
1.4480,nan,nan,nan,nan,0.571900,0.571453
1.4490,nan,nan,nan,nan,0.571950,0.571503
1.4500,nan,nan,nan,nan,0.572000,0.571553
1.4510,nan,nan,nan,nan,0.572050,0.571603
1.4520,nan,nan,nan,nan,0.572100,0.571653
1.4530,nan,nan,nan,nan,0.572150,0.571703
1.4540,nan,nan,nan,nan,0.572200,0.571753
1.4550,nan,nan,nan,nan,0.572250,0.571803
1.4560,nan,nan,nan,nan,0.572300,0.571853
1.4570,nan,nan,nan,nan,0.572350,0.571903
1.4580,nan,nan,nan,nan,0.572400,0.571953
1.4590,nan,nan,nan,nan,0.572450,0.572003
1.4600,nan,nan,nan,nan,0.572500,0.572053
1.4610,nan,nan,nan,nan,0.572550,0.572103
1.4620,nan,nan,nan,nan,0.572600,0.572153
1.4630,nan,nan,nan,nan,0.572650,0.572203
1.4640,nan,nan,nan,nan,0.572700,0.572253
1.4650,nan,nan,nan,nan,0.572750,0.572303
1.4660,nan,nan,nan,nan,0.572800,0.572353
1.4670,nan,nan,nan,nan,0.572850,0.572403
1.4680,nan,nan,nan,nan,0.572900,0.572453
1.4690,nan,nan,nan,nan,0.572950,0.572503
1.4700,nan,nan,nan,nan,0.573000,0.572553
1.4710,nan,nan,nan,nan,0.573050,0.572603
1.4720,nan,nan,nan,nan,0.573100,0.572653
1.4730,nan,nan,nan,nan,0.573150,0.572703
1.4740,nan,nan,nan,nan,0.573200,0.572753
1.4750,nan,nan,nan,nan,0.573250,0.572803
1.4760,nan,nan,nan,nan,0.573300,0.572853
1.4770,nan,nan,nan,nan,0.573350,0.572903
1.4780,nan,nan,nan,nan,0.573400,0.572953
1.4790,nan,nan,nan,nan,0.573450,0.573003
1.4800,nan,nan,nan,nan,0.573500,0.573053
1.4810,nan,nan,nan,nan,0.573550,0.573103
1.4820,nan,nan,nan,nan,0.573600,0.573153
1.4830,nan,nan,nan,nan,0.573650,0.573203
1.4840,nan,nan,nan,nan,0.573700,0.573253
1.4850,nan,nan,nan,nan,0.573750,0.573303
1.4860,nan,nan,nan,nan,0.573800,0.573353
1.4870,nan,nan,nan,nan,0.573850,0.573403
1.4880,nan,nan,nan,nan,0.573900,0.573453
1.4890,nan,nan,nan,nan,0.573950,0.573503
1.4900,nan,nan,nan,nan,0.574000,0.573553
1.4910,nan,nan,nan,nan,0.574050,0.573603
1.4920,nan,nan,nan,nan,0.574100,0.573653
1.4930,nan,nan,nan,nan,0.574150,0.573703
1.4940,nan,nan,nan,nan,0.574200,0.573753
1.4950,nan,nan,nan,nan,0.574250,0.573803
1.4960,nan,nan,nan,nan,0.574300,0.573853
1.4970,nan,nan,nan,nan,0.574350,0.573903
1.4980,nan,nan,nan,nan,0.574400,0.573953
1.4990,nan,nan,nan,nan,0.574450,0.574003
1.5000,nan,nan,nan,nan,0.574500,0.574053
1.5010,nan,nan,nan,nan,0.574550,0.574103
1.5020,nan,nan,nan,nan,0.574600,0.574153
1.5030,nan,nan,nan,nan,0.574650,0.574203
1.5040,nan,nan,nan,nan,0.574700,0.574253
1.5050,nan,nan,nan,nan,0.574750,0.574303
1.5060,nan,nan,nan,nan,0.574800,0.574353
1.5070,nan,nan,nan,nan,0.574850,0.574403
1.5080,nan,nan,nan,nan,0.574900,0.574453
1.5090,nan,nan,nan,nan,0.574950,0.574503
1.5100,nan,nan,nan,nan,0.575000,0.574553
1.5110,nan,nan,nan,nan,0.575050,0.574603
1.5120,nan,nan,nan,nan,0.575100,0.574653
1.5130,nan,nan,nan,nan,0.575150,0.574703
1.5140,nan,nan,nan,nan,0.575200,0.574753
1.5150,nan,nan,nan,nan,0.575250,0.574803
1.5160,nan,nan,nan,nan,0.575300,0.574853
1.5170,nan,nan,nan,nan,0.575350,0.574903
1.5180,nan,nan,nan,nan,0.575400,0.574953
1.5190,nan,nan,nan,nan,0.575450,0.575003
1.5200,nan,nan,nan,nan,0.575500,0.575053
1.5210,nan,nan,nan,nan,0.575550,0.575103
1.5220,nan,nan,nan,nan,0.575600,0.575153
1.5230,nan,nan,nan,nan,0.575650,0.575203
1.5240,nan,nan,nan,nan,0.575700,0.575253
1.5250,nan,nan,nan,nan,0.575750,0.575303
1.5260,nan,nan,nan,nan,0.575800,0.575353
1.5270,nan,nan,nan,nan,0.575850,0.575403
1.5280,nan,nan,nan,nan,0.575900,0.575453
1.5290,nan,nan,nan,nan,0.575950,0.575503
1.5300,nan,nan,nan,nan,0.576000,0.575553
1.5310,nan,nan,nan,nan,0.576050,0.575603
1.5320,nan,nan,nan,nan,0.576100,0.575653
1.5330,nan,nan,nan,nan,0.576150,0.575703
1.5340,nan,nan,nan,nan,0.576200,0.575753
1.5350,nan,nan,nan,nan,0.576250,0.575803
1.5360,nan,nan,nan,nan,0.576300,0.575853
1.5370,nan,nan,nan,nan,0.576350,0.575903
1.5380,nan,nan,nan,nan,0.576400,0.575953
1.5390,nan,nan,nan,nan,0.576450,0.576003
1.5400,nan,nan,nan,nan,0.576500,0.576053
1.5410,nan,nan,nan,nan,0.576550,0.576103
1.5420,nan,nan,nan,nan,0.576600,0.576153
1.5430,nan,nan,nan,nan,0.576650,0.576203
1.5440,nan,nan,nan,nan,0.576700,0.576253
1.5450,nan,nan,nan,nan,0.576750,0.576303
1.5460,nan,nan,nan,nan,0.576800,0.576353
1.5470,nan,nan,nan,nan,0.576850,0.576403
1.5480,nan,nan,nan,nan,0.576900,0.576453
1.5490,nan,nan,nan,nan,0.576950,0.576503
1.5500,nan,nan,nan,nan,0.577000,0.576553
1.5510,nan,nan,nan,nan,0.577050,0.576603
1.5520,nan,nan,nan,nan,0.577100,0.576653
1.5530,nan,nan,nan,nan,0.577150,0.576703
1.5540,nan,nan,nan,nan,0.577200,0.576753
1.5550,nan,nan,nan,nan,0.577250,0.576803
1.5560,nan,nan,nan,nan,0.577300,0.576853
1.5570,nan,nan,nan,nan,0.577350,0.576903
1.5580,nan,nan,nan,nan,0.577400,0.576953
1.5590,nan,nan,nan,nan,0.577450,0.577003
1.5600,nan,nan,nan,nan,0.577500,0.577053
1.5610,nan,nan,nan,nan,0.577550,0.577103
1.5620,nan,nan,nan,nan,0.577600,0.577153
1.5630,nan,nan,nan,nan,0.577650,0.577203
1.5640,nan,nan,nan,nan,0.577700,0.577253
1.5650,nan,nan,nan,nan,0.577750,0.577303
1.5660,nan,nan,nan,nan,0.577800,0.577353
1.5670,nan,nan,nan,nan,0.577850,0.577403
1.5680,nan,nan,nan,nan,0.577900,0.577453
1.5690,nan,nan,nan,nan,0.577950,0.577503
1.5700,nan,nan,nan,nan,0.578000,0.577553
1.5710,nan,nan,nan,nan,0.578050,0.577603
1.5720,nan,nan,nan,nan,0.578100,0.577653
1.5730,nan,nan,nan,nan,0.578150,0.577703
1.5740,nan,nan,nan,nan,0.578200,0.577753
1.5750,nan,nan,nan,nan,0.578250,0.577803
1.5760,nan,nan,nan,nan,0.578300,0.577853
1.5770,nan,nan,nan,nan,0.578350,0.577903
1.5780,nan,nan,nan,nan,0.578400,0.577953
1.5790,nan,nan,nan,nan,0.578450,0.578003
1.5800,nan,nan,nan,nan,0.578500,0.578053
1.5810,nan,nan,nan,nan,0.578550,0.578103
1.5820,nan,nan,nan,nan,0.578600,0.578153
1.5830,nan,nan,nan,nan,0.578650,0.578203
1.5840,nan,nan,nan,nan,0.578700,0.578253
1.5850,nan,nan,nan,nan,0.578750,0.578303
1.5860,nan,nan,nan,nan,0.578800,0.578353
1.5870,nan,nan,nan,nan,0.578850,0.578403
1.5880,nan,nan,nan,nan,0.578900,0.578453
1.5890,nan,nan,nan,nan,0.578950,0.578503
1.5900,nan,nan,nan,nan,0.579000,0.578553
1.5910,nan,nan,nan,nan,0.579050,0.578603
1.5920,nan,nan,nan,nan,0.579100,0.578653
1.5930,nan,nan,nan,nan,0.579150,0.578703
1.5940,nan,nan,nan,nan,0.579200,0.578753
1.5950,nan,nan,nan,nan,0.579250,0.578803
1.5960,nan,nan,nan,nan,0.579300,0.578853
1.5970,nan,nan,nan,nan,0.579350,0.578903
1.5980,nan,nan,nan,nan,0.579400,0.578953
1.5990,nan,nan,nan,nan,0.579450,0.579003
1.6000,nan,nan,nan,nan,0.579500,0.579053
1.6010,nan,nan,nan,nan,0.579550,0.579103
1.6020,nan,nan,nan,nan,0.579600,0.579153
1.6030,nan,nan,nan,nan,0.579650,0.579203
1.6040,nan,nan,nan,nan,0.579700,0.579253
1.6050,nan,nan,nan,nan,0.579750,0.579303
1.6060,nan,nan,nan,nan,0.579800,0.579353
1.6070,nan,nan,nan,nan,0.579850,0.579403
1.6080,nan,nan,nan,nan,0.579900,0.579453
1.6090,nan,nan,nan,nan,0.579950,0.579503
1.6100,nan,nan,nan,nan,0.580000,0.579553
1.6110,nan,nan,nan,nan,0.580050,0.579603
1.6120,nan,nan,nan,nan,0.580100,0.579653
1.6130,nan,nan,nan,nan,0.580150,0.579703
1.6140,nan,nan,nan,nan,0.580200,0.579753
1.6150,nan,nan,nan,nan,0.580250,0.579803
1.6160,nan,nan,nan,nan,0.580300,0.579853
1.6170,nan,nan,nan,nan,0.580350,0.579903
1.6180,nan,nan,nan,nan,0.580400,0.579953
1.6190,nan,nan,nan,nan,0.580450,0.580003
1.6200,nan,nan,nan,nan,0.580500,0.580053
1.6210,nan,nan,nan,nan,0.580550,0.580103
1.6220,nan,nan,nan,nan,0.580600,0.580153
1.6230,nan,nan,nan,nan,0.580650,0.580203
1.6240,nan,nan,nan,nan,0.580700,0.580253
1.6250,nan,nan,nan,nan,0.580750,0.580303
1.6260,nan,nan,nan,nan,0.580800,0.580353
1.6270,nan,nan,nan,nan,0.580850,0.580403
1.6280,nan,nan,nan,nan,0.580900,0.580453
1.6290,nan,nan,nan,nan,0.580950,0.580503
1.6300,nan,nan,nan,nan,0.581000,0.580553
1.6310,nan,nan,nan,nan,0.581050,0.580603
1.6320,nan,nan,nan,nan,0.581100,0.580653
1.6330,nan,nan,nan,nan,0.581150,0.580703
1.6340,nan,nan,nan,nan,0.581200,0.580753
1.6350,nan,nan,nan,nan,0.581250,0.580803
1.6360,nan,nan,nan,nan,0.581300,0.580853
1.6370,nan,nan,nan,nan,0.581350,0.580903
1.6380,nan,nan,nan,nan,0.581400,0.580953
1.6390,nan,nan,nan,nan,0.581450,0.581003
1.6400,nan,nan,nan,nan,0.581500,0.581053
1.6410,nan,nan,nan,nan,0.581550,0.581103
1.6420,nan,nan,nan,nan,0.581600,0.581153
1.6430,nan,nan,nan,nan,0.581650,0.581203
1.6440,nan,nan,nan,nan,0.581700,0.581253
1.6450,nan,nan,nan,nan,0.581750,0.581303
1.6460,nan,nan,nan,nan,0.581800,0.581353
1.6470,nan,nan,nan,nan,0.581850,0.581403
1.6480,nan,nan,nan,nan,0.581900,0.581453
1.6490,nan,nan,nan,nan,0.581950,0.581503
1.6500,nan,nan,nan,nan,0.582000,0.581553
1.6510,nan,nan,nan,nan,0.582050,0.581603
1.6520,nan,nan,nan,nan,0.582100,0.581653
1.6530,nan,nan,nan,nan,0.582150,0.581703
1.6540,nan,nan,nan,nan,0.582200,0.581753
1.6550,nan,nan,nan,nan,0.582250,0.581803
1.6560,nan,nan,nan,nan,0.582300,0.581853
1.6570,nan,nan,nan,nan,0.582350,0.581903
1.6580,nan,nan,nan,nan,0.582400,0.581953
1.6590,nan,nan,nan,nan,0.582450,0.582003
1.6600,nan,nan,nan,nan,0.582500,0.582053
1.6610,nan,nan,nan,nan,0.582550,0.582103
1.6620,nan,nan,nan,nan,0.582600,0.582153
1.6630,nan,nan,nan,nan,0.582650,0.582203
1.6640,nan,nan,nan,nan,0.582700,0.582253
1.6650,nan,nan,nan,nan,0.582750,0.582303
1.6660,nan,nan,nan,nan,0.582800,0.582353
1.6670,nan,nan,nan,nan,0.582850,0.582403
1.6680,nan,nan,nan,nan,0.582900,0.582453
1.6690,nan,nan,nan,nan,0.582950,0.582503
1.6700,nan,nan,nan,nan,0.583000,0.582553
1.6710,nan,nan,nan,nan,0.583050,0.582603
1.6720,nan,nan,nan,nan,0.583100,0.582653
1.6730,nan,nan,nan,nan,0.583150,0.582703
1.6740,nan,nan,nan,nan,0.583200,0.582753
1.6750,nan,nan,nan,nan,0.583250,0.582803
1.6760,nan,nan,nan,nan,0.583300,0.582853
1.6770,nan,nan,nan,nan,0.583350,0.582903
1.6780,nan,nan,nan,nan,0.583400,0.582953
1.6790,nan,nan,nan,nan,0.583450,0.583003
1.6800,nan,nan,nan,nan,0.583500,0.583053
1.6810,nan,nan,nan,nan,0.583550,0.583103
1.6820,nan,nan,nan,nan,0.583600,0.583153
1.6830,nan,nan,nan,nan,0.583650,0.583203
1.6840,nan,nan,nan,nan,0.583700,0.583253
1.6850,nan,nan,nan,nan,0.583750,0.583303
1.6860,nan,nan,nan,nan,0.583800,0.583353
1.6870,nan,nan,nan,nan,0.583850,0.583403
1.6880,nan,nan,nan,nan,0.583900,0.583453
1.6890,nan,nan,nan,nan,0.583950,0.583503
1.6900,nan,nan,nan,nan,0.584000,0.583553
1.6910,nan,nan,nan,nan,0.584050,0.583603
1.6920,nan,nan,nan,nan,0.584100,0.583653
1.6930,nan,nan,nan,nan,0.584150,0.583703
1.6940,nan,nan,nan,nan,0.584200,0.583753
1.6950,nan,nan,nan,nan,0.584250,0.583803
1.6960,nan,nan,nan,nan,0.584300,0.583853
1.6970,nan,nan,nan,nan,0.584350,0.583903
1.6980,nan,nan,nan,nan,0.584400,0.583953
1.6990,nan,nan,nan,nan,0.584450,0.584003
1.7000,nan,nan,nan,nan,0.584500,0.584053
1.7010,nan,nan,nan,nan,0.584550,0.584103
1.7020,nan,nan,nan,nan,0.584600,0.584153
1.7030,nan,nan,nan,nan,0.584650,0.584203
1.7040,nan,nan,nan,nan,0.584700,0.584253
1.7050,nan,nan,nan,nan,0.584750,0.584303
1.7060,nan,nan,nan,nan,0.584800,0.584353
1.7070,nan,nan,nan,nan,0.584850,0.584403
1.7080,nan,nan,nan,nan,0.584900,0.584453
1.7090,nan,nan,nan,nan,0.584950,0.584503
1.7100,nan,nan,nan,nan,0.585000,0.584553
1.7110,nan,nan,nan,nan,0.585050,0.584603
1.7120,nan,nan,nan,nan,0.585100,0.584653
1.7130,nan,nan,nan,nan,0.585150,0.584703
1.7140,nan,nan,nan,nan,0.585200,0.584753
1.7150,nan,nan,nan,nan,0.585250,0.584803
1.7160,nan,nan,nan,nan,0.585300,0.584853
1.7170,nan,nan,nan,nan,0.585350,0.584903
1.7180,nan,nan,nan,nan,0.585400,0.584953
1.7190,nan,nan,nan,nan,0.585450,0.585003
1.7200,nan,nan,nan,nan,0.585500,0.585053
1.7210,nan,nan,nan,nan,0.585550,0.585103
1.7220,nan,nan,nan,nan,0.585600,0.585153
1.7230,nan,nan,nan,nan,0.585650,0.585203
1.7240,nan,nan,nan,nan,0.585700,0.585253
1.7250,nan,nan,nan,nan,0.585750,0.585303
1.7260,nan,nan,nan,nan,0.585800,0.585353
1.7270,nan,nan,nan,nan,0.585850,0.585403
1.7280,nan,nan,nan,nan,0.585900,0.585453
1.7290,nan,nan,nan,nan,0.585950,0.585503
1.7300,nan,nan,nan,nan,0.586000,0.585553
1.7310,nan,nan,nan,nan,0.586050,0.585603
1.7320,nan,nan,nan,nan,0.586100,0.585653
1.7330,nan,nan,nan,nan,0.586150,0.585703
1.7340,nan,nan,nan,nan,0.586200,0.585753
1.7350,nan,nan,nan,nan,0.586250,0.585803
1.7360,nan,nan,nan,nan,0.586300,0.585853
1.7370,nan,nan,nan,nan,0.586350,0.585903
1.7380,nan,nan,nan,nan,0.586400,0.585953
1.7390,nan,nan,nan,nan,0.586450,0.586003
1.7400,nan,nan,nan,nan,0.586500,0.586053
1.7410,nan,nan,nan,nan,0.586550,0.586103
1.7420,nan,nan,nan,nan,0.586600,0.586153
1.7430,nan,nan,nan,nan,0.586650,0.586203
1.7440,nan,nan,nan,nan,0.586700,0.586253
1.7450,nan,nan,nan,nan,0.586750,0.586303
1.7460,nan,nan,nan,nan,0.586800,0.586353
1.7470,nan,nan,nan,nan,0.586850,0.586403
1.7480,nan,nan,nan,nan,0.586900,0.586453
1.7490,nan,nan,nan,nan,0.586950,0.586503
