t_s,step_ref,step_alpha_youlah,step_alpha_pi,step_r_cmd,ramp_ref,ramp_alpha
0.0800,0.7,0.700000,0.603466,0.700000,0.503500,0.503053
0.0810,0.7,0.700000,0.603514,0.700000,0.503550,0.503103
0.0820,0.7,0.700000,0.603562,0.700000,0.503600,0.503153
0.0830,0.7,0.700000,0.603610,0.700000,0.503650,0.503203
0.0840,0.7,0.700000,0.603659,0.700000,0.503700,0.503253
0.0850,0.7,0.700000,0.603707,0.700000,0.503750,0.503303
0.0860,0.7,0.700000,0.603755,0.700000,0.503800,0.503353
0.0870,0.7,0.700000,0.603803,0.700000,0.503850,0.503403
0.0880,0.7,0.700000,0.603851,0.700000,0.503900,0.503453
0.0890,0.7,0.700000,0.603899,0.700000,0.503950,0.503503
0.0900,0.7,0.700000,0.603947,0.700000,0.504000,0.503553
0.0910,0.7,0.700000,0.603995,0.700000,0.504050,0.503603
0.0920,0.7,0.700000,0.604044,0.700000,0.504100,0.503653
0.0930,0.7,0.700000,0.604091,0.700000,0.504150,0.503703
0.0940,0.7,0.700000,0.604139,0.700000,0.504200,0.503753
0.0950,0.7,0.700000,0.604187,0.700000,0.504250,0.503803
0.0960,0.7,0.700000,0.604235,0.700000,0.504300,0.503853
0.0970,0.7,0.700000,0.604283,0.700000,0.504350,0.503903
0.0980,0.7,0.700000,0.604331,0.700000,0.504400,0.503953
0.0990,0.7,0.700000,0.604379,0.700000,0.504450,0.504003
0.1000,0.7,0.700000,0.604427,0.700000,0.504500,0.504053
0.1010,0.7,0.700000,0.604475,0.700000,0.504550,0.504103
0.1020,0.7,0.700000,0.604522,0.700000,0.504600,0.504153
0.1030,0.7,0.700000,0.604570,0.700000,0.504650,0.504203
0.1040,0.7,0.700000,0.604618,0.700000,0.504700,0.504253
0.1050,0.7,0.700000,0.604666,0.700000,0.504750,0.504303
0.1060,0.7,0.700000,0.604713,0.700000,0.504800,0.504353
0.1070,0.7,0.700000,0.604761,0.700000,0.504850,0.504403
0.1080,0.7,0.700000,0.604809,0.700000,0.504900,0.504453
0.1090,0.7,0.700000,0.604856,0.700000,0.504950,0.504503
0.1100,0.7,0.700000,0.604904,0.700000,0.505000,0.504553
0.1110,0.7,0.700000,0.604951,0.700000,0.505050,0.504603
0.1120,0.7,0.700000,0.604999,0.700000,0.505100,0.504653
0.1130,0.7,0.700000,0.605046,0.700000,0.505150,0.504703
0.1140,0.7,0.700000,0.605094,0.700000,0.505200,0.504753
0.1150,0.7,0.700000,0.605141,0.700000,0.505250,0.504803
