t_s,r_cmd,alpha,v_bus
6.027000e-04,0.4000,0.480000,14.66672
6.078000e-04,0.4000,0.480000,14.66672
6.129000e-04,0.4000,0.480000,14.66672
6.180000e-04,0.4000,0.480000,14.66672
6.231000e-04,0.4000,0.480000,14.66672
6.282000e-04,0.4000,0.480000,14.66672
6.333000e-04,0.4000,0.480000,14.66672
6.384000e-04,0.4000,0.480000,14.66672
6.435000e-04,0.4000,0.480000,14.66672
6.486000e-04,0.4000,0.480000,14.66672
6.537000e-04,0.4000,0.480000,14.66672
6.588000e-04,0.4000,0.480000,14.66672
6.639000e-04,0.4000,0.480000,14.66672
6.690000e-04,0.4000,0.480000,14.66672
6.741000e-04,0.4000,0.480000,14.66672
6.792000e-04,0.4000,0.480000,14.66672
6.843000e-04,0.4000,0.480000,14.66672
6.894000e-04,0.4000,0.480000,14.66672
6.945000e-04,0.4000,0.480000,14.66672
6.996000e-04,0.4000,0.480000,14.66672
7.047000e-04,0.4000,0.480000,14.66672
7.098000e-04,0.4000,0.480000,14.66672
7.149000e-04,0.4000,0.480000,14.66672
7.200000e-04,0.4000,0.480000,14.66672
7.251000e-04,0.4000,0.480000,14.66672
7.302000e-04,0.4000,0.480000,14.66672
7.353000e-04,0.4000,0.480000,14.66672
7.404000e-04,0.4000,0.480000,14.66672
7.455000e-04,0.4000,0.480000,14.66672
7.506000e-04,0.4000,0.480000,14.66672
7.557000e-04,0.4000,0.480000,14.66672
7.608000e-04,0.4000,0.480000,14.66672
7.659000e-04,0.4000,0.480000,14.66672
7.710000e-04,0.4000,0.480000,14.66672
7.761000e-04,0.4000,0.480000,14.66672
7.812000e-04,0.4000,0.480000,14.66672
7.863000e-04,0.4000,0.480000,14.66672
7.914000e-04,0.4000,0.480000,14.66672
7.965000e-04,0.4000,0.480000,14.66672
8.016000e-04,0.4000,0.480000,14.66672
8.067000e-04,0.4000,0.480000,14.66672
8.118000e-04,0.4000,0.480000,14.66672
8.169000e-04,0.4000,0.480000,14.66672
8.220000e-04,0.4000,0.480000,14.66672
8.271000e-04,0.4000,0.480000,14.66672
8.322000e-04,0.4000,0.480000,14.66672
8.373000e-04,0.4000,0.480000,14.66672
8.424000e-04,0.4000,0.480000,14.66672
8.475000e-04,0.4000,0.480000,14.66672
8.526000e-04,0.4000,0.480000,14.66672
8.577000e-04,0.4000,0.480000,14.66672
8.628000e-04,0.4000,0.480000,14.66672
8.679000e-04,0.4000,0.480000,14.66672
8.730000e-04,0.4000,0.480000,14.66672
8.781000e-04,0.4000,0.480000,14.66672
8.832000e-04,0.4000,0.480000,14.66672
8.883000e-04,0.4000,0.480000,14.66672
8.934000e-04,0.4000,0.480000,14.66672
8.985000e-04,0.4000,0.480000,14.66672
