t_us,share_sp,share_act,v_sp,v_act,I_fc,I_batt,gFC,gBT,V_bus,I_cmd,fault_flags,ps_phase,dc_phase,trap_phase,flags
61860855,0,1,,,0.0241758227,0,0,0,15.9213276,0.0359999985,0,,,0,1
61862185,0,0,,,0,0.0402930379,0,0,15.9122372,0.0359999985,0,,,0,1
61863313,0,0,,,0,0.00805860758,0,0,15.9122372,0.0390000008,0,,,0,1
61864439,0,0,,,0,0.0161172152,0,0,15.9167824,0.0390000008,0,,,0,1
61865568,0,0,,,0,0.0161172152,0,0,15.9167824,0.0410000011,0,,,0,1
61866694,0,0,,,0,0.0161172152,0,0,15.9167824,0.0410000011,0,,,0,1
61867823,0,0,,,0,0.0161172152,0,0,15.9167824,0.0429999977,0,,,0,1
61868949,0,0,,,0,0.0161172152,0,0,15.9167824,0.0429999977,0,,,0,1
61870078,0,0,,,0,0.0161172152,0,0,15.907692,0.0460000001,0,,,0,1
61871204,0,0,,,0,0.0161172152,0,0,15.907692,0.0460000001,0,,,0,1
61872343,0,0,,,0,0.0161172152,0,0,15.9213276,0.0480000004,0,,,0,1
61873469,0,0,,,0,0.0161172152,0,0,15.9167824,0.0480000004,0,,,0,1
61874598,0,0,,,0,0.00805860758,0,0,15.9213276,0.0500000045,0,,,0,1
61875724,0,0,,,0,0.0241758227,0,0,15.9167824,0.0500000045,0,,,0,1
61876853,0,0,,,0,0.0241758227,0,0,15.9213276,0.0519999973,0,,,0,1
61877979,0,0,,,0,0.0483516455,0,0,15.9167824,0.0519999973,0,,,0,1
61879108,0,0,,,0,0.0241758227,0,0,15.9213276,0.0549999997,0,,,0,1
61880234,0,0,,,0,0.0241758227,0,0,15.9213276,0.0549999997,0,,,0,1
61881363,0,0,,,0,0.0241758227,0,0,15.9213276,0.0569999963,0,,,0,1
61882489,0,0,,,0,0.0241758227,0,0,15.9167824,0.0569999963,0,,,0,1
61883827,0,0,,,0,0.0161172152,0,0,15.9213276,0.0590000004,0,,,0,1
61884953,0,0,,,0,0.0322344303,0,0,15.9213276,0.0590000004,0,,,0,1
61886082,0,0,,,0,0.0241758227,0,0,15.9213276,0.061999999,0,,,0,1
61887207,0,0,,,0,0.0322344303,0,0,15.9167824,0.061999999,0,,,0,1
61888336,0,0,,,0,0.0241758227,0,0,15.9167824,0.0639999956,0,,,0,1
61889462,0,0,,,0,0.0241758227,0,0,15.9213276,0.0639999956,0,,,0,1
61890591,0,0,,,0,0.0322344303,0,0,15.9213276,0.0659999996,0,,,0,1
61891717,0,0,,,0,0.0322344303,0,0,15.9213276,0.0659999996,0,,,0,1
61892847,0,0,,,0,0.0322344303,0,0,15.9167824,0.0680000037,0,,,0,1
61893977,0,0,,,0,0.0161172152,0,0,15.9213276,0.0680000037,0,,,0,1
61895106,0,0,,,0,0.0241758227,0,0,15.9213276,0.0710000023,0,,,0,1
61896232,0,0,,,0,0.0241758227,0,0,15.9258718,0.0710000023,0,,,0,1
61897362,0,0,,,0,0.0241758227,0,0,15.9213276,0.0729999989,0,,,0,1
61898488,0,0,,,0,0.0402930379,0,0,15.9213276,0.0729999989,0,,,0,1
61899617,0,0,,,0,0.0241758227,0,0,15.9213276,0.075000003,0,,,0,1
61900743,0,0,,,0,0.0322344303,0,0,15.9213276,0.075000003,0,,,0,1
