t,seq,V_fc,V_batt,V_bus,V_chg,V_rgn,I_fc,I_batt,v_actual,I_charge,ag105_status,state,switch,aux,current,mdac_fc,mdac_bt,fault_flags,soc,elec_substep_hz,elec_events,cmd_v_sp,cmd_share_sp,h2_rate_gps,h2_cum_g,h2_sdp_cum_g,cmd_share_sp_raw,mppt_thresh_cnt,error_code,p_mot_w,p_fc_w,p_batt_w,p_chop_w,p_aux_w,p_bal_w
0.000000,0,,,15.9389,,,0.0902,0.0598,0.00000,0.0000,0x00,2,39,3,,4967,6129,0,0.70000,,,0.00000,0.85000,2.98156783e-05,2.98156783e-06,,,,0,,,,,,
0.100000,1,,,15.9389,,,0.1192,0.0308,0.00000,0.0000,0x00,2,39,3,,4813,8163,0,0.70000,,,0.00000,0.85000,3.94152353e-05,6.92309136e-06,,,,0,,,,,,
0.200000,2,,,15.9389,,,0.1275,0.0225,0.00000,0.0000,0x00,2,39,3,,4813,8163,0,0.70000,,,0.00000,0.85000,4.21685966e-05,1.1139951e-05,,,,0,,,,,,
0.300000,3,,,15.9389,,,0.1275,0.0225,0.00000,0.0000,0x00,2,39,3,,4813,8163,0,0.70000,,,0.00000,0.85000,4.21685966e-05,1.53568107e-05,,,,0,,,,,,
0.400000,4,,,15.9389,,,0.1275,0.0225,0.00000,0.0000,0x00,2,39,3,,4813,8163,0,0.70000,,,0.00000,0.85000,4.21685966e-05,1.95736703e-05,,,,0,,,,,,
0.500000,5,,,15.9389,,,0.1275,0.0225,0.00000,0.0000,0x00,2,39,3,,4813,8163,0,0.70000,,,0.00000,0.85000,4.21685966e-05,2.379053e-05,,,,0,,,,,,
0.600000,6,,,15.9389,,,0.1275,0.0225,0.00000,0.0000,0x00,2,39,3,,4813,8163,0,0.70000,,,0.00000,0.85000,4.21685966e-05,2.80073897e-05,,,,0,,,,,,
0.700000,7,,,15.9389,,,0.1275,0.0225,0.00000,0.0000,0x00,2,39,3,,4813,8163,0,0.70000,,,0.00000,0.85000,4.21685966e-05,3.22242493e-05,,,,0,,,,,,
0.800000,8,,,15.9389,,,0.1275,0.0225,0.00000,0.0000,0x00,2,39,3,,4813,8163,0,0.70000,,,0.00000,0.85000,4.21685966e-05,3.6441109e-05,,,,0,,,,,,
0.900000,9,,,15.9389,,,0.1275,0.0225,0.00000,0.0000,0x00,2,39,3,,4813,8163,0,0.70000,,,0.00000,0.85000,4.21685966e-05,4.06579686e-05,,,,0,,,,,,
1.000000,10,,,15.9389,,,0.1275,0.0225,0.00000,0.0000,0x00,2,39,3,,4813,8163,0,0.70000,,,0.00000,0.85000,4.21685966e-05,4.48748283e-05,,,,0,,,,,,
1.100000,11,,,15.9389,,,0.1275,0.0225,0.00000,0.0000,0x00,2,39,3,,4813,8163,0,0.70000,,,0.00000,0.85000,4.21685966e-05,4.9091688e-05,,,,0,,,,,,
1.200000,12,,,15.9389,,,0.1275,0.0225,0.00000,0.0000,0x00,2,39,3,,4813,8163,0,0.70000,,,0.00000,0.85000,4.21685966e-05,5.33085476e-05,,,,0,,,,,,
1.300000,13,,,15.9389,,,0.1275,0.0225,0.00000,0.0000,0x00,2,39,3,,4813,8163,0,0.70000,,,0.00000,0.85000,4.21685966e-05,5.75254073e-05,,,,0,,,,,,
1.400000,14,,,15.9389,,,0.1275,0.0225,0.00000,0.0000,0x00,2,39,3,,4813,8163,0,0.70000,,,0.00000,0.85000,4.21685966e-05,6.1742267e-05,,,,0,,,,,,
1.500000,15,,,15.9389,,,0.1275,0.0225,0.00000,0.0000,0x00,2,39,3,,4813,8163,0,0.69999,,,0.00000,0.85000,4.21685966e-05,6.59591266e-05,,,,0,,,,,,
1.600000,16,,,15.9389,,,0.1275,0.0225,0.00000,0.0000,0x00,2,39,3,,4813,8163,0,0.69999,,,0.00000,0.85000,4.21685966e-05,7.01759863e-05,,,,0,,,,,,
1.700000,17,,,15.9389,,,0.1275,0.0225,0.00000,0.0000,0x00,2,39,3,,4813,8163,0,0.69999,,,0.00000,0.85000,4.21685966e-05,7.43928459e-05,,,,0,,,,,,
1.800000,18,,,15.9389,,,0.1275,0.0225,0.00000,0.0000,0x00,2,39,3,,4813,8163,0,0.69999,,,0.00000,0.85000,4.21685966e-05,7.86097056e-05,,,,0,,,,,,
1.900000,19,,,15.9389,,,0.1275,0.0225,0.00000,0.0000,0x00,2,39,3,,4813,8163,0,0.69999,,,0.00000,0.85000,4.21685966e-05,8.28265653e-05,,,,0,,,,,,
2.000000,20,,,15.9389,,,0.1275,0.0225,0.00000,0.0000,0x00,2,39,3,,4813,8163,0,0.69999,,,0.00000,0.85000,4.21685966e-05,8.70434249e-05,,,,0,,,,,,
2.100000,21,,,15.9389,,,0.1275,0.0225,0.00000,0.0000,0x00,2,39,3,,4813,8163,0,0.69999,,,0.00000,0.85000,4.21685966e-05,9.12602846e-05,,,,0,,,,,,
2.200000,22,,,15.9389,,,0.1275,0.0225,0.00000,0.0000,0x00,2,39,3,,4813,8163,0,0.69999,,,0.00000,0.85000,4.21685966e-05,9.54771442e-05,,,,0,,,,,,
2.300000,23,,,15.9389,,,0.1275,0.0225,0.00000,0.0000,0x00,2,39,3,,4813,8163,0,0.69999,,,0.00000,0.85000,4.21685966e-05,9.96940039e-05,,,,0,,,,,,
2.400000,24,,,15.9389,,,0.1275,0.0225,0.00000,0.0000,0x00,2,39,3,,4813,8163,0,0.69999,,,0.00000,0.85000,4.21685966e-05,0.000103910864,,,,0,,,,,,
2.500000,25,,,15.9389,,,0.1275,0.0225,0.00000,0.0000,0x00,2,39,3,,4813,8163,0,0.69999,,,0.00000,0.85000,4.21685966e-05,0.000108127723,,,,0,,,,,,
2.600000,26,,,15.9389,,,0.1275,0.0225,0.00000,0.0000,0x00,2,39,3,,4813,8163,0,0.69999,,,0.00000,0.85000,4.21685966e-05,0.000112344583,,,,0,,,,,,
2.700000,27,,,15.9389,,,0.1275,0.0225,0.00000,0.0000,0x00,2,39,3,,4813,8163,0,0.69999,,,0.00000,0.85000,4.21685966e-05,0.000116561443,,,,0,,,,,,
2.800000,28,,,15.9389,,,0.1275,0.0225,0.00000,0.0000,0x00,2,39,3,,4813,8163,0,0.69999,,,0.00000,0.85000,4.21685966e-05,0.000120778302,,,,0,,,,,,
2.900000,29,,,15.9389,,,0.1275,0.0225,0.00000,0.0000,0x00,2,39,3,,4813,8163,0,0.69999,,,0.00000,0.85000,4.21685966e-05,0.000124995162,,,,0,,,,,,
3.000000,30,,,15.9389,,,0.1275,0.0225,0.00000,0.0000,0x00,2,39,3,,4813,8163,0,0.69999,,,0.00000,0.85000,4.21685966e-05,0.000129212022,,,,0,,,,,,
3.100000,31,,,15.9384,,,0.1333,0.0235,0.03000,0.0000,0x00,2,39,3,,4813,8163,0,0.69999,,,0.03000,0.85000,4.40758759e-05,0.000133619609,,,,0,,,,,,
3.200000,32,,,15.9379,,,0.1391,0.0245,0.06000,0.0000,0x00,2,39,3,,4813,8163,0,0.69999,,,0.06000,0.85000,4.60030862e-05,0.000138219918,,,,0,,,,,,
3.300000,33,,,15.9374,,,0.1450,0.0256,0.09000,0.0000,0x00,2,39,3,,4813,8163,0,0.69999,,,0.09000,0.85000,4.79502276e-05,0.00014301494,,,,0,,,,,,
3.400000,34,,,15.9369,,,0.1509,0.0266,0.12000,0.0000,0x00,2,39,3,,4813,8163,0,0.69999,,,0.12000,0.85000,4.99173e-05,0.00014800667,,,,0,,,,,,
3.500000,35,,,15.9363,,,0.1570,0.0277,0.15000,0.0000,0x00,2,39,3,,4813,8163,0,0.69999,,,0.15000,0.85000,5.19043034e-05,0.000153197101,,,,0,,,,,,
3.600000,36,,,15.9358,,,0.1630,0.0288,0.18000,0.0000,0x00,2,39,3,,4813,8163,0,0.69999,,,0.18000,0.85000,5.39112379e-05,0.000158588225,,,,0,,,,,,
3.700000,37,,,15.9353,,,0.1692,0.0299,0.21000,0.0000,0x00,2,39,3,,4813,8163,0,0.69999,,,0.21000,0.85000,5.59381034e-05,0.000164182035,,,,0,,,,,,
3.800000,38,,,15.9347,,,0.1754,0.0309,0.24000,0.0000,0x00,2,39,3,,4813,8163,0,0.69999,,,0.24000,0.85000,5.79848999e-05,0.000169980525,,,,0,,,,,,
3.900000,39,,,15.9342,,,0.1816,0.0321,0.27000,0.0000,0x00,2,39,3,,4813,8163,0,0.69999,,,0.27000,0.85000,6.00516275e-05,0.000175985688,,,,0,,,,,,
4.000000,40,,,15.9336,,,0.1879,0.0332,0.30000,0.0000,0x00,2,39,3,,4813,8163,0,0.69999,,,0.30000,0.85000,6.2138286e-05,0.000182199516,,,,0,,,,,,
4.100000,41,,,15.9331,,,0.1943,0.0343,0.33000,0.0000,0x00,2,39,3,,4813,8163,0,0.69999,,,0.33000,0.85000,6.42448756e-05,0.000188624004,,,,0,,,,,,
4.200000,42,,,15.9325,,,0.2008,0.0354,0.36000,0.0000,0x00,2,39,3,,4813,8163,0,0.69999,,,0.36000,0.85000,6.63713962e-05,0.000195261143,,,,0,,,,,,
